Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V124	0	0.02418	0.29793	0.02226	0.65564	0
V125	0	0.16791	0.77237	0.02856	0	0.03116
V126	0	0.25226	0	0	0	0.74774
V127	0.01378	0.04047	0.87113	0.07463	0	0
V128	0.39306	0.29648	0.08767	0.19038	0.03241	0
V129	0	0.041	0.90814	0.05086	0	0
V130	0.56416	0.17376	0	0.26208	0	0
V131	0.01723	0.01349	0	0.03508	0.81724	0.11696
V132	0	0.49649	0.50351	0	0	0
V133	0.02327	0.21722	0.66931	0.08823	0.00197	0
V134	0.21859	0.72299	0	0.00183	0.05659	0
V135	0.05243	0.03488	0.83548	0	0	0.07721
V136	0.09135	0.81231	0.07998	0.01636	0	0
V137	0	0.18619	0.64733	0.00888	0.1576	0
V138	0	0.01377	0	0.51299	0.02923	0.44401
V139	0	0.05165	0.13743	0.00616	0.47379	0.33097
V140	0.67439	0.27312	0.00017	0.05232	0	0
V141	0.27217	0.30328	0.11068	0.31387	0	0
V142	0.14043	0.79971	0	0.04401	0	0.01585
V143	0.05628	0.09134	0.7166	0.07816	0.05762	0
V144	0	0.16988	0	0.09857	0	0.73155
V145	0	0.00778	0	0.99222	0	0
V146	0.16087	0.03485	0.01208	0.02106	0.75753	0.01362
V147	0.52961	0.10912	0.08731	0	0	0.27395
V148	0	0.17475	0.82525	0	0	0
V149	0	0.51024	0	0	0	0.48976
V150	0	0.01262	0	0.98738	0	0
V151	0	0.40923	0	0	0	0.59077
V152	0.05878	0.2595	0.53004	0.03341	0.10043	0.01784
V153	0	0.0505	0.68968	0.25982	0	0
V154	0.43132	0.22034	0	0	0	0.34834
V155	0.06214	0.40695	0.05968	0.00248	0.46404	0.00471
V156	0	0.51394	0	0.00039	0.48567	0
V157	0	0.09928	0	0.32174	0	0.57898
V158	0	0.07712	0.92288	0	0	0
V159	0.14857	0.2654	0.38587	0.20016	0	0
V160	0.00605	0.02502	0.93973	0	0	0.02919
V161	0	0.51836	0	0.43621	0.04543	0
V162	0	0.61517	0	0.1767	0.20813	0
V163	0	0.03275	0.96725	0	0	0
V164	0	0.36938	0.45478	0.13524	0.04059	0
V165	0.02197	0.03614	0	0.03662	0.83294	0.07233
V166	0	0.00584	0	0.18811	0.47284	0.33321
V167	0	0.01884	0.44154	0.53962	0	0
V168	0.69919	0.08514	0	0.21568	0	0
V169	0	0.03866	0.76488	0.19646	0	0
V170	0.47112	0.09496	0.06233	0.33163	0.03996	0
V171	0.04657	0.50152	0	0	0	0.45191
V172	0.04767	0.09471	0.61977	0.1662	0	0.07164
V173	0	0.03352	0.87285	0	0	0.09363
V174	0.6707	0.1605	0	0	0.1688	0
V175	0.05382	0.76155	0.15335	0.01891	0.01238	0
V176	0	0.01923	0.98077	0	0	0
V177	0.09477	0.10455	0.3817	0.01542	0.15047	0.25309
V178	0.00471	0.06446	0	0.01691	0.91393	0
V179	0	0.00956	0	0.78488	0.0688	0.13677
V180	0.27494	0.04788	0.17251	0.43356	0	0.07111
V181	0.64334	0.15811	0.02937	0.06016	0.03734	0.07168
V182	0	0.10835	0.86019	0.03147	0	0
V183	0	0.01493	0	0.98507	0	0
V184	0.44907	0.44165	0	0.0154	0.09388	0
