Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.15679	0	0.84321	0	0	0
V2	0.75773	0.1609	0.05855	0	0.02282	0
V3	0.18483	0.0491	0.17701	0	0	0.58907
V4	0.28183	0.62993	0.0021	0.0272	0.05895	0
V5	0	0.07824	0	0.81214	0.10962	0
V6	0.30653	0.02513	0.22829	0	0.08554	0.35451
V7	0	0.50602	0.00016	0	0.49382	0
V8	0.91457	0.08396	0.00146	0	0	0
V9	0.39139	0.26296	0	0.25262	0	0.09303
V10	0.56015	0.10036	0.04219	0.2973	0	0
V11	0	1	0	0	0	0
V12	0.05655	0.01291	0.01381	0	0	0.91674
V13	0.01129	0.69202	0.29669	0	0	0
V14	0	0.09623	0	0.90377	0	0
V15	0.65845	0.1192	0.04555	0.04232	0.13448	0
V16	0.08995	0.07043	0.03048	0.53795	0.2712	0
V17	0.09822	0.01921	0.10794	0	0	0.77462
V18	0.82143	0.17857	0	0	0	0
V19	0.76258	0.05806	0.17936	0	0	0
V20	0.81974	0.0959	0.08436	0	0	0
V21	0.09411	0.03126	0.00424	0	0	0.87039
V22	0.26023	0.07726	0.05305	0.04613	0.56333	0
V23	0.10591	0	0.43882	0	0.45527	0
V24	0.21622	0.03264	0.04367	0.12537	0.5821	0
V25	0.58074	0.37438	0	0.04488	0	0
V26	0.37745	0.02633	0.05521	0	0.54102	0
V27	0.0501	0	0.16014	0	0	0.78977
V28	0.16525	0.36652	0.18976	0.24385	0	0.03462
V29	0.06021	0.85533	0.08361	0.00086	0	0
V30	0.41846	0.2583	0.17202	0	0.14058	0.01064
V31	0.8433	0.03599	0.1207	0	0	0
V32	0	0.06703	0.32564	0.60732	0	0
V33	0.2907	0.51612	0.19318	0	0	0
V34	0.03244	0	0.64074	0	0.32683	0
V35	0	0.10289	0.21183	0.68529	0	0
V36	0.05678	0.65189	0.14046	0	0.15087	0
V37	0.17167	0	0.82833	0	0	0
V38	0.04722	0	0.10022	0	0	0.85256
V39	0.72276	0.10127	0	0.17597	0	0
V40	0.03732	0.71164	0	0.1676	0.08344	0
V41	0.93966	0.06034	0	0	0	0
V42	0.42241	0.00469	0.5729	0	0	0
V43	0.25232	0.53976	0.00972	0	0.1982	0
V44	0	1	0	0	0	0
V45	0.58542	0.41458	0	0	0	0
V46	0.07865	0.05358	0.03865	0.35891	0.29761	0.1726
V47	0.03382	0.57955	0	0.16252	0.22411	0
V48	0	0.79453	0.20547	0	0	0
V49	0	1	0	0	0	0
V50	0.07175	0	0.37462	0	0.55362	0
V51	0	0	0.06095	0.01655	0.9225	0
V52	0	0.71933	0.28067	0	0	0
V53	0.20492	0.00197	0.15696	0.00163	0.63451	0
V54	0.15974	0.12556	0.71283	0	0.00187	0
V55	0.00295	0.02996	0.19144	0.02628	0.74937	0
V56	0.03818	0.01643	0.8918	0.05359	0	0
V57	0.23973	0.47099	0.05429	0	0.06314	0.17185
V58	0.0761	0	0.9239	0	0	0
V59	0	0.06667	0	0.93333	0	0
V60	0.5505	0.09741	0	0.35209	0	0
V61	0.44956	0.19433	0.0297	0.12755	0.00633	0.19253
V62	0.74225	0.07493	0.14056	0.03076	0.0115	0
V63	0.09353	0.7143	0	0.02017	0	0.172
V64	0	0.10384	0.05497	0	0.84119	0
V65	0.81172	0.17701	0.01128	0	0	0
V66	0.62037	0.05282	0.18852	0	0.13829	0
V67	0.11174	0.21839	0.35902	0.23781	0	0.07304
V68	0.94167	0.05833	0	0	0	0
V69	0.74777	0.07248	0	0	0	0.17975
V70	0	0.05844	0.20555	0.73601	0	0
V71	0.12495	0.34441	0.06543	0.10527	0.35994	0
V72	0.77068	0.15522	0.0741	0	0	0
V73	0	0.06703	0.01409	0.91887	0	0
V74	0	0.19692	0	0.80308	0	0
V75	0	1	0	0	0	0
V76	0.05802	0	0.86965	0	0.07233	0
V77	0.07502	0.23916	0.05771	0.62811	0	0
V78	0.72545	0.18342	0.07692	0.01421	0	0
V79	0.02941	0.71305	0	0	0	0.25754
V80	0.05708	0.75713	0	0	0	0.18579
V81	0.84969	0.13506	0.01525	0	0	0
V82	0	0.98091	0	0	0.01909	0
V83	0.162	0.23548	0.03824	0.50031	0.06398	0
V84	0.39383	0.09026	0.07117	0.44474	0	0
V85	0.95044	0.04066	0.00891	0	0	0
V86	0.36538	0.09014	0.13091	0.29284	0	0.12073
V87	0	0.05686	0	0.94314	0	0
V88	0.05992	0.1147	0	0.63849	0	0.18689
V89	0.15414	0.18034	0.46829	0	0	0.19722
V90	0.03084	0.84127	0.12789	0	0	0
V91	0.04664	0.01451	0.10328	0.13328	0.70228	0
V92	0.00889	0.06677	0.07136	0.00513	0.84784	0
V93	0.28893	0.10046	0.03347	0.06032	0.25156	0.26527
V94	0	0.03649	0.17359	0.78991	0	0
V95	0.00379	0.00168	0.40882	0.132	0.4537	0
V96	0.14785	0.49463	0.03286	0.01279	0.31187	0
V97	0	0	0.06288	0.09068	0.84644	0
V98	0	0.13129	0	0.86871	0	0
V99	0	0.04752	0	0.95248	0	0
V100	0.03932	0.01883	0.59693	0.31927	0.02565	0
V101	0.00064	0.43764	0.52397	0.03775	0	0
V102	0.92433	0.04774	0.02793	0	0	0
V103	0.80782	0.08568	0.0503	0.0562	0	0
V104	0	0.05057	0.15885	0.79058	0	0
V105	0.03587	0	0.03545	0	0	0.92868
V106	0.13431	0	0.6579	0	0	0.20779
V107	0.02949	0.794	0.17651	0	0	0
V108	0.07726	0.03419	0.05119	0	0.18801	0.64935
V109	0.05752	0	0.01471	0	0.16363	0.76414
V110	0.102	0.14417	0.75383	0	0	0
V111	0.03509	0	0.96491	0	0	0
V112	0	0.41657	0	0.58343	0	0
V113	0.07352	0.07161	0.78116	0	0.0737	0
V114	0.21486	0	0.73042	0.05472	0	0
V115	0.66376	0.11031	0.06203	0	0.04469	0.1192
V116	0.94004	0.05996	0	0	0	0
V117	0.66297	0.06579	0.04697	0.01854	0.20573	0
V118	0	0.86596	0.10225	0	0.03179	0
V119	0	1	0	0	0	0
