Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0	0	1	0	0	0
V2	0.92881	0.02045	0	0.00334	0.0474	0
V3	0	0	0.1834	0	0	0.8166
V4	0.22821	0.66911	0	0.02905	0.0087	0.06493
V5	0	0	0	0.70562	0.29438	0
V6	0.04771	0	0.1867	0	0.08004	0.68555
V7	0	0.4118	0	0	0.5882	0
V8	1	0	0	0	0	0
V9	0.27655	0.10936	0	0.30386	0	0.31023
V10	0.65403	0	0	0.34597	0	0
V11	0	1	0	0	0	0
V12	0	0	0	0	0	1
V13	0	0.65929	0.34071	0	0	0
V14	0	0	0	1	0	0
V15	0.77657	0	0	0.02861	0.19482	0
V16	0	0	0	0.48174	0.44153	0.07673
V17	0	0	0.06637	0	0	0.93363
V18	0.9988	0.0012	0	0	0	0
V19	0.86505	0	0.13495	0	0	0
V20	0.98084	0	0.01916	0	0	0
V21	0	0	0	0	0	1
V22	0.18005	0	0	0	0.81995	0
V23	0	0	0.37125	0	0.62875	0
V24	0.10021	0	0	0.04047	0.85931	0
V25	0.67758	0.26642	0	0.056	0	0
V26	0.27994	0	0	0	0.72006	0
V27	0	0	0.09995	0	0	0.90005
V28	0	0.31231	0.19108	0.28549	0	0.21112
V29	0	0.89574	0.02103	0	0	0.08323
V30	0.22911	0.20216	0.06963	0	0.23495	0.26415
V31	0.88756	0	0.11244	0	0	0
V32	0	0	0.42063	0.57937	0	0
V33	0.24218	0.51089	0.24693	0	0	0
V34	0	0	0.56745	0	0.43255	0
V35	0	0	0.23741	0.67403	0.08856	0
V36	0	0.70962	0.08031	0	0.21007	0
V37	0	0	0.97359	0	0	0.02641
V38	0	0	0.04301	0	0	0.95699
V39	0.79322	0	0	0.20678	0	0
V40	0	0.75173	0	0.16216	0.03848	0.04763
V41	0.86542	0	0	0	0	0.13458
V42	0.26678	0	0.72835	0	0	0.00487
V43	0.19595	0.54896	0	0	0.25509	0
V44	0	1	0	0	0	0
V45	0.57234	0.33699	0	0	0	0.09067
V46	0	0	0	0.28408	0.42001	0.29591
V47	0	0.58095	0	0.13739	0.28166	0
V48	0	0.81889	0.18111	0	0	0
V49	0	1	0	0	0	0
V50	0	0	0.27661	0	0.72339	0
V51	0	0	0	0	1	0
V52	0	0.7149	0.2851	0	0	0
V53	0.08254	0	0.05387	0	0.86359	0
V54	0	0.08624	0.87849	0	0.03523	5e-05
V55	0	0	0.07473	0	0.92527	0
V56	0	0	0.95852	0.039	0.00248	0
V57	0	0.49899	0	0	0.03189	0.46911
V58	0	0	1	0	0	0
V59	0	0	0	1	0	0
V60	0.60389	0	0	0.39611	0	0
V61	0.3445	0.05194	0	0.12712	0	0.47643
V62	0.84814	0	0.02445	0.03771	0.01474	0.07497
V63	0	0.66372	0	0	0	0.33628
V64	0	0	0	0	1	0
V65	0.75284	0.02482	0	0	0	0.22234
V66	0.66889	0	0.06215	0	0.26897	0
V67	0	0.07544	0.45935	0.26738	0	0.19783
V68	1	0	0	0	0	0
V69	0.59924	0	0	0	0	0.40076
V70	0	0	0.2825	0.70734	0.01016	0
V71	0	0.28144	0	0.03731	0.52631	0.15495
V72	0.95167	0.03843	0.00834	0	0	0.00155
V73	0	0	0.10703	0.89297	0	0
V74	0	0.05066	0	0.94934	0	0
V75	0	1	0	0	0	0
V76	0	0	0.83634	0	0.16366	0
V77	0	0.09545	0.11953	0.78502	0	0
V78	0.81218	0.03915	0	0.04598	0	0.10269
V79	0	0.60402	0	0	0	0.39598
V80	0	0.66857	0	0	0	0.33143
V81	1	0	0	0	0	0
V82	0	1	0	0	0	0
V83	0.0774	0.13563	0	0.59659	0.15328	0.03709
V84	0.42655	0	0.06479	0.50866	0	0
V85	1	0	0	0	0	0
V86	0.19875	0	0.12893	0.34937	0	0.32295
V87	0	0	0	1	0	0
V88	0	0	0	0.69041	0	0.30959
V89	0	0.05487	0.6169	0	0	0.32823
V90	0	0.9134	0.0866	0	0	0
V91	0	0	0	0.02697	0.97303	0
V92	0	0	0	0	1	0
V93	0.07798	0	0	0.00601	0.33514	0.58087
V94	0	0	0.29264	0.70736	0	0
V95	0	0	0.35345	0.01954	0.62701	0
V96	0	0.46121	0	0	0.37832	0.16048
V97	0	0	0	0	1	0
V98	0	0	0	0.94049	0.05951	0
V99	0	0	0	1	0	0
V100	0	0	0.62756	0.24141	0.13104	0
V101	0	0.38645	0.60912	0.00442	0	0
V102	0.99364	0	0.00636	0	0	0
V103	0.92301	0	0	0.07699	0	0
V104	0	0	0.25663	0.74337	0	0
V105	0	0	0	0	0	1
V106	0	0	0.74443	0	0	0.25557
V107	0	0.77644	0.22356	0	0	0
V108	0	0	0	0	0.11619	0.88381
V109	0	0	0	0	0.05234	0.94766
V110	0	0.07797	0.92203	0	0	0
V111	0	0	1	0	0	0
V112	0	0.27373	0	0.72627	0	0
V113	0	0.00311	0.84925	0	0.14764	0
V114	0.05643	0	0.86954	0.07403	0	0
V115	0.56396	0	0	0	0.04329	0.39274
V116	1	0	0	0	0	0
V117	0.7192	0	0	0	0.2808	0
V118	0	0.94425	0.05575	0	0	0
V119	0	1	0	0	0	0
V120	0	0.21329	0.12091	0.61935	0.04644	0
V121	0.22155	0	0	0.25888	0	0.51957
V122	0.29287	0	0	0.70713	0	0
V123	0.28036	0	0	0	0.04999	0.66965
V124	0	0	0.28811	0	0.71189	0
V125	0	0.08013	0.91987	0	0	0
V126	0	0.16895	0	0	0	0.83105
V127	0	0	0.99038	0.00962	0	0
V128	0.49995	0.28106	0.07785	0.14114	0	0
V129	0	0	1	0	0	0
V130	0.73511	0.03672	0	0.22817	0	0
V131	0	0	0	0	0.94223	0.05777
V132	0	0.52334	0.47666	0	0	0
V133	0	0.18219	0.80822	0.00958	0	0
V134	0.1506	0.84929	0	0	0.00011	0
V135	0	0	0.97267	0	0	0.02733
V136	0.00027	0.98692	0.0128	0	0	0
V137	0	0.09462	0.72189	0	0.18348	0
V138	0	0	0	0.50327	0	0.49673
V139	0	0	0.11702	0	0.55718	0.32581
V140	0.82916	0.17084	0	0	0	0
V141	0.28731	0.29282	0.11147	0.3084	0	0
V142	0.0148	0.95557	0	0	0	0.02963
V143	0	0	0.89465	0	0.10535	0
V144	0	0.07544	0	0.01541	0	0.90914
V145	0	0	0	1	0	0
V146	0.0258	0	0.02682	0	0.93836	0.00903
V147	0.60114	0	0.05398	0	0	0.34487
V148	0	0.08084	0.91916	0	0	0
V149	0	0.51325	0	0	0	0.48675
V150	0	0	0	1	0	0
V151	0	0.38181	0	0	0	0.61819
V152	0	0.25015	0.63824	0	0.11161	0
V153	0	0	0.79393	0.20607	0	0
V154	0.43849	0.13223	0	0	0	0.42928
V155	0	0.42498	0.0178	0	0.55723	0
V156	0	0.49507	0	0	0.50493	0
V157	0	0	0	0.29353	0	0.70647
V158	0	0	1	0	0	0
V159	0.08795	0.26802	0.47877	0.16526	0	0
V160	0	0	1	0	0	0
V161	0	0.58649	0	0.41258	0.00093	0
V162	0	0.69697	0	0.08988	0.21315	0
V163	0	0	1	0	0	0
V164	0	0.4166	0.51198	0.05487	0.01655	0
V165	0	0	0	0	0.9816	0.0184
V166	0	0	0	0.0495	0.59728	0.35323
V167	0	0	0.4964	0.5036	0	0
V168	0.84756	0	0	0.15244	0	0
V169	0	0	0.86803	0.13197	0	0
V170	0.61414	0	0.07318	0.31268	0	0
V171	0	0.52519	0	0	0	0.47481
V172	0	0	0.81849	0.14647	0	0.03504
V173	0	0	0.98909	0	0	0.01091
V174	0.84754	0	0	0	0.15246	0
V175	0	0.9096	0.0904	0	0	0
V176	0	0	1	0	0	0
V177	0	0	0.48799	0	0.17999	0.33202
V178	0	0	0	0	1	0
V179	0	0	0.01498	0.83236	0.04314	0.10952
V180	0.25423	0	0.22254	0.47601	0	0.04722
V181	0.83023	0.05226	0.00103	0	0	0.11648
V182	0	0.00071	0.99929	0	0	0
V183	0	0	0	1	0	0
V184	0.50443	0.45562	0	0	0.03995	0
V185	0	0.7462	0	0	0.0535	0.2003
V186	0	0	0.72418	0.27582	0	0
V187	0.32128	0.5965	0	0	0.08222	0
V188	0	0.71953	0	0	0	0.28047
V189	0	0	0.17902	0	0.76708	0.0539
V190	0	0.08198	0	0	0.8047	0.11332
V191	0	0.66495	0	0	0	0.33505
V192	0.78107	0.19363	0.0253	0	0	0
V193	0	0	0	0	0	1
V194	0	0	0	0.02787	0.97213	0
V195	0	0	0.87965	0.00257	0.11778	0
V196	0	0	0.01494	0.98506	0	0
V197	0.14116	0	0	0	0.85884	0
V198	0.03466	0.539	0	0.15005	0.27629	0
V199	0	0.20022	0.0754	0.0371	0.68727	0
V200	0	0	0.80188	0.19765	0	0.00047
V201	0	0	0	1	0	0
V202	0	0	0.63712	0	0.10612	0.25676
V203	0.69701	0	0	0.30299	0	0
V204	0	0	0	0.07355	0	0.92645
V205	0	0	1	0	0	0
V206	0	0	0.12005	0.87995	0	0
V207	0.5662	0.15661	0	0.26864	0	0.00856
V208	0.51525	0.00061	0.48413	0	0	0
V209	0.22422	0.58681	0	0	0	0.18897
V210	0	0	1	0	0	0
