CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.07239	0.03068	0.22335	0.0959	0.51868	0.05899
V96	0.13497	0.26913	0.03653	0.05201	0.37153	0.13583
V97	0.07416	0.04052	0.02988	0.07212	0.72354	0.05978
V98	0.10297	0.07766	0.00988	0.47293	0.2768	0.05976
V99	0.08914	0.04105	0.00763	0.57166	0.23283	0.05768
V100	0.08251	0.02466	0.32621	0.18794	0.29716	0.08152
V101	0.10128	0.24927	0.31437	0.07859	0.18568	0.07081
V102	0.48429	0.06428	0.1125	0.04813	0.17844	0.11236
V103	0.41617	0.06563	0.04812	0.13716	0.21909	0.11383
V104	0.09886	0.02415	0.15642	0.43232	0.22276	0.06548
V105	0.22063	0.05286	0.08797	0.04876	0.18065	0.40913
V106	0.12784	0.02456	0.42166	0.0273	0.18931	0.20933
V107	0.15178	0.40437	0.17791	0.02083	0.17546	0.06964
V108	0.18425	0.06625	0.05536	0.04684	0.32087	0.32643
V109	0.19251	0.05627	0.04107	0.04425	0.30792	0.35798
V110	0.1094	0.11758	0.48208	0.01889	0.18955	0.0825
V111	0.07838	0.0245	0.58934	0.0331	0.20492	0.06975
V112	0.11574	0.23352	0.00844	0.37321	0.20832	0.06078
V113	0.09022	0.07349	0.43883	0.04259	0.28591	0.06896
V114	0.15414	0.01946	0.44816	0.11279	0.19252	0.07294
V115	0.32103	0.09027	0.04836	0.0565	0.26798	0.21586
V116	0.50637	0.0619	0.05653	0.07753	0.18169	0.11598
V117	0.35701	0.05576	0.03457	0.09377	0.36473	0.09416
V118	0.12977	0.42672	0.0998	0.0414	0.2241	0.07821
V119	0.13967	0.49242	0.04887	0.04992	0.18359	0.08552
V120	0.13963	0.1564	0.0826	0.28312	0.26064	0.0776
V121	0.27483	0.05403	0.03235	0.20816	0.18585	0.24478
V122	0.24069	0.05146	0.01857	0.38628	0.2311	0.07189
V123	0.28507	0.059	0.03589	0.07086	0.27672	0.27246
V124	0.07664	0.0266	0.21372	0.03392	0.58473	0.06439
