CD56NK	CD4MemoryT	CD19B	CD14
V1	0.55	0	0.13663	0.31336
V2	0.1295	0.0428	0.03082	0.79688
V3	0.05567	0.55336	0.00567	0.38529
V4	0.89773	0.07785	0	0.02442
V5	0.11695	0.43256	0.23888	0.21161
V6	0.08682	0.87122	0.01503	0.02693
V7	0.14046	0.28653	0.06214	0.51087
V8	0.14712	0	0.81061	0.04227
V9	0.22769	0.16734	0.02267	0.5823
V10	0.01622	0	0.91435	0.06943
V11	0.24444	0.32251	0.42772	0.00533
V12	0.02865	0.58421	0.37119	0.01595
V13	0.30385	0.6677	0.00268	0.02578
V14	0.07823	0.91147	0.00371	0.00659
V15	0.12715	0.56048	0.10582	0.20655
V16	0.93411	0.01775	0.01441	0.03373
V17	0.09841	0.86639	0.00827	0.02693
V18	0.62736	0.29411	0.03259	0.04594
V19	0.18383	0.79724	0.00274	0.01619
V20	0.16602	0.38843	0.01087	0.43468
V21	0.14759	0.02071	0.78985	0.04185
V22	0.01285	0.04568	0.1599	0.78157
V23	0.43499	0.01213	0.54661	0.00627
V24	0.96519	0.01061	0.02386	0.00034
V25	0.35743	0.1731	0.10604	0.36343
V26	0.41607	0.32141	0.0116	0.25092
V27	0.08031	0.02074	0.00755	0.8914
V28	0.00194	0.01418	0.98331	0.00057
V29	0.49185	0.00372	0.46703	0.03741
V30	0.0962	0.14964	0.2411	0.51306
V31	0.21044	0.13245	0.26463	0.39249
V32	0.06086	0.00316	0.01531	0.92067
V33	0.04683	0.46882	0.35278	0.13157
V34	0.14654	0.00754	0.8041	0.04181
V35	0.18572	0.7066	0.06932	0.03836
V36	0.0051	0.00871	0.41613	0.57006
V37	0.54827	0.03371	0.07337	0.34465
V38	0.41233	0	0.13475	0.45292
V39	0.18072	0.52533	0.11467	0.17928
V40	0.11445	0.81838	0.06717	0
V41	0.00898	0.61943	0.03185	0.33974
V42	0.20949	0.00468	0.16573	0.62009
V43	0.14949	0.30429	0.50589	0.04033
V44	0.01383	0.03488	0.72731	0.22398
V45	0.10781	0.56831	0.2084	0.11548
V46	0.85068	0.04001	0.10376	0.00555
V47	0.50894	0.13684	0.29473	0.05948
V48	0.84534	0.12746	0.0034	0.02381
V49	0.7644	0.13966	0	0.09594
V50	0.07619	0.84319	0.07498	0.00563
V51	0.35992	0.36005	0.24231	0.03773
V52	0.02634	0.06651	0.86369	0.04347
V53	0.78312	0.08375	0.13312	0
V54	0.48532	0.14192	0.34684	0.02592
V55	0.21198	0.07369	0.20466	0.50966
V56	0.03249	0	0.05576	0.91175
V57	0.11162	0.85712	0.01524	0.01602
V58	0.62033	0	0.02826	0.35141
V59	0.48643	0.3621	0.09295	0.05852
V60	0.12943	0.09508	0.29048	0.48501
