Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V1	0.0728	0.0267	0.90051	0	0	0
V2	0.83059	0.16681	0	0.0026	0	0
V3	0.08408	0.05248	0.15786	0	0	0.70557
V4	0.27602	0.6567	0	0.06064	0.00664	0
V5	0	0.08014	0	0.8432	0.07666	0
V6	0.27029	0.03332	0.18073	0	0.04573	0.46994
V7	0	0.53895	0	0	0.46105	0
V8	0.91788	0.08212	0	0	0	0
V9	0.34761	0.25179	0	0.24912	0	0.15148
V10	0.6072	0.09755	0	0.29525	0	0
V11	0	1	0	0	0	0
V12	0	0	0	0	0	1
V13	0	0.68785	0.31215	0	0	0
V14	0	0.07177	0	0.92823	0	0
V15	0.73409	0.12887	0	0.07753	0.05952	0
V16	0.04816	0.09248	0	0.58766	0.2582	0.01349
V17	0	0.01275	0.08176	0	0	0.90549
V18	0.83699	0.16301	0	0	0	0
V19	0.84643	0.06995	0.08363	0	0	0
V20	0.90046	0.09954	0	0	0	0
V21	0	0.01776	0	0	0	0.98224
V22	0.26668	0.12205	0	0.05213	0.55913	0
V23	0.08842	0.05604	0.37237	0	0.48317	0
V24	0.20654	0.07948	0	0.13055	0.58343	0
V25	0.59654	0.37544	0	0.02801	0	0
V26	0.40764	0.06876	0	0	0.52359	0
V27	0	0	0.12245	0	0	0.87755
V28	0.07007	0.37888	0.16652	0.25894	0	0.12559
V29	0	0.88828	0.09811	0	0	0.01361
V30	0.37771	0.27731	0.09829	0	0.13715	0.10954
V31	0.91316	0.04046	0.04638	0	0	0
V32	0	0.0643	0.32334	0.61236	0	0
V33	0.26306	0.53214	0.2048	0	0	0
V34	0	0.03176	0.6549	0	0.31334	0
V35	0	0.11467	0.14518	0.74015	0	0
V36	0.01684	0.71452	0.11924	0	0.1494	0
V37	0.06778	0.02711	0.90511	0	0	0
V38	0	0	0.06023	0	0	0.93977
V39	0.74952	0.09819	0	0.15229	0	0
V40	0	0.74783	0	0.19846	0.05371	0
V41	0.95814	0.04186	0	0	0	0
V42	0.38809	0.03794	0.57397	0	0	0
V43	0.24704	0.57897	0	0	0.17399	0
V44	0	1	0	0	0	0
V45	0.59281	0.40719	0	0	0	0
V46	0.00217	0.07205	0	0.39367	0.27795	0.25415
V47	0	0.617	0	0.18527	0.19773	0
V48	0	0.80829	0.19171	0	0	0
V49	0	1	0	0	0	0
V50	0.04329	0.04588	0.29285	0	0.61798	0
V51	0	0.03042	0	0	0.96958	0
V52	0	0.7217	0.2783	0	0	0
V53	0.2324	0.05618	0	0.00897	0.70245	0
