Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V68	0.04152	0	0.0079	0.01147	0.0386	0	0.00343	0.39875	0.49833	0
V69	0.06172	0	0.91761	0	0.00698	0	0	0	0.01368	0
V70	0.77663	0.00123	0.05246	0	0	0.03603	0.02227	0.01561	0.09577	0
V71	0.0279	0	0	0.0261	0.00358	0	0	0.92857	0	0.01384
V72	0.21896	0	0.04464	0.29383	0.26848	0	0.00495	0.0124	0	0.15674
V73	0.02464	0	0.04798	0	0.90506	0.01289	0.00218	0.00725	0	0
V74	0.00108	0.00368	0.07862	0.23147	0.13504	0.03523	0.00342	0.01244	0	0.49903
V75	0.01461	0.05389	0.16712	0.46816	0.0492	0.00838	0.01778	0.00984	0.21101	0
V76	0	0	0	0.00916	0.00021	0.86772	0.08135	0.01187	0.02569	0.00401
V77	0	0.02128	0.0169	0.34851	0	0.33696	0.23905	0.00739	0.02228	0.00763
V78	0.00874	0.41148	0.06196	0	0.20254	0.05088	0.21442	0	0	0.04998
V79	0.0118	0.01314	0.03334	0.30912	0.02262	0.26195	0.04018	0.00213	0.28904	0.01667
V80	0.44074	0.00168	0.01861	0	0.10198	0.00033	0.01709	0.0043	0.05807	0.3572
V81	0	0	0.01394	0.16749	0.17792	0.5788	0.05303	0.00601	0.0016	0.0012
V82	0.05555	0.37792	0.03754	0.26271	0.17118	0.007	0.00307	0.08504	0	0
V83	0.02193	0.03331	0.04796	0.49391	0.03786	0.00054	0.01354	0.35095	0	0
V84	0.01886	0.00432	0.02007	0.03031	0.11721	0.60035	0.18647	0.00901	0.01001	0.0034
V85	0.22157	0	0.52085	0	0.05034	0	0	0	0	0.20724
V86	0.28628	0.00093	0.3099	0.36791	0	0.0101	0.01185	0.00321	0.00764	0.00218
V87	0.03933	0.01278	0.02082	0.01764	0.07908	0	0.00978	0	0.82058	0
V88	0.00288	0.25929	0.05516	0.55259	0.11013	0	0.01994	0	0	0
V89	0	0.0593	0.01919	0.0347	0	0.13164	0.56183	0.1597	0.0303	0.00334
V90	0.02097	0.04843	0.47932	0	0.11382	0.01536	0	0	0	0.3221
V91	0.06986	0	0.88693	0	0.01202	0	0	0.00932	0.01943	0.00244
V92	0	0.07827	0.01841	0	0	0.1568	0.62213	0.0111	0.11018	0.0031
V93	0.03299	0.04539	0.07924	0	0.03799	0.03128	0.15969	0.02471	0.58873	0
V94	0.88996	0	0	0	0	0.03298	0.01031	0.06128	0	0.00546
V95	0.00548	0.04369	0.01018	0.0028	0.00051	0.08405	0.36003	0.46844	0.02129	0.00352
V96	0.02673	0.0881	0.36203	0.39756	0.04087	0.01611	0.01344	0.02244	0.03013	0.0026
V97	0	0.07128	0.02428	0	0	0.14183	0.6094	0.01119	0.0476	0.09443
V98	0.01469	0.19123	0.03619	0.05145	0.31837	0.0131	0.02411	0.1335	0.14382	0.07353
V99	0.59333	0.00075	0	0	0.01432	0.00927	0.05276	0.01422	0.31435	0.00099
V100	0.18533	0.00298	0.02379	0.22722	0.03571	0.3237	0.04328	0.00434	0.14278	0.01088
V101	0	0.01847	0.04759	0	0.13029	0.11173	0.11689	0.06403	0	0.51099
V102	0.04362	0.15854	0.0084	0	0.16343	0.33478	0.10883	0.16972	0	0.01267
V103	0.09739	0.00525	0.01792	0.01537	0.04176	0	0.00917	0.00899	0.80416	0
V104	0.07146	0	0.88234	0	0	0	0	0	0.04621	0
V105	0.3014	0	0.07202	0	0	0.12337	0.00416	0.49904	0	0
V106	0.03351	0.50194	0.22951	0	0.22548	0.00944	0	0	0	0.00011
V107	0.26234	0.12602	0.02106	0	0.39934	0.01073	0.00397	0.05523	0.12131	0
V108	0	0	0.03007	0.17035	0.06654	0.42293	0.03588	0.03847	0.00439	0.23138
V109	0	0.01109	0	0.0162	0.01632	0.83142	0.08127	0.01072	0.02922	0.00375
V110	0.00575	0	0.03963	0	0.85388	0	0	0.10075	0	0
V111	0	0.06985	0.02794	0	0.10139	0.14081	0.60176	0.01076	0.0327	0.01479
V112	0	0.06517	0.03171	0	0.0266	0.11105	0.48664	0.00894	0.09916	0.17073
V113	0.04283	0	0.02406	0.00702	0.05762	0.04725	0.01987	0.0327	0.67877	0.08989
V114	0.05028	0.00614	0.029	0.00962	0.04397	0	0.00988	0.00863	0.84248	0
V115	0.01669	0.6506	0.03269	0	0.29269	0	0.00604	0	0	0.00129
V116	0.38631	0.04553	0	0	0.02033	0.00149	0	0.54635	0	0
V117	0.00816	0.07478	0.0181	0	0	0.15983	0.67751	0.01256	0.04563	0.00344
V118	0.01704	0	0	0.0066	0	0.84866	0.08235	0.02251	0.01991	0.00293
V119	0	0.02105	0.03615	0.58315	0.01673	0.18844	0.05039	0.00194	0.10215	0
V120	0.69432	0	0.20267	0	0	0.09676	0.00255	0.0037	0	0
V121	0.05031	0.09679	0.29844	0	0.05161	0.18434	0.23811	0.02844	0.01417	0.03779
V122	0.0365	0.01979	0.12644	0	0.039	0.0683	0.09442	0.00053	0.61341	0.00162
V123	0.01949	0	0.01574	0.00863	0.38943	0	0	0.56671	0	0
V124	0.66174	0.02282	0	0	0	0	0	0.31544	0	0
V125	0.01488	0.0936	0.08639	0.01803	0.05686	0.10237	0.01308	0.6148	0	0
V126	0.00937	0.03403	0.04205	0	0.8351	0	0	0.07945	0	0
V127	0.04312	0.01369	0.61965	0	0	0.0318	0.15031	0	0.13768	0.00373
V128	0.0286	0.09883	0.43827	0	0.38762	0.0415	0	0.00517	0	0
V129	0.03577	0.04153	0.06215	0.22515	0.13219	0.00509	0.01316	0	0.47847	0.00648
V130	0.03421	0	0.41246	0	0	0	0	0.55333	0	0
V131	0.05343	0.2962	0.4783	0.01636	0.13275	0.00307	0.00383	0	0.01606	0
V132	0.11146	0.04773	0.01812	0	0.05789	0.11115	0.47917	0.15632	0.01439	0.00377
V133	0.00776	0.01394	0.00275	0.1844	0.00952	0.10735	0.04561	0.62867	0	0
V134	0.01986	0.028	0.28084	0.01566	0.3541	0.02316	0.11829	0.01368	0.00477	0.14164
V135	0.04101	0.12627	0.1679	0	0.09099	0	0.01333	0	0.5605	0
V136	0.00638	0.45292	0.0409	0.15961	0.24179	0	0	0	0	0.0984
V137	0.00135	0.04056	0.02479	0.0055	0.01684	0.44383	0.35706	0.01014	0.0954	0.00453
V138	0.01027	0.07339	0.04422	0	0.06804	0.09647	0.42708	0.00767	0.06638	0.20648
V139	0.60501	0	0	0	0.08685	0.08027	0.00578	0.00347	0.21862	0
V140	0.03177	0.00295	0.33197	0.48976	0.0401	0.05477	0.02488	0.0015	0.01264	0.00967
V141	0.00398	0.01372	0.03942	0.82157	0.01974	0.03068	0.02879	0.00026	0.01804	0.0238
V142	0	0.05282	0.03907	0.26715	0	0.11053	0.47282	0.00881	0.0315	0.01731
V143	0.01616	0.61846	0.03045	0.04823	0.2867	0	0	0	0	0
V144	0	0.03316	0.00926	0.00807	0	0.472	0.40613	0.03841	0.02968	0.00327
V145	0.03	0.06298	0.03264	0.53649	0.03358	0.02353	0.0174	0.25729	0.00609	0
V146	0.0285	0	0.52525	0	0.0481	0.01524	0.02089	0.18397	0.00182	0.17622
V147	0.02879	0	0.03476	0.01062	0.21511	0	0.00388	0.03135	0.55619	0.1193
V148	0.04781	0.0143	0.01678	0.00881	0.03981	0.04342	0.03191	0	0.79715	0
V149	0.00492	0.01359	0.02987	0.61036	0.01164	0.00178	0.02085	0.14327	0.16214	0.00157
V150	0.06887	0	0.06173	0	0.30311	0.00165	0	0.01274	0.0183	0.53359
V151	0.00377	0.00072	0.0976	0	0.18518	0.07757	0	0.00231	0	0.63286
V152	0.01222	0	4e-04	0.01834	0.02622	0	0	0.87456	0	0.06825
V153	0.00579	0	0.03684	0	0.82222	0	0	0.13515	0	0
V154	0.08505	0.00358	0.62727	0.24058	0	0.01785	0.00955	0.00215	0.01397	0
V155	0.05358	0	0	0.01047	0.00334	0.07551	0.0063	0.64749	0.20016	0.00315
V156	0.1107	0.00863	0.17317	0	0.00844	0.47636	0.05164	0.06283	0.10231	0.00592
V157	0.00899	0.30635	0.03694	0.03742	0.37314	0.21682	0.01584	0	0	0.0045
V158	0.27781	0.41894	0.01233	0	0.24505	0	0	0.04586	0	0
V159	0.03242	0.00562	0.29419	0.00122	0.42093	0.0176	0.00245	0.13373	0	0.09184
V160	0.03391	0.65096	0.02216	0	0.29296	0	0	0	0	0
V161	0	0.01527	0.03601	0.84866	0.01501	0.01411	0.02889	0	0.03901	0.00304
V162	0	0.00413	0.09232	0	0.21699	0	0	0.00136	0	0.68519
V163	0.13736	0	0.80468	0	0	0.01147	0	0.0326	0.00552	0.00837
V164	0.05934	0	0.89581	0	0	0.01552	0.00682	0	0.02053	0.00199
V165	0.01602	0	0.39416	0	0.1423	0	0	0.02085	0	0.42667
V166	0.04022	0.07823	0.03419	0.59855	0.04049	0.01071	0.02828	0.09509	0.05212	0.02211
V167	0.91283	0	0	0	0.00402	0	0	0.00553	0.07763	0
V168	0.05989	0.00072	0	0.00616	0.01173	0.2404	0.02341	0.48029	0.16755	0.00985
V169	0	0	0.05899	0.18717	0.11404	0.19349	0.01556	0.02484	0	0.40592
V170	0.05017	0.00017	0.01962	0.01147	0.03901	0	0.01073	0	0.86882	0
V171	0.01614	0	0.24432	0.04144	0.02412	0.40807	0.05906	0.07569	0.12547	0.00567
V172	0	0.07055	0.02574	0	0	0.2933	0.50689	0.02443	0.07444	0.00465
V173	0.00752	0.04651	0.03748	0	0.05106	0.11274	0.41036	0.00827	0.05567	0.2704
V174	0.00552	0.05	0.25018	0.39177	0.18079	0.02414	0.0172	0.02209	0	0.05831
V175	0.88022	0	0.09216	0	0	0.00235	0.00917	0.0161	0	0
V176	0.16886	0	0	0	0.00183	0.70611	0.05673	0.00833	0.05057	0.00758
V177	0.73926	0	0	0.09159	0.0318	0	0	0.02711	0	0.11025
V178	0.18627	0	0	0.02345	0.06244	0.62852	0.05259	0.00739	0	0.03933
V179	0.15728	0	0.03823	0	0.80449	0	0	0	0	0
V180	0.46571	0.0963	0.00904	0.35813	0.04511	0.00936	0.01404	0.00232	0	0
V181	0.04564	0.11989	0.68551	0	0.08086	0.01517	0.0496	0	0	0.00333
V182	0.01149	0	0.01587	0.03043	0.3291	0.01628	0	0.57091	0.02272	0.00321
V183	0.00751	0.14169	0.0347	0.62521	0.04931	0.02979	0.1039	0.00017	0.00772	0
V184	0.17509	0	0.00178	0.00938	0.02374	0.5877	0.04224	0.05051	0	0.10955
V185	0.6152	0	0	0.18495	0.00316	0.00018	0.00373	0.13298	0.05904	0.00076
V186	0.87139	0.00598	0	0.08744	0.00341	0.00338	0.00983	0.01857	0	0
V187	0.78938	0	0.09148	0	0.00331	0	0.00117	0.01553	0.07069	0.02845
V188	0.07479	0.06671	0.04236	0.05753	0.72685	0	0.00707	0.01838	0	0.0063
V189	0.89742	0	0	0.05171	0	0.01677	0.00062	0.01862	0	0.01486
V190	0.03596	0.00182	0.01794	0.0072	0.10853	0.08056	0.01544	0	0.73254	0
V191	0.01049	0	0.0972	0.37517	0.43611	0.0055	0.03979	0.03414	0	0.0016
V192	0	0	0.07917	0	0.4131	0	0	0.02106	0	0.48667
V193	0.08518	0.01409	0.20606	0.31231	0.14075	0.0194	0.09712	0.1041	0.01734	0.00364
V194	0	0.00134	0	0.01498	0	0.75888	0.17322	0.0234	0.02455	0.00363
V195	0.03427	0.07227	0.0236	0	0.09194	0.24849	0.41854	0.07744	0.02206	0.01138
V196	0.78545	0.00557	0	0.19628	0	0.0017	0.00387	0.00614	0	0.001
V197	0.02648	0.00178	0.01113	0.18607	0.02485	0	0.01404	0.52627	0.20937	0
V198	0.00646	0	0.04846	0	0.63252	0.24352	0.03451	0.00082	0.03369	0
V199	0.01984	0.01841	0.11821	0	0.42164	0.02498	0.09563	0.0013	0	0.3
V200	0.00247	5e-04	0.02982	0	0.49911	0.14896	0.1674	0.14752	0	0.00422
V201	0.23264	0.03293	0.00937	0	0.04075	0.01015	0.06941	0.01149	0.57105	0.0222
V202	0.04651	0.23018	0.5188	0	0.09734	0.0063	0.05099	0.00826	0.04161	0
V203	0.02969	0.05561	0.41724	0.11877	0.04147	0.02124	0.07353	0.00046	0.23232	0.00968
V204	0.01436	0.14415	0.28568	0.2765	0.07165	0.08183	0.01414	0.09463	0.01705	0
V205	0.06553	0.09755	0.02223	0	0.00892	0.12186	0.4441	0.10709	0.12977	0.00295
V206	0.31962	0	0.62355	0	0.02739	0	0	0	0.00089	0.02856
V207	0.02085	0.1117	0.06385	0.07039	0.20238	0	0.00354	0	0.2112	0.31609
V208	0.00304	0	0.01116	0.06215	0.00756	0.74024	0.06736	0.00873	0.0911	0.00867
V209	0.03982	0	0.12405	0	0.83409	0.00205	0	0	0	0
V210	0.05898	0	0.08751	0	0.66051	0.0029	0.00163	0.18104	0	0.00743
V211	0.04947	0.04091	0.69596	0	0.02943	0.01291	0.03957	0.05636	0.0732	0.00219
