mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V112	0.1602	0.08246	0.1058	0.46982	0.18172
V113	0.21417	0.10158	0.10772	0.18014	0.39638
V114	0.47186	0.14381	0.05876	0.21305	0.11253
V115	0.69373	0.09706	0.02262	0.07921	0.10738
V116	0.02282	0.0847	0.01959	0.08911	0.78378
V117	0.04493	0.21676	0.58942	0.11376	0.03512
V118	0.04444	0.04921	0.01431	0.84345	0.0486
V119	0.26145	0.157	0.30549	0.25357	0.02249
V120	0.01256	0.21046	0.59808	0.13729	0.04161
V121	0.19294	0.62377	0.02254	0.07516	0.08558
V122	0.0345	0.36559	0.09487	0.27867	0.22637
V123	0.41052	0.12368	0.07957	0.2235	0.16274
V124	0.19202	0.16376	0.07229	0.25081	0.32112
V125	0.0392	0.4562	0.41889	0.05833	0.02737
V126	0.13862	0.24308	0.20157	0.14956	0.26717
V127	0.22041	0.19018	0.47245	0.09249	0.02447
V128	0.20373	0.65326	0.03112	0.06835	0.04354
V129	0.22388	0.15161	0.23168	0.19833	0.1945
V130	0.03062	0.44948	0.05689	0.28277	0.18023
V131	0.01961	0.09858	0.19646	0.65756	0.02779
V132	0.31	0.08469	0.01467	0.36108	0.22957
V133	0.00827	0.20342	0.44861	0.11533	0.22437
V134	0.0621	0.21995	0.57578	0.06483	0.07734
V135	0.02384	0.25782	0.55297	0.06656	0.09881
V136	0.75148	0.10498	0.02515	0.07991	0.03847
V137	0.70651	0.1189	0.0232	0.09919	0.05221
V138	0.22184	0.19311	0.08718	0.17252	0.32535
V139	0.10872	0.08305	0.14149	0.63261	0.03412
V140	0.03317	0.10598	0.15476	0.06823	0.63786
V141	0.01995	0.31461	0.5044	0.13558	0.02545
V142	0.18066	0.13765	0.27865	0.15725	0.2458
V143	0.02047	0.28069	0.39998	0.17136	0.1275
V144	0.42662	0.24037	0.07518	0.17013	0.0877
V145	0.00494	0.23983	0.66582	0.05961	0.02979
V146	0.03587	0.31805	0.02519	0.35852	0.26237
V147	0.08165	0.22835	0.51069	0.13748	0.04183
V148	0.15556	0.66966	0.03096	0.10036	0.04346
V149	0.01818	0.04883	0.01484	0.84807	0.07007
V150	0.12395	0.29793	0.45659	0.04781	0.07372
V151	0.36752	0.08204	0.02648	0.41299	0.11097
V152	0.02156	0.06879	0.10783	0.71784	0.08397
V153	0.14633	0.2726	0.37255	0.09204	0.11647
V154	0.11547	0.52795	0.04278	0.08887	0.22493
V155	0.03872	0.07874	0.1216	0.72496	0.03598
V156	0.08821	0.16526	0.33279	0.17355	0.2402
V157	0.08674	0.13297	0.15875	0.29256	0.32899
V158	0.16625	0.16032	0.35999	0.08549	0.22795
V159	0.106	0.21126	0.0293	0.59656	0.05688
V160	0.38974	0.21053	0.09707	0.09631	0.20634
V161	0.19774	0.10923	0.07249	0.0683	0.55224
V162	0.0055	0.24674	0.68258	0.04684	0.01834
V163	0.05874	0.08419	0.03255	0.10481	0.71972
V164	0.72235	0.13355	0.03022	0.08226	0.03163
V165	0.50192	0.24121	0.08715	0.10899	0.06073
V166	0.0529	0.10022	0.20675	0.55483	0.08531
V167	0.03706	0.56358	0.03612	0.19639	0.16685
V168	0.0055	0.24674	0.68258	0.04684	0.01834
V169	0.05422	0.60027	0.16428	0.14231	0.03892
