	All Datasets	Ascites	CellMixCorrs	HoekCorrs
Cibersort-BLUEPRINT	0.650377771	-0.04157968	0.767272095	0.740019796
Cibersort-HPCA	0.830038096	0.617786453	0.904885525	0.765183165
Cibersort-ImmunoStates	0.88359061	0.569667038	0.953149444	0.78733906
Cibersort-LM22	0.861397736	0.586544682	0.966298125	0.612521331
Cibersort-Average	0.806351053	0.433104623	0.897901297	0.726265838
Decon-BLUEPRINT	0.477117328	-0.003073212	0.441435034	0.778561809
Decon-HPCA	0.175660505	-0.006776672	0.106525057	0.540297456
Decon-ImmunoStates	0.475964034	-0.170865057	0.871002066	-0.003985358
Decon-LM22	0.654357861	0.727838276	0.913267453	0.253027312
Decon-Average	0.445774932	0.136780834	0.583057403	0.391975305
dtangle-BLUEPRINT	0.587432376	0.281536506	0.544320253	0.987842273
dtangle-HPCA	0.504683392	0.087855711	0.516453708	0.940852168
dtangle-ImmunoStates	0.380070112	0.601985152	0.578037947	0.4193076
dtangle-LM22	0.61121178	0.183110145	0.556759793	0.961731816
dtangle-Average	0.520849415	0.288621879	0.548892925	0.827433464
GEDIT-BLUEPRINT	0.842053863	0.243413879	0.943267402	0.997571834
GEDIT-HPCA	0.881469154	0.416810328	0.970391787	0.872896518
GEDIT-ImmunoStates	0.861290269	0.065190062	0.96444001	0.836311998
GEDIT-LM22	0.885971592	0.42374852	0.971536973	0.800489268
GEDIT-Average	0.86769622	0.287290697	0.962409043	0.876817405
xCell	0.633818122	0.736533445	0.888340061	0.068944338
