B_cells	NK_cells	T_cells_CD4.	Monocytes
V142	0.79136	0.00409	0.20455	0
V143	0.44215	0.27784	0.07287	0.20714
V144	0.19304	0.18424	0.18668	0.43605
V145	0.00208	0.72992	0.26292	0.00508
V146	0.11892	0.03524	0.06991	0.77594
V147	0.88461	0.03724	0.0153	0.06284
V148	0.13499	0.10167	0.58231	0.18103
V149	0.26762	0.49809	0.23429	0
V150	0.09084	0.26219	0.58223	0.06474
V151	0.22668	0.61474	0.05332	0.10527
V152	0.24127	0.44332	0.2369	0.0785
V153	0.13201	0.72945	0.04233	0.09621
V154	0.25088	0.4513	0.28481	0.01301
V155	0.46785	0.16203	0.28563	0.08449
V156	0.03093	0.17076	0.68733	0.11097
V157	0.3114	0.18002	0.31834	0.19025
V158	0.07907	0	0.10172	0.81921
V159	0.86565	0.06944	0	0.06492
V160	0.70643	0.00986	0.06419	0.21952
V161	0.26264	0.02082	0.04583	0.67071
V162	0.09067	0.3335	0.10263	0.47321
V163	0.11173	0.49859	0.19477	0.1949
V164	0.35195	0.32492	0.11671	0.20642
V165	0.03575	0.30814	0	0.65611
V166	0.03628	0.13508	0.09708	0.73156
V167	0.40245	0	0.00914	0.58841
V168	0.29818	0.5563	0.10056	0.04496
V169	0.23688	0.08085	0.04846	0.63381
V170	0.11731	0.05017	0.53925	0.29327
V171	0.13583	0.26054	0.5767	0.02694
V172	0.70713	3e-04	0.2752	0.01736
V173	0.06368	0.18251	0.06042	0.69339
V174	0.04196	0.20243	0.09989	0.65572
V175	0.06654	0.03676	0.78463	0.11206
V176	0.02565	0.76696	0.20642	0.00096
V177	0.04259	0.90727	0.02063	0.02952
V178	0.02753	0.76126	0.03167	0.17954
V179	0.18254	0.03348	0.40181	0.38218
V180	0.05029	0.836	0.11371	0
V181	0.16759	0.16016	0.5363	0.13595
V182	0.29946	0.20262	0.45266	0.04526
V183	0.20302	0.76461	0.02907	0.00329
V184	0.96454	0.00361	0.03185	0
V185	0.57295	0.40417	0.01692	0.00596
V186	0.13124	0.48115	0.28251	0.1051
V187	0.91559	0.02307	0.03257	0.02878
V188	0.09408	0.27158	0	0.63435
V189	0.81671	0.03154	0.00726	0.14449
V190	0.64535	0.02861	0.31227	0.01378
V191	0.1896	0.22938	0.55449	0.02653
V192	0.31642	0.4712	0.06191	0.15047
V193	0.59768	0.04793	0.23925	0.11514
V194	0.06622	0.87012	0.03416	0.0295
V195	0.01974	0.06761	0.88332	0.02934
V196	0.05162	0.12183	0.02617	0.80038
V197	0.45197	0.06989	0.01877	0.45936
V198	0.07752	0.49895	0.38116	0.04237
V199	0.20245	0.04669	0.19978	0.55108
V200	0.15356	0.57468	0.03192	0.23983
V201	0.11113	0.55002	0.21586	0.12299
V202	0.01458	0.0563	0.7772	0.15191
V203	0.17389	0.42864	0.39424	0.00322
V204	0.02732	0.56407	0.01995	0.38866
V205	0.02119	0.0936	0.8563	0.02891
V206	0.05173	0.1304	0.81787	0
V207	0.1704	0.22619	0.06486	0.53855
