mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V112	0.16007	0.07514	0.13185	0.45572	0.17722
V113	0.21283	0.09391	0.13512	0.17266	0.38548
V114	0.46911	0.14387	0.07948	0.20182	0.10572
V115	0.70041	0.09802	0.03734	0.0659	0.09832
V116	0.02817	0.07197	0.0378	0.08836	0.77371
V117	0.0447	0.2064	0.63314	0.09259	0.02316
V118	0.04709	0.03874	0.02676	0.83846	0.04895
V119	0.25169	0.15345	0.34993	0.23073	0.0142
V120	0.01557	0.19991	0.64195	0.11336	0.02921
V121	0.20548	0.62578	0.04486	0.0571	0.06679
V122	0.04514	0.36195	0.12199	0.25981	0.21111
V123	0.40704	0.12138	0.10321	0.21263	0.15574
V124	0.19479	0.15857	0.09467	0.24096	0.31102
V125	0.04822	0.43416	0.46381	0.04118	0.01263
V126	0.1405	0.23739	0.23613	0.13617	0.24981
V127	0.20622	0.18447	0.52042	0.07503	0.01386
V128	0.21542	0.65448	0.05569	0.04904	0.02538
V129	0.22027	0.14606	0.26804	0.1832	0.18243
V130	0.04445	0.44905	0.0804	0.26161	0.16449
V131	0.02185	0.0925	0.23449	0.62675	0.02441
V132	0.31263	0.07891	0.02672	0.35419	0.22755
V133	0.01302	0.19344	0.49274	0.10015	0.20065
V134	0.0606	0.2095	0.61883	0.05026	0.06081
V135	0.02729	0.2453	0.59547	0.052	0.07994
V136	0.76129	0.10597	0.04146	0.0637	0.02758
V137	0.71325	0.12135	0.0386	0.08439	0.04241
V138	0.22409	0.18913	0.11217	0.16222	0.31239
V139	0.10921	0.07686	0.17261	0.61033	0.03099
V140	0.0365	0.09582	0.18878	0.0663	0.6126
V141	0.02576	0.3003	0.54871	0.11167	0.01357
V142	0.17664	0.13111	0.31866	0.1438	0.2298
V143	0.02649	0.27051	0.44254	0.14998	0.11048
V144	0.42312	0.24381	0.09953	0.1557	0.07783
V145	0.00914	0.22551	0.70497	0.04343	0.01695
V146	0.04609	0.31676	0.04237	0.34317	0.25161
V147	0.07952	0.21887	0.55636	0.11541	0.02984
V148	0.17017	0.66897	0.05559	0.07966	0.02562
V149	0.02072	0.03793	0.02784	0.84296	0.07054
V150	0.12008	0.28682	0.50139	0.03449	0.05722
V151	0.3689	0.07756	0.04043	0.40512	0.10798
V152	0.02367	0.06032	0.13522	0.69849	0.0823
V153	0.14335	0.26415	0.41611	0.0768	0.09959
V154	0.12869	0.5274	0.06561	0.07464	0.20366
V155	0.04065	0.07165	0.1511	0.70254	0.03405
V156	0.08784	0.15779	0.37493	0.15741	0.22203
V157	0.0884	0.12464	0.19096	0.2796	0.3164
V158	0.16025	0.15345	0.40418	0.07421	0.20791
V159	0.11254	0.21042	0.04542	0.5799	0.05171
V160	0.38562	0.21016	0.12404	0.08544	0.19474
V161	0.19827	0.10108	0.09559	0.06551	0.53956
V162	0.00967	0.23139	0.72091	0.03161	0.00642
V163	0.06302	0.07234	0.0514	0.10421	0.70904
V164	0.72855	0.13672	0.04755	0.06638	0.0208
V165	0.49703	0.24607	0.11285	0.09432	0.04973
V166	0.05391	0.09355	0.24347	0.52887	0.0802
V167	0.05507	0.56255	0.0589	0.17551	0.14798
V168	0.00967	0.23139	0.72091	0.03161	0.00642
V169	0.07005	0.58739	0.20058	0.1189	0.02308
V170	0.22753	0.35619	0.09075	0.2213	0.10423
V171	0.24437	0.18996	0.33468	0.18391	0.04708
V172	0.17259	0.24899	0.10818	0.07272	0.39751
V173	0.18844	0.15039	0.11777	0.39637	0.14704
V174	0.1749	0.13266	0.33371	0.20114	0.15759
V175	0.07875	0.19188	0.15216	0.20084	0.37636
V176	0.31652	0.06878	0.03317	0.55417	0.02736
V177	0.15305	0.18405	0.47456	0.17213	0.01622
V178	0.21834	0.17995	0.40393	0.12969	0.06808
V179	0.10216	0.07951	0.04206	0.07842	0.69786
V180	0.03161	0.14503	0.34461	0.05282	0.42593
V181	0.07475	0.27681	0.03567	0.10665	0.50611
V182	0.47663	0.24017	0.03842	0.19617	0.04862
V183	0.0966	0.78043	0.05408	0.0502	0.01869
V184	0.25334	0.12688	0.28238	0.30372	0.03368
V185	0.11179	0.43398	0.06195	0.18225	0.21003
V186	0.1323	0.20095	0.06334	0.27446	0.32895
V187	0.09632	0.58127	0.04242	0.25712	0.02286
V188	0.65859	0.12142	0.06365	0.13139	0.02495
V189	0.38719	0.24408	0.06851	0.27506	0.02516
V190	0.33827	0.16604	0.22658	0.06114	0.20796
V191	0.20076	0.2191	0.0375	0.42986	0.11277
V192	0.2762	0.22535	0.15192	0.23031	0.11621
V193	0.06666	0.28516	0.46713	0.06939	0.11166
V194	0.23665	0.12677	0.11892	0.14102	0.37664
V195	0.44712	0.23994	0.23994	0.05511	0.01789
V196	0.02314	0.07423	0.0973	0.10237	0.70296
V197	0.0934	0.75364	0.0518	0.08215	0.01901
V198	0.21322	0.23677	0.07109	0.23066	0.24826
V199	0.58207	0.13927	0.21765	0.0463	0.01471
V200	0.61809	0.0962	0.06265	0.07489	0.14816
V201	0.04427	0.04164	0.0505	0.69071	0.17288
V202	0.7317	0.13954	0.03428	0.06777	0.02671
V203	0.4559	0.2645	0.06163	0.10056	0.11741
V204	0.30605	0.14174	0.06928	0.06224	0.42068
V205	0.11109	0.11444	0.14919	0.11509	0.51019
V206	0.05088	0.11047	0.02772	0.75226	0.05868
V207	0.03032	0.05158	0.02754	0.84812	0.04245
V208	0.13482	0.28663	0.4301	0.07535	0.0731
V209	0.14842	0.10602	0.13037	0.08534	0.52985
V210	0.00897	0.22426	0.71771	0.0374	0.01166
V211	0.14204	0.12844	0.22351	0.07726	0.42874
V212	0.07876	0.65404	0.12484	0.08386	0.0585
V213	0.10118	0.06805	0.09532	0.27832	0.45712
V214	0.0389	0.49399	0.39124	0.05045	0.02541
V215	0.22365	0.25404	0.16424	0.11607	0.242
V216	0.05733	0.15533	0.32868	0.07838	0.38028
V217	0.01845	0.03766	0.05214	0.79584	0.09591
V218	0.0724	0.23512	0.28732	0.32463	0.08054
V219	0.11552	0.30211	0.36372	0.20118	0.01747
V220	0.1989	0.62537	0.10496	0.05327	0.0175
V221	0.04532	0.19527	0.45328	0.04892	0.25722
V222	0.03628	0.0725	0.04526	0.09323	0.75272
V223	0.39731	0.14253	0.29167	0.1441	0.02439
V224	0.05848	0.49131	0.06528	0.12632	0.25861
V225	0.56355	0.22158	0.14684	0.04786	0.02016
V226	0.42473	0.46084	0.04118	0.05192	0.02132
V227	0.09653	0.23921	0.03854	0.57392	0.0518
V228	0.44403	0.15131	0.25902	0.1053	0.04034
V229	0.23255	0.38145	0.27175	0.08051	0.03374
V230	0.03612	0.06557	0.04548	0.09423	0.75861
V231	0.07835	0.5259	0.10059	0.2109	0.08426
V232	0.60837	0.13381	0.18883	0.05343	0.01555
V233	0.06325	0.1113	0.17747	0.13153	0.51645
V234	0.03162	0.35206	0.23338	0.3478	0.03513
V235	0.75314	0.1077	0.03422	0.08236	0.02258
V236	0.07	0.17838	0.52788	0.18029	0.04346
V237	0.11258	0.16403	0.26665	0.30377	0.15298
V238	0.02292	0.05917	0.04041	0.3164	0.5611
V239	0.07625	0.37507	0.08643	0.20935	0.25291
V240	0.08954	0.72627	0.05826	0.06492	0.06101
V241	0.07882	0.79673	0.05519	0.05049	0.01877
V242	0.04387	0.32488	0.30021	0.27284	0.05821
V243	0.36852	0.14686	0.30523	0.06755	0.11184
V244	0.044	0.389	0.22117	0.11548	0.23036
V245	0.0738	0.76248	0.07982	0.07272	0.01118
V246	0.51591	0.27599	0.06223	0.05805	0.08782
V247	0.15357	0.23181	0.50826	0.07684	0.02952
V248	0.11065	0.53533	0.06649	0.05997	0.22756
V249	0.21828	0.15766	0.21941	0.12915	0.2755
V250	0.02582	0.19671	0.54886	0.0627	0.16591
V251	0.188	0.08883	0.11337	0.54706	0.06274
V252	0.03003	0.23182	0.48351	0.15333	0.1013
V253	0.27561	0.49081	0.12071	0.08834	0.02453
V254	0.4573	0.34805	0.03562	0.1301	0.02894
V255	0.65866	0.15122	0.03129	0.07698	0.08185
V256	0.0633	0.66473	0.06352	0.05783	0.15062
V257	0.37214	0.30924	0.16618	0.07893	0.0735
V258	0.15422	0.29255	0.08089	0.44484	0.0275
V259	0.43221	0.29521	0.19272	0.05056	0.0293
V260	0.23358	0.11702	0.13539	0.12478	0.38922
V261	0.02621	0.16131	0.45042	0.2627	0.09936
V262	0.70268	0.12476	0.07957	0.06853	0.02446
V263	0.63286	0.14998	0.0439	0.15325	0.02002
V264	0.09233	0.74548	0.06036	0.08987	0.01196
V265	0.6405	0.16605	0.10062	0.07027	0.02255
V266	0.03075	0.08017	0.12216	0.08969	0.67722
V267	0.06132	0.06476	0.04039	0.20246	0.63107
V268	0.18436	0.39016	0.16902	0.20442	0.05204
V269	0.08563	0.33389	0.34561	0.19933	0.03554
V270	0.05356	0.04712	0.05897	0.80745	0.03291
V271	0.23085	0.60616	0.05259	0.07148	0.03891
V272	0.12418	0.69334	0.07394	0.06293	0.04562
V273	0.24309	0.11061	0.18842	0.31884	0.13904
V274	0.09675	0.09891	0.0716	0.23156	0.50118
