Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.01227	0	0.12169	0	0.40535	0	0.002	0	0	0.45869
V2	0.64894	0	0	0	0.01596	0.26864	0.04588	0	0.02058	0
V3	0.10441	0	0.13738	0	0.49037	0.01343	0.0584	0.16886	0.01577	0.01138
V4	0.0293	0.05824	0.03994	0.02266	0.07127	0.0602	0.00648	0.01658	0.59856	0.09678
V5	0.0018	0.11449	0.10257	0.07332	0.22525	0.06022	0.01318	5e-04	0	0.40867
V6	0.00643	0	0.26435	0	0.63376	0.01935	0	0.07611	0	0
V7	0.00501	0.39698	0.01387	0	0.44523	0.01235	0.0386	0.08452	0	0.00346
V8	0.01783	0.4604	0.04272	0	0.16046	0	0	0.30995	0	0.00864
V9	0.02557	0.00036	0.08253	0.10543	0.0132	0.01855	0.13569	0.57951	0.02996	0.0092
V10	0.00237	0	0.03174	0	0.74111	0.05049	0.00446	0.16827	0.00013	0.00143
V11	0.02533	0.46047	0.00056	0	0.1638	0.02136	0	0.28634	0.02668	0.01546
V12	0.00384	0.01472	0.20681	0.49366	0.05622	0.01674	0.08851	0.01025	0.01041	0.09883
V13	0.0909	0.01226	0.13836	0	0.02116	0.19316	0.33791	0.01553	0.18319	0.00752
V14	0.06949	0.38291	0.17888	0.02586	0.15955	0.06547	0.09901	0.01712	0	0.00171
V15	0.22051	0	0.11947	0.56612	0	0.0235	0.04075	0.00852	0.01776	0.00337
V16	0.00892	0.03573	0.22002	0.52611	0.01407	0.04331	0.02328	0	0.11843	0.01012
V17	0.02054	0.12436	0.06851	0.00272	0.24931	0.07312	0.03123	0.00933	0.0134	0.40748
V18	0.0599	0.07289	0.11171	0.31418	0.12834	0.00308	0.0105	0	0	0.2994
V19	0.0017	5e-04	0.09534	0.07153	0.18917	0.0745	0.00851	0.01135	0.00415	0.54324
V20	0.00616	0.22278	0.0079	0	0.08667	0.09895	0.4228	0.06199	0.02803	0.06471
V21	0.08862	0.37197	0.01417	0	0.12668	0.29974	0.03514	0.03647	0.01846	0.00875
V22	0.01686	0.00588	0.05721	0	0.1466	0	0	0.33031	0.04073	0.40241
V23	0.242	0.01123	0.65642	0	0.0218	0.003	0.00126	0.00337	0	0.06091
