Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.012	0.03271	0.00287	0.00601	0.08932	0.00287	0.03341	0	0.00683	0.81397
V2	0.60729	0.01659	0.04001	0	0.03038	0.23919	0.06137	0.00517	0	0
V3	0.11326	0.09788	0.069	0.00754	0.39246	0.01848	0.10704	0.10932	0.01913	0.0659
V4	0.01021	0.0873	0.03041	0	0.03587	0.08815	0.02474	0.01113	0.44397	0.26822
V5	0.00369	0.09704	0.00713	0.05767	0	0.06213	0.03704	0	0	0.7353
V6	0.00799	0.13142	0.14413	0.01511	0.54527	0.03321	0.01189	0.04666	0.01459	0.04973
V7	0	0.55447	0	0.01321	0.26609	0.01276	0.07334	0.05437	0.00454	0.02123
V8	0.00021	0.60189	0.04204	0.0158	0.02287	0.02908	0.02941	0.22814	0.01706	0.0135
V9	0.01416	0	0.07698	0.10415	0.03526	0.03345	0.26885	0.41135	0.02545	0.03035
V10	0	0.14166	0	0	0.60506	0.06927	0.02676	0.1043	0.00457	0.04838
V11	0.01006	0.58865	0.00395	0.01041	0.02238	0.05495	0.03094	0.2064	0.04444	0.0278
V12	0.02974	0.03374	0.1587	0.40749	0.0162	0.00149	0.11173	0.00594	0.01555	0.21942
V13	0.09439	0.01154	0.10875	0.00688	0.04795	0.12894	0.45963	0.00681	0.09005	0.04507
V14	0.07642	0.46254	0.1283	0.06247	0.04288	0.05301	0.14713	0.00783	0.01075	0.00866
V15	0.29423	0.0177	0.13507	0.45672	0.01508	0.01795	0.03377	0.00869	0.02078	0
V16	0.03655	0.0694	0.21059	0.47336	0.02838	0.0514	0.00637	0	0.10399	0.01996
V17	0.01199	0.11205	0	0.00365	0	0.07002	0.06367	0.00392	0.00524	0.72947
V18	0.0747	0.06161	0.04236	0.2214	0	0.00694	0.01817	0	0.00484	0.56997
V19	0	0	0	0.04222	0	0.07116	0.03724	0.00456	0	0.84482
V20	0	0.22073	0.00291	0.01836	0.01134	0.01066	0.55514	0.03393	0	0.14693
V21	0.0982	0.43469	0.02095	0.00311	0.02013	0.32995	0.05875	0.02109	0.00548	0.00765
V22	0	0	0	0	0	0.01765	0.04105	0.18973	0.02808	0.72349
V23	0.2685	0.02974	0.46323	0.0395	0	0.01146	0.0146	0.00404	0.01896	0.14997
V24	0.02221	0.64205	0.0414	0.01788	0.03675	0.00486	0.09247	0.05758	0.07722	0.00757
V25	0.02412	0.11562	0.0108	0.01366	0.03208	0.11718	0.05272	0	0.11349	0.52034
V26	0.01354	0	0.05815	0	0.02512	0.04237	0.08018	0.75289	0.00986	0.01788
V27	0	0.08191	0	0	0.28099	0.00259	0.03882	0	0.0031	0.59258
V28	0.23837	0	0.00184	0.00239	0	0.01833	0.0476	0.02012	0	0.67136
V29	0.00523	0.69047	0	0.02114	0.01958	0.09999	0.03086	0.01198	0.00176	0.11899
V30	0.00726	0.00791	0.09877	0.0039	0.03179	0.29577	0.32837	0	0.18593	0.04029
V31	0.00998	0.37986	0.18924	0.02133	0.07205	0.01475	0.02794	0.24711	0.01631	0.02143
V32	0.47144	0.06061	0.03353	0	0.23965	0.03983	0.04314	0.00119	0.06878	0.04184
V33	0.05873	0.02151	0.21926	0.42293	0.01759	0.00181	0.22751	0	0.01743	0.01322
V34	0	0.06406	0	0	0.1336	0.00352	0.03161	0.00881	0.03016	0.72824
V35	0.00462	0.87634	0.00067	0.0251	0.03475	0.00904	0.02776	0.01314	0.00857	0
V36	0.05025	0.01564	0.0118	0.0113	0.04314	0.00958	0.79187	0.0245	0	0.04193
V37	0	0.55973	0	0.01873	0.04102	0.00138	0.31804	0.02259	0.0078	0.03071
V38	0.13598	0.00154	0.05476	0.1385	0.02933	0.00108	0.59591	0.00277	0.00876	0.03137
V39	0.08512	0.00766	0.05732	0.13396	0.05941	0.00208	0.58199	0.01552	0.00897	0.04797
V40	0.12047	0.04154	0.60676	0.05213	0.09889	0.0067	0.01086	0.00132	0.02698	0.03434
V41	0.60595	0.06565	0.07171	0	0.02316	0.00589	0.01711	0.00964	0.17567	0.02522
V42	0	0.63843	0	0.00998	0.26248	0.00169	0.01021	0	0.00645	0.07075
V43	0.13984	0.05135	0.10289	0.06004	0.19621	0.04338	0.2434	0.01878	0.11057	0.03355
V44	0.03108	0.00361	0.53304	0.04024	0.01225	0.0201	0.03199	0.28577	0.02923	0.01269
