CD56NK	CD4MemoryT	CD19B	CD14
V141	0.08219	0.10072	0.584	0.2331
V142	0.82041	0	0.17959	0
V143	0.52375	0.18555	0.06816	0.22254
V144	0.20752	0.10375	0.17639	0.51234
V145	0.00077	0.71596	0.27799	0.00528
V146	0.0621	0.00414	0.02628	0.90748
V147	0.94638	0.00901	0.01613	0.02848
V148	0.16069	0.03513	0.6019	0.20227
V149	0.34254	0.41821	0.23579	0.00346
V150	0.11337	0.17471	0.63819	0.07373
V151	0.28518	0.54821	0.03648	0.13012
V152	0.30991	0.35772	0.2402	0.09217
V153	0.15586	0.69691	0.0207	0.12653
V154	0.31955	0.36234	0.29286	0.02525
V155	0.55559	0.08721	0.27803	0.07917
V156	0.04205	0.08582	0.74773	0.1244
V157	0.37296	0.09958	0.32111	0.20634
V158	0.0185	8e-04	0.02092	0.95978
V159	0.92739	0.03634	1e-04	0.03616
V160	0.74145	0.00095	0.05948	0.19812
V161	0.24402	0.00196	0.02738	0.72664
V162	0.08742	0.23565	0.08923	0.58771
V163	0.1367	0.41597	0.19532	0.252
V164	0.42644	0.2277	0.11239	0.23346
V165	0.01327	0.20886	0	0.77786
V166	0.01383	0.06472	0.07061	0.85083
V167	0.39145	0	0.0055	0.60305
V168	0.38	0.47953	0.08647	0.054
V169	0.22347	0.03024	0.0358	0.7105
V170	0.13131	0.00459	0.53776	0.32635
V171	0.16689	0.17388	0.62483	0.0344
V172	0.75752	0	0.23942	0.00306
V173	0.03612	0.10403	0.03961	0.82023
V174	0.02332	0.11959	0.07896	0.77814
V175	0.07904	0	0.80134	0.11962
V176	0.0114	0.77444	0.2088	0.00537
V177	0.0144	0.9687	0	0.0169
V178	0.01113	0.73021	0.00463	0.25403
V179	0.19515	0.00169	0.3888	0.41436
V180	0.04131	0.86339	0.09526	3e-05
V181	0.20644	0.07974	0.56427	0.14955
V182	0.36504	0.11967	0.46652	0.04878
V183	0.25869	0.72992	0.00616	0.00523
V184	0.99286	0.00018	0.00696	0
V185	0.67154	0.31347	0.01146	0.00353
V186	0.16408	0.40382	0.30151	0.13059
V187	0.96859	0.003	0.02466	0.00375
V188	0.07454	0.17828	0	0.74718
V189	0.85651	0.00834	0.01546	0.1197
V190	0.70511	0.00254	0.28936	0.00298
V191	0.2352	0.14475	0.58701	0.03304
V192	0.39458	0.37535	0.05355	0.17652
V193	0.66612	0.01282	0.22133	0.09973
V194	0.0563	0.91304	0.00636	0.0243
V195	0.01012	0.00514	0.97735	0.00738
V196	0.01591	0.04606	0.01004	0.928
V197	0.46997	0.02739	0.02386	0.47878
V198	0.08858	0.42808	0.42615	0.05719
V199	0.19875	0.01024	0.17823	0.61278
V200	0.1788	0.49439	0.01857	0.30825
V201	0.13806	0.48457	0.22069	0.15668
V202	0.01852	0.00271	0.80462	0.17415
V203	0.21795	0.34039	0.42417	0.01749
V204	0.01116	0.47561	0.00423	0.50899
V205	0.02013	0.02423	0.94257	0.01307
V206	0.0581	0.0529	0.88389	0.00511
V207	0.16557	0.14119	0.05583	0.63741
V208	0.29883	0.03136	0.6603	0.00951
V209	0.39535	0.37555	0.07446	0.15464
V210	0.12823	0.71189	0.10912	0.05076
V211	0.47294	0.00483	0.03165	0.49059
V212	0.56927	0.01428	0.40178	0.01467
V213	0.69594	0.01289	0.10397	0.1872
V214	0.40036	0.10638	0.16895	0.3243
V215	0.34154	0.0619	0.01744	0.57912
V216	0.0407	0.00023	0.01958	0.9395
V217	0.06067	0.423	0.27235	0.24399
V218	0.13505	0.37517	0.19248	0.2973
V219	0.15236	0.57089	0.01188	0.26487
V220	0.0113	0.8014	0.00493	0.18237
V221	0.8426	0.0016	0.00423	0.15157
V222	0.38218	0.08278	0.37284	0.1622
V223	0.00763	0.08981	0.82742	0.07515
V224	0.97993	0	0.02007	0
V225	0.08533	0.84198	0.06725	0.00543
V226	0.36228	0.04341	0.58514	0.00916
V227	0.82048	0	0.17147	0.00805
V228	0.8335	0.03437	0.05978	0.07235
V229	0.02005	0.00338	0.95472	0.02185
V230	0.01668	0.01297	0.01962	0.95073
V231	0.02169	0.21767	0.12285	0.63778
V232	0.06474	0.59414	0	0.34112
V233	0.64236	0.04808	0.18993	0.11962
V234	0.05622	0.89502	0.03445	0.0143
V235	0.43633	0.02809	0.51293	0.02264
V236	0.05586	0.03361	0.83742	0.07311
V237	0.18352	0.00281	0.02944	0.78423
V238	0.17869	0.47804	0.29707	0.0462
V239	0.08896	0.33685	0.0184	0.55579
V240	0.54935	0.01359	0.40058	0.03648
V241	0.01911	0	0.91426	0.06663
V242	0.18611	0.69344	0.10862	0.01184
V243	0.28879	0.01503	0.62973	0.06645
V244	0.24224	0	0.68252	0.07524
V245	0.69499	0.21047	0.04815	0.04638
V246	0.06934	0.09815	0.81406	0.01844
V247	0.19534	0.00392	0.80056	0.00018
V248	0.02618	0.01706	0.04415	0.91261
V249	0.00041	0.01427	0.91781	0.0675
V250	0.80062	0	0.19643	0.00295
V251	0.96571	0.02452	0.00591	0.00385
V252	0.01306	0.79959	0.18731	4e-05
V253	0.4262	0.03805	0.16185	0.3739
V254	0.01313	0.92165	0.05902	0.0062
V255	0.06885	0.88554	0	0.04561
V256	0.22336	0.15212	0.54527	0.07926
V257	0.49502	0.05696	0.23211	0.21591
V258	0.22731	0.19608	0.4556	0.12101
V259	0.04364	0.22731	0.69248	0.03657
V260	0.00035	0.22104	0.77367	0.00493
V261	0.67797	0.01279	0.18382	0.12542
V262	0.11131	0.03362	0.01404	0.84102
V263	0.02743	0.94632	0	0.02625
V264	0.1991	0.01518	0.44013	0.34558
V265	0.03558	0	0.13548	0.82893
V266	0.73532	0.25885	0.00583	0
V267	7e-04	0.12756	0.30809	0.56365
V268	0.43829	0.00885	0.13756	0.4153
V269	0.00866	0.48758	0.45503	0.04873
V270	0.70091	0.00826	0.2255	0.06532
V271	0.85602	0.03498	0.02818	0.08082
V272	0.08015	0.78711	0.01278	0.11997
V273	0.06095	0.00968	0.03502	0.89435
V274	0.74594	0	0.16655	0.08751
V275	0.00064	0.00658	0.9849	0.00788
V276	0.60088	0.24978	0.01006	0.13928
V277	0.04551	0.15543	0.17207	0.627
V278	0.04357	0.03105	0.3051	0.62028
V279	0.7517	0.03001	0.10329	0.115
V280	0.0185	8e-04	0.02092	0.95978
V281	0.60661	0.01261	0.13207	0.24871
V282	0.06736	0.03423	0.84376	0.05465
V283	0.28448	0.49701	0.06742	0.1511
V284	0.04041	0.88501	0.06878	0.00581
V285	0.08561	0.00162	0.9117	0.00108
V286	0.32566	0.45975	0.12117	0.09343
V287	0.14394	0.82026	0.01356	0.02225
V288	0.01991	0.21113	0.47827	0.2907
V289	0.34694	0.15391	0.43157	0.06759
V290	0.87705	0.11101	0.01194	0
V291	0.54792	0.03436	0.40919	0.00853
V292	0.95486	0.00168	0.00023	0.04322
V293	0.34312	0.00259	0.62289	0.0314
V294	0.11516	0.30135	0	0.58349
V295	0.02138	0.12726	0.20571	0.64565
V296	0.21851	0.07401	0.62906	0.07842
V297	0.08444	0	0.06775	0.84781
V298	0.35387	0.05831	0.57861	0.00921
V299	0.0882	0.21412	0.01208	0.68561
V300	0.00202	0.01432	0.23776	0.74589
V301	0.14832	0.06696	0.67441	0.11031
V302	0.74265	0.24749	0	0.00986
V303	0.00046	0.5274	0.44233	0.0298
V304	0.06625	0.0066	0.76614	0.16101
V305	0.15129	0.10673	0.48948	0.25249
V306	0.86456	0.05568	0.0446	0.03516
V307	0.02726	0.94196	0.01537	0.0154
V308	0.28283	0.16463	0.31355	0.23899
V309	0.40767	0.23555	0.02421	0.33258
V310	0.10289	0.24688	0.16462	0.48562
V311	0.62115	0.36968	0.00535	0.00382
V312	0.14042	0.67249	0.16691	0.02017
V313	0.00538	0.07824	0.016	0.90038
V314	0.02254	0.4074	0.12969	0.44037
V315	0.16732	0.55409	0.03713	0.24146
V316	0.36816	0.08292	0.39603	0.15289
V317	0.12564	0.64012	0.04871	0.18553
V318	0.0482	0.48998	0.01159	0.45023
V319	0.06835	0.02777	0.87601	0.02787
V320	0.0956	0.09346	0.6885	0.12244
V321	0.72658	0.26758	0.00584	0
V322	0.24542	0.24559	0.07537	0.43361
V323	0.06036	0.00725	0.08722	0.84516
V324	0.74466	0.17549	0.06507	0.01479
V325	0.40167	0.53693	0.05741	0.00399
V326	0.00032	0.49973	0.10605	0.39389
V327	0.02317	0.10286	0.10914	0.76482
V328	0.0545	0.00661	0.76676	0.17213
V329	0.20494	0.07187	0.17395	0.54924
V330	0.43572	9e-04	0.32416	0.23922
V331	0.39402	0.05263	0.04111	0.51224
V332	0.01183	0.02657	0.18907	0.77252
V333	0.48475	0.03758	0.37956	0.09811
V334	0.39942	0.00089	0.34775	0.25194
V335	0.03248	0.26408	0.57434	0.1291
V336	0.24422	0.62525	0.01989	0.11065
V337	0.35433	0.3123	0.30882	0.02454
V338	0.00198	0.98267	0.00769	0.00766
V339	0.14524	0.00036	0.84918	0.00522
V340	0.07058	0.16495	0.57275	0.19172
V341	0.02529	0.01655	0.06123	0.89693
V342	0.28258	0	0.59749	0.11993
V343	0.98382	0.00611	0.00602	0.00405
V344	0.73636	0.09686	0.16679	0
V345	0.0113	0.00811	0.97889	0.00169
V346	0.27462	0.06848	0.29324	0.36366
V347	0.04811	0.00349	0.12438	0.82402
V348	0.07846	0.59391	0.16647	0.16117
V349	0.40847	0.10612	0.39224	0.09317
V350	0.03921	0.75266	0.20812	0
V351	0.02046	0.01156	0.41064	0.55734
V352	0.05517	0.00312	0.86861	0.0731
V353	0.9144	0.00832	0.02839	0.04888
V354	0.0647	0.63402	0.2617	0.03958
V355	0.32258	0.03963	0.46555	0.17224
V356	0.03627	0.00842	0.09841	0.8569
V357	0.1451	0.25558	0.30996	0.28936
V358	0.60534	0.06298	0.04658	0.2851
V359	0.62435	0.03124	0.02937	0.31504
V360	0.64798	0.324	0.0186	0.00943
V361	5e-04	0.37896	0.61567	0.00487
V362	0.00197	0.97416	0.01658	0.0073
V363	0.20489	0.07049	0.48892	0.2357
V364	0.18657	0.02904	0.69642	0.08796
V365	0.29363	0.0121	0.01159	0.68268
V366	0.10878	0.62391	0.09438	0.17292
V367	0.63328	0.0907	0.00397	0.27206
V368	0.12635	0.67583	0.09437	0.10345
V369	0.02113	0.32639	0.64805	0.00443
V370	0.35954	0.19431	0.4222	0.02395
V371	0.25808	0.64417	0.02924	0.06851
V372	0.18659	0.02987	0.12017	0.66337
V373	0.09682	0.08966	0.50374	0.30978
V374	0.80797	0.00317	0.18886	0
V375	0.04602	0.01995	0.14505	0.78898
V376	0.03583	0.01546	0.09848	0.85023
V377	0.81401	0	0.00943	0.17656
V378	0.00936	0.01155	0.42164	0.55745
