Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.00682	0	0.0993	0	0.42257	0	0.01002	0	0	0.46129
V2	0.6506	0	0	0	0.0122	0.28063	0.04367	0	0.0129	0
V3	0.11075	0	0.11435	0	0.51807	0.01269	0.06351	0.17175	0	0.00889
V4	0.02926	0.04698	0.03667	0.0087	0.07413	0.06128	0.01439	0.01643	0.61933	0.09281
V5	0	0.1126	0.08555	0.07476	0.22557	0.06277	0.02106	0	0	0.41769
V6	0.01863	0	0.21449	0	0.67062	0.01878	0.00165	0.07584	0	0
V7	0.00949	0.37523	0.00813	0	0.47113	0.01141	0.04092	0.08343	0	0.00025
V8	0.02404	0.44842	0.03204	0	0.17386	0	0.00203	0.31077	0.00248	0.00637
V9	0.02383	0.00239	0.08319	0.1117	0.0083	0.01465	0.145	0.56399	0.03973	0.00722
V10	0.00626	0	0.01988	0	0.75599	0.04749	0.0098	0.16057	0	0
V11	0.02719	0.43891	0	0	0.17194	0.02138	0.00498	0.28107	0.04277	0.01176
V12	0.00074	0.01372	0.18511	0.52209	0.05382	0.01514	0.08779	0.00987	0.0164	0.09533
V13	0.09067	0.00511	0.1399	0	0.02419	0.19362	0.34281	0.01101	0.1823	0.01039
V14	0.07687	0.37506	0.15261	0.03369	0.17231	0.06511	0.0986	0.01681	0.00769	0.00125
V15	0.208	0	0.09936	0.59146	0	0.02272	0.03848	0.00903	0.02993	0.00101
V16	0.00782	0.03365	0.18916	0.54638	0.01279	0.04206	0.02281	0.00052	0.13763	0.00717
V17	0.01618	0.12332	0.05497	0	0.25725	0.07716	0.04091	0.00775	0	0.42245
V18	0.05489	0.07344	0.0937	0.33531	0.12188	0.00317	0.01591	0	0	0.30169
V19	0	0	0.07985	0.07106	0.18091	0.07868	0.01862	0.00932	0	0.56157
V20	0	0.21742	0.03324	0.00098	0.09208	0.09342	0.42203	0.05682	0.01678	0.06723
V21	0.09126	0.36575	0.00456	0	0.13345	0.3059	0.03742	0.03516	0.01807	0.00843
V22	0.01252	0.00404	0.04544	0	0.14269	0	0.0022	0.34614	0.03467	0.41231
V23	0.28444	0.00027	0.60068	0	0.02903	0.00357	0	0.00551	0.01077	0.06572
V24	0.037	0.49006	0.03296	0	0.20572	0.00623	0.05208	0.08387	0.09088	0.00121
V25	0.02673	0.08515	0.06053	0.01811	0.22275	0.114	0.03409	0	0.18409	0.25455
V26	0.03792	0.00092	0.04754	0	0.00355	0	0	0.90497	0.00048	0.00463
V27	0	0	0.04998	0	0.62637	0	0.01991	0	0	0.30374
V28	0.28981	0	0.05561	0	0.13118	0.01498	0.02701	0.03518	0	0.44622
V29	0.01644	0.55278	0.00119	0.00096	0.24936	0.08597	0.01584	0.02402	0	0.05343
V30	0.01386	0.00304	0.11763	0.00098	0	0.307	0.22685	0.0011	0.32036	0.00919
V31	0.03577	0.26128	0.19162	0	0.17095	0	0	0.33763	0	0.00274
V32	0.46768	0	0.01978	0	0.32497	0.04313	0.02659	0	0.11014	0.00771
V33	0.02374	0.00444	0.23189	0.50726	0	0.03409	0.16329	0.00117	0.03067	0.00345
V34	0	0.00087	0.06054	0	0.48497	0	0.01153	0.01767	0.01697	0.40746
