Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V123	0.28793	0.07824	0	0.02641	0.11158	0.49584
V124	0	0	0.32086	0.04395	0.63519	0
V125	0.04506	0.16715	0.74672	0.02662	0	0.01444
V126	0	0.32035	0	0	0	0.67965
V127	0.04104	0.01699	0.87074	0.07123	0	0
V128	0.39642	0.32204	0.08342	0.17452	0.02361	0
V129	0	0.03206	0.91704	0.0509	0	0
V130	0.56116	0.19434	0	0.24449	0	0
V131	0	0.00517	0	0.05548	0.79886	0.14048
V132	0.00307	0.52341	0.47352	0	0	0
V133	0.04323	0.21976	0.65631	0.0807	0	0
V134	0.20433	0.74786	0	0	0.0478	0
V135	0.07982	0.02602	0.82045	0	0	0.0737
V136	0.09097	0.84978	0.05787	0	0.00138	0
V137	0.01222	0.18705	0.65464	0.01772	0.12837	0
V138	0	0.03406	0	0.50777	0.0226	0.43557
V139	0	0.06489	0.12459	0.01354	0.46454	0.33244
V140	0.66469	0.3	0	0.03531	0	0
V141	0.28274	0.32338	0.10257	0.29131	0	0
V142	0.15414	0.82443	0	0.02144	0	0
V143	0.07983	0.08152	0.72241	0.08787	0.02837	0
V144	0	0.23234	0	0.09245	0	0.67522
V145	0	0	0	1	0	0
V146	0.15269	0.02436	0.02564	0.0372	0.72977	0.03035
V147	0.54444	0.14628	0.0709	0	0	0.23837
V148	0.00244	0.18681	0.81075	0	0	0
V149	0	0.57229	0	0	0	0.42771
V150	0	0	0	1	0	0
V151	0	0.47594	0	0	0	0.52406
V152	0.09643	0.2712	0.51524	0.0354	0.08172	0
V153	0	0.04171	0.69584	0.26245	0	0
V154	0.43062	0.27284	0	0	0	0.29654
V155	0.07755	0.42671	0.05623	0	0.43951	0
V156	0	0.53946	0	0	0.46054	0
V157	0	0.1448	0	0.31023	0	0.54498
V158	0.0193	0.06731	0.91339	0	0	0
V159	0.16867	0.27729	0.36939	0.18465	0	0
V160	0.04429	0.00801	0.92297	0	0	0.02473
V161	0	0.55086	0	0.41406	0.03508	0
V162	0.00053	0.64542	0	0.15588	0.19818	0
V163	0.02739	0.01149	0.96112	0	0	0
V164	0	0.39929	0.44527	0.1308	0.02465	0
V165	0	0.02816	0	0.05773	0.81524	0.09886
V166	0	0.01697	0	0.19402	0.45712	0.33188
