CD56NK	CD4MemoryT	CD19B	CD14
V1	0.55157	0	0.14704	0.30139
V2	0.13363	0.04542	0.03601	0.78494
V3	0.05518	0.56493	0.00758	0.37231
V4	0.89577	0.08144	0	0.0228
V5	0.11566	0.43325	0.25235	0.19874
V6	0.08437	0.87297	0.01739	0.02527
V7	0.14251	0.29363	0.07033	0.49352
V8	0.14313	0	0.81863	0.03824
V9	0.23082	0.17343	0.02703	0.56872
V10	0.01605	0.00088	0.91943	0.06364
V11	0.23646	0.32021	0.43827	0.00506
V12	0.02668	0.57706	0.38173	0.01453
V13	0.29946	0.67301	0.00359	0.02394
V14	0.07577	0.91302	0.00484	0.00637
V15	0.12617	0.56395	0.11472	0.19517
V16	0.93214	0.01995	0.016	0.0319
V17	0.09592	0.86892	0.00988	0.02527
V18	0.6205	0.29989	0.03635	0.04325
V19	0.17959	0.80182	0.0037	0.01489
V20	0.16719	0.39745	0.01355	0.42182
V21	0.14347	0.02161	0.79738	0.03754
V22	0.01382	0.0481	0.1739	0.76418
V23	0.42176	0.01361	0.55899	0.00564
V24	0.96138	0.01243	0.02608	1e-04
V25	0.35769	0.17785	0.11637	0.34809
V26	0.41588	0.32925	0.01386	0.24101
V27	0.08349	0.02257	0.01019	0.88376
V28	0.00203	0.01528	0.98214	0.00055
V29	0.47797	0.00522	0.48304	0.03377
V30	0.09762	0.1528	0.25828	0.4913
V31	0.21059	0.13442	0.28191	0.37308
V32	0.06384	0.00441	0.01905	0.91271
V33	0.04523	0.46605	0.3664	0.12231
V34	0.14263	0.00873	0.81106	0.03758
V35	0.18257	0.70601	0.07595	0.03548
V36	0.00564	0.00971	0.43871	0.54593
V37	0.55032	0.03568	0.08191	0.33209
V38	0.4156	0	0.14593	0.43846
V39	0.17872	0.52791	0.12404	0.16932
V40	0.11073	0.81795	0.07132	0
V41	0.00787	0.62911	0.03626	0.32676
V42	0.21219	0.00594	0.17942	0.60245
V43	0.14499	0.30131	0.51743	0.03627
V44	0.01405	0.03539	0.74293	0.20763
V45	0.10586	0.5674	0.2186	0.10814
V46	0.84313	0.04205	0.10979	0.00503
V47	0.4979	0.13851	0.30801	0.05559
V48	0.84142	0.13238	0.00408	0.02212
V49	0.7629	0.14482	0	0.09228
V50	0.07354	0.84079	0.08015	0.00552
V51	0.3519	0.36047	0.25329	0.03434
V52	0.02548	0.06594	0.86926	0.03932
V53	0.77426	0.08631	0.13943	0
V54	0.47321	0.14328	0.36037	0.02314
V55	0.21338	0.07585	0.22031	0.49045
V56	0.03413	0	0.06282	0.90305
V57	0.10871	0.85885	0.01763	0.01481
V58	0.62593	0	0.0323	0.34177
V59	0.47813	0.36606	0.10047	0.05533
V60	0.13052	0.09655	0.3099	0.46303
V61	0.83338	0.06682	0.00873	0.09106
V62	0.91291	0.014	0.05991	0.01317
V63	0.01831	0.84014	0.11659	0.02496
V64	0.0091	0.82957	0	0.16133
V65	0.00883	0	0.0738	0.91738
V66	0.23818	0.66641	0.01552	0.07989
V67	0.17292	0.29021	0.52261	0.01426
V68	0.14497	0.09247	0.01401	0.74855
V69	0.02503	0.27182	0.64168	0.06147
V70	0.58519	0.10177	0.16945	0.14358
V71	0.1637	0.03303	0.35283	0.45044
V72	0.60932	0.10679	0.0848	0.19909
V73	0.16714	0.5909	0.13558	0.10639
V74	0.06213	0.18757	0.7503	0
V75	0.72674	0	0.17269	0.10057
V76	0.00073	0.11464	0.15706	0.72757
V77	0.03188	0.22557	0.00232	0.74023
V78	0.30928	0.06689	0.16756	0.45628
V79	0.00603	0.05507	0.82826	0.11064
V80	0.38144	0	0.51851	0.10004
V81	0.06103	0.11868	0.8139	0.00639
V82	0.00072	0.03357	0.95759	0.00812
V83	0.12439	0.11985	0.05943	0.69632
V84	0.39404	0.0172	0.14272	0.44604
V85	0.11523	0.26452	0.40734	0.21291
V86	0.04742	0.01756	0.88426	0.05075
V87	0.03627	0.83243	0.04863	0.08267
V88	0.15884	0.02527	0.24206	0.57383
V89	0.01436	0	0.1704	0.81524
V90	0.02868	0.90404	0.05204	0.01525
V91	0.03633	0.73947	0.18752	0.03669
V92	0.48292	0.0025	0.36044	0.15414
V93	0.89007	0.00259	0	0.10734
V94	0.01477	0.37802	0.01371	0.5935
V95	0.28178	0.38695	0.15162	0.17965
V96	0.06112	0.05638	0.01574	0.86676
V97	0.73551	0.06654	0.19297	0.00498
V98	0.72745	0.25885	0	0.0137
V99	0.8389	0.02153	0.1345	0.00508
V100	0.08433	0.00483	0.8835	0.02734
V101	0.01231	0.00991	0.00286	0.97492
V102	0.95147	0.02955	0.00482	0.01417
V103	0.00814	0.01685	0.07194	0.90307
V104	0.03125	0.95733	0.00486	0.00656
V105	0.0636	0.91888	0.01134	0.00618
V106	0.13124	0.49045	0.33018	0.04812
V107	0.21138	0.15094	0.57803	0.05965
V108	0.17131	0.74004	0.08865	0
V109	0.01357	0.10679	0.59004	0.28959
V110	0.06077	0.88128	0.03261	0.02535
V111	0.93317	0	0.06097	0.00586
V112	0.12747	0.02716	0.40583	0.43954
V113	0.18507	0.05912	0.15509	0.60072
V114	0.23077	0.01781	0.06578	0.68563
V115	0.00918	0.75794	0.22724	0.00565
V116	0.15244	0.26266	0.37317	0.21172
V117	0.72374	0.20508	0.02871	0.04247
V118	0.1733	0.53266	0.02886	0.26518
V119	0.10184	0.04003	0.03722	0.82091
V120	0.08416	0.03423	0.86535	0.01627
V121	0.62626	0.08047	0.08409	0.20918
V122	0.97505	0	0.01071	0.01425
V123	0.00726	0.44973	0.03583	0.50719
V124	0.69423	0.24278	0	0.06299
V125	0.4343	0.374	0.1687	0.02301
V126	0.03123	0.0971	0.03743	0.83424
V127	0.15698	0.01899	0.23025	0.59378
V128	0.02376	0	0.0875	0.88875
V129	0.63235	0.183	0.15178	0.03287
V130	0.00836	0.65312	0.33297	0.00555
V131	0.02762	0.87936	0	0.09302
V132	0.95507	0	0.02266	0.02226
V133	0.93869	0.00301	0.04481	0.01349
V134	0.11024	0.33133	0.12044	0.438
V135	0.06879	0.00231	0.1522	0.7767
V136	0.25031	0.34036	0.0074	0.40193
V137	0.68825	0.01286	0.22624	0.07266
V138	0.2288	0.35228	0.17144	0.24749
V139	0.37722	0.15074	0.18358	0.28845
V140	0.02325	0.04992	0.03894	0.88789
V141	0.06463	0.10515	0.54026	0.28996
V142	0.8158	0	0.18419	1e-05
V143	0.45706	0.20478	0.05967	0.27849
V144	0.16241	0.1016	0.14941	0.58658
V145	0.0022	0.76577	0.22627	0.00576
V146	0.0454	0	0.01992	0.93468
V147	0.93592	0.00738	0.01586	0.04084
V148	0.13448	0.03651	0.57079	0.25822
V149	0.29569	0.4856	0.21388	0.00484
V150	0.0938	0.19602	0.61138	0.09881
V151	0.22527	0.59274	0.02946	0.15253
V152	0.26088	0.40523	0.21521	0.11867
V153	0.11519	0.7289	0.01548	0.14043
V154	0.27507	0.42216	0.26781	0.03497
V155	0.51925	0.09568	0.27305	0.11201
V156	0.03281	0.09247	0.71352	0.1612
V157	0.32672	0.10532	0.30182	0.26614
V158	0.012	0	0.01563	0.97237
V159	0.90949	0.03963	0	0.05087
V160	0.68864	0	0.05473	0.25663
V161	0.19429	0	0.02226	0.78344
V162	0.06179	0.23741	0.06931	0.63149
V163	0.10216	0.44665	0.16277	0.28841
V164	0.36296	0.25127	0.09857	0.2872
V165	0.00801	0.20832	0	0.78367
V166	0.00781	0.05742	0.05505	0.87972
V167	0.32645	0	0.00325	0.6703
V168	0.31762	0.54042	0.07332	0.06864
V169	0.17594	0.02574	0.02839	0.76994
V170	0.10516	0.00309	0.49384	0.39791
V171	0.14393	0.19915	0.60801	0.04891
V172	0.7487	0	0.24595	0.00534
V173	0.0231	0.09888	0.03002	0.848
V174	0.01449	0.11407	0.06124	0.8102
V175	0.06525	0	0.77961	0.15514
V176	0.00927	0.81929	0.16577	0.00568
V177	0.01142	0.97154	0	0.01705
V178	0.00841	0.73077	0.00223	0.25859
V179	0.15792	0	0.34947	0.49262
V180	0.03162	0.89449	0.0739	0
V181	0.1773	0.08634	0.54015	0.19621
V182	0.33723	0.13357	0.45927	0.06994
V183	0.20332	0.78689	0.00403	0.00576
V184	0.9924	0	0.00739	0.00021
V185	0.60982	0.37485	0.01025	0.00508
V186	0.12834	0.44893	0.26322	0.15951
V187	0.97025	0	0.0237	0.00605
V188	0.05194	0.17907	0	0.76898
V189	0.82052	0.00566	0.01415	0.15966
V190	0.69868	3e-05	0.29598	0.00531
V191	0.21137	0.16296	0.57779	0.04788
V192	0.32485	0.41835	0.04401	0.21279
V193	0.63145	0.01146	0.21867	0.13843
V194	0.04047	0.92928	0.0039	0.02635
V195	0.00852	0.01012	0.9731	0.00827
V196	0.00984	0.04067	0.00634	0.94315
V197	0.39812	0.02305	0.01996	0.55886
V198	0.06878	0.48243	0.37597	0.07281
V199	0.15566	0.00608	0.15103	0.68722
V200	0.13324	0.51517	0.01377	0.33782
V201	0.10412	0.52467	0.18627	0.18495
V202	0.01376	0.003	0.76668	0.21656
V203	0.18644	0.39784	0.39152	0.0242
V204	0.00761	0.47416	0.00151	0.51673
V205	0.01688	0.0295	0.93631	0.01731
V206	0.05019	0.06102	0.88186	0.00693
V207	0.12466	0.13666	0.04338	0.6953
V208	0.28226	0.03534	0.66771	0.01468
V209	0.32723	0.42185	0.06229	0.18863
V210	0.09484	0.7587	0.08709	0.05937
V211	0.40159	0.00096	0.02648	0.57097
V212	0.55293	0.01612	0.40823	0.02272
V213	0.64646	0.01035	0.09806	0.24514
V214	0.34074	0.10973	0.1518	0.39773
V215	0.27757	0.05787	0.01337	0.6512
V216	0.02874	0	0.015	0.95627
V217	0.04373	0.45078	0.22742	0.27807
V218	0.10156	0.39801	0.16093	0.3395
V219	0.11181	0.59322	0.00779	0.28718
V220	0.00865	0.80249	0.00231	0.18656
V221	0.79986	0	0.00312	0.19701
V222	0.3405	0.08849	0.35676	0.21425
V223	0.00627	0.09739	0.79762	0.09872
V224	0.98011	0	0.01971	0.00017
V225	0.06268	0.87956	0.05206	0.0057
V226	0.34506	0.05101	0.58965	0.01428
V227	0.81354	0	0.17357	0.01289
V228	0.8041	0.03724	0.05716	0.10149
V229	0.01657	0.00701	0.94733	0.02909
V230	0.01081	0.00898	0.01505	0.96517
V231	0.01393	0.21715	0.09627	0.67265
V232	0.04526	0.60127	0	0.35347
V233	0.59924	0.05268	0.18394	0.16413
V234	0.04053	0.91861	0.02535	0.01551
V235	0.41607	0.03151	0.51799	0.03443
V236	0.04539	0.03788	0.81883	0.09789
V237	0.1438	0	0.02346	0.83274
V238	0.1433	0.53563	0.26168	0.05939
V239	0.06238	0.33886	0.01333	0.58544
V240	0.52805	0.01496	0.40271	0.05428
V241	0.01548	0.00066	0.89721	0.08666
V242	0.14504	0.75311	0.08783	0.01402
V243	0.26383	0.01789	0.62567	0.09261
V244	0.22113	0	0.67587	0.10299
V245	0.64623	0.24616	0.04322	0.06439
V246	0.05934	0.1124	0.80191	0.02636
V247	0.18677	0.00706	0.80602	0.00015
V248	0.01689	0.0118	0.0338	0.93751
V249	0.00016	0.01903	0.89346	0.08734
V250	0.79475	0	0.19992	0.00534
V251	0.96391	0.02469	0.00529	0.0061
V252	0.01105	0.84031	0.14864	0
V253	0.36423	0.03687	0.14461	0.45429
V254	0.01072	0.9387	0.04426	0.00632
V255	0.04977	0.90214	0	0.04809
V256	0.19561	0.16843	0.52758	0.10838
V257	0.44252	0.06014	0.21843	0.27891
V258	0.19395	0.21887	0.42838	0.1588
V259	0.03437	0.26222	0.65341	0.05
V260	0.00099	0.26153	0.73094	0.00654
V261	0.63858	0.0109	0.17935	0.17117
V262	0.08324	0.0291	0.01018	0.87749
V263	0.02023	0.95258	0	0.02719
V264	0.16333	0.01346	0.40259	0.42062
V265	0.02329	0	0.11069	0.86603
V266	0.68176	0.31333	0.00491	0
V267	0.00039	0.12561	0.25736	0.61664
V268	0.37401	0.00521	0.12339	0.49739
V269	0.00739	0.53965	0.39254	0.06041
V270	0.67464	0.00665	0.22532	0.09338
V271	0.82424	0.03734	0.02699	0.11144
V272	0.05781	0.80474	0.00846	0.12899
V273	0.04415	0.00521	0.02627	0.92437
V274	0.7148	0	0.16407	0.12113
V275	0.00075	0.01116	0.97923	0.00885
V276	0.53089	0.28499	0.00785	0.17628
V277	0.03072	0.14983	0.13976	0.67969
V278	0.02958	0.02678	0.25752	0.68612
V279	0.71417	0.0294	0.09906	0.15737
V280	0.012	0	0.01563	0.97237
V281	0.54798	0.00999	0.12381	0.31822
V282	0.05664	0.03862	0.83077	0.07396
V283	0.22703	0.54014	0.05426	0.17857
V284	0.02937	0.91252	0.05219	0.00593
V285	0.07986	0.00378	0.91605	0.00031
V286	0.26821	0.51246	0.1025	0.11683
V287	0.10712	0.85782	0.00987	0.02519
V288	0.01402	0.22737	0.41845	0.34016
V289	0.31336	0.17292	0.41944	0.09429
V290	0.85443	0.13414	0.01143	0
V291	0.53311	0.03882	0.4146	0.01347
V292	0.94049	0	0	0.05951
V293	0.3246	0.0014	0.62788	0.04612
V294	0.08286	0.30379	0	0.61336
V295	0.0137	0.12303	0.16749	0.69578
