Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V121	0.21188	0.71846	0	0	0.06965
V122	0.05468	0.38821	0.07106	0.21077	0.27529
V123	0.52595	0.02552	0.06647	0.16565	0.2164
V124	0.2287	0.0979	0.05146	0.20426	0.41767
V125	0.05254	0.48608	0.45593	0	0.00545
V126	0.17182	0.18611	0.19144	0.10293	0.3477
V127	0.31337	0.02995	0.62442	0.0258	0.00647
V128	0.22193	0.75365	0.00539	0	0.01903
V129	0.29268	0.03535	0.2426	0.15714	0.27223
V130	0.05279	0.50606	0.03203	0.20067	0.20844
V131	0.03139	0.00721	0.21986	0.67815	0.06339
V132	0.37336	0	0	0.31211	0.31453
V133	0.00746	0.07857	0.51313	0.08219	0.31865
V134	0.07517	0.06993	0.753	0.00851	0.09339
V135	0.02376	0.14469	0.69294	0.01322	0.1254
V136	0.97864	0	0.00789	0	0.01346
V137	0.94616	0.00829	0.00519	0	0.04036
V138	0.2645	0.13114	0.06649	0.1214	0.41648
V139	0.14228	0	0.14649	0.64381	0.06743
V140	0.03474	0	0.13457	0.05064	0.78006
V141	0.02304	0.26716	0.61793	0.07917	0.01269
V142	0.23346	0	0.30002	0.11944	0.34707
V143	0.02809	0.22656	0.44508	0.12994	0.17034
V144	0.53855	0.21311	0.05887	0.09136	0.09812
V145	0	0.07229	0.91132	0	0.01639
V146	0.05583	0.33826	0.00186	0.28481	0.31925
V147	0.10632	0.10725	0.65798	0.08858	0.03988
V148	0.17734	0.78054	0.00498	0.01372	0.02342
V149	0.03085	0	0.00207	0.82435	0.14273
V150	0.15829	0.22669	0.5406	0	0.07441
V151	0.46407	0	0.00715	0.37138	0.1574
V152	0.03301	0	0.10696	0.71137	0.14866
V153	0.19167	0.20764	0.42132	0.0339	0.14547
V154	0.1374	0.58592	0.01567	0.02367	0.23733
V155	0.05601	0	0.12575	0.73782	0.08042
V156	0.11196	0.03818	0.36411	0.14313	0.34262
V157	0.10666	0.03672	0.14886	0.26266	0.44509
V158	0.21654	0.00846	0.41021	0.04051	0.32428
V159	0.13793	0.22078	0.00957	0.54372	0.088
V160	0.48149	0.15031	0.08142	0.02874	0.25803
V161	0.22002	0.00387	0.04972	0.03699	0.6894
V162	0	0.07414	0.92586	0	0
V163	0.06104	0	0.00876	0.08066	0.84954
V164	0.95189	0.02877	0.01453	0	0.00481
V165	0.64355	0.20729	0.07355	0.02154	0.05408
V166	0.07216	0	0.22456	0.56283	0.14046
V167	0.06037	0.64344	0.01022	0.11187	0.1741
V168	0	0.07414	0.92586	0	0
V169	0.07646	0.70384	0.13638	0.0591	0.02422
V170	0.27035	0.38634	0.04456	0.1632	0.13556
V171	0.34926	0.0922	0.33786	0.1549	0.06579
V172	0.19129	0.20927	0.0575	0.03469	0.50725
V173	0.23656	0.09541	0.07933	0.37418	0.21452
V174	0.23836	0.00015	0.32748	0.18831	0.2457
V175	0.09004	0.13614	0.10181	0.17147	0.50054
V176	0.40592	0	0.00231	0.53852	0.05326
V177	0.22336	0.05729	0.54561	0.1565	0.01723
V178	0.31642	0.05446	0.43308	0.09541	0.10064
V179	0.10258	0	0.00154	0.05534	0.84054
V180	0.03221	0.0219	0.30741	0.03199	0.60649
V181	0.07908	0.25632	0	0.07252	0.59208
V182	0.59615	0.22017	7e-04	0.12513	0.05785
V183	0.09396	0.8902	0.00185	0	0.01399
V184	0.36171	0.00579	0.27852	0.30301	0.05097
V185	0.12347	0.47791	0.01508	0.12651	0.25703
V186	0.1514	0.16949	0.0214	0.23284	0.42488
V187	0.10377	0.69099	0	0.17563	0.02961
V188	0.89263	0.00786	0.03074	0.05013	0.01864
V189	0.49074	0.2348	0.02971	0.21423	0.03051
V190	0.44464	0.05877	0.19325	0.00904	0.2943
V191	0.24078	0.2163	0.00044	0.38256	0.15991
V192	0.35171	0.1885	0.11131	0.18721	0.16127
V193	0.08265	0.23876	0.48031	0.03109	0.1672
V194	0.27727	0.03542	0.07344	0.10328	0.51058
V195	0.6111	0.16962	0.21394	0	0.00534
V196	0.01898	0	0.04925	0.08316	0.8486
V197	0.09275	0.87234	0.00051	0.01716	0.01725
V198	0.24853	0.21438	0.02824	0.18451	0.32433
V199	0.80277	0	0.19723	0	0
V200	0.78328	0	0.02559	7e-05	0.19106
V201	0.05587	0	0.01953	0.65795	0.26664
V202	0.94846	0.03677	0.00083	0	0.01394
V203	0.55732	0.24311	0.02091	0.03247	0.14619
V204	0.34666	0.05845	0.02669	0.01939	0.54881
V205	0.12438	0.01953	0.09968	0.09145	0.66496
V206	0.06762	0.09299	0	0.72474	0.11466
V207	0.0438	0.01309	0.00105	0.84004	0.10203
V208	0.17971	0.24612	0.44071	0.03056	0.10291
V209	0.16683	0.00723	0.08169	0.06015	0.6841
V210	0	0.06256	0.93226	0	0.00519
V211	0.16638	0.01652	0.17551	0.04948	0.59211
V212	0.08291	0.7634	0.06329	0.02585	0.06455
V213	0.11028	0	0.05118	0.24514	0.59339
V214	0.04069	0.58251	0.35075	8e-05	0.02597
V215	0.26979	0.21629	0.11707	0.07168	0.32517
V216	0.06547	0.04052	0.29125	0.05707	0.54569
V217	0.02631	0	0.02484	0.775	0.17386
V218	0.09375	0.20331	0.25952	0.31824	0.12518
V219	0.15229	0.29867	0.35433	0.1738	0.02092
V220	0.21163	0.73007	0.04779	0	0.01051
V221	0.05173	0.08131	0.45431	0.02045	0.39221
V222	0.03229	0	0.00393	0.07158	0.8922
V223	0.58527	0.00461	0.29395	0.09262	0.02355
V224	0.06367	0.5388	0.01639	0.07688	0.30426
V225	0.73201	0.15246	0.11081	0	0.00472
V226	0.47178	0.51825	0	0	0.00997
V227	0.11801	0.26335	0.00246	0.52861	0.08757
V228	0.64245	0.02028	0.24911	0.0427	0.04546
V229	0.2993	0.41113	0.23243	0.02179	0.03535
V230	0.03056	0	0.00401	0.07158	0.89385
V231	0.08801	0.61421	0.04693	0.1465	0.10435
V232	0.83453	0	0.16547	0	0
V233	0.06992	0.01374	0.1269	0.11078	0.67867
V234	0.03994	0.39675	0.19013	0.31754	0.05563
V235	0.98907	0	0.00091	0	0.01003
V236	0.0944	0.04306	0.61481	0.17897	0.06876
V237	0.14671	0.08199	0.239	0.29801	0.23429
V238	0.02387	0	0.00423	0.27256	0.69934
V239	0.08767	0.39894	0.03776	0.1599	0.31574
V240	0.08958	0.83373	0.00591	0.00623	0.06455
V241	0.07594	0.9069	0.00252	0	0.01464
V242	0.05419	0.34435	0.26505	0.2496	0.08681
V243	0.52597	0.00511	0.30049	0.00951	0.15893
V244	0.05054	0.41006	0.16328	0.0766	0.29952
V245	0.0733	0.88596	0.02304	0.0097	0.008
V246	0.6257	0.25352	0.02118	0	0.0996
V247	0.21949	0.13091	0.58429	0.03135	0.03395
V248	0.1165	0.59255	0.01591	0.01247	0.26256
V249	0.2736	0.05938	0.17963	0.09435	0.39303
V250	0.02345	0.06519	0.60851	0.03304	0.26981
V251	0.24544	0.01021	0.08194	0.55546	0.10695
V252	0.03251	0.15196	0.51379	0.13959	0.16215
V253	0.31796	0.57146	0.06834	0.02122	0.02102
V254	0.54174	0.37914	0	0.05253	0.02659
V255	0.84283	0.06073	0	0	0.09644
