Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V64	0.08178	0.0079	0.31497	0.22971	0.01203	0.0163	0.02645	0.21612	0.01926	0.07548
V65	0.08424	0.03008	0.11313	0.31721	0.01632	0.00776	0.095	0.21181	0.08075	0.0437
V66	0	0.15513	0	0	0.55199	0.02257	0.0418	0.01833	0	0.21018
V67	0.00852	0.1896	0.44612	0.07361	0.03579	0.04073	0.09559	0.01274	0.05276	0.04455
V68	0.01772	0.02143	0.05522	0	0.04844	0.02045	0.04466	0.33733	0.43771	0.01704
V69	0.02283	0.02219	0.76759	0.07745	0.03875	0.00388	0.00698	0.00149	0.04759	0.01125
V70	0.71781	0.01749	0.10253	0.02215	0.01057	0.02442	0.04266	0.01004	0.05232	0
V71	0.02982	0	0.03487	0	0.02425	0.02817	0.08371	0.76681	0	0.03236
V72	0.24374	0.04671	0.05671	0.20957	0.1387	5e-04	0.0108	0.00847	0.01084	0.27396
V73	0.01305	0.19444	0	0.00389	0.71077	0.01471	0.02352	0.00682	0	0.0328
V74	0.01468	0	0.0342	0.14333	0	0.03482	0.02067	0.00779	0.00617	0.73834
V75	0.01771	0.0986	0.23506	0.41506	0.04426	0.01348	0.00331	0.00928	0.15594	0.0073
V76	0	0.00391	0.0159	0	0.03331	0.85022	0.08759	0.00908	0	0
V77	0.00706	0.00341	0.06439	0.25633	0.02697	0.26702	0.35023	0.0077	0	0.01689
V78	0	0.47809	0.04434	0.00964	0.0508	0.00376	0.31373	0.00307	0	0.09657
V79	0.00745	0.03082	0.09664	0.2621	0.02299	0.29921	0.04764	0.00352	0.18341	0.04622
V80	0.38923	0	0.01276	0.0155	0	6e-04	0.0433	0.00372	0.02991	0.50499
V81	0	0.04488	0.03932	0.11697	0.1757	0.5553	0.06253	0.0053	0	0
V82	0.05458	0.53804	0.0753	0.20307	0.04354	0.01702	0.00915	0.04993	0.00937	0
V83	0.04318	0.07097	0.13411	0.43102	0.04701	0.00865	0.02201	0.22605	0.017	0
V84	0.01773	0.02061	0.02936	0.0162	0.13008	0.50912	0.26979	0.00711	0	0
V85	0.19908	0	0.38948	0.044	0	0.00231	0.01259	0.00257	0.02125	0.32871
V86	0.31273	0.0153	0.29627	0.30302	0.01735	0.00869	0.00458	0.00397	0.02757	0.0105
V87	0	0.05251	0.07254	0.0076	0.08094	0.01468	0.01523	4e-04	0.71775	0.03835
V88	0.00981	0.37154	0.12029	0.4291	0.03502	0.00173	0.00693	0.00227	0.02284	0.00049
V89	3e-04	0	0.01773	0.03698	0.03923	0	0.79576	0.08529	0	0.02471
V90	0.00882	0.05402	0.3292	0.03564	0	0.02217	0.01626	0.0013	0.01783	0.51477
V91	0.03272	0.01433	0.74958	0.06936	0.04273	0.00391	0.0079	0.00731	0.04965	0.02251
V92	0	0.00639	0.01459	0.0121	0.03529	0.00172	0.86161	0.01149	0.02524	0.03157
V93	0.00071	0.0581	0.11278	0.00791	0.04326	0.00532	0.3198	0.02032	0.40106	0.03074
V94	0.81339	0.01124	0.04805	0.01823	0.00713	0.02271	0.03244	0.02949	0.0064	0.01091
V95	0	0.00925	0.01891	0.00238	0.04614	0.00291	0.635	0.26919	0	0.01621
V96	0.03093	0.1357	0.3585	0.34873	0.02733	0.01898	0.00446	0.01454	0.04558	0.01525
V97	0	0	0.0093	0.01081	0.01346	0	0.79055	0.01029	0	0.16559
V98	0	0.33154	0.02889	0.04409	0.17637	0.02022	0.06005	0.07619	0.09636	0.16627
V99	0.63026	0.01086	0.04552	0.01494	0.01772	0.00123	0.08876	0.0104	0.16444	0.01587
V100	0.21977	0.02196	0.07614	0.17521	0.04271	0.30759	0.05758	0.00448	0.07477	0.01979
V101	0	0	0	0.00097	0	0.06921	0.17707	0.02932	0	0.72343
V102	0.03665	0.23979	0.01951	0	0.10757	0.29308	0.19179	0.08989	0	0.02171
V103	0.1093	0.02473	0.07144	0.00911	0.02789	0.01349	0.01534	0.01015	0.66797	0.05059
V104	0.03378	0.01133	0.7679	0.06599	0.03119	0.00417	0.0073	0.00141	0.06518	0.01174
V105	0.37255	0.00227	0.12366	0.01211	0.02178	0.14403	0.04985	0.27377	0	0
V106	0.00191	0.66731	0.20744	0.01966	0.04647	0.02272	0.0077	0	0.01206	0.01474
V107	0.27239	0.25365	0.03082	0.01122	0.27592	0.01604	0.02226	0.03151	0.07692	0.00927
V108	0.00146	0	0.03621	0.11263	0	0.37805	0.05359	0.02151	0	0.39656
V109	0	0.02575	0.01959	0	0.0412	0.81183	0.09335	0.00828	0	0
V110	0	0.19004	0	0	0.69933	0.00065	0.01948	0.05902	0	0.03147
V111	0	0.01813	0.00774	0.01711	0.1217	0	0.7826	0.01008	0	0.04263
V112	0.00026	0.00473	0.00915	0.00924	0	0	0.65311	0.00865	0.02562	0.28924
V113	0.01646	0.00332	0.04923	0	0	0.07775	0.04652	0.0261	0.50497	0.27564
V114	0.01961	0.02521	0.08621	0	0.03118	0.01519	0.01647	0.01047	0.7385	0.05718
V115	0	0.84917	0.03028	0.00693	0.05926	0.00183	0.02639	0.00014	0.0122	0.01378
V116	0.47949	0.09242	0.04569	0.00492	0.01956	0.01488	0.04828	0.29476	0	0
V117	0.013	0	0.01206	0.0123	0.0326	0	0.88829	0.01183	0	0.02993
V118	0.01602	0	0.01932	0	0.029	0.82691	0.09363	0.01513	0	0
V119	0.01586	0.0355	0.12239	0.47497	0.0342	0.19756	0.04618	0.00415	0.06918	0
V120	0.63273	0.01031	0.20483	0.02875	0.01244	0.07518	0.01756	0.00496	0.00955	0.00369
V121	0.03818	0.10374	0.24129	0.02731	0.03858	0.10798	0.3464	0.01675	0.00586	0.07392
