	T Cells	Mono	B Cells	NK
HD30_PBMC_0	0	0	0	0.0102
HD30_PBMC_1	0	0	0	0.0019
HD30_PBMC_3	0.0054	0	0	0.0092
HD30_PBMC_7	0.0057	0	0.0156	0.0074
HD31_PBMC_0	0.0047	3.00E-04	0.0339	0
HD31_PBMC_1	0.0081	0	0.0384	0
HD31_PBMC_3	0.0171	0	0.0112	0
HD31_PBMC_7	0.0158	0	0.014	0
