"gene_symbol","Monocytes","Neutrophils","B_cells","NK_cells","T_cells_CD4.","Macrophages",,,,,,,,,,,"Plasma_cells_CD138.","Platelets","Reticulocytes","Subcutaneous_Adipose","T_cells_CD3.",,"T_cells_CD8.","T_cells_Gamma_Delta","T_cells_Regulatory","Vascular_Endothelial_Cells"
"DEFA5",19.651489,22.886656,19.044496,18.731584,19.36,20.1601,,,,,,,,,,,22.240656,19.4481,25.170289,16.3216,17.901361,,19.642624,18.792225,20.052484,18.844281
"DEFA6",27.994681,30.217009,25.7049,28.430224,27.867841,27.7729,,,,,,,,,,,27.092025,30.052324,37.675044,24.9001,28.323684,,26.584336,26.563716,27.405225,25.250625
"DEFB1",30.338064,28.569025,25.654225,25.060036,24.820324,34.421689,,,,,,,,,,,28.291761,28.398241,36.4816,44.849809,25.786084,,25.836889,22.992025,26.977636,21.986721
"DEFB114",8.708401,8.922169,8.904256,8.567329,8.392609,8.602489,,,,,,,,,,,8.242641,9.715689,9.278116,8.037225,8.608356,,8.755681,8.415801,8.514724,8.755681
"DEFB118",33.977241,38.875225,29.235649,32.307856,33.246756,33.547264,,,,,,,,,,,38.464804,41.809156,50.751376,30.846916,33.616804,,32.535616,31.685641,32.353344,30.371121
"DEFB119",14.837904,15.729156,14.485636,14.220441,14.630625,14.776336,,,,,,,,,,,15.429184,16.957924,21.483225,13.169641,14.768649,,14.922769,15.295921,15.264649,14.577124
"DEFB121",17.9776,20.394256,16.793604,18.139081,17.783089,18.9225,,,,,,,,,,,19.333609,17.986081,35.081929,16.289296,17.774656,,17.413929,18.344089,17.147881,17.766225
"DEFB122",13.830961,16.999129,13.564489,13.147876,12.830724,13.483584,,,,,,,,,,,12.988816,13.786369,17.205904,11.229201,12.723489,,13.432225,12.96,13.3956,12.475024
"DEFB123",26.265625,29.030544,25.532809,25.969216,26.3169,25.411681,,,,,,,,,,,27.436644,35.545444,39.967684,22.610025,27.102436,,26.574025,24.423364,29.127609,23.668225
"DEFB124",34.409956,37.149025,31.080625,36.445369,32.2624,35.426304,,,,,,,,,,,31.730689,29.757025,48.539089,33.339076,32.649796,,33.120025,35.509681,30.658369,32.592681
"DEFB125",14.295961,15.21,13.5424,13.697401,13.942756,14.531344,,,,,,,,,,,15.256836,17.480761,22.524516,12.425625,13.446889,,14.085009,13.402921,13.410244,13.337104
"DEFB126",13.593969,15.062161,13.213225,14.122564,13.373649,13.801225,,,,,,,,,,,13.630864,13.476241,15.800625,11.587216,12.830724,,13.410244,13.337104,13.424896,12.8164
"DEFB127",12.924025,13.868176,12.802084,12.680721,12.730624,12.645136,,,,,,,,,,,13.8384,12.916836,24.393721,11.819844,12.145225,,13.155129,12.8164,13.271449,12.013156
"DEFB129",11.035684,11.751184,10.791225,11.082241,10.883401,11.182336,,,,,,,,,,,12.082576,13.242321,14.205361,9.721924,10.909809,,11.0889,10.936249,10.995856,10.621081
"DEFB132",11.122225,10.679824,11.102224,10.929636,10.9561,11.2896,,,,,,,,,,,10.909809,11.437924,11.634921,14.311089,10.903204,,10.719076,11.329956,11.594025,11.115556
"DEFB4A",36.084049,40.615129,30.591961,37.015056,35.868121,36.578304,,,,,,,,,,,45.495025,36.216324,52.5625,28.955161,31.708161,,33.64,30.969225,35.605089,32.0356
"DEGS1",83.484769,74.063236,79.602084,76.685049,77.951241,87.721956,,,,,,,,,,,66.896041,46.308025,26.749584,88.661056,69.639025,,68.657796,104.325796,66.814276,99.6004
"DEGS2",31.114084,31.449664,34.751025,29.138404,29.4849,32.330596,,,,,,,,,,,35.8801,40.525956,46.457856,25.623844,34.762816,,30.272004,28.005264,32.890225,27.1441
"DEK",116.057529,99.940009,118.1569,128.640964,126.540001,113.294736,,,,,,,,,,,38.291344,105.555076,18.679684,110.397049,114.2761,,113.529025,139.901584,121.771225,111.112681
"DEM1",26.193924,25.482304,31.719424,33.663204,30.162064,29.062881,,,,,,,,,,,22.061809,24.4036,21.335161,25,31.047184,,30.8025,34.503876,30.173049,29.8116
"DENND1A",52.359696,44.635761,37.258816,38.365636,35.366809,43.204329,,,,,,,,,,,37.847104,28.100601,38.588944,32.512804,32.228329,,34.892649,43.705321,34.892649,47.527236
"DENND1B",29.550096,25.321024,31.460881,42.237001,33.0625,33.5241,,,,,,,,,,,31.719424,22.2784,15.610401,25.040016,29.866225,,31.002624,41.3449,36.421225,17.514225
"DENND1C",57.108249,65.739664,66.373609,68.89,70.543201,50.922496,,,,,,,,,,,50.651689,46.403344,48.080356,30.382144,70.677649,,73.736569,72.454144,72.386064,24.196561
"DENND2A",20.295025,20.748025,20.268004,19.088161,20.052484,20.304036,,,,,,,,,,,22.165264,23.088025,28.976689,31.169889,21.846276,,20.052484,19.963024,21.464689,22.953681
"DENND2C",23.222761,24.820324,23.435281,23.280625,23.097636,24.117921,,,,,,,,,,,33.732864,36.626704,28.206721,26.790976,22.714756,,24.522304,20.930625,22.953681,29.855296
"DENND2D",56.866681,57.881664,73.513476,96.648561,105.760656,82.482724,,,,,,,,,,,47.430769,81.198121,35.224225,43.996689,110.019121,,100.902025,95.160025,99.560484,27.4576
"DENND3",55.3536,87.142225,51.955264,49.787136,36.699364,41.977441,,,,,,,,,,,49.154121,39.828721,41.615401,39.879225,32.8329,,38.291344,50.9796,37.039396,48.846121
"DENND4A",47.210641,42.614784,61.811044,59.397849,51.825601,41.951529,,,,,,,,,,,34.786404,46.594276,20.097289,33.930625,45.792289,,50.822641,62.631396,47.761921,49.2804
"DENND4B",91.814724,94.926049,101.848464,90.706576,87.216921,87.086224,,,,,,,,,,,66.945124,69.405561,59.105344,69.989956,89.8704,,93.045316,84.934656,86.992929,71.385601
"DENND4C",45.549001,35.796289,46.662561,60.933636,52.359696,62.078641,,,,,,,,,,,33.2929,61.6225,24.039409,55.995289,44.715969,,53.831569,53.684929,52.027369,51.638596
"DENND5A",115.047076,138.909796,74.597769,69.255684,78.4996,99.8001,,,,,,,,,,,32.649796,64.866916,36.796356,98.128836,80.730225,,78.605956,43.256929,57.426084,97.4169
"DENND5B",16.966161,16.573041,36.288576,15.713296,15.776784,19.580625,,,,,,,,,,,34.5744,18.966025,19.386409,23.941449,16.4836,,15.960025,15.163236,16.032016,27.615025
"DENR",43.520409,40.018276,51.380224,52.316289,52.867441,43.230625,,,,,,,,,,,36.626704,35.617024,16.834609,45.400644,48.316401,,48.455521,57.471561,50.2681,49.942489
"DEPDC1",14.417209,15.452761,18.292729,24.7009,18.584721,17.255716,,,,,,,,,,,20.376196,18.636489,21.724921,12.054784,15.007876,,15.429184,34.281025,15.3664,35.6409
"DEPDC1B",13.242321,12.510369,18.584721,30.404196,21.3444,15.880225,,,,,,,,,,,21.427641,13.315201,14.1376,10.549504,16.297369,,15.374241,77.070841,19.201924,32.638369
"DEPDC4",10.439361,10.504081,10.6276,10.517049,10.751841,10.543009,,,,,,,,,,,10.188864,11.703241,11.444689,10.086976,10.719076,,10.614564,10.5625,11.242609,10.342656
"DEPDC5",45.643536,42.6409,58.537801,45.657049,44.169316,45.900625,,,,,,,,,,,38.044224,42.224004,44.448889,38.800441,44.997264,,44.422225,45.239076,45.927729,39.980329
"DEPDC6",19.758025,19.149376,16.7281,18.593344,19.1844,20.232004,,,,,,,,,,,43.007364,19.254544,38.081241,31.080625,16.410601,,19.749136,16.679056,17.3056,23.7169
"DEPDC7",15.563025,11.532816,10.995856,17.214201,16.200625,15.665764,,,,,,,,,,,9.828225,12.694969,10.725625,13.734436,15.3664,,16,10.227204,11.3569,10.208025
"DERA",72.0801,37.847104,71.0649,76.615009,63.984001,79.655625,,,,,,,,,,,58.003456,127.170729,16.613776,73.839649,59.474944,,58.400164,55.457809,71.048041,89.170249
"DERL1",64.336441,56.1001,72.726784,75.481344,65.302561,70.341769,,,,,,,,,,,82.591744,50.098084,33.2929,62.062884,64.995844,,67.683529,73.96,67.634176,63.600625
"DERL2",71.791729,66.896041,74.978281,77.246521,73.513476,71.081761,,,,,,,,,,,78.074896,60.980481,49.801249,65.674816,64.513024,,71.791729,70.324996,77.105961,68.823616
"DERL3",37.773316,36.493681,42.341049,32.239684,34.304449,35.748441,,,,,,,,,,,69.8896,43.652449,58.171129,32.524209,37.724164,,33.686416,34.668544,35.952016,32.126224
"DES",21.206025,22.572001,21.3444,21.123216,21.086464,21.473956,,,,,,,,,,,22.137025,23.629321,22.619536,22.268961,22.401289,,22.486564,21.548164,23.648769,20.088324
"DET1",39.037504,26.512201,38.278969,36,40.947201,42.732369,,,,,,,,,,,47.900241,33.419961,33.327529,46.7856,40.347904,,34.421689,42.198016,33.977241,49.5616
"DEXI",45.508516,41.203561,47.018449,55.6516,56.5504,55.920484,,,,,,,,,,,61.1524,61.042969,53.655625,61.1524,59.675625,,59.228416,56.040196,51.108201,67.486225
"DFFA",48.344209,35.236096,54.081316,54.081316,53.816896,52.649536,,,,,,,,,,,47.637604,40.259025,41.434969,52.606009,52.823824,,52.548001,68.840209,46.854025,64.464841
"DFFB",35.153041,25.969216,43.811161,48.706441,45.900625,30.902481,,,,,,,,,,,30.869136,29.181604,16.434916,28.206721,42.458256,,46.689889,39.980329,43.270084,35.557369
"DFNA5",48.135844,26.4196,44.116164,25.999801,29.408929,86.601636,,,,,,,,,,,29.8116,41.718681,36.108081,56.160036,25.080064,,23.833924,22.543504,23.280625,72.199009
"DFNB31",26.6256,29.463184,31.651876,26.687556,26.142769,25.190361,,,,,,,,,,,30.415225,25.897921,27.793984,24.522304,26.481316,,29.942784,27.793984,25.887744,22.401289
"DFNB59",16.966161,16.3216,29.246464,17.497489,22.629049,21.040569,,,,,,,,,,,19.289664,21.206025,20.4304,32.6041,22.410756,,24.078649,16,25.411681,18.593344
"DGAT1",56.430144,59.274601,47.582404,44.796249,51.1225,55.920484,,,,,,,,,,,45.077796,22.800625,37.246609,68.790436,48.7204,,45.603009,53.772889,55.249489,53.904964
"DGAT2",54.523456,101.384761,39.425841,33.097009,32.524209,46.294416,,,,,,,,,,,46.991025,40.678884,56.025225,115.498009,33.651601,,31.933801,40.271716,30.107169,30.713764
"DGCR10",18.088009,19.254544,18.507204,16.941456,17.338896,18.344089,,,,,,,,,,,20.912329,20.232004,22.458121,16.621929,19.811401,,18.447025,18.2329,18.369796,17.943696
"DGCR11",33.154564,39.526369,31.002624,32.684089,32.444416,32.7184,,,,,,,,,,,38.750625,35.093776,36.469521,30.791401,32.228329,,32.535616,35.462025,34.363044,35.5216
"DGCR12",20.684304,22.353984,19.027044,19.527561,20.232004,20.939776,,,,,,,,,,,21.724921,20.967241,28.686736,18.498601,21.206025,,19.847025,19.775809,20.566225,20.115225
"DGCR14",39.576681,40.972801,40.640625,39.69,41.293476,37.970244,,,,,,,,,,,37.197801,35.557369,41.783296,34.81,41.280625,,40.793769,41.770369,44.555625,39.715204
"DGCR2",46.416969,55.323844,45.603009,44.395569,48.5809,44.715969,,,,,,,,,,,46.022656,48.678529,45.198729,41.422096,49.603849,,47.183161,45.954841,50.41,47.914084
"DGCR5",30.880249,32.558436,30.206016,27.300625,28.164249,30.118144,,,,,,,,,,,29.354724,37.3321,38.464804,25.452025,30.173049,,28.132416,29.289744,32.649796,26.152996
"DGCR6L",27.520516,29.181604,28.665316,26.563716,27.751824,26.635921,,,,,,,,,,,31.573161,28.965924,35.319249,22.080601,29.116816,,28.697449,27.499536,36.869184,24.7009
"DGCR7",26.604964,26.708224,24.423364,24.820324,25.210441,26.697889,,,,,,,,,,,28.419561,33.028009,34.304449,22.439169,25.715041,,24.3049,25.512601,26.409321,23.011209
"DGCR8",38.638656,31.741956,41.718681,42.784681,40.819321,38.900169,,,,,,,,,,,31.967716,33.281361,40.373316,41.3449,42.432196,,43.494025,48.344209,45.6976,43.494025
"DGCR9",34.269316,37.785609,31.102929,31.730689,31.5844,33.212169,,,,,,,,,,,36.566209,38.390416,57.532225,29.506624,34.845409,,32.387481,30.935844,32.398864,31.326409
"DGKA",47.004736,50.197225,60.341824,38.093584,77.510416,34.869025,,,,,,,,,,,33.039504,33.674809,43.217476,34.951744,79.334649,,68.989636,64.625521,59.9076,50.310649
"DGKB",11.062276,11.532816,11.009124,10.660225,10.863616,11.075584,,,,,,,,,,,11.930116,12.131289,12.96,10.010896,10.778089,,11.102224,11.075584,11.526025,10.850436
"DGKD",74.666881,78.996544,102.434641,83.795716,80.227849,56.130064,,,,,,,,,,,64.722025,100.701225,65.626201,58.186384,81.252196,,90.973444,61.575409,81.1801,61.4656
"DGKE",18.173169,17.247409,23.088025,24.810361,24.790441,16.883881,,,,,,,,,,,21.409129,18.696976,18.696976,18.966025,23.629321,,26.061025,24.621444,25.060036,22.052416
"DGKG",21.288996,22.155849,21.288996,16.6464,16.679056,20.857489,,,,,,,,,,,18.156121,20.720704,23.9121,16.760836,15.737089,,16.875664,16.7281,16.451136,16.297369
"DGKH",15.413476,13.972644,14.348944,13.727025,15.358561,19.731364,,,,,,,,,,,12.3904,19.166884,17.3056,12.916836,15.155449,,15.944049,14.714896,15.108769,18.541636
"DGKI",16.313521,17.833729,15.405625,15.896169,15.872256,16.662724,,,,,,,,,,,16.793604,18.696976,24.235929,18.541636,16.032016,,16.289296,17.935225,16.064064,20.593444
"DGKQ",37.687321,36.517849,43.230625,48.177481,44.609041,42.289009,,,,,,,,,,,31.326409,35.319249,35.976004,32.6041,45.104656,,49.182169,44.863204,49.885969,42.276004
"DGKZ",43.731769,45.468049,32.307856,43.56,41.332041,40.564161,,,,,,,,,,,33.64,35.188624,36.893476,34.012224,41.177889,,44.782864,47.238129,36.917776,40.640625
"DGUOK",44.328964,42.276004,47.416996,46.730896,45.805824,41.873841,,,,,,,,,,,38.850289,31.192225,30.8025,38.464804,44.568976,,45.589504,54.007801,37.295449,49.182169
"DHCR24",38.0689,35.557369,41.964484,57.684025,45.346756,71.673156,,,,,,,,,,,41.3449,38.180041,40.259025,68.359824,44.983849,,39.866596,69.488896,35.058241,76.825225
"DHCR7",33.0625,36.180225,37.185604,44.209201,44.689225,40.513225,,,,,,,,,,,52.027369,40.081561,34.739236,42.497361,39.325441,,38.427601,65.1249,41.319184,71.199844
"DHDDS",47.0596,41.783296,47.596201,45.630025,47.3344,53.890281,,,,,,,,,,,51.494976,43.573201,48.135844,64.657681,46.526041,,44.475561,56.610576,44.943616,53.949025
"DHDH",26.357956,25.938649,24.443136,24.324624,26.142769,31.945104,,,,,,,,,,,27.133681,31.956409,36.180225,21.9024,27.394756,,25.959025,25.948836,28.976689,22.886656
"DHDPSL",19.7136,23.126481,19.342404,20.466576,20.286016,19.616041,,,,,,,,,,,24.019801,20.358144,26.687556,29.300569,19.000881,,19.927296,17.943696,20.25,24.275329
"DHFR",33.281361,31.708161,45.914176,57.532225,47.803396,36.542025,,,,,,,,,,,45.751696,32.046921,31.8096,59.737441,43.099225,,42.863209,89.245809,42.823936,51.595489
"DHFRL1",33.628401,31.192225,38.8129,44.422225,47.568609,38.130625,,,,,,,,,,,32.103556,36.614601,23.980609,40.844881,45.037521,,40.360609,45.050944,45.887076,32.410249
"DHH",19.731364,17.850625,17.505856,16.305444,17.505856,18.224361,,,,,,,,,,,18.844281,20.985561,24.930049,16.540489,18.905104,,17.089956,18.800896,18.447025,20.848356
"DHODH",25.230529,24.344356,29.953729,27.952369,29.778849,25.735329,,,,,,,,,,,28.132416,27.793984,34.093921,24.167056,29.474041,,27.709696,32.867289,26.4196,24.275329
"DHPS",56.836521,45.2929,60.403984,53.846244,63.282025,56.490256,,,,,,,,,,,63.154809,36.699364,47.61,51.423241,60.140025,,56.490256,75.759616,50.908225,63.824121
"DHRS1",57.410929,56.115081,60.886809,56.055169,63.441225,64.738116,,,,,,,,,,,60.3729,50.239744,54.0225,68.260644,60.777616,,55.547209,56.385081,61.058596,70.576801
"DHRS11",19.166884,15.928081,20.259001,21.501769,23.367556,37.258816,,,,,,,,,,,30.261001,16.8921,24.1081,48.427681,19.4481,,19.123129,35.1649,18.844281,37.405456
"DHRS12",30.658369,37.797904,33.884041,25.887744,30.791401,29.735209,,,,,,,,,,,28.217344,29.062881,32.092225,35.4025,32.307856,,31.550689,30.316036,33.005025,31.618129
"DHRS13",42.341049,67.716441,51.151104,55.2049,57.942544,38.489616,,,,,,,,,,,52.243984,35.964009,46.24,33.454656,57.532225,,55.935441,68.475625,53.450721,50.665924
"DHRS2",22.972849,23.892544,21.958596,23.3289,25.341156,22.810176,,,,,,,,,,,24.980004,27.636049,30.9136,20.034576,22.791076,,22.733824,59.059225,22.724289,24.720784
"DHRS3",46.498761,39.025009,28.579716,75.3424,63.856081,66.080641,,,,,,,,,,,42.667024,61.732449,54.804409,96.6289,59.320804,,60.466176,45.0241,49.126081,72.948681
"DHRS7",34.562641,39.702601,29.888089,33.849124,30.173049,31.933801,,,,,,,,,,,30.824704,27.4576,24.492601,29.419776,30.6916,,34.81,33.269824,28.611801,29.019769
"DHRS7B",53.012961,40.998409,38.638656,41.809156,39.589264,57.274624,,,,,,,,,,,47.665216,32.285124,30.724849,62.41,35.2836,,34.597924,59.892121,36.759969,56.160036
"DHRS7C",23.203489,23.824161,22.202944,20.8849,21.538881,22.353984,,,,,,,,,,,25.452025,24.088464,35.236096,20.142144,23.6196,,21.696964,23.707161,22.905796,21.132409
"DHRS9",54.686025,68.873401,37.051569,26.347689,26.491609,70.778569,,,,,,,,,,,52.316289,28.376929,35.808256,34.892649,25.989604,,25.857225,22.429696,24.078649,22.886656
"DHRSX",44.876601,55.249489,41.306329,41.499364,39.955041,52.041796,,,,,,,,,,,39.828721,36.820624,44.049769,44.195904,37.393225,,39.513796,45.454564,42.159049,48.0249
"DHTKD1",44.462224,54.922921,67.305616,46.7856,43.059844,43.8244,,,,,,,,,,,50.665924,38.328481,32.787076,47.361924,36.144144,,39.627025,47.004736,38.875225,51.022449
"DHX15",105.8841,79.816356,114.404416,113.678244,110.019121,107.226025,,,,,,,,,,,85.655025,70.913241,22.591009,100.902025,104.346225,,103.530625,125.574436,114.169225,107.371044
"DHX16",70.123876,63.760225,73.034116,69.505569,75.151561,69.923044,,,,,,,,,,,58.277956,52.635025,32.592681,62.773929,76.090729,,71.673156,81.216144,79.798489,68.211081
"DHX29",44.863204,32.547025,45.981961,48.790225,46.24,45.941284,,,,,,,,,,,42.732369,32.49,23.931664,49.900096,42.994249,,44.528929,50.083929,45.914176,50.211396
"DHX30",35.724529,29.149201,40.640625,39.828721,40.4496,35.497764,,,,,,,,,,,39.627025,28.483569,30.735936,33.663204,41.667025,,41.139396,44.129449,40.106889,39.225169
"DHX32",63.8401,48.135844,57.729604,61.293241,61.3089,72.114064,,,,,,,,,,,62.8849,70.308225,54.081316,68.310225,58.706244,,57.093136,50.481025,58.308496,80.2816
"DHX33",54.346384,37.9456,60.295225,58.201641,59.721984,53.611684,,,,,,,,,,,50.737129,40.602384,45.657049,55.323844,57.0025,,57.623281,73.119601,55.383364,69.022864
"DHX34",29.278921,42.9025,27.762361,24.810361,26.8324,27.973521,,,,,,,,,,,25.918281,25.1001,27.9841,22.297284,27.279729,,26.255376,30.316036,27.531009,26.091664
"DHX35",24.000201,19.989841,25.623844,24.7009,25.090081,25.9081,,,,,,,,,,,20.0704,18.224361,21.566736,23.843689,24.641296,,26.357956,35.4025,24.443136,25.553025
"DHX36",57.562569,51.897616,69.288976,71.014329,67.469796,57.972996,,,,,,,,,,,51.595489,47.389456,35.581225,63.457156,70.190884,,70.3921,69.139225,71.351809,59.474944
"DHX37",41.165056,33.074001,49.449024,41.628304,41.964484,41.113744,,,,,,,,,,,40.043584,42.614784,44.555625,33.466225,45.0241,,43.309561,52.027369,43.626025,40.182921
"DHX38",53.333809,48.455521,57.320041,50.239744,53.523856,53.509225,,,,,,,,,,,48.385936,43.665664,51.008164,51.322896,54.745201,,51.739249,61.512649,47.527236,57.198969
"DHX40",68.178049,75.916369,71.048041,69.572281,69.772609,60.575089,,,,,,,,,,,55.442916,59.228416,37.503376,78.552769,64.995844,,68.194564,71.385601,69.505569,81.558961
"DHX57",28.037025,20.034576,29.289744,25.623844,25.210441,24.354225,,,,,,,,,,,22.543504,23.116864,21.930489,25.040016,25.050025,,26.142769,27.604516,29.680704,26.532801
"DHX58",45.4276,41.460721,45.414121,41.977441,45.064369,47.210641,,,,,,,,,,,30.162064,36.978561,47.7481,38.291344,45.077796,,43.178041,44.782864,46.635241,33.454656
"DHX8",47.872561,49.970761,44.582329,44.289025,45.4276,46.280809,,,,,,,,,,,39.627025,32.296489,41.139396,36.638809,44.568976,,44.930209,47.582404,48.399849,47.955625
"DHX9",54.878464,52.591504,62.504836,61.418569,61.042969,53.494596,,,,,,,,,,,48.274704,40.870449,27.594009,45.360225,59.059225,,58.262689,86.3041,54.3169,62.758084
"DIABLO",83.594449,78.872161,85.063729,88.435216,84.4561,87.9844,,,,,,,,,,,74.666881,66.569281,54.449641,74.114881,79.816356,,82.955664,93.663684,81.812025,94.770225
"DIAPH1",73.564929,74.459641,63.457156,76.842756,71.351809,68.2276,,,,,,,,,,,58.782889,74.511424,62.694724,53.187849,72.029169,,73.410624,79.014321,72.182016,63.664441
"DIAPH2",39.350529,26.286129,31.483321,27.541504,28.601104,38.390416,,,,,,,,,,,24.088464,26.122321,20.1601,53.479969,28.334329,,30.8025,29.095236,31.416025,47.293129
"DIAPH3",16.443025,17.181025,17.791524,23.068809,18.844281,18.079504,,,,,,,,,,,18.1476,18.601969,19.909444,14.273284,16.184529,,17.338896,37.417689,17.497489,30.702681
"DICER1",44.582329,50.041476,45.724644,40.119556,39.639616,43.362225,,,,,,,,,,,32.024281,37.613689,19.492225,44.836416,42.614784,,40.119556,40.998409,40.768225,38.763076
"DIDO1",45.373696,44.970436,54.110736,52.056225,54.567769,42.25,,,,,,,,,,,38.44,40.106889,36.881329,46.580625,53.406864,,52.809289,52.403121,51.351556,44.3556
"DIMT1L",43.6921,26.173456,53.246209,49,54.967396,46.144849,,,,,,,,,,,48.399849,46.253601,25.050025,49.829481,51.681721,,50.9796,63.600625,47.004736,60.824401
"DIO1",12.609601,12.369289,12.1801,11.888704,11.868025,13.653025,,,,,,,,,,,12.376324,13.198689,14.152644,11.095561,11.6281,,11.985444,12.208036,11.716929,11.999296
"DIO2",21.958596,23.4256,21.233664,21.613201,21.669025,22.439169,,,,,,,,,,,23.290276,24.532209,31.125241,24.681024,21.362884,,21.724921,21.650409,23.853456,20.584369
"DIO3",33.051001,32.024281,32.478601,28.068804,30.118144,30.880249,,,,,,,,,,,32.49,40.921609,38.489616,31.787044,34.035556,,32.501401,30.382144,33.258289,28.504921
"DIO3-OS",27.123264,29.246464,26.388769,24.780484,26.183689,27.071209,,,,,,,,,,,28.9444,28.879876,37.748736,27.206656,27.373824,,26.512201,25.2004,27.973521,24.790441
"DIP2A",29.560969,30.558784,32.49,40.106889,35.141184,29.637136,,,,,,,,,,,23.658496,35.354916,22.439169,27.815076,34.656769,,39.753025,33.431524,44.102881,29.539225
"DIP2B",36.012001,48.706441,41.809156,34.539129,38.862756,34.3396,,,,,,,,,,,26.460736,28.174864,20.866624,33.097009,35.390601,,33.686416,30.404196,43.639236,32.2624
"DIP2C",24.760576,26.071236,32.353344,26.532801,31.888609,32.319225,,,,,,,,,,,27.478564,31.674384,28.451556,57.881664,29.452329,,30.514576,25.411681,33.1776,45.2929
"DIRAS1",24.760576,25.725184,27.931225,22.335076,23.580736,26.081449,,,,,,,,,,,29.942784,31.393609,31.945104,21.594609,25.020004,,23.222761,23.990404,23.707161,23.464336
"DIRAS2",11.6964,12.124324,11.744329,11.655396,11.296321,14.799409,,,,,,,,,,,15.335056,13.667809,12.292036,10.686361,11.323225,,12.138256,11.082241,11.553201,14.814801
"DIRAS3",13.5424,14.190289,13.512976,14.432401,13.786369,14.190289,,,,,,,,,,,19.395216,13.527684,14.175225,16.719921,12.845056,,14.861025,13.089924,13.278736,21.123216
"DIRC1",11.758041,11.621281,11.923209,11.600836,11.710084,11.812969,,,,,,,,,,,11.930116,12.453841,13.446889,11.519236,11.553201,,11.485321,12.201049,12.475024,11.888704
"DIRC2",43.520409,54.361129,29.398084,26.532801,24.462916,48.1636,,,,,,,,,,,30.294016,21.169201,27.9841,34.3396,22.857961,,25.180324,19.554084,26.967249,39.363076
"DIRC3",23.833924,23.785129,25.150225,22.043025,26.040609,25.857225,,,,,,,,,,,28.643904,27.102436,30.614089,29.452329,23.600164,,23.639044,24.127744,26.718561,21.930489
"DIS3",40.921609,33.628401,45.333289,48.177481,44.6224,39.601849,,,,,,,,,,,30.569841,24.334489,25.180324,45.778756,38.900169,,44.235801,54.287424,41.615401,46.607929
"DIS3L",50.211396,30.869136,66.667225,63.632529,64.995844,56.4001,,,,,,,,,,,56.310016,37.613689,30.459361,69.872881,61.544025,,66.145689,74.580496,58.415449,61.027344
"DIS3L2",28.238596,21.022225,40.717161,35.964009,40.360609,26.224641,,,,,,,,,,,27.175369,25.775929,22.486564,29.235649,41.563809,,40.678884,33.166081,47.955625,27.888961
"DISC1",24.255625,27.405225,20.142144,22.297284,23.145721,23.444964,,,,,,,,,,,22.924944,23.687689,31.730689,19.368801,23.435281,,21.883684,21.538881,23.107249,20.647936
"DISP1",24.532209,20.602521,33.582025,25.040016,24.039409,38.167684,,,,,,,,,,,22.638564,20.7025,20.775364,33.767721,24.920064,,27.196225,26.594649,26.347689,26.801329
"DISP2",25.040016,26.081449,23.222761,27.468081,23.931664,30.1401,,,,,,,,,,,28.4089,27.688644,38.427601,22.212369,25.959025,,24.830289,27.499536,25.190361,32.844361
"DIXDC1",29.441476,27.04,25.321024,27.269284,30.669444,35.688676,,,,,,,,,,,29.735209,28.9444,33.443089,46.416969,29.073664,,29.041321,35.6409,30.448324,35.366809
"DKC1",66.145689,54.76,80.802121,76.527504,75.134224,65.157184,,,,,,,,,,,71.0649,52.693081,49.744809,60.652944,76.2129,,73.908409,94.945536,66.308449,75.672601
"DKFZP434C153",16.475481,16.144324,18.679684,16.345849,17.799961,15.904144,,,,,,,,,,,16.933225,20.034576,21.427641,15.8404,19.079424,,18.740241,13.920361,17.64,15.563025
"DKFZP434F142",18.645124,21.418384,17.572864,17.514225,19.061956,18.844281,,,,,,,,,,,23.1361,20.151121,27.751824,16.2409,16.556761,,17.564481,19.105641,19.651489,17.631601
"DKFZP434H168",18.5761,18.567481,17.447329,16.048036,17.598025,18.335524,,,,,,,,,,,21.261321,21.058921,24.790441,16.556761,19.9809,,17.833729,17.247409,17.422276,17.230801
"DKFZP434I0714",24.4036,21.132409,28.526281,26.894596,32.080896,21.492496,,,,,,,,,,,35.617024,27.405225,16.516096,24.681024,24.880144,,24.334489,25.563136,25.826724,23.541904
"DKFZP434K028",33.512521,33.258289,31.933801,30.6916,32.867289,32.913169,,,,,,,,,,,35.247969,37.957921,42.889401,31.494544,36.024004,,32.467204,32.901696,34.762816,33.0625
"DKFZP434L187",15.280281,15.776784,15.737089,15.8404,15.000129,14.984641,,,,,,,,,,,15.484225,16.597476,19.855936,14.243076,16.532356,,16.410601,15.225604,16.900321,13.830961
"DKFZP547L112",26.368225,26.3169,26.368225,24.098281,24.344356,24.820324,,,,,,,,,,,25.8064,29.909961,29.2681,22.810176,28.912129,,25.391521,24.760576,29.4849,22.420225
"DKFZP586I1420",81.866304,66.699889,98.227921,86.062729,88.830625,72.216004,,,,,,,,,,,60.855601,73.770921,45.859984,77.316849,83.101456,,88.811776,62.346816,131.882256,42.732369
"DKFZP761C1711",12.061729,12.278016,13.535041,11.634921,12.243001,12.25,,,,,,,,,,,13.082689,14.868736,16.949689,12.845056,12.545764,,12.475024,11.229201,14.265729,11.485321
"DKFZp434E1119",18.948609,20.620681,19.149376,18.896409,19.430464,18.887716,,,,,,,,,,,19.412836,21.409129,24.255625,17.363889,19.105641,,19.571776,17.952169,21.492496,17.909824
