gene_symbol,ACD,ACN,ALO,ATD,BCC,BU,CHA,DLE,ENL,ICD,LL,MEL,MF,NS,PS,RR,SAR,SCC,SJS,WA,WPO
PLAA,63.696,115.956,56.460,69.873,74.500,78.444,81.983,48.352,56.172,65.939,70.407,53.762,73.127,77.273,90.045,68.843,144.440,94.760,76.913,119.178,154.088
PLAC1,22.989,23.445,23.300,25.441,32.720,25.411,21.483,28.371,27.100,44.836,26.307,37.171,40.882,26.961,23.719,24.029,16.440,42.760,25.220,18.983,22.127
PLAC1L,10.867,9.729,7.700,10.732,10.207,11.033,11.133,8.129,12.267,10.309,11.464,10.464,10.877,10.564,10.649,11.957,8.040,10.540,11.100,10.850,10.382
PLAC2,143.252,218.217,183.700,196.139,193.802,133.067,104.328,121.581,101.800,302.800,85.948,65.667,50.473,260.517,156.522,112.214,118.147,149.150,44.220,111.089,80.612
PLAC4,26.641,20.283,20.040,25.526,29.391,23.359,24.239,22.914,26.033,27.209,33.271,36.852,30.650,25.538,26.371,35.876,15.280,29.663,33.387,22.922,22.203
PLAC8,182.511,143.905,22.620,32.450,35.680,332.711,570.400,342.943,479.850,29.736,86.164,105.529,599.623,25.136,60.080,207.371,192.280,64.790,819.640,56.300,345.918
PLAC8L1,22.544,23.539,36.040,32.032,31.067,25.311,26.083,44.600,30.750,35.700,28.143,33.657,26.200,28.889,25.842,27.157,65.440,31.150,32.100,25.017,22.527
PLAC9,317.578,311.137,96.160,119.609,38.470,110.761,52.433,68.871,75.133,42.064,55.771,89.793,77.823,222.268,159.447,71.121,206.060,39.045,44.430,628.325,184.618
PLAG1,16.622,20.209,20.940,22.091,106.393,14.922,24.767,13.971,15.633,20.127,24.114,19.064,14.605,19.711,15.993,21.286,46.567,19.030,16.000,24.417,17.055
PLAGL1,408.907,398.522,107.053,576.539,206.929,354.848,487.917,103.838,205.878,469.794,210.729,176.960,135.542,656.449,448.674,211.133,266.489,269.550,171.127,438.044,387.018
PLAGL2,60.717,67.556,104.350,78.175,94.883,75.911,69.158,99.121,63.800,80.595,79.854,77.704,84.634,69.302,73.263,84.364,130.473,96.265,86.840,58.267,71.282
PLAT,152.144,119.632,55.760,269.864,96.733,122.989,84.317,30.886,210.500,34.791,64.679,624.471,78.814,109.996,412.182,63.614,91.347,180.190,19.600,258.717,207.645
PLAU,283.661,214.688,90.270,243.032,258.527,659.356,266.108,107.664,728.042,119.345,603.839,204.289,277.718,132.582,188.586,375.414,195.590,416.355,309.580,94.325,551.836
PLAUR,138.070,191.902,127.533,92.836,126.678,732.189,184.578,111.410,340.833,64.909,311.500,200.224,235.632,70.988,88.113,216.262,329.822,136.280,1096.460,91.367,563.606
PLB1,24.844,27.708,27.080,25.209,24.783,28.239,23.408,28.107,34.075,26.550,25.904,29.282,27.470,24.068,23.129,24.050,19.700,24.160,30.140,26.700,25.705
PLBD1,222.878,435.050,173.340,360.005,477.720,406.428,730.875,319.971,339.058,357.586,573.268,218.464,247.298,306.338,1024.057,307.521,717.237,949.315,416.650,228.767,481.341
PLBD2,90.411,207.150,276.700,108.550,67.040,110.578,62.967,382.314,108.717,105.736,187.064,119.607,117.518,95.832,89.145,161.029,262.733,69.070,227.060,140.717,135.036
PLCB1,51.111,74.795,41.320,67.150,52.789,41.563,67.522,23.033,96.472,36.870,78.471,65.702,42.115,69.036,51.563,81.343,47.696,56.393,26.733,157.461,95.182
PLCB2,97.872,74.242,55.690,79.366,64.990,90.156,63.492,73.657,80.408,87.541,109.382,91.586,119.645,67.179,70.249,105.307,68.250,67.770,185.770,60.892,69.323
PLCB3,143.478,169.372,506.040,182.127,100.407,171.733,146.317,561.900,122.933,140.318,91.414,92.464,123.823,109.832,124.160,100.729,212.307,129.310,160.640,123.800,146.918
PLCB4,40.411,54.531,33.613,65.744,16.104,19.193,17.983,19.086,31.039,16.400,33.590,59.281,19.570,73.224,35.200,27.648,84.753,17.103,15.707,187.222,50.294
PLCD1,263.211,237.822,204.620,364.227,434.120,376.922,326.117,191.543,185.617,359.318,198.193,404.229,234.664,350.982,405.530,272.929,87.820,532.980,283.300,246.783,213.673
PLCD3,113.661,129.374,205.130,87.420,100.743,116.283,69.708,282.500,86.917,270.577,107.639,96.482,96.180,112.679,136.804,133.736,100.380,112.940,86.060,129.325,95.500
PLCD4,21.978,21.377,27.380,63.141,37.947,37.989,24.933,33.086,35.667,56.182,33.100,52.629,32.909,31.736,31.989,31.786,85.800,43.640,22.720,36.633,24.545
PLCE1,17.736,16.062,16.468,15.815,30.948,14.089,14.423,15.140,14.900,12.936,15.521,17.574,14.288,18.095,16.360,16.831,31.405,15.732,14.496,24.120,17.331
PLCG1,197.794,160.266,143.340,257.264,232.577,207.800,201.142,161.079,242.467,254.618,177.289,234.000,312.866,201.395,205.136,177.650,216.837,195.390,229.280,197.400,184.700
PLCG2,118.472,132.105,107.460,112.250,102.483,126.883,287.400,134.521,631.325,77.868,654.454,127.311,204.686,93.607,130.482,442.529,144.917,134.915,314.390,115.475,139.441
PLCH1,13.533,13.073,12.267,12.283,23.820,13.070,21.061,11.905,14.211,12.173,13.110,14.969,18.395,12.190,12.377,12.624,18.524,11.920,13.633,14.339,12.621
PLCH2,81.967,62.666,146.820,93.605,40.533,66.678,58.533,135.500,61.400,106.182,50.429,37.207,58.923,68.839,60.445,46.086,55.940,55.990,75.180,52.800,55.655
