CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
ascites7873R1	0.1393	0	0.0807	0	0.1222	0	0.1316	0	0.0726	0	0.0224	0.1078	0	0.0745	0.0947	0.0662	0	0.053	0	0.0349
ascites7873R2	0.1451	0	0.0881	0	0.1182	0	0.1117	0	0.0549	0	0.004	0.1345	0	0.1112	0.0922	0.035	0	0.0616	0	0.0436
ascites7882R1	0.0374	0	0.0868	0	0.1012	0	0.1701	0	0.0581	0	0.0575	0.0695	1e-04	0.1022	0.1129	0.0736	0	0.0614	0	0.069
ascites7882R2	0.0494	0	0.0958	0	0.0896	0	0.1828	0	0.0543	0	0.0552	0.0658	0.0114	0.0812	0.1128	0.0762	0	0.0575	0	0.0682
ascites7892R1	0	0	0.1188	0	0.1045	0	0.1877	0	0.0564	0	0.0317	0.0128	0	0.0727	0.1434	0.086	0	0.1048	0	0.081
ascites7892R2	0.0102	0	0.1054	0	0.0999	0	0.2052	0	0.044	0	0.0418	0.0289	0.024	0.0622	0.1197	0.0987	0	0.1046	0	0.0553
