B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
HD30PBMC0	0	0	0	0.1329	0.1295	0.0732	0	0	0.0379	0	0.1928	0	0.3913	0	0.0031	0.0289	0	0	0	0	0	0.0104
HD30PBMC1	0	0	0	0.0803	0.1336	0.0523	0	0	0.0396	0	0.1935	0.002	0.44	0	0.0177	0.0269	0	0	0	0	0	0.0141
HD30PBMC3	0	0	0	0.1474	0.1576	0.0998	0	0	0.0492	0	0.1647	0	0.3416	0	6e-04	0.0267	0	0	0	0	0	0.0124
HD30PBMC7	0	0.0137	0	0.1721	0.159	0.1031	0	0	0.0486	0	0.158	0	0.2964	0	0	0.0337	0	0	0	0	0	0.0154
HD31PBMC0	0.004	0.0134	0	0.1547	0.1229	0.1355	0	0	0.0291	0	0.0691	0	0.3881	0	0.0117	0.0064	0	0	0	0	0.0016	0.0636
HD31PBMC1	0.0069	0.0173	0	0.144	0.1385	0.1648	0	0	0.0331	0	0.0497	0	0.3756	0	0.007	0.0147	0	0	0	0	0.0093	0.0392
HD31PBMC3	0	0	0	0.1635	0.1376	0.1596	0	0	0.042	0	0.0518	0	0.4013	0	0	0.0126	0	0	0	0	0	0.0317
HD31PBMC7	0	0.0017	0	0.1721	0.13	0.1721	0	0.0013	0.0459	0	0.0717	0	0.3514	0	8e-04	0.0176	0	0	0	0	0	0.0355
