CD4.positive..alpha.beta.T.cell,CD14.positive..CD16.negative.classical.monocyte,mature.neutrophil,cytotoxic.CD56.dim.natural.killer.cell,memory.B.cell,CD38.negative.naive.B.cell,macrophage,memory.CD4.positive.alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
A,0.135688805293665,0,0,0,0,0.439091817464775,0.425219377241559,0,0
B,0.139310958676816,0,0,0,0,0.437656592682296,0.423032448640886,0,0
C,0.139071198544084,0,0,0,0,0.438051942116302,0.422876859339615,0,0
D,0.137438391461634,0,0,0,0,0.440328657481881,0.422232951056483,0,0
E,0.137882219605904,0,0,0,0,0.438583594442403,0.423534185951694,0,0
F,0.134362499211584,0,0,0,0,0.439412180613092,0.42622532017532,0,0
G,0.126578280674473,0,0,0,0,0.442733324105834,0.430688395219696,0,0
H,0.128966508219051,0,0,0,0,0.441217326634565,0.429816165146383,0,0
I,0.13348403197827,0,0,0,0,0.44109835445604,0.42541761356569,0,0
J,0.13637202696512,0,0,0,0,0.439807430758194,0.423820542276688,0,0
K,0.133251334797581,0,0,0,0,0.441141566663036,0.425607098539385,0,0
L,0.132368129322017,0,0,0,0,0.439253266483631,0.42837860419435,0,0
