B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils
ascites7873R1,0,0.011295708617951,0.0524644733711903,0,0,0.0300457231035583,0.0170586020884831,0,0,0.0213202145988942,0.00831399557787758,0,0.352596131476896,0,0,0.32033809973418,0.00933120113121373,0.0136982243011153,0.0169612784690348,0,0.0594545820950394,0.0871217654345649
ascites7873R2,0,0.0185404971225977,0.0578311683497515,0.00787074986488769,0,0.0275366270130212,0.0212898079376152,0,0,0.0064203854658201,0.0286249453886482,0,0.369563320666102,0,0,0.284718593909788,0.0139467537403123,0.01321156904526,0.0161294666898944,0,0.0468423182223637,0.0874737965839374
ascites7882R1,0,0.0278532906791803,0.0580117952081284,0,0.0509444983518223,0.0201171014533663,0.0128662861616981,0.002356542089271,0,0,0.0609223025466431,0,0.228697663196376,0.131058722357521,0.00294939412530716,0.107474915971533,0.20179964627729,0.00570163649759402,0.0169043817434172,0,0.0395759479897053,0.0327658753511468
ascites7882R2,0,0.007840936910769,0.0815295743307828,0,0.000436932573961643,0.0836285740889876,0.0256740396703354,0,0,0,0.0608277648029836,0,0.354996497302452,0,0,0.129456564753618,0.0191604254358308,0.0467434357435462,0.0238171136059227,0,0.0703717019212649,0.0955164388595448
ascites7892R1,0,0.0186410486002368,0.0664386480917102,0,0.0233746877882707,0.104292631594221,0.0370541087945828,0,0,0,0.0458032437890946,0,0.277242967863349,0.0192485719974609,0,0.0558361365344608,0,0.0655795314310104,0.00874630218447932,0,0.095634163942622,0.182107957388502
ascites7892R2,0,0.0127738979845984,0.0676284182559093,0,0.00318131781930318,0.0867053140362959,0.0483046007015524,0,0,0,0.0436127428786672,0,0.273685957853275,0.0130511384346295,0.00728119260825601,0.0811828867639403,0.00190122365880309,0.0712138285352115,0.015445515710809,0,0.103903034669338,0.170128930089411
