Mixture	CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	P-value	Correlation	RMSE
A	0	0.240486574149416	0.199929994952819	0	0	0.095077296197693	0.078328629172845	0.233939228922275	0.152238276604952	9999	0.0431758915851159	1.34156725366408
B	0.00563050716458297	0.254954083750526	0.173270806743883	0	0	0.0989977971595974	0.0960388301744568	0.239538253892763	0.131569721114191	9999	0.0434268331665878	1.34043177055898
C	0.0923697277853925	0.11292137569878	0.0963463981209779	0	0	0	0.0537992399275377	0.419445797516799	0.225117460950514	9999	0.0511301424155932	1.34878875205646
D	0.125275760133063	0.309464182847827	0	0	0	0	0	0.329014055758818	0.236246001260292	9999	0.0500410590686679	1.33924486558142
E	0.00637553911426224	0.0625347465037004	0.100891139205847	0	0	0.103899082287021	0.109087391303538	0.185224251279858	0.431987850305773	9999	0.0438265846802126	1.3585025888481
F	0	0	0.233123887411011	0	0	0.0992100431831621	0.199057123234128	0.191376979468171	0.277231966703528	9999	0.0428662267786605	1.36245110411254
G	0	0.157524396321913	0.39881579234558	0	0	0.054235584157653	0.0847373946976851	0.304686832477168	0	9999	0.0529139624493094	1.33891286320705
H	0	0.53383382779208	0.143563849028182	0	0	0.068216340266481	0	0.254385982913257	0	9999	0.0463020228575436	1.32051426215568
I	0	0.651052228553085	0.0730541538890891	0	0	0.058898650291124	0	0.216994967266702	0	9999	0.0445159394005976	1.31776238903991
J	0.0688133223801036	0	0	0	0	0.114334852310654	0.317230584279423	0.176305448997994	0.323315792031826	9999	0.0459989196648407	1.36649994655958
K	0.0261093947684176	0	0	0	0	0.130440429019327	0.438297504967324	0.134890727364539	0.270261943880392	9999	0.0459530278990608	1.37115828322638
L	0.0146450401597105	0.134480349905577	0.0516867567069273	0	0	0.0779915417843176	0.124100025906177	0.264705527243813	0.332390758293477	9999	0.0461343390972088	1.35181325411487
