B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
ascites7873R1	0	0.0049	0.0441	0	0.1054	0	0.0629	0	0.0291	0.0145	0	0.0233	0.1513	0.046	0.0166	0.1556	0.0867	0.0454	0.0923	0	0.1014	0.0207
ascites7873R2	0	0.0099	0.0417	0	0.1108	0	0.0507	0	0.0265	0.007	0.0043	0.0218	0.1593	0.0592	0.0211	0.1654	0.0889	0.037	0.0814	0	0.0889	0.026
ascites7882R1	0	0	0.0561	0	0.1798	0	0.0954	0	0.0264	0.0365	0	0.0034	0.0465	0.1138	0.0272	0.132	0.0557	0	0.0832	0	0.1281	0.0159
ascites7882R2	0	0.0017	0.059	0	0.1714	0	0.0721	0	0.0449	0.0208	0	0.0255	0.0608	0.0776	0.0351	0.1447	0.0286	0.0101	0.103	0.0022	0.1137	0.0287
ascites7892R1	0.0256	0	0.0529	0	0.2056	0	0.0648	0	0.058	0.0117	0.0121	0.0078	0.023	0.0717	0.0408	0.109	0.0058	0.0213	0.0701	0.025	0.114	0.0806
ascites7892R2	1e-04	0.0067	0.0431	0	0.1848	0	0.0764	0	0.0453	0.0124	0.0138	0.0041	0.0502	0.0832	0.0405	0.1168	0.0108	0.0291	0.0546	0.0461	0.1097	0.0725
