CD4.positive..alpha.beta.T.cell	CD14.positive..CD16.negative.classical.monocyte	mature.neutrophil	cytotoxic.CD56.dim.natural.killer.cell	memory.B.cell	CD38.negative.naive.B.cell	macrophage	memory.CD4.positive.alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
HD30PBMC0	0.1633	0.1816	0.0525	0.1953	0.0874	0.0242	0.0325	0.1285	0.1347
HD30PBMC1	0.1516	0.2046	0.0504	0.1968	0.0954	0.0199	0.034	0.1299	0.1174
HD30PBMC3	0.1846	0.1657	0.0515	0.1715	0.0983	0.0173	0.0342	0.1493	0.1277
HD30PBMC7	0.1909	0.1521	0.0483	0.1571	0.117	0.0288	0.0314	0.1352	0.1393
HD31PBMC0	0.1703	0.18	0.0759	0.0886	0.121	0.0264	0.0356	0.1506	0.1518
HD31PBMC1	0.1989	0.1817	0.0651	0.0805	0.1219	0.028	0.0388	0.1436	0.1416
HD31PBMC3	0.2039	0.1818	0.0634	0.0915	0.0974	0.0265	0.0348	0.1393	0.1615
HD31PBMC7	0.1983	0.1572	0.0579	0.1009	0.1114	0.0243	0.0342	0.1492	0.1666
