Mixture	Epithelial Cell Airway	Canonical Epithelial Cell	Epithelial Cell Placental	placental.pericyte	pulmonary.artery.endothelial.cell	vein.endothelial.cell	Glomerular Endothelial Cell	articular.chondrocyte.of.knee.joint	Canonical Endothelial	hair.follicular.keratinocyte	Cardiac Fibroblast	mononuclear.cell	myometrial.cell	kidney.epithelial.cell	subcutaneous.preadipocyte	Osteoblast	epithelial.cell.of.umbilical.artery	bronchus.fibroblast.of.lung	Smooth Muscle	hair.follicle.dermal.papilla.cell	thoracic.aorta.endothelial.cell	epithelial.cell.of.proximal.tubule	Endometrial or Mammary Endothelial	Skeletal Muscle Myoblast	skeletal.muscle.satellite.cell	Melanocyte	mesenchymal.stem.cell.of.Whartons.jelly	fibroblast.of.villous.mesenchyme	P-value	Correlation	RMSE
ascites7873R1	0	0.019111399455879	0.00249165799466898	0	0	0	0.0193470421768841	0.00444668697194168	0.0925905677257438	0.0023329637219304	0.000105975282299272	0.17454000716407	0.0245144175126762	0	0	0	0.0482631593609458	0	0.0362136210860809	0.00110451712338484	0.32598878271695	0.124237061406435	0.0113277133173533	0.0204432306662134	0.0619144781643634	0.0235326800385286	0.00749403811365182	0	9999	0.632678033220674	0.786190562536392
ascites7873R2	0.000854986646165596	0.000641190023045293	0	0	0	0	0.0414477990523767	0.0044381953429984	0.0921477894596102	0.000186342251315844	0.0028163687982908	0.191705940245009	0.0300442828515897	0	0	0	0.0283223548876402	0	0.0234456303943329	0.000362238298767094	0.23245148348451	0.159327161447573	0.0140800346955678	0.0316960358259904	0.0916957539605508	0.0236142826243046	0.0307221297103621	0	9999	0.641858226891897	0.775576709154745
ascites7882R1	0.00133777687661543	0.00564907777547398	0.000116068097226318	0	0.000891750493040694	0	0.00940721933760431	0.00372234817220792	0.102046287945438	0	0	0.132596477525089	0.0296501401449782	0	0	0	0.00326354256028854	0	0.0236858242195339	0	0.216737837095882	0.264682815894529	0	0.0520528897518208	0.069305332268924	0.0202533830651576	0.0513695594446831	0.0132316693315068	9999	0.668295935441622	0.750170662916173
ascites7882R2	0.000418302692314834	0.00805030214311149	0	0	0.00307694491464701	0	0.00857310304123559	0.00363826534577525	0.10389666961298	0.000269827752364744	0	0.14532378139887	0.028864102771224	0	0	0	0.0156050811978798	0	0.0166043874232596	0	0.185812310444919	0.271234124530436	0	0.0529121380320496	0.0929215227739555	0.0146179527293892	0.0420321357548378	0.00614904744075072	9999	0.669986220700134	0.748227985726813
ascites7892R1	0.00204691931460963	0.00926110170136946	0	0	0.00733020167070712	0	0.00983955652483049	0.00668035829373837	0.100692280874455	0	0	0.208774303768272	0.00162054712704322	0.00693639842350124	0	0	0	0	0.0227352777527112	0.00198964195033096	0.24198368806541	0.268752401474398	0	0.0338308146348436	0.0271769129691761	0.017196807194275	0.0161173551944351	0.017035433065893	9999	0.717220939281787	0.698276994485447
ascites7892R2	0.00583238079420454	0	0	0	0.0137102415347997	0	0.00284285218765902	0.00548785876863948	0.0732200365130565	0	0	0.177303007149822	0	0	0	0	0.0158872715363629	0	0.0280224490116198	0	0.199505643086116	0.285788034653513	0	0.0391947840133372	0.0833734571715831	0.0138640443850109	0.0372599801430855	0.0187079590511908	9999	0.675655195465823	0.741774094304005
