Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V65	0.09798	0.03239	0.13263	0.27567	0.01153	0.00911	0.09183	0.20157	0.09703	0.05026
V66	0	0.14708	0	0	0.53545	0.03038	0.02547	0.00862	0.02093	0.23209
V67	0.02671	0.19292	0.44673	0.07552	0.00757	0.04365	0.09102	0.00277	0.05823	0.05488
V68	0.02243	0.02322	0.02818	0	0.06136	0.01978	0.04426	0.29284	0.48872	0.01921
V69	0.04615	0.02876	0.76794	0.08583	0.00547	0.00625	0.00275	0	0.03148	0.02539
V70	0.69322	0.02647	0.13501	0.01043	0.01073	0.02822	0.03687	0.00759	0.05145	0
V71	0.03287	0	0.00711	0	0.01862	0.02915	0.0983	0.74777	0.02462	0.04156
V72	0.25333	0.0496	0.07301	0.18583	0.13402	0.00343	0.00106	0.00194	0.00961	0.28819
V73	0.01253	0.18712	0	0	0.70535	0.02429	0.00604	0	0.01032	0.05436
V74	0.0275	0	0.0265	0.12728	0	0.03601	0.01267	0.00336	0.00301	0.76368
V75	0.0423	0.10033	0.26086	0.36541	0.0337	0.01406	0.00064	0	0.16888	0.01383
V76	0	0.01009	0.00868	0	0.02169	0.86998	0.08955	0	0	0
V77	0.02045	0.00512	0.08481	0.23056	0.01627	0.27798	0.3359	0	0.00283	0.02609
V78	0	0.4974	0.02516	0.01412	0.02068	0.00523	0.31882	0	0.01153	0.10707
V79	0.0241	0.03383	0.10688	0.2204	0.02189	0.29323	0.03848	0	0.21051	0.05069
V80	0.3811	0	0.0145	0.00493	0	0.00271	0.03428	0.00299	0.03056	0.52894
V81	0.00897	0.04666	0.04246	0.10466	0.16288	0.57894	0.05221	0	0	0.00322
V82	0.07319	0.55475	0.07299	0.1966	0.01082	0.01737	0.01347	0.04212	0.01868	0
V83	0.06506	0.0739	0.16626	0.3878	0.03517	0.00969	0.0232	0.21506	0.02038	0.00349
V84	0.02328	0.0213	0.02462	0.01157	0.11842	0.53283	0.25885	0	0	0.00913
V85	0.20245	0	0.39432	0.0426	0	0.00355	0.00575	0	0.01322	0.3381
V86	0.32069	0.02167	0.33998	0.27328	0.00472	0.01021	0	0	0.01331	0.01614
V87	0.00953	0.05122	0.05021	0	0.09617	0.01396	0.01183	0	0.73272	0.03436
V88	0.03498	0.37981	0.14507	0.39931	0.00793	0.00094	0.00734	0	0.02169	0.00294
V89	0.00123	0	0.0172	0.02851	0.03017	0	0.80344	0.07826	0.0046	0.03659
V90	0.02282	0.05301	0.31517	0.03628	0	0.02287	0.00948	0	0.01428	0.52608
V91	0.05482	0.02077	0.75182	0.07822	0.01141	0.00668	0.00377	0	0.03578	0.03674
V92	0	0.00518	0.01114	0.0056	0.02837	0.00094	0.85911	0.0019	0.04575	0.042
V93	0.00884	0.05763	0.09543	0	0.05052	0.00738	0.28386	0.01198	0.45036	0.03399
V94	0.78996	0.02102	0.08532	0.0044	0.00809	0.02719	0.02749	0.02716	0	0.00936
V95	0	0.00697	0.00692	0	0.03802	0.00502	0.63525	0.26614	0.01479	0.02689
V96	0.05596	0.13982	0.38814	0.32126	0.00505	0.02021	0.00235	0.00263	0.04061	0.02398
V97	0.00012	0	0.00419	0.00464	0.00692	0	0.79092	0.00219	0.00846	0.18257
V98	0.00492	0.32914	0.00808	0.03918	0.1591	0.0231	0.0558	0.0702	0.13463	0.17586
V99	0.59244	0.01884	0.06908	0.00077	0.02706	0.00452	0.07938	0.00806	0.18506	0.0148
V100	0.22077	0.02607	0.0935	0.14874	0.03786	0.31287	0.0462	0	0.08911	0.02488
V101	0	0	0	0	0	0.07131	0.16539	0.02534	0	0.73796
V102	0.04354	0.24575	0.00162	0	0.08882	0.31295	0.18587	0.08505	0.00602	0.03039
V103	0.09847	0.02913	0.05559	0	0.05318	0.01329	0.01246	0.00435	0.68891	0.04462
V104	0.05538	0.01825	0.76412	0.07505	0	0.00659	0.00301	0	0.05206	0.02555
V105	0.36194	0.00771	0.13268	0.00101	0.01413	0.15051	0.04923	0.27594	0.00685	0
V106	0.01736	0.68542	0.18695	0.0325	0.00022	0.02283	0.01292	0	0.02537	0.01644
V107	0.27093	0.25397	0.02512	0.00645	0.26259	0.02098	0.01525	0.02457	0.10526	0.01487
V108	0.01314	0	0.03056	0.09737	0	0.38896	0.04334	0.01371	0.003	0.40993
V109	0	0.03214	0.01306	0	0.02907	0.8319	0.09383	0	0	0
V110	0	0.18341	0	0	0.69395	0.009	0.00417	0.04859	0.00842	0.05245
V111	0	0.01513	0.00425	0.01112	0.11564	0	0.79217	0.00046	0.00363	0.05759
V112	0.00199	0.00402	9e-05	0.0023	0	0	0.63987	0.00195	0.04294	0.30685
V113	0.02302	0.01063	0.02637	0	0.02323	0.07116	0.03744	0.01927	0.53977	0.24911
V114	0.0253	0.02917	0.06016	0	0.05682	0.01405	0.01368	0.00419	0.74713	0.0495
V115	0	0.88604	0	0.01977	0.00973	0	0.03529	0	0.03854	0.01062
V116	0.4659	0.0983	0.05177	0	0.01266	0.01715	0.05032	0.30281	0.00108	0
V117	0.01207	0	0.01085	0.00631	0.02381	0	0.89913	0.00235	0.00427	0.04121
V118	0.02141	9e-05	0.01104	0	0.02109	0.84944	0.09463	0.00231	0	0
V119	0.03977	0.03925	0.1587	0.41884	0.02509	0.19938	0.03916	0	0.07446	0.00536
V120	0.61747	0.01923	0.2386	0.02062	0.00502	0.08101	0.01231	0.00055	0	0.0052
V121	0.04793	0.10706	0.24295	0.02658	0.01821	0.11625	0.3342	0.00762	0.01245	0.08674
V122	0.0121	0.03526	0.15123	0.00252	0.0476	0.07	0.16433	0	0.47123	0.04573
V123	0.00717	0.08859	0	0	0.41026	0.01783	0.0435	0.3699	0.03988	0.02287
V124	0.69066	0.06022	0.05334	0	0.00626	0.00646	0.02668	0.15639	0	0
V125	0.0068	0.19381	0.10859	0.01259	0.02536	0.15047	0.0827	0.39649	0.0232	0
V126	0	0.22627	0	0	0.65452	0.00867	0.00362	0.03521	0.03343	0.03828
V127	0.03003	0.01842	0.53592	0.04862	0.00671	0.0037	0.22062	0	0.09409	0.04189
V128	0.01799	0.22366	0.36433	0.0352	0.25429	0.05263	0.00642	0	0.02008	0.0254
V129	0.03674	0.10481	0.11639	0.17757	0.10985	0.01772	0.00422	0	0.38032	0.05237
V130	0.02852	0.01522	0.47815	0.0304	0.00288	0.01609	0.04439	0.34492	0.02802	0.01141
V131	0.04521	0.39976	0.38261	0.09109	0.00164	0.00997	0.01299	0	0.04588	0.01086
V132	0.1153	0.01004	0.02253	0.00099	0.08261	0	0.66447	0.07242	0	0.03165
V133	0.01495	0.03556	0.06159	0.13723	0.02233	0.14896	0.13745	0.42614	0.01518	0.00061
V134	0.02564	0.08167	0.17858	0.04853	0.19273	0.00335	0.17074	2e-05	0.0202	0.27853
V135	0.01402	0.22615	0.19089	0.01331	0.04296	0.00893	0.02653	0	0.45307	0.02415
V136	0.00834	0.62165	0.02395	0.1219	0	1e-04	0.00933	0	0.01848	0.19625
V137	9e-05	0.01286	0.02358	0.00176	0.04865	0.33756	0.51286	0	0.04133	0.02132
V138	0.01401	0.03044	0.0048	0.00301	0.00054	0	0.55663	0.00192	0.02982	0.35882
V139	0.59517	0.0389	0.06606	0.00362	0.07624	0.07663	0.01179	0.0015	0.13008	0
V140	0.07102	0.02538	0.37744	0.36977	0.03435	0.05471	0.00829	0	0.02113	0.03792
V141	0.06686	0.02485	0.19624	0.58871	0.01506	0.02874	0	0	0.01843	0.06111
V142	0.01529	5e-04	0.07351	0.17776	0.01733	0	0.64844	0	0.00581	0.06137
V143	0	0.8516	0.00419	0.05646	0.01689	0.00824	0.01359	0	0.04866	0.00038
V144	0	0	0.01339	0.0016	0.02172	0.35092	0.579	0.01348	0	0.01989
V145	0.07777	0.11577	0.15397	0.40589	0.01873	0.03394	0.01835	0.14992	0.024	0.00165
V146	0.02631	0	0.42136	0.03471	0	0.02113	0.05748	0.08506	0.02276	0.33118
