CD19B	CD56NK	CD4MemoryT	CD14
V139	0.30185	0.24401	0.19205	0.26209
V140	0.0972	0.15883	0.08933	0.65463
V141	0.1055	0.20302	0.43664	0.25484
V142	0.65486	0.04545	0.21606	0.08362
V143	0.35541	0.29059	0.09305	0.26094
V144	0.18427	0.20889	0.17254	0.4343
V145	0.04025	0.68214	0.19552	0.08208
V146	0.11687	0.0967	0.07647	0.70996
V147	0.74944	0.06685	0.06108	0.12262
V148	0.15517	0.13237	0.47119	0.24127
V149	0.23792	0.48391	0.19571	0.08246
V150	0.11716	0.26645	0.47125	0.14513
V151	0.19779	0.57553	0.05075	0.17593
V152	0.21619	0.42999	0.19649	0.15733
V153	0.12485	0.67125	0.03537	0.16854
V154	0.22322	0.43583	0.23557	0.10537
V155	0.38969	0.18633	0.26249	0.16149
V156	0.08121	0.18569	0.55064	0.18245
V157	0.27176	0.20395	0.27682	0.24747
V158	0.09201	0.09216	0.07001	0.74582
V159	0.72599	0.10833	0.037	0.12868
V160	0.56153	0.06358	0.10301	0.27187
V161	0.22262	0.08833	0.07668	0.61237
V162	0.11149	0.32662	0.10299	0.4589
V163	0.12422	0.46708	0.16026	0.24843
V164	0.29192	0.32811	0.12043	0.25955
V165	0.07602	0.30106	0.03841	0.58451
V166	0.08278	0.16668	0.10266	0.64789
V167	0.31887	0.07258	0.05439	0.55416
V168	0.25212	0.53216	0.09038	0.12534
V169	0.20542	0.12742	0.0813	0.58587
V170	0.14356	0.09166	0.43499	0.32979
V171	0.14886	0.2642	0.47177	0.11517
V172	0.59144	0.04917	0.26833	0.09107
V173	0.09442	0.20513	0.07961	0.62084
V174	0.08387	0.22245	0.10415	0.58953
V175	0.10752	0.07403	0.63346	0.18498
V176	0.04623	0.72054	0.15086	0.08238
V177	0.046	0.85144	0.0129	0.08966
V178	0.05084	0.68716	0.02425	0.23775
V179	0.18567	0.08248	0.33604	0.39582
V180	0.06245	0.78544	0.07755	0.07455
V181	0.17665	0.18026	0.43887	0.20421
V182	0.26889	0.21726	0.38351	0.13034
V183	0.17772	0.72024	0.02103	0.08101
V184	0.82558	0.0391	0.04862	0.0867
V185	0.46547	0.41285	0.03705	0.08464
V186	0.13853	0.45693	0.22652	0.17803
V187	0.79056	0.0471	0.06916	0.09318
V188	0.11246	0.27483	0.0394	0.5733
V189	0.65996	0.07402	0.05791	0.20811
V190	0.54415	0.05986	0.30549	0.0905
V191	0.18927	0.23673	0.45806	0.11593
V192	0.26428	0.45313	0.0691	0.21349
V193	0.49022	0.08919	0.23589	0.1847
V194	0.06951	0.81426	0.01972	0.09651
V195	0.05999	0.08408	0.76611	0.08981
V196	0.088	0.14379	0.06023	0.70798
V197	0.35668	0.11611	0.07002	0.45718
V198	0.09651	0.47354	0.30239	0.12755
V199	0.1895	0.10299	0.18618	0.52133
V200	0.14728	0.5283	0.04132	0.28311
V201	0.12177	0.51542	0.17114	0.19166
V202	0.06886	0.08523	0.62487	0.22104
V203	0.16934	0.41314	0.31928	0.09824
V204	0.06012	0.5119	0.03295	0.39503
V205	0.0668	0.10798	0.72733	0.09789
V206	0.0903	0.14138	0.68087	0.08745
V207	0.16267	0.24194	0.08657	0.50882
V208	0.23949	0.11682	0.5479	0.09578
V209	0.26349	0.45087	0.08629	0.19935
V210	0.10747	0.68026	0.09445	0.11782
V211	0.36534	0.08467	0.07773	0.47226
