B_cells	NK_cells	T_cells_CD4.	Monocytes
V146	0.09432	0	0.05625	0.84943
V147	0.92486	0.01109	0.00214	0.06191
V148	0.12122	0.09489	0.58689	0.19699
V149	0.26057	0.52439	0.21503	0
V150	0.07251	0.27393	0.58332	0.07023
V151	0.2155	0.64099	0.03059	0.11292
V152	0.23298	0.46195	0.21974	0.08532
V153	0.11309	0.76841	0.01607	0.10244
V154	0.2422	0.47346	0.26842	0.01592
V155	0.47794	0.15494	0.27572	0.09141
V156	0.00936	0.17405	0.69745	0.11914
V157	0.3103	0.1737	0.31022	0.20578
V158	0.05421	0	0.05699	0.8888
V159	0.89721	0.03932	0	0.06347
V160	0.72763	0	0.04156	0.23081
V161	0.25191	0	0.02739	0.7207
V162	0.07169	0.32962	0.08764	0.51105
V163	0.09482	0.51797	0.17699	0.21022
V164	0.35118	0.32425	0.1023	0.22226
V165	0.01113	0.28521	0	0.70366
V166	0.01656	0.1038	0.08523	0.79441
V167	0.39088	0	0	0.60912
V168	0.29221	0.58062	0.07832	0.04886
V169	0.22551	0.04829	0.04078	0.68541
V170	0.10152	0.03426	0.54458	0.31965
V171	0.11977	0.27251	0.57718	0.03054
V172	0.73342	0	0.25269	0.01389
V173	0.04353	0.15525	0.04998	0.75124
V174	0.0218	0.18138	0.0879	0.70892
V175	0.04548	0.03029	0.80345	0.12079
V176	0	0.82157	0.17843	0
V177	0.01135	0.96579	0	0.02286
V178	0.00026	0.80289	0.00306	0.19379
V179	0.17131	0.01089	0.40278	0.41502
V180	0.02209	0.89669	0.08122	0
V181	0.15654	0.15887	0.5374	0.14719
V182	0.2974	0.20475	0.44731	0.05054
V183	0.18837	0.80977	0	0.00186
V184	1	0	0	0
V185	0.5848	0.4097	0	0.0055
V186	0.11507	0.50507	0.2665	0.11337
V187	0.95734	0	0.01439	0.02827
V188	0.07319	0.24633	0	0.68048
V189	0.84533	0.00354	0	0.15113
V190	0.67063	0.01133	0.30514	0.01289
V191	0.17826	0.23737	0.55433	0.03005
V192	0.31179	0.48301	0.04318	0.16202
V193	0.61665	0.03035	0.23012	0.12289
V194	0.03819	0.93214	0.00331	0.02636
V195	0	0.06467	0.91256	0.02277
V196	0.03133	0.07679	0.02082	0.87106
V197	0.45725	0.03957	0.01151	0.49167
V198	0.05631	0.52964	0.36816	0.04589
V199	0.19048	0.0196	0.19357	0.59635
V200	0.13753	0.59288	0.01105	0.25853
V201	0.09377	0.5772	0.19687	0.13216
V202	0	0.04756	0.7903	0.16214
V203	0.15974	0.45266	0.38229	0.00532
V204	0.001	0.57946	0	0.41954
V205	0	0.09272	0.88243	0.02485
V206	0.02516	0.133	0.84184	0
V207	0.1547	0.20847	0.05487	0.58196
V208	0.24396	0.08981	0.65833	0.0079
V209	0.31024	0.48311	0.06358	0.14307
V210	0.08684	0.77311	0.09764	0.04241
V211	0.4692	0	0.02032	0.51048
V212	0.51194	0.04963	0.41647	0.02196
V213	0.66197	0.01968	0.10293	0.21541
V214	0.34536	0.1735	0.16615	0.31499
V215	0.32898	0.09934	0.00554	0.56613
V216	0.07737	0	0.04598	0.87666
V217	0.03365	0.52425	0.24218	0.19991
V218	0.09538	0.4767	0.17715	0.25077
V219	0.11387	0.66526	0.00338	0.21749
V220	0.00176	0.85681	0.00509	0.13634
V221	0.82753	0	0	0.17247
V222	0.31834	0.15429	0.36019	0.16719
V223	0	0.17627	0.75571	0.06802
V224	0.99103	0	0.00897	0
V225	0.05764	0.87918	0.06318	0
V226	0.30429	0.10591	0.58473	0.00508
V227	0.80595	0	0.172	0.02205
V228	0.78946	0.06002	0.05035	0.10017
V229	0	0.05938	0.9045	0.03612
V230	0.04423	0.02681	0.04949	0.87947
V231	0.00867	0.31309	0.12236	0.55589
V232	0.04301	0.68322	0	0.27377
V233	0.57485	0.09247	0.1927	0.13998
V234	0.03738	0.91175	0.03556	0.01532
V235	0.37582	0.07853	0.51902	0.02664
V236	0.0216	0.10428	0.79745	0.07667
V237	0.19534	0	0.03698	0.76768
V238	0.12723	0.57194	0.26434	0.03649
V239	0.07277	0.43862	0.01211	0.4765
V240	0.49387	0.0478	0.41137	0.04696
V241	0	0.03544	0.89637	0.06819
V242	0.1334	0.76815	0.0967	0.00176
V243	0.23521	0.06378	0.62735	0.07366
V244	0.20012	0.01461	0.70115	0.08411
V245	0.608	0.29927	0.03699	0.05575
V246	0.03534	0.18838	0.75731	0.01896
V247	0.1453	0.05006	0.80464	0
V248	0.05035	0.03009	0.06841	0.85115
V249	0	0.07853	0.86162	0.05985
V250	0.78451	0	0.20091	0.01458
V251	0.95147	0.02458	0	0.02395
V252	0	0.84442	0.15558	0
V253	0.38695	0.07043	0.16655	0.37607
V254	0.00937	0.92931	0.05727	0.00406
V255	0.04599	0.91508	0	0.03893
V256	0.16745	0.24503	0.50842	0.0791
V257	0.43392	0.10863	0.23173	0.22572
V258	0.16976	0.29533	0.41867	0.11623
V259	0.01549	0.33143	0.62143	0.03165
V260	0	0.31642	0.68358	0
V261	0.63112	0.02649	0.19166	0.15074
V262	0.13016	0.05734	0.01937	0.79313
V263	0.01913	0.95364	0	0.02724
V264	0.16568	0.04836	0.44462	0.34134
V265	0.05005	0	0.14977	0.80018
V266	0.66468	0.33532	0	0
V267	0	0.20543	0.29885	0.49572
V268	0.41473	0.0108	0.14814	0.42632
V269	0	0.58022	0.38583	0.03395
V270	0.65458	0.0213	0.23694	0.08717
V271	0.81995	0.05728	0.01361	0.10917
V272	0.05634	0.84029	0.0093	0.09407
V273	0.0904	0.0148	0.05906	0.83574
V274	0.72123	0	0.16483	0.11394
V275	0	0.06601	0.91205	0.02194
V276	0.51665	0.33945	0	0.14389
V277	0.03343	0.23397	0.17557	0.55703
V278	0.03448	0.06772	0.31728	0.58052
V279	0.70515	0.0522	0.10053	0.14212
V280	0.05421	0	0.05699	0.8888
V281	0.56733	0.02155	0.13723	0.27389
V282	0.03364	0.10491	0.80128	0.06016
V283	0.21544	0.59293	0.05945	0.13219
V284	0.02837	0.90624	0.06539	0
V285	0.04302	0.03991	0.91707	0
V286	0.24745	0.55847	0.10868	0.0854
V287	0.10113	0.86712	0.0109	0.02085
V288	0	0.3162	0.43358	0.25022
V289	0.27524	0.24667	0.40898	0.06911
V290	0.85368	0.14632	0	0
V291	0.49002	0.08169	0.41854	0.00976
V292	0.93195	0	0	0.06805
V293	0.29146	0.03301	0.63814	0.03738
V294	0.09664	0.38909	0	0.51427
V295	0.00844	0.20229	0.20958	0.57968
V296	0.16599	0.15185	0.60055	0.08161
V297	0.10698	0	0.08204	0.81098
V298	0.29363	0.12724	0.57608	0.00305
V299	0.08187	0.3018	0.00335	0.61298
V300	0	0.03331	0.25508	0.7116
V301	0.10706	0.14501	0.63831	0.10961
