cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V141	0.23392	0.11289	0.58283	0.07036
V142	0.92715	0	0.07285	0
V143	0.70387	0.16517	0.0738	0.05716
V144	0.53543	0.11455	0.2048	0.14521
V145	0.00272	0.69107	0.30247	0.00374
V146	0.35433	0.01149	0.0742	0.55998
V147	0.9877	0	0.00759	0.00471
V148	0.35002	0.03894	0.55399	0.05705
V149	0.53737	0.27893	0.18146	0.00223
V150	0.25453	0.15645	0.56409	0.02493
V151	0.51856	0.40311	0.04259	0.03574
V152	0.50267	0.26844	0.20201	0.02689
V153	0.36612	0.56616	0.03012	0.0376
V154	0.48713	0.26382	0.23956	0.0095
V155	0.63866	0.08589	0.24876	0.02668
V156	0.14251	0.09669	0.71929	0.04151
V157	0.56397	0.094	0.28772	0.05431
V158	0.10826	0.00452	0.07616	0.81106
V159	0.9718	0.0189	0	0.0093
V160	0.90585	0	0.05187	0.04228
V161	0.68111	0.00019	0.05459	0.26411
V162	0.32695	0.32186	0.14515	0.20605
V163	0.3355	0.38538	0.20705	0.07207
V164	0.63078	0.19866	0.11113	0.05943
V165	0.0828	0.45635	0.01041	0.45044
V166	0.09004	0.17775	0.20137	0.53084
V167	0.824	0	0.00943	0.16657
V168	0.55039	0.35109	0.08123	0.01729
V169	0.63316	0.04541	0.06565	0.25578
V170	0.3233	0.00692	0.57013	0.09965
V171	0.31188	0.14514	0.53006	0.01292
V172	0.84971	0	0.14896	0.00134
V173	0.20944	0.23049	0.10981	0.45026
V174	0.14119	0.25533	0.18862	0.41487
V175	0.20915	0	0.75241	0.03844
V176	0.04384	0.72441	0.22802	0.00372
V177	0.04649	0.94243	0.0035	0.00758
V178	0.05374	0.83376	0.01623	0.09626
V179	0.46543	0	0.41632	0.11824
V180	0.11548	0.77927	0.10495	3e-04
V181	0.39527	0.07709	0.48515	0.04248
V182	0.51505	0.09724	0.37154	0.01618
V183	0.45606	0.53217	0.00909	0.00267
V184	0.9989	0	0.0011	0
V185	0.81901	0.1698	0.00956	0.00162
V186	0.37434	0.32168	0.26587	0.03812
V187	0.98872	0	0.01043	0.00086
V188	0.34012	0.30758	0.00701	0.34528
V189	0.95849	0	0.01438	0.02714
V190	0.82428	0	0.17436	0.00136
V191	0.38322	0.11837	0.48617	0.01224
V192	0.59164	0.30216	0.05967	0.04654
V193	0.79397	0.00874	0.17049	0.0268
V194	0.15838	0.81787	0.01344	0.01031
V195	0.03306	0.00801	0.95608	0.00284
V196	0.10159	0.14575	0.04256	0.7101
V197	0.81149	0.02372	0.03233	0.13246
V198	0.22576	0.36663	0.38621	0.0214
V199	0.55439	0.01301	0.23787	0.19474
V200	0.44764	0.43617	0.03004	0.08615
V201	0.33552	0.4042	0.21424	0.04604
V202	0.074	0.00539	0.86025	0.06036
V203	0.39465	0.25856	0.3394	0.00738
V204	0.06315	0.69343	0.01983	0.2236
V205	0.06637	0.02846	0.89952	0.00565
V206	0.1526	0.05219	0.79255	0.00265
V207	0.51516	0.18166	0.08999	0.21319
V208	0.48997	0.02138	0.48459	0.00406
V209	0.5848	0.29794	0.07591	0.04135
V210	0.30115	0.5693	0.11164	0.0179
V211	0.82388	0	0.04166	0.13446
V212	0.73506	0.00036	0.25982	0.00475
V213	0.85747	0.01003	0.08944	0.04306
V214	0.63948	0.10719	0.16882	0.08451
V215	0.71469	0.0776	0.03115	0.17656
V216	0.26368	0	0.06536	0.67095
V217	0.20097	0.42229	0.29992	0.07682
V218	0.33145	0.36557	0.21432	0.08865
V219	0.37268	0.52762	0.02193	0.07777
V220	0.05125	0.86323	0.01569	0.06983
V221	0.96353	0	0.00365	0.03282
V222	0.55784	0.07912	0.31985	0.04319
V223	0.03684	0.10236	0.83251	0.02828
V224	0.99254	0	0.00746	0
V225	0.21447	0.70636	0.07582	0.00335
V226	0.55897	0.02692	0.41032	0.00379
V227	0.92548	0	0.0727	0.00181
V228	0.90667	0.02294	0.051	0.01938
V229	0.06556	0.00643	0.91959	0.00841
V230	0.10449	0.04552	0.07304	0.77694
V231	0.12125	0.37324	0.23107	0.27445
V232	0.22705	0.65339	0.00326	0.1163
V233	0.78979	0.03664	0.14435	0.02922
V234	0.15637	0.78983	0.047	0.0068
V235	0.57365	0.02346	0.3948	0.00809
V236	0.16064	0.03833	0.776	0.02503
V237	0.63707	0	0.05912	0.30381
V238	0.36768	0.36142	0.25463	0.01627
V239	0.33206	0.42749	0.04231	0.19814
V240	0.69734	0.00588	0.28566	0.01112
V241	0.06849	0	0.90809	0.02342
V242	0.37682	0.51657	0.10115	0.00546
V243	0.45421	0.01542	0.50967	0.0207
V244	0.41275	0	0.56409	0.02316
V245	0.80144	0.14282	0.04263	0.01311
V246	0.17917	0.09351	0.71919	0.00813
V247	0.36015	0	0.63985	0
V248	0.18369	0.05547	0.14065	0.6202
V249	0.00023	0.02378	0.95113	0.02487
V250	0.91885	0	0.0803	0.00085
V251	0.99798	0	0.00115	0.00087
V252	0.04364	0.75261	0.20347	0.00028
V253	0.67742	0.04643	0.17424	0.1019
V254	0.04543	0.8746	0.07609	0.00388
V255	0.19209	0.78881	0.00244	0.01666
V256	0.38804	0.12932	0.45702	0.02561
V257	0.64654	0.06433	0.22891	0.06022
V258	0.41308	0.16501	0.38621	0.03571
V259	0.13287	0.20704	0.64559	0.01449
V260	0.00074	0.21957	0.77655	0.00314
V261	0.81298	0.00887	0.14731	0.03084
V262	0.51495	0.06279	0.03866	0.38361
V263	0.08688	0.89905	0.00317	0.0109
V264	0.44729	0.01656	0.43844	0.09771
V265	0.21855	0	0.32733	0.45412
V266	0.84589	0.14966	0.00442	3e-05
V267	0.00402	0.22977	0.52239	0.24382
V268	0.73179	0.00849	0.1514	0.10831
V269	0.04178	0.47025	0.46774	0.02023
V270	0.82356	0	0.15976	0.01668
V271	0.92614	0.0239	0.02808	0.02188
V272	0.23274	0.70305	0.02353	0.04068
V273	0.35621	0.02649	0.09613	0.52118
V274	0.86827	0	0.11173	0.02
V275	0	0.00927	0.98781	0.00292
V276	0.74559	0.20366	0.01363	0.03712
V277	0.21965	0.24768	0.28909	0.24358
V278	0.20884	0.05833	0.48291	0.24992
V279	0.87649	0.01691	0.0795	0.0271
V280	0.10826	0.00452	0.07616	0.81106
V281	0.8156	0.00676	0.11814	0.05951
V282	0.17905	0.03712	0.76479	0.01904
V283	0.51604	0.37433	0.06895	0.04068
V284	0.11653	0.79669	0.08313	0.00365
V285	0.19782	0	0.80217	1e-05
V286	0.52418	0.33819	0.10979	0.02784
V287	0.32459	0.646	0.02053	0.00888
V288	0.08629	0.25513	0.55567	0.10291
V289	0.51003	0.12328	0.34543	0.02126
V290	0.93264	0.05849	0.00887	0
V291	0.7235	0.0122	0.26111	0.0032
V292	0.99337	0	0	0.00663
V293	0.49079	0	0.49825	0.01096
V294	0.40781	0.38119	0.00404	0.20695
V295	0.11923	0.23051	0.36822	0.28204
V296	0.37913	0.06779	0.52836	0.02472
V297	0.42188	0	0.15014	0.42798
V298	0.54886	0.03672	0.41059	0.00383
V299	0.36365	0.32521	0.03298	0.27816
V300	0.00609	0.04396	0.53581	0.41415
V301	0.31163	0.06708	0.58668	0.03461
V302	0.84831	0.14833	0	0.00336
V303	0.00206	0.51768	0.46649	0.01377
V304	0.18902	0.0091	0.75051	0.05137
V305	0.37599	0.10334	0.44947	0.0712
V306	0.92629	0.0288	0.03562	0.00929
V307	0.08639	0.87957	0.02671	0.00732
V308	0.52159	0.14175	0.27601	0.06064
V309	0.66112	0.21707	0.03471	0.0871
V310	0.33104	0.29476	0.21779	0.15641
V311	0.76861	0.22447	0.0051	0.00183
V312	0.30888	0.5274	0.15508	0.00863
V313	0.01072	0.22766	0.06735	0.69428
V314	0.1047	0.5288	0.19789	0.16862
V315	0.41177	0.47156	0.05061	0.06605
V316	0.5457	0.07828	0.33416	0.04186
V317	0.31556	0.56288	0.06522	0.05634
V318	0.1953	0.60564	0.02997	0.16909
V319	0.17532	0.03018	0.78399	0.01051
