Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0	0.0071	0.11658	0	0.40784	0	0	0	0	0.46848
V2	0.63343	0.00044	0	0	0.01971	0.29664	0.04832	0.00147	0	0
V3	0.10255	0.00927	0.12213	0	0.48721	0.02226	0.05879	0.19012	0	0.00768
V4	0.00366	0.05691	0.04806	0.00757	0.11406	0.06318	0.01736	0.01253	0.58268	0.09397
V5	0	0.11498	0.10497	0.06481	0.2088	0.0681	0.01099	0	0	0.42735
V6	0.01302	0	0.22879	0	0.66157	0.01961	0	0.077	0	0
V7	0.00907	0.37111	0.03759	0	0.44235	0.01095	0.03477	0.09416	0	0
V8	0.01563	0.40577	0.06703	0	0.1651	0.00245	0	0.344	0	0
V9	0.00299	0.00966	0.07682	0.12131	0.01111	0.04129	0.12812	0.59241	0.01629	0
V10	0.00447	0	0.0415	0	0.72508	0.05242	0.0071	0.16943	0	0
V11	0.02225	0.40249	0.03018	0	0.16948	0.02749	0	0.31816	0.02123	0.00873
V12	0	0.0364	0.17293	0.51149	0.05888	0.02243	0.08788	0.01706	0.00705	0.08588
V13	0.07708	0.03686	0.12403	0	0.02291	0.22112	0.33034	0.02475	0.15899	0.00393
V14	0.07304	0.36756	0.17815	0.0235	0.16221	0.07283	0.09701	0.0257	0	0
V15	0.20718	0.01613	0.09025	0.59158	0	0.02655	0.04132	0.01615	0.01084	0
V16	0	0.04789	0.18235	0.5491	0.03023	0.04415	0.02622	0.00063	0.11942	0
V17	0.00549	0.12525	0.07625	0	0.23558	0.08455	0.03088	0.01064	0	0.43137
V18	0.039	0.08479	0.10672	0.32391	0.1217	0.00596	0.00859	0.00232	0	0.30701
V19	0	0.00942	0.09337	0.06047	0.16781	0.08568	0.00766	0.00927	0	0.56632
V20	0	0.23128	0.03635	0	0.06641	0.12292	0.39466	0.08089	0.01094	0.05656
V21	0.09172	0.33089	0.02843	0	0.13482	0.32479	0.04198	0.04014	0.00112	0.0061
V22	0	0.00763	0.06218	0	0.13104	0	0	0.36502	0.03174	0.4024
V23	0.28862	0.01247	0.59372	0	0.03167	0.00109	0	0.00036	0.00083	0.07123
V24	0.03339	0.47701	0.06405	0	0.19914	0.00693	0.04853	0.10009	0.07086	0
V25	0.01154	0.09135	0.08268	0.00974	0.22079	0.12103	0.03015	0	0.17264	0.26008
V26	0.01514	0	0.05109	0.0264	0.00078	0	0	0.90659	0	0
V27	0	0.01355	0.06762	0	0.60106	0	0.01147	0	0	0.30631
V28	0.28176	0.00691	0.05165	0	0.1234	0.02211	0.01357	0.042	0	0.4586
V29	0.01596	0.53287	0.03766	0	0.23809	0.08679	0.01037	0.02806	0	0.0502
V30	0	0.02331	0.11313	0.00133	0.00905	0.3293	0.22778	0.00486	0.28847	0.00278
V31	0.02116	0.23441	0.21223	0	0.16251	0	0	0.36969	0	0
V32	0.48198	0.00083	0.00079	0	0.34058	0.047	0.02721	0	0.09272	0.00888
V33	0.0072	0.03334	0.2218	0.4993	0	0.04617	0.16629	0.01028	0.01562	0
V34	0	0.02831	0.07345	0	0.44428	0	0.00264	0.01778	0.02985	0.40369
V35	0.02267	0.65398	0.02544	0	0.26204	5e-05	0.00595	0.02987	0	0
V36	0.03221	0.08005	0.02454	0	0	0.17483	0.58282	0.06738	0.03816	0
V37	0.00578	0.45989	0.02954	0	0.18013	0.05507	0.2091	0.05616	0	0.00432
V38	0.09904	0.04703	0.0566	0.16788	0	0.12853	0.4417	0.02573	0.0335	0
V39	0.05357	0.05036	0.07509	0.15912	0.0265	0.12443	0.42768	0.04775	0.03247	0.00303
V40	0.13254	0	0.73857	0	0.12457	0	0	0	0.00431	0
V41	0.61472	0.04734	0	0	0.04139	0.00025	0.00401	0.00905	0.27607	0.00717
V42	0.00923	0.43797	0.03738	0	0.49624	0	0	0.00435	0	0.01483
V43	0.11706	0.02428	0.13727	0.05068	0.22305	0.08358	0.16968	0.03944	0.15495	0
V44	0.03958	0	0.53946	0	0	0	0	0.42096	0	0
V45	0.00093	0.0238	0.04071	0.01658	0.03625	0.05071	0.1921	0.00154	0.61946	0.0179
V46	0.14587	0.08753	0.0987	0.23978	0.14743	0	0.0029	0.02236	0	0.25542
V47	0	0.06678	0.01919	0	0	0.18784	0.63841	0.03289	0.0541	8e-04
V48	0	0.03244	0.08803	0	0.20641	0	0.0027	0	0.10168	0.56874
V49	0.15183	0	0	0.02033	0	0	0	0.82784	0	0
