cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V137	0.65749	0.03419	0.24097	0.06735
V138	0.18874	0.38447	0.17495	0.25184
V139	0.33412	0.17111	0.19218	0.30259
V140	0.02146	0.09086	0.05039	0.8373
V141	0.04325	0.12579	0.56061	0.27035
V142	0.76855	0.02978	0.20124	0.00043
V143	0.41902	0.22835	0.05982	0.2928
V144	0.1276	0.11948	0.15183	0.6011
V145	0.00239	0.7748	0.21653	0.00628
V146	0.0493	0.03799	0.03913	0.87358
V147	0.9213	0.02684	0.0154	0.03646
V148	0.09835	0.06566	0.59897	0.23702
V149	0.24798	0.53031	0.21629	0.00542
V150	0.06498	0.21533	0.63542	0.08427
V151	0.18319	0.64601	0.02751	0.14329
V152	0.21694	0.44768	0.22204	0.11334
V153	0.08526	0.77472	0.01434	0.12568
V154	0.22796	0.4632	0.27799	0.03085
V155	0.47785	0.12023	0.29415	0.10777
V156	0.02116	0.11985	0.72283	0.13617
V157	0.27901	0.12675	0.32234	0.2719
V158	0.02864	0.03042	0.05702	0.88392
V159	0.89209	0.06228	2e-05	0.04561
V160	0.66931	0.01397	0.05523	0.26149
V161	0.16707	0.02605	0.032	0.77488
V162	0.04422	0.25589	0.06945	0.63043
V163	0.07402	0.47846	0.16007	0.28745
V164	0.32084	0.27899	0.09851	0.30166
V165	0.0085	0.24314	0.00613	0.74223
V166	0.00602	0.10015	0.06759	0.82624
V167	0.29465	0.01947	0.01207	0.67381
V168	0.27206	0.59539	0.07096	0.0616
V169	0.14401	0.05419	0.0353	0.7665
V170	0.07733	0.03458	0.51494	0.37315
V171	0.10782	0.22262	0.62881	0.04075
V172	0.70081	0.02542	0.26797	0.0058
V173	0.01917	0.13326	0.03934	0.80823
V174	0.01086	0.145	0.06746	0.77668
V175	0.04594	0.04597	0.78046	0.12763
V176	0.00686	0.82981	0.15726	0.00606
V177	0.01241	0.97279	0.00048	0.01432
V178	0.00554	0.75659	0.006	0.23187
V179	0.12257	0.02656	0.36594	0.48493
V180	0.02743	0.89709	0.07512	0.00037
V181	0.13399	0.11029	0.57394	0.18179
V182	0.28261	0.16225	0.493	0.06215
V183	0.16416	0.82538	0.0046	0.00586
V184	0.94842	0.02918	0.02206	0.00034
V185	0.56335	0.4213	0.01	0.00536
V186	0.09702	0.48218	0.2693	0.15151
V187	0.94293	0.02416	0.0269	0.00601
V188	0.04227	0.20936	0.00563	0.74274
V189	0.80914	0.02231	0.01434	0.15421
V190	0.64259	0.03171	0.31999	0.00571
V191	0.16271	0.18909	0.60764	0.04056
V192	0.28172	0.46143	0.04316	0.21368
V193	0.60061	0.03288	0.23209	0.13442
V194	0.02981	0.94403	0.00477	0.02139
V195	0.01302	0.08003	0.89701	0.00994
V196	0.01212	0.10436	0.02071	0.86281
V197	0.3559	0.04349	0.02322	0.57739
V198	0.0486	0.50557	0.38364	0.06219
V199	0.12209	0.03244	0.15909	0.68638
