Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V71	0.03667	0	0.02384	0.00371	0.0016	0	0	0.92462	0	0.00955
V72	0.20841	0.00074	0.08479	0.27369	0.2681	0	0.0051	0.01033	0	0.14886
V73	0.02069	0.00021	0.06299	0	0.89048	0.01411	0.00406	0.00746	0	0
V74	0	0	0.10714	0.21125	0.13486	0.03457	0.00624	0.00858	0	0.49736
V75	0.00823	0.05925	0.20785	0.45427	0.0309	0.00873	0.01982	0.00953	0.20143	0
V76	0	0	0.0144	0.00473	0	0.8618	0.08353	0	0.03553	0
V77	0	0.0149	0.04292	0.32703	0	0.34149	0.25267	0.00485	0.01614	0
V78	0.00407	0.39709	0.06505	0	0.17477	0.0735	0.23236	0.00747	0	0.0457
V79	0.00019	0.01692	0.06984	0.30461	0.00826	0.26127	0.04374	0	0.28443	0.01075
V80	0.43245	0	0.02889	0	0.10339	0.00302	0.01953	0.00021	0.04536	0.36716
V81	0	0	0.04293	0.15543	0.17628	0.56356	0.05524	0	0.00655	0
V82	0.05045	0.38425	0.06613	0.25294	0.14472	0.00689	0.00521	0.08941	0	0
V83	0.02068	0.04007	0.09368	0.47552	0.02364	0	0.0084	0.338	0	0
V84	0.01096	0.00167	0.0448	0.02133	0.1131	0.59448	0.1985	0	0.01515	0
V85	0.21675	0	0.5385	0	0.0439	0	0	0	0	0.20084
V86	0.27783	0.00233	0.35368	0.34562	0	0.00857	0.01118	0.00079	0	0
V87	0.02422	0.01461	0.03379	0.02481	0.06153	0.00232	0.01259	0	0.82612	0
V88	0	0.26336	0.09051	0.53488	0.08424	0.00067	0.02337	0.00296	0	0
V89	0	0.03974	0.02527	0.02414	0	0.16741	0.57111	0.15321	0.01912	0
V90	0.01937	0.04552	0.49563	0	0.1094	0.01343	0	0	0	0.31665
V91	0.07362	0	0.9009	0	0.00383	0	0	0.00113	0.02051	0
V92	0	0.05275	0.01282	0	0	0.19604	0.62683	0.01703	0.09452	0
V93	0.02049	0.04263	0.09623	0	0.0179	0.04876	0.17292	0.02225	0.57881	0
V94	0.89633	0	0	0	0	0.03489	0.00839	0.05687	0	0.00353
V95	0.00759	0.03353	0.01803	0	0	0.10552	0.379	0.44654	0.00979	0
V96	0.0259	0.09279	0.40403	0.37752	0.0233	0.01484	0.01503	0.02156	0.02503	0
V97	0	0.04847	0.01867	0	0	0.1823	0.61566	0.01735	0.03491	0.08264
V98	0.00725	0.19223	0.06417	0.04096	0.31234	0.01385	0.02686	0.13023	0.14243	0.06968
V99	0.5891	0	0	0	0.00437	0.01723	0.05703	0.01035	0.32191	0
V100	0.1731	0.00637	0.06125	0.21942	0.02556	0.32226	0.0462	0	0.14065	0.00522
V101	0	0.00881	0.05127	0	0.13091	0.12129	0.12907	0.05786	0	0.50078
V102	0.03741	0.15563	0.02399	0	0.15505	0.33947	0.1206	0.15957	0	0.00828
V103	0.08262	0.00663	0.03317	0.02107	0.02276	0.00211	0.01181	0.00385	0.81597	0
V104	0.07278	0	0.88556	0	0	0	0	0	0.04166	0
V105	0.30703	0	0.0916	0	0	0.11346	0	0.48791	0	0
V106	0.02979	0.51149	0.24534	0	0.20042	0.01297	0	0	0	0
V107	0.24837	0.12682	0.03707	0	0.39854	0.01089	0.00391	0.05241	0.12198	0
