Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V123	0.49185	0.07609	0.06928	0.13875	0.22404
V124	0.20562	0.12615	0.05424	0.16484	0.44915
V125	0.04964	0.44132	0.50592	0	0.00313
V126	0.14937	0.19236	0.22096	0.07598	0.36133
V127	0.27794	0	0.69981	0.02225	0
V128	0.19134	0.7946	0	0	0.01406
V129	0.26711	0.03865	0.2875	0.12356	0.28318
V130	0.03218	0.54672	0.02677	0.173	0.22133
V131	0.01233	0	0.30103	0.66702	0.01963
V132	0.35252	0.03948	0	0.27175	0.33625
V133	0.00999	0.02385	0.56993	0.06162	0.33461
V134	0.07637	0	0.81864	0.00864	0.09636
V135	0.02996	0.06672	0.7593	0.01209	0.13193
V136	0.97293	0.02707	0	0	0
V137	0.90849	0.06269	0	0.00117	0.02766
V138	0.23644	0.16243	0.06893	0.09113	0.44108
V139	0.13591	0	0.20435	0.63233	0.02741
V140	0.01773	0	0.14386	0.0265	0.81192
V141	0.02586	0.19919	0.69837	0.07102	0.00556
V142	0.20433	0	0.34887	0.08844	0.35836
V143	0.02223	0.18115	0.51004	0.1085	0.17809
V144	0.5043	0.26456	0.05807	0.07939	0.09369
V145	0.00074	0	0.97995	0.00421	0.0151
V146	0.03209	0.37456	0	0.24772	0.34562
V147	0.10673	0.03308	0.75022	0.07622	0.03376
V148	0.14799	0.81641	0	0.01843	0.01716
V149	0.00324	0	0	0.88539	0.11137
V150	0.14837	0.17944	0.59815	0	0.07404
V151	0.45528	0.05538	0	0.33816	0.15118
V152	0.00872	0	0.14415	0.71592	0.13121
V153	0.17393	0.18236	0.47136	0.02536	0.147
V154	0.11023	0.6097	0.00424	0.01781	0.25802
V155	0.03819	0	0.17603	0.74815	0.03763
V156	0.09976	0.00823	0.42213	0.11087	0.35902
V157	0.09018	0.03608	0.1819	0.21595	0.47589
V158	0.18578	0	0.46123	0.02297	0.33002
V159	0.1231	0.28449	0.00348	0.52836	0.06058
V160	0.43306	0.19238	0.08297	0.01905	0.27254
V161	0.18775	0.01959	0.05033	0.01111	0.73122
V162	0.00094	0	0.99906	0	0
V163	0.04237	0	0.00377	0.05509	0.89878
V164	0.9199	0.0801	0	0	0
V165	0.61441	0.24561	0.07229	0.02146	0.04623
V166	0.05332	0	0.29903	0.52256	0.12509
V167	0.03682	0.67692	0.00063	0.09827	0.18736
V168	0.00094	0	0.99906	0	0
V169	0.058	0.72466	0.14432	0.05576	0.01726
V170	0.24364	0.43809	0.04186	0.14082	0.13559
V171	0.32051	0.09652	0.40267	0.12734	0.05297
V172	0.16217	0.23395	0.05414	0.01391	0.53582
V173	0.22354	0.12428	0.09671	0.33303	0.22244
V174	0.21114	0	0.3882	0.14919	0.25147
V175	0.07078	0.14146	0.11787	0.13527	0.53463
V176	0.41955	0.04531	0	0.52366	0.01148
V177	0.21356	0.0055	0.64696	0.13114	0.00285
V178	0.28968	0.03769	0.50377	0.0752	0.09366
V179	0.08069	0.00373	0	0.03047	0.8851
V180	0.02286	0	0.3348	0.01156	0.63079
V181	0.0555	0.26675	0	0.04832	0.62943
V182	0.57754	0.26672	0	0.112	0.04374
V183	0.06787	0.92309	0	0	0.00904
V184	0.34755	0.0136	0.34794	0.26277	0.02815
V185	0.09976	0.51242	0.00602	0.1057	0.2761
V186	0.12898	0.1979	0.01766	0.19451	0.46094
V187	0.07818	0.74714	0	0.16101	0.01367
V188	0.87245	0.05562	0.02181	0.04981	3e-04
V189	0.46763	0.3109	0.02056	0.19263	0.00828
V190	0.39382	0.08246	0.21649	0	0.30723
V191	0.22549	0.27608	0	0.34494	0.15349
V192	0.32325	0.23043	0.12723	0.15706	0.16204
V193	0.07545	0.19089	0.53567	0.02332	0.17467
V194	0.2456	0.05765	0.0796	0.07095	0.5462
V195	0.57948	0.17318	0.24734	0	0
V196	0.00151	0	0.04646	0.05687	0.89515
V197	0.06671	0.90111	0	0.02227	0.00992
