,"CD56NK","CD4MemoryT","CD19B","CD14"
"NPL",1.5297304789,1.4392126722,0.6519118606,7.9674963013
"NPLOC4",2.6846119929,4.8083575742,4.1445591784,14.7011192541
"NPM1",129.6860814118,212.8672729195,209.7029936897,49.2341489538
"NPM2",0.0497341948,0.855785049,0.2193784061,0.2674945473
"NPM3",9.0451945714,18.2317972697,10.6580821147,12.2322305458
"NPR2",0.2454784529,0.1944237269,0.2193784061,0.0297460318
"NPRL2",18.2558909558,10.0867884645,6.1718626105,3.8185820692
"NPRL3",7.2497845483,6.2346211197,8.3679154469,4.9398923819
"NPTN",0.9464135065,0.3490046511,0.899852947,3.4656125287
"NPTXR",1.2080491243,0.2650777673,0.0128757653,0.0297460318
"NQO1",3.6384589172,1.6780080444,0.7263611046,0.512399213
"NQO2",11.1904382092,10.1463200921,2.07140613,17.1713304227
"NR1D1",1.8487296916,7.4219501014,1.1646025392,1.0021762946
"NR1D2",4.5723342761,4.104605344,3.9983833781,2.4100110615
"NR1H2",15.8991363986,19.8723942635,24.7492872902,18.1071837105
"NR1H3",1.9662237871,1.1338329043,0.9461727468,3.2682234953
"NR2C1",4.0508862635,3.6546164092,3.6984284072,0.0297460318
"NR2C2",1.2651352089,0.7791415048,1.1225610873,0.512399213
"NR2C2AP",6.7200209903,11.7574110826,9.9327571981,5.4979009055
"NR2F6",0.6751838322,2.7297097134,0.7660564197,2.1876592491
"NR3C1",14.315685077,13.4818624305,12.1083646054,9.3454658813
"NR3C2",0.3892810327,1.4392126722,1.1646025392,0.0297460318
"NR4A1",0.8416631733,8.4914820029,1.2994953074,17.0680257672
"NR4A2",7.38085186,13.0704519709,5.8962767747,19.3682990643
"NR4A3",0.5527562391,0.7014795909,0.0128757653,0.7664027916
"NR6A1",0.0056887188,0.007570068,0.10092999,2.84902521
"NRAS",4.4119807459,3.0177068077,4.1445591784,1.9562279821
"NRBF2",9.6899633196,8.1398689699,8.7628198552,3.8185820692
"NRBP1",15.4959815154,13.4818624305,7.6205322932,16.5366461987
"NRCAM",0.0056887188,0.007570068,0.10092999,0.0297460318
"NRDE2",8.2508873349,2.800723154,3.9426728225,6.1525070184
"NREP",0.6751838322,0.007570068,0.9461727468,1.7145058742
"NRF1",0.9941783738,2.419599989,1.6772817122,2.84902521
"NRG1",0.0056887188,0.007570068,0.0128757653,11.3949069925
"NRG4",0.0497341948,0.007570068,0.0128757653,0.0297460318
"NRGN",0.0497341948,0.1117873012,0.1641721313,22.7936945739
"NRIP1",2.7343949157,0.1117873012,3.2354831843,1.4643027514
"NRIP3",0.0497341948,0.1532656946,0.0128757653,0.512399213
