Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory
ACD	0.0188	0	0.0614	0.1022	0.037	0	0.0632	0.0357	0.0267	0.0079	0.1168	0.0823	0.0612	0	0.0014	0.042	0.0626	0.0514	0.0571	0.0177	0	0	0	0	0.0036	0.0046	0	0.0123	0	0	0	0.0449	0.0891	0
ACN	0.0112	0.0034	0.0318	0.0746	0.0328	0	0.0368	0.0507	0	0.036	0.1657	0.0958	0.0624	0	0	0.0551	0.0511	0.0835	0.0776	0.0244	0.0156	0	0	0	0	0.0141	0	0	0	0	0	0.0232	0.0544	0
ALO	0	0	0.0551	0.0656	0.0337	0	0.0103	0.0472	0.0675	0.0215	0.1851	0.0853	0.0492	0	0	0.0366	0.064	0.0763	0.0796	0.0097	0.0059	0	0	0	0	0	0	0	0	0	0	0.0189	0.0886	0
ATD	8e-04	0.0098	0.0402	0.0386	0.0267	0	0.0936	0.0417	0.0242	0.0187	0.1357	0.0524	0.0342	0	0	0.0549	0.1433	0.0405	0.0806	0.0417	0	0	0	0	0.0015	0.0154	0	0	0	0	0	0.0791	0.0262	0
BCC	0.0171	0.0246	0.0322	0.0246	0.0469	0	0.0512	0.0341	0.0613	0.0427	0.1109	0.0184	0.045	0	0.0224	0.015	0.1523	0.0345	0.0786	0.0495	0.0356	0.0018	0	0	0	0.0022	0	0.0116	0	0	0	0.0626	0.0249	0
BU	0.0052	0	0.0303	0.1023	0.0311	0	0.099	0.0205	0	0	0.1263	0.0615	0.0794	0	0	0.0139	0.1836	0.0634	0.069	0.0311	0.0037	0	0	0	0	0	0	0.0165	0	0	0	0.0261	0.0324	0.0047
CHA	0.0117	0.0048	0.054	0.0955	0.0361	0	0.049	0.042	0.0266	0.0253	0.1743	0.056	0.0225	0	0	0.0281	0.045	0.0475	0.096	0.053	0	0	0	0	0	0.0021	0	0.0091	0	0	0	0.0393	0.0412	0.0408
DLE	0	0	0.0684	0.0722	0.0436	0	0.0494	0.0219	0.0372	0	0.1365	0.0708	0.0531	0	0	0.0112	0.0478	0.0829	0.0966	0.0469	0	0	0	0	0	0	0	0	0	0	0	0.0137	0.1099	0.0379
ENL	0.024	0	0.0854	0.1194	0.0373	0	0.073	0.0371	8e-04	0.0296	0.0499	0.04	0.0506	0.0305	0	0.0218	0.0212	0.1185	0.0968	0.027	0.0071	0	0	0	0	0.0044	0	0.0062	0	0	0	0.0267	0.0659	0.027
ICD	0	0.0237	0.0402	0.0223	0.0381	0	0.0439	0.005	0.0282	0.0147	0.215	0.0245	0.0336	0	0	0.0094	0.1382	0.084	0.0821	0.0407	0.0494	0	0	0	0	0	0	0	0	0	0	0.0751	0.0319	0
LL	0.0107	8e-04	0.1022	0.1009	0.0381	0	0.0442	0.0355	0	0.0387	0.0408	0.0355	0.0237	0.0239	0	0.0425	0	0.2238	0.0793	0.046	1e-04	0	0	0	0	0	0	0	0	0	0	0.0399	0.0258	0.0475
MEL	0	0	0.0575	0.041	0.0343	0	0.0817	0.0244	0	0.0255	0.0524	0.0569	0.0795	0	0	0.0081	0.0532	0.0931	0.0698	0.2013	0.0348	0	0	0	0	0.0136	0	0	0	0	0	0.0499	0.0231	0
MF	0	0	0.0745	0.0518	0.0713	0	0.1226	0	0	0.0029	0	0	0.0574	0	0	0	0.0838	0.098	0.0598	0.0379	0.0607	0	0.0072	0	0	0	0	0	0	0	0.0059	0.028	0.1509	0.0873
