CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT
A	0.3436	0.2012	0.1112	0.0501	0.0721	0.0227	0.1351	0.0641	0
B	0.3496	0.1991	0.1892	0.0132	0.0263	0	0.1233	0.0993	0
C	0.0574	0.0482	0.1492	0.2991	0.3225	0	0.0718	0	0.0518
D	0.047	0.0459	0.1483	0.2246	0.3131	0.0878	0.0751	0.0581	0
E	0.109	0.0642	0	0.208	0.0839	0	0.1393	0.2856	0.1099
F	0.1949	0.0684	0.103	0	0.0534	0	0.5803	0	0
G	0.5506	0.1815	0.1361	0	0	0.0126	0.0758	0.0374	0.006
H	0.6714	0.1088	0.0497	0	0.0943	0	0.0509	0.0248	0
I	0.6831	0.1201	0.0508	0	0.0157	0.0184	0.0591	0.0528	0
J	0.0267	0.0427	0.3899	0.2043	0.2022	0.0546	0.0344	0.0451	0
K	0.025	0.0544	0.1031	0.1434	0.0205	0	0.0974	0.3954	0.1607
L	0.048	0.0426	0.5675	0.1718	0	0.0859	0.0684	0.0158	0
