CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
A	0.1374	0.143	0.2226	0.071	0	0.0545	0	0.1041	0	0	0	0	0.0608	0.0367	0	0.0664	0.1034	0	0	0
B	0.1417	0.1491	0.1882	0.0751	0	0.0852	0	0.0957	0	0	0	0	0.0652	0.0369	0.0116	0.046	0.1054	0	0	0
C	0	0.0469	0.6049	0.0266	0	0.1062	0	0.1101	0	0	0	0	0.0175	0.0419	0	0.035	0.0109	0	0	0
D	0	0.0532	0.6121	0.0228	0	0.0849	0	0.1206	0	0	0	0	0.0294	0.0073	0	0.0696	0	0	0	0
E	0	0.0828	0.1676	0.1405	0	0.3483	0	0.095	0	0	0	0	0.0409	0	0.022	0.08	0.0127	0	0	0.0102
F	0	0.1723	0	0.4108	0	0.1396	0	0.108	0	0	0	0	0.0139	0.0503	0.0195	0.0333	0.0439	0	0.0085	0
G	0.1898	0.1535	0.0893	0	0	0	0	0.1234	0	0	0	0	0.0759	0.0146	0	0.0727	0.0829	0.198	0	0
H	0.3681	0.2115	0.064	0	0	0	0	0.0952	0	0	0	0	0.1082	0.0189	0	0.0523	0.045	0	0	0.0367
I	0.3738	0.2063	0.0532	0	0	0	0	0.0856	0	0	0	0	0.1027	0.0171	0	0.0757	0.065	0	0	0.0206
J	0	0.008	0.7441	0	0	0	0	0.1098	0	0	0	0	0.0248	0	0.0221	0.0827	0	0	0	0.0085
K	0	0.0323	0.2217	0.1106	0	0.3807	0	0.0954	0	0	0	0	0.0151	0.0021	0.0496	0.0661	0.0111	0	0.0012	0.0142
L	0	0.0147	0.7382	0	0	0	0	0.1189	0	0	0	0	0.0464	0	0.0057	0.076	0	0	0	0
