Symbol	A	B	C	D	E	F	G	H	I	J	K	L
FAM46D	25.991087	10.458598	43.536835	12.507756	12.762163	8.958821	37.480534	9.029404	15.157562	9.834897	38.721069	32.279232
FAM46A	2177.967285	2071.425293	1494.640991	1423.707275	2442.428467	4052.456299	1770.725708	2043.981201	2005.427002	1578.072144	2177.084473	1572.780151
FAM46B	8.773662	5.437081	8.224571	5.498472	10.50031	10.639473	15.408568	7.430163	20.161755	0.251594	4.533164	6.932366
FAM46C	5755.94873	6016.754395	6771.778809	7038.536621	7708.85791	8748.485352	3860.227539	1850.109985	1907.654053	7279.249512	7292.216309	9754.65918
LOC644444	32.956268	13.798822	22.982155	16.153467	18.502277	10.231641	13.422756	69.242165	24.816229	34.570724	45.586769	16.435701
LOC644447	51.080101	28.812469	18.76993	20.331385	9.195677	13.70106	13.537042	21.759415	44.296585	43.450565	30.421251	27.867647
C1orf220	22.430847	13.814924	7.852633	4.426952	6.212038	18.5585	30.573875	22.827726	15.357038	15.552455	22.281643	7.561642
COBRA1	1100.214355	1078.411011	1333.142456	1455.915527	1293.807861	1569.765015	1121.427734	1039.957642	1120.348267	1314.909302	1308.355469	1387.833008
C1orf222	79.461472	91.087418	100.733582	141.250717	106.107338	122.162231	43.648678	144.787064	35.695713	73.112099	103.947975	99.746429
C1orf227	17.54455	11.047298	21.342714	79.680107	13.670889	7.026511	14.092188	16.34795	6.247938	5.971549	20.127851	18.564844
C1orf226	30.988419	94.789658	42.975616	68.560188	71.243652	56.529087	17.8892	4.333057	37.849628	72.180885	46.81934	48.299435
HMGCL	177.517578	170.230377	200.362183	233.608414	203.555588	213.850311	153.530899	211.155823	147.674744	222.417984	165.583786	207.193237
PRMT3	521.328247	511.407898	660.077026	676.078003	529.695984	449.065643	450.935852	494.151245	490.394867	655.990417	564.840454	577.155762
PRMT1	3174.868164	2876.602051	3284.314697	3291.502441	3731.125977	3204.229004	2015.764038	2743.827881	2574.54541	3435.596924	3490.13501	3226.405273
PRMT6	465.16925	438.516693	526.658325	549.909973	650.246521	563.169922	364.911255	405.243134	423.322479	628.243408	756.845642	559.707825
PRMT7	133.716537	147.145645	203.065033	176.694412	161.980881	195.383102	161.61293	147.630386	62.133224	168.774261	199.35968	170.837265
PRMT5	490.174591	541.584717	520.529907	544.78418	593.873291	373.307953	553.675903	560.398315	584.268188	510.358032	519.9375	458.275482
TMEM176A	1465.666626	1159.914917	173.402893	155.090118	281.998352	342.438995	1858.832642	3014.924805	2888.57666	47.873772	65.417305	142.587219
HMGCR	924.499695	807.542908	669.634644	745.95575	834.970398	1086.64917	1314.182495	1035.790161	1037.951416	785.600342	839.650452	773.619629
TMEM176B	675.88855	675.121826	80.620605	132.905716	173.356644	272.728119	862.349182	1834.572632	1850.109985	31.836025	11.390715	19.574965
LYPD6B	34.899532	43.126938	17.057896	16.011105	31.549709	20.764822	15.842976	7.534988	19.090811	81.213554	35.172249	18.022038
PMS2CL	144.073227	137.743835	138.251465	165.449326	114.038757	137.127014	144.631851	118.897263	109.575836	169.020462	168.968796	135.325638
LOC100130812	135.328903	91.852692	176.046127	103.76104	42.683128	96.682831	14.31926	91.871109	12.860008	114.07132	115.143684	60.816765
LOC100130814	56.193363	99.314957	41.711109	48.566196	69.976212	31.977465	29.728506	49.589645	20.567038	51.249477	87.129959	103.346359
LOC100130815	125.706535	70.093987	129.715195	91.913902	37.764347	88.376778	142.575195	37.986622	59.642391	101.484337	46.96085	160.608551
LOC100130816	112.605019	92.194939	45.397831	69.613861	106.504875	64.563095	118.641251	136.817551	98.612274	135.620636	138.87793	103.00415
NCRNA00168	31.122854	25.699883	88.6688	32.744431	86.34819	24.732012	108.43071	39.053471	56.997169	109.472603	58.852097	30.97344
LOC100130818	317.939301	282.309509	388.236145	335.42923	364.806335	275.073822	262.138306	310.185547	294.536469	432.821686	361.443878	360.856964
LOC100130819	12.571561	11.623167	42.940086	3.567344	13.175687	22.45083	12.065592	41.075062	8.293066	16.421782	11.727923	39.175892
NCRNA00162	36.197117	32.664314	43.896526	76.619926	33.543186	17.394392	27.846758	16.408751	81.077026	52.276363	29.606152	38.699955
NCRNA00161	82.272758	28.75038	65.158173	108.497208	12.280455	73.339935	64.096512	79.461472	24.18643	27.646904	65.044884	72.172112
NCRNA00160	119.264076	20.883633	48.372635	94.158379	20.642809	63.803528	53.152046	25.727528	47.484634	39.392273	55.469456	32.966396
CD209	47.822704	126.097969	20.973919	8.053792	3.669303	8.675892	140.646805	212.571579	216.384445	14.584989	5.652225	20.11348
CD200	107.046089	75.825897	132.364594	51.045837	136.532135	99.913269	79.201736	90.844727	82.712364	33.401714	131.451965	70.736046
GVIN1	979.666748	1173.964844	2312.349365	2220.956299	1483.580322	1603.364014	619.540649	350.487152	351.256775	1615.908325	1932.085571	1418.039063
CD207	29.953678	14.254738	7.99718	11.633727	74.049858	18.970385	69.242165	11.000717	23.572098	72.994881	47.43037	56.030254
PPARGC1A	24.556484	85.604889	22.206888	11.261137	36.038563	9.891803	26.921106	72.987579	72.221924	27.990948	76.143234	18.444927
PPARGC1B	41.299484	32.562897	23.487745	36.423798	57.877014	7.462979	43.903004	139.082993	98.361237	46.636833	77.997025	11.541518
XDH	32.425014	69.114182	16.856422	40.539616	32.924145	17.299824	17.162012	22.442198	67.136307	118.807968	7.018304	34.396725
CX3CL1	66.041077	29.489283	31.752752	19.09725	15.728268	24.564005	57.627079	89.410782	23.038097	18.265249	12.394004	49.31514
UMPS	70.864853	82.949402	125.099129	24.556463	86.15741	148.565506	35.601048	81.4216	88.049957	88.083168	56.900021	108.167488
LOC201725	82.137703	22.208471	56.481228	78.815079	68.995422	108.630623	142.699585	92.392334	126.735748	75.858879	110.737091	138.989334
NEU4	395.32663	346.607513	68.311432	79.25029	204.92836	179.793289	747.310364	1353.142944	1105.291382	113.11425	184.621078	183.180893
NANOS1	134.91864	176.796555	198.515564	216.325928	189.66217	172.830612	149.495865	151.265472	73.707291	235.311066	195.359482	215.888824
NANOS3	83.234436	118.213448	119.928528	76.340752	82.095047	39.548695	106.209053	65.08699	71.233238	30.885868	105.079247	33.674484
NANOS2	2.435666	16.546789	4.797454	11.634804	30.908205	53.69141	19.395666	13.194659	10.602109	8.750532	37.368195	8.357107
CYP2E1	133.769974	130.099838	160.797791	172.282425	170.97229	64.184082	91.551697	47.541634	80.74131	158.765991	189.982986	188.323807
LOC154822	32.924145	21.039438	75.07386	13.738995	68.773796	36.390034	50.775616	29.073885	18.242678	62.183525	51.828564	27.128273
C10orf47	91.92025	107.050095	76.93763	116.836937	35.057617	29.359968	171.333633	156.636734	201.763443	58.156185	41.851917	134.506348
C10orf46	37.797413	120.498772	55.876934	3.549973	99.598396	47.443848	68.271698	108.557808	38.505497	18.710539	95.847176	85.356873
C10orf41	59.137703	52.385906	37.558334	84.345963	24.368553	24.632425	45.660152	21.703575	21.42382	30.909883	29.449886	15.971672
C10orf40	3.848298	9.388383	14.786541	15.198076	6.705867	13.182768	13.99288	14.802893	11.728148	49.23233	24.275671	6.547728
FLJ36848	245.138306	220.139206	294.56842	275.834808	259.753479	215.900131	128.234802	178.25856	151.45163	298.635864	269.396606	247.676163
DHDH	10.45906	61.806385	107.771454	120.975746	85.424835	6.129673	12.174708	29.380878	14.559776	78.929741	76.458794	76.119591
FLJ45032	210.188782	212.195663	125.537491	140.707916	158.620728	200.294357	280.001892	305.306061	301.122589	126.744934	124.520592	195.734833
DHX58	445.582977	408.356476	522.81781	541.55957	445.312866	371.600433	475.950684	503.080658	479.483398	524.904968	467.505402	435.447296
DHX57	118.950851	101.587502	145.848145	143.577057	90.215149	138.674103	47.64967	52.567711	118.213448	155.598419	137.349823	105.735931
LOC389457	63.64624	46.636833	74.667938	22.86409	87.816177	44.103374	27.628244	31.276381	30.514246	57.016602	22.107876	66.081406
PPBP	404.27594	432.972015	277.744415	253.580261	315.296478	318.016479	494.43985	453.749176	445.090424	328.738983	325.145966	442.557678
LOC389458	79.800812	89.882797	138.313477	126.847565	137.042923	63.488895	62.99519	154.677383	42.233093	178.687775	151.209366	80.610039
DDIT4L	81.944771	88.091721	52.299061	105.532524	41.542145	75.850143	23.162451	75.075951	55.365795	31.103853	105.734154	57.572189
CYP4F22	164.841293	169.312408	89.159569	136.095703	212.134842	170.230377	204.953461	270.54071	258.114197	99.509193	218.699814	152.786758
NUP50	356.908051	342.438995	293.360657	293.481964	326.974426	327.820343	502.245911	502.94278	552.034424	287.662079	306.005737	328.837524
LOC391703	106.575447	97.679199	97.934074	106.107338	103.175919	26.321898	109.737877	137.066895	122.868874	75.787445	117.278336	134.649445
NUP54	516.317627	562.768433	647.964478	636.561768	660.747375	667.666382	429.879883	593.227112	524.904968	678.105347	799.778809	738.7901
SCARNA13	172.517609	183.375961	200.294357	249.269669	153.539825	143.262741	156.422806	117.901436	126.652924	241.327988	182.147034	176.65976
SCARNA12	126.754524	100.644539	103.078369	101.061485	105.801216	46.748093	103.977341	73.221313	46.458191	118.213448	90.249718	91.568413
SCARNA11	54.26606	84.147995	66.592873	11.250017	63.790222	11.614434	30.3424	29.914175	53.10886	54.087963	71.189087	22.033516
SCARNA10	308.970551	289.672852	415.190552	425.633148	363.724457	316.338959	422.437958	241.634415	261.485504	366.287811	322.25	402.465363
SCARNA17	219.627487	143.577057	252.624268	204.415207	192.047974	254.7845	145.553116	65.565277	68.374527	171.910782	198.338669	224.164505
SCARNA16	207.232254	274.425079	296.770111	300.436493	241.967056	207.017883	184.106766	208.395416	151.795792	238.057388	196.598907	241.828644
SCARNA15	23.817423	20.851002	7.623324	25.347363	10.286588	33.865578	28.825861	5.984091	17.841938	9.871515	10.602109	20.584227
SCARNA14	66.064636	56.2519	38.011135	71.638145	57.340012	25.55687	16.273928	93.535019	77.745522	96.569824	80.867935	71.282272
KIAA0556	398.921997	385.720886	346.481628	410.570282	396.034454	391.272522	544.809204	497.210815	473.415863	403.298859	371.011292	435.473328
SCARNA18	141.040115	104.481094	172.673492	166.018112	164.407654	157.163406	269.396606	216.033051	226.437805	106.629089	166.174683	195.372025
RARG	15.570534	15.285875	12.754679	22.583956	38.771744	21.015701	5.955628	7.432694	15.669839	20.163725	19.320454	18.583483
