AllCells	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.767272094516785	0.769783488986253	0.831922258211395	0.0472357755858295	NA	0.566415154526907
Cibersort-HPCA	0.904885524736554	0.223916921713812	0.969985952127329	0.86724883975583	0.552254775663734	0.874403394800913
Cibersort-ImmunoStates	0.953149444068487	0.771740648042911	0.987686425706294	0.117144723452857	0.727283126316536	0.945205289116776
Cibersort-LM22	0.96629812519563	0.856702921221947	0.98941769158483	0.636061575950459	0.538094396800562	0.909804341958845
Decon-BLUEPRINT	0.441435034020171	-0.87086330008512	0.940936649669724	NA	NA	0.686778374863875
Decon-HPCA	0.106525057009204	NA	0.653110189188272	0.64783733299015	0.449592028905733	0.895643963095672
Decon-ImmunoStates	0.871002066391761	0.828382163495602	0.966445857411535	0.851111992761144	0.442511839474146	0.931044910253604
Decon-LM22	0.91326745262483	0.746959985032359	0.968139891765801	0.737978466409426	0.65845761713753	0.899184057811465
dtangle-BLUEPRINT	0.544320252948601	0.768200553327118	0.98941769158483	0.573495343958494	0.633676954126977	0.934585004969397
dtangle-HPCA	0.516453707677965	-0.347537397044134	0.987686425706294	0.615976480548012	0.123903315052761	0.92750481553781
dtangle-ImmunoStates	0.578037946699122	0.669077901284909	0.952285478548363	0.899184057811465	0.523934017937389	0.977066141558915
dtangle-LM22	0.556759792980487	0.934585004969397	0.987686425706294	0.64783733299015	0.771740648042911	0.828382163495602
GEDIT-BLUEPRINT	0.943267402008844	0.913344436674638	0.987686425706294	0.177004735789659	0.814221784632429	0.909804341958845
GEDIT-HPCA	0.970391786885967	0.874403394800913	0.98941769158483	0.494708845792415	0.577035438674287	0.909804341958845
GEDIT-ImmunoStates	0.964440010146388	0.814221784632429	0.987686425706294	0.48637345711392	0.653396919099321	0.909804341958845
GEDIT-LM22	0.971536972702949	0.796521311053463	0.969083071023712	0.917692302105788	0.754040174463945	0.892103868379879
xCell-default	0.888340061349613	0.839002447642981	0.98941769158483	0.812102693092924	0.57804689508361	0.78373229333422
