AllCells	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	-0.157098868856296	-0.414039335605413	0.239045721866879	-0.635000635000952	-0.597614304667197	0
Cibersort-HPCA	0.65353614389269	-0.414039335605413	0.956182887467515	NA	NA	0.478091443733757
Cibersort-ImmunoStates	0.722758927926023	0	0.956182887467515	0.956182887467515	-0.717137165600636	-0.239045721866879
Cibersort-LM22	0.68910706995772	-0.414039335605413	0.717137165600636	-0.239045721866879	0	0.478091443733757
Decon-BLUEPRINT	-0.195779298177357	-0.621059003408119	-0.717137165600636	-0.717137165600636	0.836660026534075	0.239045721866879
Decon-HPCA	-0.0769460080463995	0.828078671210825	-0.956182887467515	-0.717137165600636	-0.478091443733757	0.478091443733757
Decon-ImmunoStates	0.309217581347279	-0.414039335605413	0.956182887467515	0.889000889001333	-0.717137165600636	0.478091443733757
Decon-LM22	0.818454153927392	-0.207019667802706	0.956182887467515	0.717137165600636	0.478091443733757	0.478091443733757
dtangle-BLUEPRINT	0.188409182885738	-0.828078671210825	0.956182887467515	0.478091443733757	0.478091443733757	0.478091443733757
dtangle-HPCA	0.381941190284498	-0.828078671210825	0.956182887467515	0.478091443733757	-0.478091443733757	0.478091443733757
dtangle-ImmunoStates	0.673748317670522	-0.828078671210825	0.956182887467515	0.717137165600636	-0.239045721866879	0.478091443733757
dtangle-LM22	0.688649953647283	-0.828078671210825	0.956182887467515	0	0.478091443733757	0.478091443733757
GEDIT-BLUEPRINT	0.137483577351076	-0.828078671210825	0.717137165600636	0.956182887467515	0.358568582800318	0.239045721866879
GEDIT-HPCA	0.827780918800083	-0.828078671210825	0.970142500145332	0.956182887467515	0.478091443733757	0.478091443733757
GEDIT-ImmunoStates	0.816185290571826	-0.828078671210825	0.956182887467515	0.836660026534075	-0.239045721866879	0.239045721866879
GEDIT-LM22	0.714007780319572	0.207019667802706	0.956182887467515	0.717137165600636	0.119522860933439	0.717137165600636
xCell-default	0.826137548797332	NA	NA	NA	NA	NA
