,"B_cells","NK_cells","T_cells_CD4.","Monocytes"
"A1BG",25.0514173728,20.7389670349,23.1554298672,25.14123568
"A2M",15.837964566,16.807483143,16.9664467848,18.9027026568
"A2ML1",11.0766084,11.0472295667,11.61885865,11.7697240667
"A4GALT",29.2190227296,23.9208173541,26.2271501002,29.0733700945
"AAAS",36.5686924257,30.8777878507,35.708866103,36.3226887504
"AACS",36.273940673,42.2020790372,38.2031466298,29.6383941605
"AAGAB",27.7038833945,30.6125733543,28.2182008765,27.5182141249
"AAK1",17.5547474022,27.2070946058,28.2182008765,22.9221564148
"AAMP",47.8523003114,47.1993492811,47.9902854084,51.2877042314
"AANAT",11.2330553,10.5066305333,11.1042332333,11.7374984667
"AARS",55.9126854165,51.9023889195,60.6801173599,48.3108150469
"AARS2",36.058480522,33.8206885581,35.7703697468,29.0897216063
"AARSD1",21.4540166192,19.7806362084,20.0209197254,17.8189443418
"AASDH",35.5788065912,35.9029394877,35.9552119667,31.6587914061
"AASDHPPT",32.4879639858,36.8968425463,34.7226235756,32.0317592977
"AASS",14.4745744485,13.9293842333,12.2451147833,10.8255916667
"AATF",59.8885718853,53.9825364163,59.7755459252,55.5792670102
"AATK",32.3967153597,33.9246535168,33.7485777993,41.1591442928
"ABAT",29.4315873523,29.4432633857,30.7197038897,28.5743047751
"ABCA1",21.9578414744,13.9983005167,14.615537358,28.9255618494
"ABCA2",21.3422858288,22.6230120082,22.0885349672,20.8170356975
"ABCA3",26.2054576034,26.6001028137,26.6186970704,24.0890606903
"ABCA4",13.6886301667,13.8797476,14.2910867418,14.3938822251
"ABCA5",24.9010969504,24.7109141494,24.9319863085,14.794326058
"ABCA6",19.6280908732,8.8509514667,9.3205133,11.2410547333
"ABCA7",45.2313346535,36.1666265494,40.1947662948,34.6728474237
"ABCB1",19.906776857,37.0742600877,21.2584585449,13.4813277833
"ABCB10",43.377336724,50.419035601,45.7680758995,36.6405131217
"ABCB11",10.17667635,9.964394,10.3651191333,10.9478761
"ABCB4",43.2462628198,11.5149522333,12.3950576833,13.6191129333
"ABCB5",10.4043974667,10.8140613333,10.7533894333,11.3216176333
"ABCB6",24.7868179719,21.1863600572,24.18519198,22.346950776
"ABCB7",46.4481161687,41.2923088099,42.492408109,42.028975042
"ABCB8",23.364596691,21.2444897243,22.7604720086,21.696104294
"ABCB9",18.5390689674,16.2478739989,18.1053049476,18.6371102586
"ABCC1",42.2020790372,36.8968425463,43.2350431563,44.9304615092
"ABCC10",37.5982353203,41.0163523978,45.9529521754,34.8360921595
"ABCC11",13.7337818,14.875681058,14.9058150247,15.2507971349
"ABCC2",18.8655151667,16.1269264827,16.6116133989,16.6994219529
"ABCC3",18.9775613023,19.828940484,19.68176197,28.0928060402
"ABCC4",14.9708143914,16.2034162727,16.5490452323,16.052828316
"ABCC5",24.7305967723,26.9043165882,26.034339944,24.19698988
"ABCC6",13.1398260833,12.4651115667,12.8699113333,17.702295799
"ABCD1",18.2231250511,17.9796272814,18.4196444827,21.8454768682
"ABCD2",7.1749516833,7.63811,10.6647772,7.0377482
"ABCD3",34.0939312634,39.5013437724,35.8365126726,30.3079754029
"ABCD4",27.9125986139,27.1380152096,28.064628651,24.942117582
"ABCE1",54.1509456041,49.2726851758,52.2266404666,45.2812267701
"ABCF1",55.3269967742,55.5181165109,56.7057646708,51.911090896
"ABCF2",32.129433521,29.052061115,34.2851208918,29.3544814701
"ABCF3",37.9464427604,34.1320636792,34.0673911643,36.5527630202
"ABCG1",31.5800160229,25.4427171068,29.3079437674,28.4518314009
"ABCG2",13.45176505,18.7323357586,16.3728371989,14.0650150667
"ABHD1",16.3378284823,15.6387307993,17.2265950649,17.4223475316
"ABHD10",38.5576408003,37.4804831189,41.17664461,33.8337029792
"ABHD11",23.6452727993,24.5202913405,23.4229201094,25.9712831869
"ABHD12",26.9152369048,28.9935751069,28.5058251405,34.4839142662
"ABHD13",25.3530663714,30.1871497043,26.3810508591,25.3205126725
"ABHD14A",32.3575237923,35.8074395049,39.6490759765,27.6022927451
"ABHD14B",44.9255771333,36.2156946903,44.2850545682,36.401317033
"ABHD15",31.6024463729,38.4514990998,27.7222410714,23.3231190282
"ABHD2",23.8722519312,39.1298814162,27.3491818282,37.5391958837
"ABHD3",54.7112271026,59.2982867959,62.0284475783,52.0109328344
"ABHD4",23.2465736732,26.0227531833,24.1726089481,26.4651525332
"ABHD5",17.2042536149,21.0869703757,17.2610201316,25.4991770608
"ABHD6",21.8014586231,17.4876761983,18.0598401724,24.2666106474
"ABHD8",19.1276763409,16.6714056862,18.7432340654,20.4794601011
"ABI1",39.4081318727,38.7752814374,37.3186824375,38.5604027836
"ABI2",27.6365291459,31.8972235427,32.2514771122,26.7181516708
"ABI3",31.7169625192,42.6926998107,35.4160492258,42.086995124
"ABL1",40.9583892043,45.0052660054,41.446128294,40.7228773504
"ABL2",27.6070842388,26.0131310632,27.0398869287,33.2133792081
"ABLIM1",57.7713215315,42.4486330987,58.4619346105,29.0897216063
"ABLIM2",21.7072487606,21.4037199901,21.524371667,21.0957788423
"ABLIM3",19.5268401252,19.748893025,19.4732394756,25.4260096667
"ABR",37.7944791725,32.6442089097,33.7286062318,41.8742030166
"ABT1",42.6545745258,45.0393401777,45.1801386224,42.9234055844
"ABTB1",22.0919221005,20.1027389249,21.6496171028,23.2523697036
"ABTB2",23.2296014732,21.6377685695,21.3137204532,24.5490406883
"ACAA1",54.0489045921,50.2516178592,52.3912268758,53.6969596769
"ACAA2",38.4222189101,41.431856728,37.3748063816,41.5924532569
"ACACA",28.8224852428,30.6607976452,29.4731979731,27.0698078105
"ACACB",25.4820040441,23.2234091399,28.0403306434,23.4012647987
"ACAD10",20.9530147591,17.7714888086,19.0148082023,19.4322595346
"ACAD8",31.4109860435,35.0360085783,33.6657039825,31.3339293742
"ACAD9",25.2106876858,25.1778474381,25.3148299186,24.751467789
"ACADM",70.0088222992,56.6055861118,57.6417873375,46.4800097067
"ACADS",27.6188788891,27.9388872087,30.0468090974,29.451699769
"ACADSB",25.538757381,30.3588921041,30.0642220915,19.3082070111
"ACADVL",57.6044463696,53.9061900151,56.8804637209,61.6114448342
"ACAP1",39.1748129365,33.0415388454,39.854501378,29.9629168154
"ACAP2",34.4839142662,32.8730692279,31.0506691778,35.4091751691
"ACAP3",25.6666013481,24.0205522311,26.8628512116,27.5894915375
"ACAT1",19.6605601367,18.8914340401,20.1643706344,17.4345215816
"ACAT2",42.0380707942,48.5483104815,44.2343094008,34.8257505099
"ACBD3",53.442727254,48.3412295649,43.9570153445,46.3055447447
"ACBD4",31.9639743623,26.4330912803,31.520362282,27.6411720273
"ACBD5",33.7209687485,42.8517033663,33.2928853842,35.24047132
"ACBD6",40.5790322702,39.2092014689,41.5216517422,34.2506122458
"ACCS",42.0237559917,31.7256864142,36.3198724171,34.1320636792
"ACD",40.139762848,41.946596789,45.7903738886,33.6703209189
"ACE",15.9545724076,14.4010004751,16.3444656656,16.7383726695
"ACER1",16.3033509489,16.177209216,17.3541995649,17.5316993689
"ACER3",22.8311611111,25.2759484124,22.7019332175,35.1016910538
"ACHE",18.0412166058,16.8972489514,17.0773408244,18.4343629827
"ACIN1",42.3847647501,35.508856076,39.1448947111,39.3044696456
"ACLY",48.5714315615,50.2865656007,50.3315886022,49.4607671866
"ACN9",19.726760735,25.8293970281,26.2042378367,16.4697531323
"ACO1",26.7610875443,33.1654581003,31.2118749803,34.2697740746
"ACO2",34.8403505928,32.8730692279,34.3841379167,36.4186033591
"ACOT11",18.2526984844,17.7521611252,18.2929458078,18.7644929487
"ACOT12",7.6568575,7.7258737167,7.6504305333,7.9743845333
"ACOT13",34.8904498797,38.0628792625,37.8927699543,36.4186033591
"ACOT4",16.3528025989,26.5704224326,20.4000954086,14.864005358
"ACOT7",25.4820040441,34.7564807913,30.5451694101,24.3024065304
"ACOT8",25.0022245808,28.8044363344,26.1593187195,26.6209453204
"ACOT9",51.7397515688,48.8059202876,45.0985405582,61.9698598942
"ACOX1",19.5882339732,21.2742618449,20.8297609724,25.6544873481
"ACOX2",15.3326819083,15.1660720453,16.1429168494,18.9132688068
"ACOX3",25.5651946374,24.0933681903,27.0552581687,27.260533954
"ACOXL",12.6912835,11.9960966667,11.783942,12.1497960333
"ACP1",43.2572629943,45.0203823773,42.9072572849,39.5685488743
"ACP2",29.6430034806,33.2928853842,32.4620510933,43.6306955547
"ACP5",44.5378372156,30.0771136477,32.5492189067,46.5377258794
"ACP6",29.3354175367,31.0705344693,40.0863670341,27.1251106132
"ACPL2",18.8713776334,27.4613013524,27.9756890016,21.8279217933
"ACPP",14.523438258,15.1300791786,13.7163790667,29.9207098666
"ACRBP",22.579194043,19.1147708409,20.2571499165,30.7298999131
"ACRC",34.0673911643,31.9916394357,32.7934941865,23.8054736398
"ACSBG1",10.7600641167,9.81333135,10.1554598333,11.6440045
"ACSF2",34.5244144421,25.2150900065,27.5297106113,27.9857888132
"ACSF3",24.9231765085,22.9061213131,24.2561947641,23.8853101812
"ACSL1",42.0624843991,37.8839127377,34.9164515698,74.9303402364
"ACSL3",37.9560320409,42.0380707942,39.4588998248,41.3613639301
"ACSL4",23.2693229245,23.901318923,22.2551730185,31.425879153
"ACSL5",48.011793747,48.0588238459,45.8229987668,49.7374159306
"ACSL6",10.5053331333,12.0331198,18.8218937239,11.8848444667
"ACSM1",14.8337721414,13.1382257,13.8656514833,13.9915967333
"ACSM3",15.6277032327,13.7174139833,15.305185675,12.8756331333
"ACSM5",15.3001699417,15.0001296247,15.072936062,16.052828316
"ACSS1",31.16363186,28.2786518203,28.4731160325,26.5608751755
"ACSS2",30.5234439288,28.2786518203,37.6163357646,44.5130872854
"ACTA1",13.973427,11.9431523333,12.7378717333,14.225794
"ACTA2",14.3136915751,17.1708700483,16.7459011362,14.988847208
"ACTB",106.4508791059,115.2015774718,108.6009320214,134.0445020218
"ACTG1",110.2428769737,125.9559556985,115.2015774718,123.904847823
"ACTG2",16.7965164263,16.3108985989,17.4773434316,18.0598401724
"ACTL6A",39.7212082107,42.4646753046,44.9886773665,30.5874413948
"ACTL7B",14.3034448751,12.7707336833,14.0650150667,14.528599958
"ACTN1",20.1231063582,27.8219995849,38.7772474041,49.1492097977
"ACTN4",43.5355545365,52.7564631828,42.7489430977,52.1868673069
"ACTR10",69.7835676704,68.7074409326,69.1252690231,67.2827673171
"ACTR1A",39.8722072924,41.0611943285,38.5112071445,47.5727546324
"ACTR1B",46.435875957,45.8262922305,49.2682467413,44.4273028505
"ACTR2",45.8402513422,46.4048373322,40.0453842424,49.7987101377
"ACTR3",67.3761595617,69.2553672071,64.701490962,68.6419071769
"ACTR3B",23.1208693052,20.7889919862,21.466958562,17.4691768483
"ACTR3C",18.5861842917,17.3530382483,16.795694043,15.557876966
"ACTR5",34.9421496624,32.1339869845,31.8730924938,27.734049738
"ACTR6",24.7637373223,27.7332218047,28.1271102455,21.6576009862
"ACTR8",32.7076712731,32.2119141686,32.3527733022,29.7819595144
"ACVR1",23.6371322575,29.3341401367,43.3759919959,48.4636765793
"ACVR1B",17.9501605814,18.8820726001,19.2476122477,24.0142814495
"ACVR1C",10.3738672,11.3269985667,20.1241771915,11.3404234333
"ACVR2A",21.8320260933,24.4570368014,27.9454299587,31.7619354011
"ACVR2B",19.1755627076,20.7529970516,23.4495362428,19.8996707903
"ACVRL1",19.4173061846,18.9006115901,19.0694117017,21.2532968243
"ACY1",22.6370587197,17.2674986483,19.9549170842,22.0947295838
"ACY3",19.8850922174,17.6374329522,17.6866835824,18.6774650586
"ACYP1",41.1292642939,43.2789088045,43.3083041116,22.498255142
"ACYP2",39.3957146727,31.515950182,32.8826915697,30.9744295648
"ADA",33.6329469843,51.5992080503,44.0869116589,51.4810383378
"ADAD2",27.0552581687,24.8023431052,25.4640908941,26.8222594535
"ADAL",20.9742145254,23.6493302556,22.0343198992,18.7676132572
"ADAM10",37.7836644511,46.9501584254,40.5034808517,53.852338997
"ADAM11",22.9309535148,20.8934966681,22.4454371022,23.7215937907
"ADAM12",13.4346704667,13.6523629,15.6682036827,14.2606991085
"ADAM15",27.443316229,29.6998090014,29.7983749185,35.5749582579
"ADAM17",38.73307893,35.3158542332,32.8691689757,46.1963418758
"ADAM19",37.8280307233,23.4710051152,28.8147217344,30.4238457049
"ADAM20",14.766119658,15.0112354247,14.7759365247,15.0358144414
"ADAM21",14.5832772914,16.6903012195,15.034735958,14.9811181414
"ADAM22",11.0620751667,12.0505354333,11.7604279333,11.5538999667
"ADAM23",13.0051809167,11.8488813667,14.4392947985,12.0843521
"ADAM28",43.0473488812,20.3309975843,13.4703395,22.0096380929
"ADAM29",13.2724271,11.3506194,11.37411315,11.2305123833
"ADAM8",28.761506705,35.861703053,29.281830143,35.6102182872
"ADAM9",15.599070266,20.1066732915,15.492857866,34.080427855
"ADAMDEC1",13.9047379667,11.3007000667,10.6702417,28.8143007677
"ADAMTS1",12.4438868833,28.2072357427,12.9165459667,13.2608076333
"ADAMTS10",25.5480270144,21.1335320519,24.6892897098,26.294650601
"ADAMTS12",17.1462645649,18.7130022253,17.9588112981,18.3299524245
"ADAMTS13",23.5207617895,22.1303327748,22.2374948185,22.5909372764
"ADAMTS17",11.2597396,12.5967513167,13.2692479,11.5793633667
"ADAMTS2",15.8534716742,16.8816733263,17.1052163054,18.0678193891
"ADAMTS4",20.3788508176,21.9007935792,21.0001488254,22.3968257094
"ADAMTS5",9.8769637,10.4551863833,10.5770039333,13.6364692333
"ADAMTS6",16.4024953323,11.38782675,12.6442033667,11.5165793667
"ADAMTS7",20.0816737005,17.4183514649,18.9243792068,20.2213554247
"ADAMTSL4",15.8180116993,17.4958418149,17.1268025554,26.6508629133
"ADAMTSL5",23.364596691,21.6689439303,22.9971243516,23.5618333598
"ADAP1",34.1757262322,41.8535287531,34.8459909261,50.5110534377
"ADAP2",30.8313418074,23.0061263016,22.1072786005,50.5501134333
"ADAR",94.629325136,87.0282894238,92.539059619,81.241795373
"ADARB1",26.8309756202,22.3226219097,25.1734376715,22.6893512446
"ADARB2",14.555620658,14.743169158,14.8337721414,14.6909365914
"ADAT1",37.5416458504,37.4981908429,37.0930058038,31.0313563346
"ADAT2",21.6496171028,21.2444897243,22.8267518945,14.4754805485
"ADAT3",25.0802319479,24.8023431052,26.727252046,27.9735903921
"ADC",23.768439698,24.8234139487,26.1815981858,26.1086918463
"ADCK1",33.6448566077,28.874689717,32.146376576,31.9427575389
"ADCK2",28.920843916,27.9515893754,29.3079437674,28.439031958
"ADCK3",33.5881618601,27.7964690016,31.2683920167,29.3440635701
"ADCK4",23.7215937907,22.576921443,23.2739276118,23.9081224307
"ADCK5",26.046430544,21.7452117169,24.0715887751,23.5261506562
"ADCY1",17.9813158481,18.2920883245,18.0696918476,18.3417301078
"ADCY10",9.9161375667,9.8479193667,9.8291943333,10.2180313
"ADCY3",31.5409497539,24.4767967743,26.6719192866,26.6301840704
"ADCY4",26.8520940297,24.9982814474,28.4863907871,29.4662641523
"ADCY5",18.6695604253,19.4956098018,19.1478918076,19.3534002196
