,"Monocytes","Neutrophils","B_cells","NK_cells","T_cells_CD4.","Macrophages"
"A1BG",25.9943970728,21.262401434,25.7805269156,20.7239537242,23.6092591973,23.1384537034
"A2M",18.9124142578,19.5068566517,15.6955929163,16.5133047109,16.8482367286,40.5971094932
"AAAS",40.1258197844,39.383485732,40.4622508031,32.8769979582,39.3054500163,39.8062229442
"AACS",31.4344330898,28.5213147816,40.0626941524,48.4190863585,42.7181799986,36.9683443197
"AAGAB",28.7956129565,30.4764980211,28.9775067483,32.5592505538,29.6063481265,26.8144143408
"AAK1",23.3883519119,26.2223366211,17.4123900003,28.2884236391,29.6063481265,23.8294819748
"AAMP",63.3444656956,55.9398808367,57.2980211837,56.2538864167,57.6123431599,64.3942136728
"AARS",58.1595996963,38.3778507017,71.8643069197,64.4376189136,82.2472248602,72.829228915
"AARS2",30.7332803599,29.2785560231,39.7627577361,36.710184365,39.3894766697,34.5388203541
"AARSD1",17.8029414544,16.5885121762,21.5628416602,19.7230740772,20.0927683238,18.2218176463
"AASDH",33.9923841429,28.7143620449,39.1166969231,39.5059507034,39.6213396554,35.4165851503
"AASDHPPT",34.4854643415,29.4955885214,34.9787204,40.8367887544,38.0201830269,34.2204767905
"AASS",10.7434554762,11.5452401303,14.3406626867,13.6953975884,12.0937471204,10.6541755156
"AATF",71.2937524401,65.2782336449,80.1703249238,68.2553409864,80.1703249238,63.592223481
"AATK",46.9000765327,62.2802237408,34.8730315946,36.8381932068,36.7155753163,42.1484550184
"ABAT",30.0967993721,44.0158623986,31.0911709592,31.057386281,32.7222226129,32.1299084932
"ABCA1",30.5433575412,43.0958006442,22.1503664599,13.7546568701,14.4943738105,34.2699372517
"ABCA11P",13.5055286823,13.0573722636,22.5358803572,17.7395138429,20.6741093218,13.8313593925
"ABCA13",6.3610306905,7.2944609238,6.0369599905,6.0369599905,6.1218851905,6.1218851905
"ABCA2",21.0355357418,26.7218910143,21.4202152735,22.862090151,22.3449110969,20.5003652408
"ABCA3",24.7528361755,25.8208492259,27.1330380898,27.5419468694,27.6712530082,23.6092591973
