	AllCells	Ascites	CellMix	Hoek	B Cells	Monocytes	Neutrophils	NK	T Cells
Cibersort-BLUEPRINT	0.642343	-0.157098869	0.767272095	0.740019796	-0.385094525	0.335842042	0.602151866	-0.230460739	0.637718082
Cibersort-HPCA	0.836875041	0.653536144	0.904885525	0.765183165	0.019403357	0.799967856	0.643587994	0.755935724	0.954212495
Cibersort-ImmunoStates	0.895643101	0.722758928	0.953149444	0.78733906	0.799453207	0.844436706	0.929812402	0.837745179	0.977570433
Cibersort-LM22	0.864454124	0.68910707	0.966298125	0.612521331	0.899207427	0.785976993	0.802722479	0.914330486	0.922130222
Cibersort-Average	0.809828817	0.477075818	0.897901297	0.726265838	0.333242367	0.691555899	0.744568685	0.569387663	0.872907808
Decon-BLUEPRINT	0.463525144	-0.195779298	0.441435034	0.778561809	-0.104934632	0.051694492	-0.069852987	-0.232280616	0.653233186
Decon-HPCA	0.164346595	-0.076946008	0.106525057	0.540297456	-0.305512993	0.001878748	-0.390645742	0.464670851	0.69919266
Decon-ImmunoStates	0.506895155	0.309217581	0.871002066	-0.003985358	-0.175803785	0.336170283	0.45463183	0.430907988	0.903706315
Decon-LM22	0.656121217	0.818454154	0.913267453	0.253027312	0.541998821	0.380231695	0.740127461	0.653922283	0.884188195
Decon-Average	0.447722028	0.213736607	0.583057403	0.391975305	-0.011063147	0.192493805	0.183565141	0.329305127	0.785080089
dtangle-BLUEPRINT	0.578418996	0.188409183	0.544320253	0.987842273	0.10965715	0.336450782	0.573869362	0.41941859	0.843486397
dtangle-HPCA	0.583405768	0.38194119	0.516453708	0.940852168	0.121436103	0.185602986	0.556890565	0.438788514	0.45477388
dtangle-ImmunoStates	0.359357395	0.673748318	0.578037947	0.4193076	0.314862587	0.251018096	-0.199724596	0.390778659	0.482906581
dtangle-LM22	0.608286094	0.688649954	0.556759793	0.961731816	0.502049881	0.272335955	-0.135026549	0.411835695	0.627227472
dtangle-Average	0.532367063	0.483187161	0.548892925	0.827433464	0.26200143	0.261351955	0.199002196	0.415205365	0.602098583
GEDIT-BLUEPRINT	0.844773642	0.137483577	0.943267402	0.997571834	0.575689935	0.787048583	0.938335821	0.916016126	0.899383187
GEDIT-HPCA	0.932690124	0.827780919	0.970391787	0.872896518	0.639206242	0.816326797	0.89391108	0.910677564	0.983706213
GEDIT-ImmunoStates	0.900336719	0.816185291	0.96444001	0.836311998	0.229170577	0.74124241	0.9539125	0.826541152	0.974444843
GEDIT-LM22	0.909513001	0.71400778	0.971536973	0.800489268	0.75720043	0.705016519	0.895917606	0.946204282	0.966500998
GEDIT-Average	0.896828372	0.623864392	0.962409043	0.876817405	0.550316796	0.762408577	0.920519252	0.899859781	0.95600881
xCell-default	0.643794854	0.826137549	0.888340061	0.068944338	0.654362042	0.55340779	0.760912704	0.711773302	0.70762695
