Symbol,MSC,Bronchial_Epithelial_cells,Fibroblasts,Endothelial_cells,Adipocytes,Keratinocytes,Schwann_cells,Smooth_muscle_cells,CD34+,Platelets,Monocytes_CD14+CD16-,Monocytes_CD16+CD14-,Macrophage,M1(IFNg),M2(IL-4),M(IFNa),Dendritic_cells_(BDCA1+),Dendritic_cells_(BDCA3+),Dendritic_cells_(plasmacytoid+),T_cells_(CD4+),T_cells_(CD8+),T_cells_(gamma-delta),NK_cells,Neutrophils,B_cells
A1BG,95.125,65,138.75,83.72727273,88.33333333,71.66666667,208,166.4,75,68.2,161.875,92.33333333,115.9090909,92.875,122.2,157.3333333,114.1666667,94.5,171.3333333,100.1363636,125.0769231,109.5,122.75,75,127.75
A1CF,32,75,25.375,33.63636364,32.66666667,43,25,38.2,46.66666667,36.4,43.6875,41.83333333,38.54545455,40.375,34.2,41,30.41666667,28.83333333,32.33333333,39.04545455,50.34615385,30.5,32.91666667,34.8,46.25
A2BP1,48.5,40.5,31.5,35.27272727,35.66666667,27.66666667,31,39.8,32.33333333,34.4,42.625,40.66666667,34.36363636,35.375,30.8,41.66666667,44.66666667,45,41.5,31.90909091,42,34,33.16666667,40.8,46
A2LD1,67.75,71,97.625,64.54545455,82.33333333,60.33333333,69,55.8,44,56,57.5,75.83333333,69.81818182,54.625,44.2,102.3333333,50.58333333,49.83333333,33,42.04545455,47.53846154,246.5,58.58333333,35.4,39
A2M,58.625,31,453,81.27272727,61,29.33333333,161.6666667,49.4,241.1666667,36.4,33.4375,28.33333333,5796,6027.375,3444.6,4424.333333,81.75,84.33333333,45.83333333,32.86363636,46.15384615,19,16.16666667,23,46.75
A2ML1,14.625,227.5,12,14,13.66666667,2347.666667,12.33333333,17,12.83333333,12.2,13.75,13.83333333,14.09090909,15,13.2,17.33333333,14.91666667,14.41666667,15.66666667,12.86363636,14.65384615,13,14.33333333,15.2,15
A4GALT,253.625,337,113.625,124.1818182,157.3333333,105,153.6666667,155,63.16666667,167.6,107.4375,104.8333333,140.8181818,150.75,115.2,136,146.3333333,138.25,139.8333333,86.72727273,102.2307692,105.5,112,168,175.25
A4GNT,21.75,27,25.125,25.90909091,25,26.66666667,21.66666667,25.6,29.33333333,35.6,30.9375,27.16666667,25.09090909,25.25,25.2,24.66666667,24.5,23.91666667,26,29.13636364,30.76923077,26.5,30.25,26.6,34.25
AAA1,20.125,29,22.75,24.45454545,26.33333333,31,18.66666667,21.2,32.16666667,23.4,36.375,35.5,24.18181818,23.25,25,22.33333333,21.66666667,27.08333333,21.16666667,28.22727273,36.46153846,26.5,24.16666667,28,29.25
AAAS,161,209,224.625,277.4545455,256,200.6666667,313.3333333,224,119,174.8,263.625,237.5,209.4545455,188.75,330,181,326.6666667,375.8333333,269.1666667,224.3181818,180.8076923,311.5,80.16666667,190.4,413.25
AACS,238.875,483.5,441.5,294.2727273,1003.333333,1049.666667,366,173,157.1666667,114.4,102.25,37.66666667,163.9090909,151,169.4,216,198.25,253.75,563,144.4090909,111.5,252.5,208.25,96,57.25
AACSL,16.375,10.5,10,12.18181818,11.66666667,13.66666667,11.33333333,12.6,10.5,13.4,13.5625,13.16666667,11.81818182,12.5,12.4,10,14,13.75,12.83333333,11.54545455,12.88461538,9.5,10.91666667,18.4,18.5
