Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-HPCA	NK	A	0.1394	0.194	0.0546	0.00298116
Cibersort-HPCA	Neutrophils	A	0.02028	0.03	0.00972	9.44784e-05
Cibersort-HPCA	CD4 T Cells	A	0.30842	0.194	0.11442	0.0130919364
Cibersort-HPCA	CD8 T Cells	A	0.0	0.194	0.194	0.037636
Cibersort-HPCA	B Cells	B	0.02572	0.194	0.16828	0.0283181584
Cibersort-HPCA	Monocytes	B	0.44551	0.194	0.25151	0.0632572801
Cibersort-HPCA	NK	B	0.14938	0.194	0.04462	0.0019909444
Cibersort-HPCA	Neutrophils	B	0.01715	0.03	0.01285	0.0001651225
Cibersort-HPCA	CD4 T Cells	B	0.31021	0.194	0.11621	0.0135047641
Cibersort-HPCA	CD8 T Cells	B	0.0	0.194	0.194	0.037636
Cibersort-HPCA	B Cells	C	0.0	0.005	0.005	2.5e-05
Cibersort-HPCA	Monocytes	C	0.11049	0.01	0.10049	0.0100982401
Cibersort-HPCA	NK	C	0.07759	0.051	0.02659	0.0007070281
Cibersort-HPCA	Neutrophils	C	0.0	0.004	0.004	1.6e-05
Cibersort-HPCA	CD4 T Cells	C	0.65809	0.828	0.16991	0.0288694081
Cibersort-HPCA	CD8 T Cells	C	0.12668	0.102	0.02468	0.0006091024
Cibersort-HPCA	B Cells	D	0.00081	0.005	0.00419	1.75561e-05
Cibersort-HPCA	Monocytes	D	0.1192	0.01	0.1092	0.01192464
Cibersort-HPCA	NK	D	0.07035	0.051	0.01935	0.0003744225
Cibersort-HPCA	Neutrophils	D	0.0	0.004	0.004	1.6e-05
Cibersort-HPCA	CD4 T Cells	D	0.64532	0.828	0.18268	0.0333719824
Cibersort-HPCA	CD8 T Cells	D	0.13815	0.102	0.03615	0.0013068225
Cibersort-HPCA	B Cells	E	0.0	0.01	0.01	0.0001
Cibersort-HPCA	Monocytes	E	0.16114	0.026	0.13514	0.0182628196
Cibersort-HPCA	NK	E	0.1991	0.104	0.0951	0.00904401
Cibersort-HPCA	Neutrophils	E	0.00759	0.008	0.00041	1.681e-07
Cibersort-HPCA	CD4 T Cells	E	0.52625	0.005	0.52125	0.2717015625
Cibersort-HPCA	CD8 T Cells	E	0.0468	0.846	0.7992	0.63872064
Cibersort-HPCA	B Cells	F	0.0	0.027	0.027	0.000729
Cibersort-HPCA	Monocytes	F	0.29296	0.055	0.23796	0.0566249616
Cibersort-HPCA	NK	F	0.3657	0.885	0.5193	0.26967249
Cibersort-HPCA	Neutrophils	F	0.01958	0.017	0.00258	6.6564e-06
Cibersort-HPCA	CD4 T Cells	F	0.2706	0.011	0.2596	0.06739216
Cibersort-HPCA	CD8 T Cells	F	0.0	0.005	0.005	2.5e-05
Cibersort-HPCA	B Cells	G	0.0134	0.159	0.1456	0.02119936
Cibersort-HPCA	Monocytes	G	0.57818	0.319	0.25918	0.0671742724
Cibersort-HPCA	NK	G	0.101	0.016	0.085	0.007225
Cibersort-HPCA	Neutrophils	G	0.13752	0.395	0.25748	0.0662959504
Cibersort-HPCA	CD4 T Cells	G	0.13862	0.08	0.05862	0.0034363044
Cibersort-HPCA	CD8 T Cells	G	0.0	0.032	0.032	0.001024
Cibersort-HPCA	B Cells	H	0.0	0.1	0.1	0.01
Cibersort-HPCA	Monocytes	H	0.75882	0.813	0.05418	0.0029354724
Cibersort-HPCA	NK	H	0.07018	0.01	0.06018	0.0036216324
Cibersort-HPCA	Neutrophils	H	0.00154	0.001	0.00054	2.916e-07
Cibersort-HPCA	CD4 T Cells	H	0.06567	0.05	0.01567	0.0002455489
