Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-ImmunoStates	NK	HD30PBMC0	0.19094	0.178	0.01294	0.0001674436
Cibersort-ImmunoStates	T Cells	HD30PBMC1	0.27524	0.457	0.18176	0.0330366976
Cibersort-ImmunoStates	Monocytes	HD30PBMC1	0.44797	0.214	0.23397	0.0547419609
Cibersort-ImmunoStates	B Cells	HD30PBMC1	0.05645	0.048	0.00845	7.14025e-05
Cibersort-ImmunoStates	NK	HD30PBMC1	0.14594	0.168	0.02206	0.0004866436
Cibersort-ImmunoStates	T Cells	HD30PBMC3	0.41473	0.58	0.16527	0.0273141729
Cibersort-ImmunoStates	Monocytes	HD30PBMC3	0.27773	0.153	0.12473	0.0155575729
Cibersort-ImmunoStates	B Cells	HD30PBMC3	0.06895	0.042	0.02695	0.0007263025
Cibersort-ImmunoStates	NK	HD30PBMC3	0.14645	0.148	0.00155	2.4025e-06
Cibersort-ImmunoStates	T Cells	HD30PBMC7	0.42709	0.578	0.15091	0.0227738281
Cibersort-ImmunoStates	Monocytes	HD30PBMC7	0.26414	0.135	0.12914	0.0166771396
Cibersort-ImmunoStates	B Cells	HD30PBMC7	0.08428	0.066	0.01828	0.0003341584
Cibersort-ImmunoStates	NK	HD30PBMC7	0.1387	0.132	0.0067	4.489e-05
Cibersort-ImmunoStates	T Cells	HD31PBMC0	0.42758	0.59	0.16242	0.0263802564
Cibersort-ImmunoStates	Monocytes	HD31PBMC0	0.35525	0.181	0.17425	0.0303630625
Cibersort-ImmunoStates	B Cells	HD31PBMC0	0.0986	0.091	0.0076	5.776e-05
Cibersort-ImmunoStates	NK	HD31PBMC0	0.03202	0.045	0.01298	0.0001684804
Cibersort-ImmunoStates	T Cells	HD31PBMC1	0.43241	0.623	0.19059	0.0363245481
Cibersort-ImmunoStates	Monocytes	HD31PBMC1	0.37763	0.17	0.20763	0.0431102169
Cibersort-ImmunoStates	B Cells	HD31PBMC1	0.07942	0.093	0.01358	0.0001844164
Cibersort-ImmunoStates	NK	HD31PBMC1	0.02188	0.034	0.01212	0.0001468944
Cibersort-ImmunoStates	T Cells	HD31PBMC3	0.43004	0.654	0.22396	0.0501580816
Cibersort-ImmunoStates	Monocytes	HD31PBMC3	0.35291	0.175	0.17791	0.0316519681
Cibersort-ImmunoStates	B Cells	HD31PBMC3	0.07698	0.061	0.01598	0.0002553604
