"gene_symbol","Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Keratinocytes","Blood_CD34._cells","Vascular_Endothelial_Cells","Platelets"
"COMMD9",50.537881,68.956416,80.766169,84.750436,61.559716,74.615044,70.476025,70.660836,78.535044,39.413284
"COMP",19.8916,19.945156,19.758025,19.439281,18.913801,61.199329,19.722481,17.9776,17.665209,21.548164
"COMT",39.225169,58.997761,58.813561,64.529089,48.874081,69.5556,62.980096,58.660281,71.334916,50.965321
"COMTD1",43.072969,55.711296,47.169424,49.378729,49.942489,45.900625,59.768361,48.135844,49.210225,47.900241
"COPA",34.210801,43.546801,37.933281,37.908649,32.867289,42.133081,35.354916,31.438449,41.641209,37.368769
"COPB1",68.89,80.784144,77.44,79.441569,82.301184,81.162081,79.727041,80.982001,79.780624,66.797929
"COPB2",38.365636,49.463089,43.309561,44.702596,39.150049,51.912025,45.198729,38.8129,51.451929,36.820624
"COPE",51.380224,53.626329,51.423241,48.191364,45.468049,49.589764,47.775744,43.256929,50.310649,32.592681
"COPG",57.320041,63.728289,64.545156,64.609444,49.589764,77.352025,60.84,48.818169,65.561409,32.936121
"COPG2",18.705625,24.117921,21.762225,21.799561,20.657025,25.160256,26.718561,27.678121,21.150801,19.245769
"COPG2IT1",24.255625,19.280881,22.686169,22.581504,20.043529,21.958596,19.263321,30.063289,21.261321,31.125241
"COPS2",49.098049,74.252689,64.931364,62.394201,69.572281,76.055841,77.951241,78.269409,72.999936,51.4089
"COPS3",68.508729,103.266244,77.898276,72.454144,79.834225,84.382596,83.868964,94.2841,84.713616,74.511424
"COPS4",26.275876,42.758521,36.409156,35.820225,38.477209,42.432196,41.332041,41.422096,42.627841,36.108081
"COPS5",67.617729,103.367889,85.525504,85.5625,94.731289,94.167616,101.566084,101.707225,99.760144,81.595089
"COPS6",48.274704,84.070561,64.834704,65.060356,71.301136,84.658401,79.138816,73.856836,83.3569,55.190041
"COPS7A",51.955264,60.388441,63.091249,70.930084,53.056656,83.338641,70.543201,54.4644,69.856164,35.964009
"COPS7B",35.450116,38.925121,36.3609,36.276529,39.375625,36.156169,37.466641,39.075001,36.457444,38.763076
"COPS8",27.478564,48.650625,38.825361,40.921609,40.056241,52.316289,46.526041,42.719296,46.308025,35.808256
"COPZ1",55.905529,97.495876,84.750436,83.740801,79.584241,95.043001,85.692049,77.686596,99.361024,84.916225
"COPZ2",35.796289,32.558436,35.796289,37.6996,34.433424,68.112009,42.693156,32.7184,41.615401,39.400729
"COQ10A",41.280625,56.190016,43.983424,45.4276,61.732449,53.846244,47.679025,63.3616,56.625625,51.279921
"COQ10B",49.660209,41.2164,42.211009,41.7316,41.383489,45.643536,44.275716,39.012516,39.8161,34.786404
"COQ2",42.5104,36.8449,41.242084,38.962564,28.5156,34.292736,37.896336,40.985604,38.787984,36.6025
"COQ3",36.048016,67.914081,35.664784,44.368921,49.098049,49.956624,61.4656,58.721569,49.716601,38.167684
"COQ4",28.826161,55.577025,38.837824,39.463524,46.24,51.1225,58.629649,51.437584,54.878464,46.854025
"COQ5",38.675961,87.011584,61.449921,72.624484,71.048041,75.238276,79.798489,76.772644,78.8544,54.361129
"COQ6",33.385284,48.762289,41.409225,45.104656,46.009089,48.944016,48.038761,46.840336,46.854025,31.979025
"COQ7",37.810201,44.649124,38.378025,42.706225,36.893476,42.536484,40.985604,43.375396,49.449024,30.9136
"COQ9",42.850116,54.819216,47.527236,52.1284,50.211396,49.8436,52.157284,48.762289,55.547209,39.162564
"CORIN",20.052484,15.023376,16.418704,15.673681,15.069924,18.844281,15.429184,14.945956,17.106496,16.81
"CORO1A",133.980625,152.744881,111.830625,63.011844,120.187369,28.601104,33.189121,83.010321,31.2481,45.4276
"CORO1B",50.310649,48.525156,61.763881,66.716224,58.690921,66.2596,59.367025,46.076944,73.994404,53.831569
"CORO1C",103.958416,57.108249,105.781225,114.811225,44.702596,117.852736,97.239321,85.137529,102.8196,124.5456
"CORO2A",33.362176,39.450961,29.931841,45.171841,40.525956,20.106256,53.772889,28.270489,21.5296,25.270729
"CORO2B",20.748025,17.952169,18.071001,19.140625,17.3056,44.916804,18.783556,18.395521,24.2064,25.190361
"CORO6",27.9841,23.6196,25.361296,27.541504,27.363361,30.415225,34.515625,25.969216,28.590409,27.489049
"CORO7",56.25,53.743561,58.706244,50.951044,57.320041,35.307364,37.871716,49.999041,45.252529,46.689889
"CORT",26.429881,23.736384,24.147396,24.810361,24.581764,23.970816,24.621444,24.059025,24.631369,25.310961
"COTL1",134.165889,116.899344,128.482225,101.586241,96.334225,92.140801,60.543961,68.707521,95.296644,87.9844
"COX1",153.487321,194.965369,188.293284,182.763361,177.795556,182.358016,169.182049,185.586129,183.548304,190.329616
"COX10",33.028009,38.651089,34.644996,36.917776,36.808489,34.468641,35.676729,35.414401,35.784324,35.022724
"COX11",20.376196,51.955264,29.691601,34.586161,44.249104,44.595684,42.315025,45.954841,43.4281,38.651089
"COX15",38.950081,52.5625,43.2964,47.403225,46.226401,43.388569,44.903401,49.632025,53.100369,30.503529
"COX16",28.7296,56.731024,60.730849,61.418569,63.536841,65.318724,72.880369,63.696361,70.442449,39.425841
"COX17",40.806544,55.711296,48.0249,50.537881,45.941284,41.9904,47.789569,43.612816,45.549001,40.182921
"COX18",24.176889,41.152225,34.480384,36.445369,38.514436,35.904064,33.4084,38.266596,36.1201,27.227524
"COX19",44.249104,40.602384,48.372025,41.396356,50.851161,37.124649,41.641209,47.348161,36.7236,47.238129
"COX2",165.559689,183.385764,181.737361,179.8281,159.896025,181.279296,171.8721,169.494361,183.169156,181.306225
"COX3",98.942809,121.396324,122.633476,124.500964,117.158976,116.877721,112.338801,124.010496,118.853604,140.754496
"COX4I1",84.916225,100.681156,104.980516,104.468841,108.555561,97.278769,101.909025,110.796676,106.151809,94.128804
"COX4I2",33.120025,34.445161,33.918976,33.9889,32.638369,31.539456,34.597924,32.706961,33.558849,40.870449
"COX4NB",41.100921,62.062884,52.504516,52.519009,52.374169,57.775201,58.094884,58.384881,63.282025,52.099524
"COX5A",47.018449,83.960569,69.2224,75.012921,72.5904,68.095504,79.334649,82.555396,79.085449,52.911076
"COX5B",81.595089,91.604041,87.778161,96.687889,84.695209,91.757241,95.6484,91.030681,94.828644,52.301824
"COX6A1",51.423241,65.221776,58.400164,63.059481,53.684929,63.920025,63.888049,54.434884,64,45.508516
"COX6A2",27.783441,30.426256,27.384289,27.342441,28.111204,28.558336,26.368225,27.415696,27.9841,31.460881
"COX6B1",104.591529,130.713489,116.035984,121.4404,109.788484,123.921424,127.396369,115.304644,130.028409,86.787856
"COX6B2",34.727449,32.137561,30.415225,30.305025,29.0521,29.4849,29.452329,27.646564,27.217089,30.891364
"COX6C",69.689104,141.086884,116.294656,127.125625,119.071744,132.273001,133.6336,115.756081,139.7124,85.877289
"COX7A1",26.481316,22.600516,26.863489,26.780625,23.804641,84.345856,33.2929,26.337424,88.755241,33.189121
"COX7A2",108.701476,137.710225,126.180289,135.117376,135.466321,134.444025,139.405249,136.6561,142.205625,111.5136
"COX7A2L",82.682649,106.254864,107.619876,105.801796,115.584001,113.060689,113.6356,122.3236,118.330884,107.350321
"COX7B",51.782416,66.113161,61.434244,64.032004,60.295225,63.3616,71.318025,66.145689,67.354849,38.427601
"COX7B2",13.111641,12.489156,12.475024,12.652249,12.348196,12.0409,12.020089,12.285025,11.895601,12.524521
"COX7C",68.013009,117.462244,106.874244,107.619876,115.691536,110.355025,110.271001,104.939536,119.071744,87.366409
"COX8A",97.476129,132.112036,118.352641,128.097124,109.139809,123.476544,121.6609,107.640625,127.306089,87.590881
"COX8C",10.195249,10.067929,9.941409,9.847044,9.972964,10.131489,10.259209,10.106041,10.201636,10.3041
"CP",16.386304,15.3664,15.555136,18.096516,15.116544,14.638276,13.980121,17.197609,14.2884,17.732521
"CP110",39.992976,43.454464,37.847104,36.2404,41.6025,35.319249,35.022724,46.321636,35.1649,34.951744
"CPA1",11.937025,12.089529,12.159169,12.187081,12.082576,12.215025,12.524521,12.096484,12.3201,11.785489
"CPA2",31.483321,24.611521,26.811684,27.9841,26.01,25.563136,27.060804,24.960016,23.726641,26.615281
"CPA3",31.832164,18.352656,37.625956,24.019801,26.061025,23.203489,16.597476,92.198404,20.205025,22.014864
"CPA4",36.517849,28.058209,32.970564,33.258289,31.854736,44.049769,81.234169,29.495761,30.902481,38.576521
"CPA5",24.8004,25.684624,24.255625,23.435281,27.394756,23.155344,23.687689,23.9121,23.126481,26.5225
"CPA6",13.520329,11.861136,12.873744,12.709225,12.559936,12.215025,12.236004,12.595401,11.758041,14.876449
"CPAMD8",30.980356,28.654609,39.025009,33.200644,30.625156,28.633201,27.447121,30.569841,36.168196,53.949025
"CPB1",21.169201,18.309841,19.855936,20.903184,18.481401,19.307236,17.884441,20.720704,17.239104,25.452025
"CPB2",14.961424,13.046544,13.980121,14.130081,13.184161,12.201049,14.273284,13.505625,12.794929,12.96
"CPD",81.054009,52.693081,56.715961,53.714241,36.820624,53.919649,42.432196,40.908816,64.754209,31.730689
"CPE",16.516096,14.2884,15.665764,38.056561,17.073424,64.754209,39.753025,15.944049,18.584721,17.665209
"CPEB1",27.269284,21.930489,24.275329,26.255376,24.354225,34.398225,23.931664,22.429696,20.748025,23.980609
"CPEB2",51.093904,30.824704,37.9456,40.094224,32.855824,34.386496,46.457856,32.160241,35.485849,44.609041
"CPEB3",28.740321,23.961025,28.922884,26.759929,23.707161,21.706281,28.6225,24.552025,24.019801,24.7009
"CPEB4",83.046769,41.280625,59.814756,61.058596,40.551424,42.172036,59.382436,42.198016,43.8244,61.811044
"CPLX1",13.235044,13.6161,13.756681,13.410244,14.791716,12.945604,13.046544,14.311089,19.6249,15.515721
"CPLX2",24.344356,22.686169,23.677956,23.155344,22.667121,23.357889,22.382361,22.600516,21.6225,27.258841
"CPM",20.903184,16.990884,36.663025,60.0625,20.857489,23.367556,39.513796,20.557156,17.264025,22.174681
"CPN1",25.684624,22.306729,23.512801,24.000201,22.810176,22.071204,21.669025,21.427641,21.603904,26.967249
"CPN2",17.372224,15.649936,16.443025,16.859236,16.305444,16.491721,14.830201,15.452761,15.952036,17.505856
"CPNE1",65.593801,79.548561,63.536841,59.675625,72.795024,72.777961,68.707521,73.822464,72.114064,58.736896
"CPNE2",52.881984,28.005264,57.426084,56.265001,32.319225,54.420129,40.525956,50.765625,85.340644,33.802596
"CPNE3",68.707521,39.137536,67.716441,67.798756,73.136704,84.070561,78.712384,70.073641,89.8704,41.306329
"CPNE4",14.577124,13.712209,13.875625,14.025025,13.630864,13.749264,14.273284,13.927824,13.660416,28.387584
"CPNE5",29.604481,36.469521,32.7184,25.735329,25.321024,25.210441,21.930489,23.145721,42.575625,63.936016
"CPNE6",37.283236,33.431524,35.224225,38.291344,33.663204,31.539456,30.636225,32.855824,30.228004,43.4281
"CPNE7",53.7289,50.225569,51.022449,47.430769,47.927929,48.455521,47.169424,45.900625,44.930209,58.583716
"CPNE8",18.054001,16.144324,35.628961,36.9664,21.270544,23.629321,28.869129,33.005025,41.964484,26.977636
"CPNE9",27.373824,27.112849,28.1961,29.343889,25.270729,25.431849,25.5025,25.816561,23.049601,32.126224
"CPO",18.931201,16.208676,18.498601,18.438436,17.842176,17.147881,17.447329,17.2225,16.933225,18.939904
"CPOX",21.077281,91.929744,45.212176,49.406841,60.777616,55.6516,57.047809,62.489025,60.637369,40.487769
"CPPED1",103.449241,45.0241,69.956496,52.751169,32.194276,46.936201,31.911201,45.144961,52.388644,34.916281
"CPS1",18.844281,15.163236,17.740944,18.688329,16.924996,30.891364,32.7184,18.601969,17.230801,21.818241
"CPS1-IT",14.607684,14.500864,14.953689,14.424804,14.622976,14.984641,15.023376,15.319396,14.784025,16.801801
"CPSF1",40.271716,61.214976,48.511225,48.818169,54.287424,53.655625,52.7076,57.775201,57.259489,38.539264
"CPSF2",48.121969,66.977856,53.173264,55.517401,49.589764,54.982225,53.8756,48.734361,58.599025,37.027225
"CPSF3",37.785609,92.371321,66.031876,72.812089,72.829156,73.753744,78.393316,95.8441,72.999936,58.568409
"CPSF3L",48.916036,64.048009,54.331641,51.595489,58.537801,57.988225,61.528336,54.937744,61.387225,39.337984
"CPSF4",59.505796,77.739489,68.0625,68.425984,76.3876,67.831696,69.655716,80.192025,67.026969,67.24
"CPSF6",39.765636,66.308449,51.538041,43.388569,58.339044,48.191364,50.509449,65.707236,50.112241,45.5625
"CPSF7",89.038096,84.768849,78.3225,69.488896,70.980625,72.607441,71.385601,65.302561,70.526404,47.238129
"CPT1A",26.409321,31.013761,34.668544,31.102929,28.047616,32.809984,29.246464,40.870449,47.444544,43.256929
"CPT1C",27.7729,26.780625,29.833444,28.174864,29.0521,47.004736,32.798529,29.062881,50.765625,40.921609
"CPT2",37.429924,54.390625,48.1636,58.339044,45.010681,42.354064,56.430144,53.217025,46.744569,32.661225
"CPVL",32.410249,18.740241,112.063396,86.211225,23.833924,16.769025,24.910081,69.472225,17.338896,41.925625
"CPXCR1",9.684544,9.517225,9.721924,9.504889,9.504889,9.597604,9.821956,9.746884,9.678321,10.471696
"CPXM1",25.512601,22.155849,25.010001,25.684624,24.000201,27.342441,22.410756,73.307844,25.969216,25.775929
"CPXM2",31.674384,27.175369,28.569025,29.398084,28.313041,44.863204,28.3024,27.217089,28.185481,30.019441
"CR1",69.973225,16.532356,41.7316,35.593156,22.972849,15.752961,15.9201,25.230529,15.476356,24.990001
"CR1L",14.386849,12.680721,13.957696,15.249025,12.787776,12.467961,12.552849,18.258529,13.147876,25.381444
"CR2",15.721225,12.873744,14.615329,14.2884,17.514225,13.213225,12.645136,15.069924,12.6736,19.749136
"CRABP1",20.115225,17.783089,19.219456,19.219456,18.619225,18.412681,18.438436,18.792225,17.397241,20.259001
"CRABP2",42.107121,38.900169,42.289009,66.048129,40.208281,89.378116,95.804944,38.651089,35.628961,52.041796
"CRADD",44.542276,50.965321,48.233025,46.6489,43.626025,51.279921,47.1969,48.038761,48.804196,38.950081
"CRAMP1L",33.005025,32.330596,32.661225,32.058244,36.832761,30.4704,33.212169,35.928036,34.668544,27.5625
"CRAT",44.249104,48.149721,53.304601,54.272689,50.013184,64.883025,48.455521,50.708641,65.529025,69.488896
"CRB1",19.351201,15.745024,17.530969,18.4041,17.783089,16.176484,16.451136,17.380561,16.386304,17.698849
"CRB2",26.501904,23.697424,24.1081,23.785129,22.686169,21.288996,20.766249,22.1841,22.155849,24.880144
"CRB3",43.983424,40.259025,46.321636,42.601729,43.705321,41.049649,64.513024,40.538689,37.920964,56.340036
"CRBN",68.194564,74.805201,80.389156,70.207641,95.413824,73.342096,74.046025,88.661056,87.946884,104.632441
"CRCP",47.651409,49.617936,48.094225,45.265984,47.541025,48.748324,49.547521,49.900096,43.494025,45.549001
"CRCT1",17.189316,15.452761,15.960025,16.329681,15.848361,15.249025,95.140516,16.040025,15.358561,16.744464
"CREB1",74.269924,69.588964,60.016009,55.130625,62.5681,57.927321,53.772889,56.565441,61.528336,47.568609
"CREB3",51.022449,70.812225,62.125924,68.277169,60.497284,82.846404,61.3089,57.062916,77.862976,43.612816
"CREB3L1",34.398225,31.2481,31.719424,31.798321,31.281649,67.930564,29.387241,29.224836,31.036041,40.0689
"CREB3L2",35.022724,40.806544,42.146064,47.775744,39.980329,46.199209,39.841344,45.630025,45.171841,40.7044
"CREB3L3",16.232841,21.390625,15.570916,15.729156,15.586704,15.335056,16.507969,15.217801,15.6816,16.924996
"CREB3L4",33.651601,43.349056,37.319881,37.920964,38.875225,39.300361,41.873841,62.837329,46.771921,34.527376
"CREB5",79.21,16.224784,43.046721,25.948836,17.623204,26.6256,26.460736,23.406244,23.319241,21.464689
"CREBBP",57.123364,41.512249,49.364676,43.441281,47.789569,42.693156,43.1649,44.89,40.844881,44.502241
"CREBL2",46.758244,61.512649,80.442961,87.6096,75.655204,72.352036,62.315236,56.791296,74.338884,72.148036
"CREBZF",32.239684,50.324836,38.081241,35.224225,49.112064,37.295449,39.677401,43.599609,34.327881,32.878756
"CREG1",100.420441,83.448225,124.367104,144.312169,66.243321,93.528241,119.771136,117.397225,91.891396,123.476544
"CREG2",17.7241,13.860729,15.139881,15.484225,14.730244,13.980121,16.826404,14.907321,14.303524,16.208676
"CRELD1",30.614089,39.589264,38.353249,44.102881,44.169316,44.142736,44.3556,37.785609,50.027329,33.005025
"CRELD2",58.890276,89.946256,73.736569,77.845329,83.247376,89.737729,82.846404,81,89.434849,51.897616
"CREM",51.652969,56.355049,40.96,40.615129,45.360225,34.621456,32.661225,34.597924,49.857721,34.798201
"CRH",21.455424,21.418384,21.846276,22.005481,20.994724,21.418384,20.985561,21.196816,20.349121,24.790441
"CRHBP",24.344356,18.515809,22.648081,21.790224,20.034576,17.707264,17.322244,51.955264,17.164449,24.492601
"CRHR1",25.381444,23.785129,25.6036,24.870169,23.970816,23.648769,23.639044,24.393721,23.116864,28.869129
"CRHR2",23.609881,19.8916,21.893041,21.270544,19.245769,19.927296,19.660356,18.809569,19.7136,21.150801
"CRIM1",33.304441,40.921609,40.8321,68.707521,36.832761,113.571649,84.511249,48.288601,116.2084,28.8369
"CRIP1",47.513449,108.597241,85.618009,74.615044,85.988529,63.504961,35.022724,46.294416,37.687321,34.152336
"CRIP2",29.311396,28.398241,31.1364,28.922884,37.540129,58.920976,40.018276,30.547729,101.586241,32.216976
"CRIP3",28.772496,24.423364,29.408929,27.311076,27.436644,24.690961,24.433249,25.9081,23.049601,34.363044
"CRIPAK",46.308025,30.980356,43.494025,44.809636,54.76,43.705321,50.168889,47.238129,40.056241,36.348841
"CRIPT",62.062884,70.644025,55.591936,57.395776,50.922496,66.275881,68.541841,62.663056,63.600625,46.308025
"CRISP1",13.786369,13.527684,13.264164,13.227769,12.981609,12.659364,12.489156,12.723489,12.503296,14.546596
"CRISP2",12.981609,11.276164,12.285025,12.348196,12.264004,11.916304,11.868025,14.884164,12.236004,14.837904
"CRISP3",34.199104,10.923025,12.787776,10.712529,12.945604,10.465225,16.136289,16.556761,10.316944,13.579225
"CRISPLD1",13.366336,11.485321,12.432676,12.25,12.588304,13.300609,13.571856,53.963716,15.421329,16.337764
"CRISPLD2",64.192144,24.186724,51.796809,32.8329,28.611801,52.620516,41.525136,28.901376,29.106025,30.846916
"CRK",76.177984,62.457409,70.408881,67.601284,51.782416,85.969984,74.545956,51.151104,89.245809,40.857664
"CRKL",63.616576,73.085401,61.748164,57.0025,61.261929,55.219761,64.786401,57.638464,55.935441,62.631396
"CRLF1",31.663129,32.706961,30.780304,30.415225,30.151081,51.782416,36.060025,28.579716,31.036041,36.372961
"CRLF2",27.394756,23.174596,37.344321,28.740321,26.811684,22.600516,22.733824,28.291761,22.429696,30.669444
"CRLF3",119.202724,104.264521,103.306896,85.766121,111.260304,69.973225,84.787264,87.890625,70.3921,84.033889
"CRLS1",23.941449,42.029289,39.125025,40.043584,42.042256,43.151761,40.220964,45.738169,41.460721,43.151761
"CRMP1",46.131264,41.049649,43.414921,43.903876,42.706225,41.3449,40.4496,40.259025,41.177889,48.177481
"CRNDE",16.1604,31.945104,18.386944,23.512801,20.548089,84.4561,78.570496,41.139396,56.911936,25.573249
"CRNKL1",54.493924,73.513476,57.684025,61.230625,58.049161,60.3729,58.3696,69.255684,59.845696,53.392249
"CRNN",23.454649,21.483225,22.2784,22.250089,20.994724,20.358144,36.784225,21.178404,20.802721,27.8784
"CROCC",29.964676,27.081616,29.757025,29.387241,32.171584,31.225744,28.772496,30.481441,32.787076,26.584336
"CROCCP2",44.116164,50.779876,47.637604,46.063369,57.623281,44.796249,46.635241,53.027524,45.387169,48.358116
"CROCCP3",24.730729,23.464336,22.934521,23.145721,23.961025,23.309584,21.557449,22.127616,22.4676,26.946481
"CROT",19.562929,26.255376,20.967241,23.863225,26.998416,25.583364,32.182929,26.946481,21.949225,23.107249
"CRP",17.505856,15.342889,16.176484,16.064064,15.484225,15.186609,15.888196,15.015625,16.556761,17.682025
"CRTAC1",25.8064,26.925721,25.765776,25.150225,24.334489,23.377225,22.695696,23.078416,29.669809,26.811684
"CRTAM",18.783556,32.092225,43.639236,63.441225,26.574025,11.861136,13.638249,18.130564,11.607649,39.037504
"CRTAP",38.775529,43.480836,65.691025,60.202081,51.108201,78.801129,59.013124,57.047809,71.098624,59.013124
"CRTC1",45.616516,43.454464,48.483369,46.826649,44.675856,46.6489,43.864129,43.322724,42.393121,51.926436
"CRTC2",76.895361,64.144081,64.979721,60.202081,62.8849,54.848836,57.486724,54.967396,54.671236,49.350625
"CRTC3",35.200489,45.589504,47.251876,47.458321,63.2025,42.445225,40.0689,45.319824,41.357761,40.233649
"CRX",22.867524,21.538881,21.949225,21.734244,21.455424,21.16,20.304036,20.7025,20.331081,26.718561
"CRY1",56.685841,76.615009,62.41,67.272804,84.198976,63.568729,67.683529,82.773604,71.673156,71.554681
"CRY2",45.549001,44.916804,46.977316,46.3761,50.438404,47.775744,51.523684,46.185616,42.680089,40.857664
"CRYAA",29.181604,29.311396,27.931225,28.037025,26.646244,29.170801,26.790976,25.593481,26.265625,32.114889
"CRYAB",27.123264,26.594649,27.060804,30.118144,26.030404,109.935225,88.868329,26.399044,31.114084,23.746129
"CRYBA1",14.722569,14.235529,13.097161,12.967201,13.082689,12.945604,12.082576,13.5424,12.489156,14.341369
"CRYBA2",17.438976,16.785409,16.785409,16.467364,16.459249,16.144324,16.548624,16.719921,15.5236,20.5209
"CRYBA4",21.743569,24.373969,21.298225,20.958084,21.270544,21.353641,20.839225,21.362884,20.894041,26.481316
"CRYBB1",30.658369,26.3169,29.571844,31.685641,26.956864,27.7729,26.501904,28.751044,26.998416,35.545444
"CRYBB2",35.509681,33.154564,33.339076,32.307856,32.615521,32.410249,34.210801,30.869136,31.013761,38.427601
"CRYBB2P1",18.164644,19.749136,18.671041,18.2329,19.660356,19.6249,18.800896,20.602521,17.297281,19.289664
"CRYBB3",35.5216,32.285124,34.751025,33.431524,33.108516,31.685641,31.125241,33.212169,31.102929,40.564161
"CRYBG3",33.258289,40.119556,62.331025,68.624656,51.940849,63.872064,75.047569,47.128225,63.123025,46.294416
"CRYGA",18.378369,18.003049,18.2329,17.867529,17.280649,17.447329,17.355556,17.698849,16.362025,21.7156
"CRYGB",18.948609,18.774889,19.793601,19.829209,18.705625,18.139081,17.952169,19.936225,17.480761,20.711601
"CRYGC",28.058209,28.579716,28.323684,26.739241,26.399044,26.563716,26.873856,25.411681,25.979409,34.175716
"CRYGD",24.029604,22.838841,24.870169,25.1001,24.235929,24.8004,23.921881,44.063044,22.810176,28.526281
"CRYGN",24.01,23.377225,22.591009,22.972849,21.520321,21.446161,21.114025,21.464689,21.206025,23.775376
"CRYGS",21.325924,22.287841,24.245776,25.321024,28.334329,20.875761,19.766916,23.882769,20.584369,24.750625
"CRYL1",40.335201,38.007225,54.774801,59.845696,48.762289,47.734281,46.226401,53.611684,64.400625,61.559716
"CRYM",46.662561,38.8129,45.819361,45.037521,44.076321,45.778756,41.744521,50.651689,39.4384,81.054009
"CRYZ",26.501904,83.594449,45.805824,59.243809,67.864644,81.757764,96.196864,67.059721,80.138304,46.607929
"CRYZL1",24.000201,41.062464,33.500944,33.732864,39.476089,39.237696,33.860761,35.736484,45.346756,28.536964
"CS",77.193796,102.779044,93.973636,94.789696,89.264704,94.595076,97.140736,93.528241,107.226025,76.965529
"CSAD",45.185284,24.790441,29.778849,26.8324,31.6969,25.948836,29.300569,27.625536,24.980004,25.948836
"CSDA",52.171729,54.007801,62.473216,56.190016,35.808256,64.786401,73.359225,62.583921,70.257924,64.192144
"CSDC2",38.551681,32.444416,37.503376,37.687321,35.688676,42.758521,31.561924,35.259844,31.158724,42.432196
"CSDE1",95.4529,103.347556,108.284836,105.637284,105.411289,112.933129,111.872929,107.848225,111.3025,105.534529
"CSE1L",35.2836,81.108036,52.606009,56.055169,65.092624,66.438801,74.442384,74.442384,70.744921,49.112064
"CSF1",40.487769,49.942489,34.644996,56.415121,33.028009,42.224004,30.074256,32.455809,36.784225,35.904064
