gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
AADACL2	10.556001	10.653696	11.115556	11.888704	10.413529	61.074225	16.443025	10.962721	10.673289	10.614564	10.478169	10.310521	11.377129	11.614464	19.963024	11.478544	10.24	10.445824	10.6929	10.0489	10.208025
ABCA12	11.881809	11.9025	11.669056	10.182481	11.655396	74.770609	12.411529	11.256025	11.390625	11.519236	11.539609	11.410884	12.510369	13.060996	11.648569	11.648569	11.478544	11.478544	12.061729	11.397376	11.485321
ABCB1	28.398241	35.473936	18.113536	18.122049	15.776784	16.144324	21.013056	18.550249	19.123129	54.582544	18.974736	17.884441	21.855625	19.936225	29.724304	31.730689	30.448324	42.393121	29.844369	20.232004	17.089956
ABCB4	62.995969	18.983449	26.440164	18.6624	21.298225	16.120225	16.785409	21.270544	19.342404	16.540489	18.757561	17.614809	22.448644	17.935225	21.464689	18.601969	17.715681	19.210689	17.514225	23.970816	15.904144
ABCC13	16.1604	16.818201	17.214201	17.4724	15.015625	14.945956	16.386304	16.818201	16.711744	15.303744	18.267076	18.887716	20.958084	44.036496	14.326225	17.0569	16.507969	17.330569	15.476356	18.905104	16.040025
ACP5	64.786401	39.955041	108.638929	45.1584	28.998225	50.993881	42.837025	124.233316	67.535524	43.811161	44.023225	46.131264	35.093776	56.746089	45.387169	47.004736	47.375689	40.870449	36.517849	50.794129	29.877156
ACSL6	15.233409	15.256836	16.426809	18.105025	14.799409	15.194404	15.249025	16.597476	16.793604	17.205904	16.842816	16.096144	20.358144	26.245129	13.719616	25.3009	26.894596	24.750625	19.554084	17.943696	14.984641
ADAM28	62.758084	37.466641	22.905796	44.475561	18.378369	17.698849	18.619225	27.941796	31.741956	28.665316	30.3601	27.499536	29.041321	26.286129	20.151121	21.594609	19.166884	21.141604	24.324624	18.974736	17.522596
ADAMDEC1	19.598329	17.023876	27.615025	31.5844	13.024881	12.787776	12.201049	80.496784	41.589601	16.2409	16.467364	14.5924	14.311089	14.160169	13.053769	14.861025	15.241216	14.462809	13.6161	13.586596	11.957764
ADAMTS5	14.3641	14.318656	15.249025	18.7489	65.577604	13.890529	21.911761	15.452761	19.386409	15.0544	15.539364	14.753281	15.8404	18.215824	78.872161	14.730244	15.139881	16.200625	13.191424	17.089956	13.417569
ADH1B	12.716356	12.503296	12.680721	14.500864	19.775809	12.482089	13.213225	13.118884	12.866569	13.010449	13.734436	13.097161	14.311089	16.064064	82.955664	12.3201	12.552849	12.916836	12.439729	12.694969	12.103441
ADIPOQ	12.802084	12.680721	12.595401	29.441476	11.909401	11.532816	11.553201	12.859396	12.7449	13.3225	14.182756	12.845056	14.017536	13.307904	149.5729	12.559936	11.957764	12.8164	12.652249	12.243001	11.607649
AGTR1	14.205361	15.413476	14.523721	19.000881	35.271721	13.461561	13.660416	14.493249	14.707225	14.6689	15.697444	14.791716	14.953689	20.016676	81.054009	14.258176	14.273284	14.922769	13.972644	14.938225	13.366336
AHSP	26.811684	50.6944	29.8116	29.506624	27.447121	27.123264	26.2144	28.912129	31.36	26.1121	32.501401	34.140649	39.904489	109.6209	30.702681	30.647296	26.956864	28.4089	26.853124	27.910089	25.170289
ALAS2	19.740249	27.373824	19.900521	19.927296	17.943696	17.682025	18.361225	19.123129	20.985561	19.412836	23.746129	21.827584	26.615281	70.408881	23.001616	22.953681	19.289664	20.575296	20.349121	19.554084	17.783089
ALDH1A1	16.867449	65.237929	37.491129	14.341369	30.239001	21.799561	65.658609	75.916369	56.070144	15.578809	19.616041	19.766916	23.088025	17.698849	96.118416	18.455616	15.163236	18.671041	19.0096	14.432401	133.056225
ALDH8A1	18.601969	18.9225	14.107536	16.2409	12.166144	16.703569	15.327225	14.600041	16.032016	20.475625	13.712209	18.088009	15.3664	13.264164	15.618304	17.656804	26.481316	19.766916	16.024009	36.832761	11.607649
ALOX12	18.309841	28.879876	21.104836	18.258529	18.714276	34.586161	18.567481	20.529961	30.4704	20.421361	25.472209	21.743569	106.770889	25.210441	18.054001	18.567481	19.158129	21.827584	20.124196	18.395521	18.335524
ALOX15	16.1604	16.216729	70.274689	77.123524	15.928081	15.507844	15.437041	17.757796	16.378209	15.697444	36.144144	16.297369	20.994724	23.687689	16.703569	16.548624	15.382084	15.8404	16.573041	17.048641	15.421329
ALPK2	19.236996	17.0569	22.896225	18.896409	92.910321	17.363889	17.690436	19.918369	21.390625	16.834609	19.989841	19.998784	22.155849	31.337604	22.695696	22.043025	21.585316	20.313049	18.905104	23.126481	17.147881
AMPD1	15.476356	16.785409	15.768841	17.3056	15.194404	15.586704	14.447601	15.928081	15.729156	15.912121	16.556761	78.552769	17.698849	25.190361	13.995081	15.413476	15.171025	15.936064	14.915044	15.484225	14.992384
ANGPT2	16.192576	16.966161	15.578809	16.144324	14.348944	14.945956	82.791801	16.982641	15.256836	14.250625	15.6025	16.200625	19.439281	18.284176	34.386496	17.7241	15.000129	16.192576	15.046641	15.776784	84.916225
ANKRD1	13.660416	13.868176	14.707225	16.104169	17.313921	13.860729	17.214201	14.569489	14.077504	13.505625	14.167696	14.876449	17.239104	19.386409	12.559936	13.7641	14.025025	15.046641	13.097161	14.630625	53.465344
ANKRD36BP2	26.512201	22.344529	15.023376	28.579716	14.554225	15.093225	27.123264	15.241216	15.578809	16.548624	16.630084	42.784681	17.297281	21.123216	17.514225	20.358144	21.818241	19.882681	16.008001	20.8849	25.542916
AOC3	20.7936	21.501769	20.903184	15.264649	17.969121	18.931201	32.364721	35.784324	19.000881	17.547721	42.601729	22.240656	25.522704	24.344356	132.089049	18.826921	19.954089	17.673616	15.952036	21.455424	18.939904
APBA2	32.867289	39.388176	33.223696	33.200644	34.363044	33.593616	62.425801	32.970564	34.351321	55.5025	38.241856	37.871716	50.993881	46.1041	30.846916	62.948356	59.459521	66.389904	32.433025	57.289761	58.140625
APOBEC3A	15.452761	23.213124	34.386496	51.854401	12.341169	25.897921	13.097161	30.558784	75.377124	21.883684	115.5625	17.397241	34.234201	12.588304	14.722569	23.020804	16.851025	19.651489	15.327225	11.539609	11.923209
APOC1	41.654116	67.617729	75.290329	47.817225	41.964484	44.3556	43.007364	121.6609	50.083929	39.740416	45.252529	51.136801	53.860921	47.872561	61.340224	46.867716	42.484324	44.049769	40.309801	45.346756	40.538689
APOD	29.560969	25.654225	34.999056	33.443089	47.789569	29.778849	116.510436	33.744481	28.933641	25.7049	35.271721	32.171584	29.735209	51.609856	162.435025	28.355625	27.910089	26.091664	26.409321	24.591681	70.040161
APOLD1	26.265625	33.767721	20.593444	18.826921	34.656769	27.154521	103.347556	21.893041	19.554084	26.296384	26.471025	27.952369	23.532201	27.751824	68.740681	23.503104	28.793956	21.594609	30.437289	30.846916	83.7225
AQP9	23.493409	33.512521	98.863249	35.712576	24.334489	59.382436	21.003889	114.361636	108.326464	29.778849	160.503561	28.536964	40.398736	50.395801	33.64	29.735209	25.452025	27.899524	19.114384	19.404025	20.967241
AQPEP	11.108889	11.175649	11.2225	13.366336	12.215025	11.799225	11.269449	11.404129	11.215801	11.0224	11.600836	11.095561	12.236004	12.027024	58.384881	11.195716	11.009124	11.363641	11.6964	11.383876	11.0224
ARRDC4	40.182921	67.289209	110.334016	63.027721	62.536464	97.673689	56.130064	90.193009	81.7216	37.970244	57.592921	26.275876	41.770369	22.127616	63.5209	25.160256	28.174864	28.826161	15.147664	24.019801	29.757025
ASGR1	23.921881	30.272004	30.283009	26.770276	22.250089	25.816561	52.620516	29.648025	53.042089	21.2521	26.01	24.770529	27.154521	30.758116	21.492496	26.998416	22.297284	24.552025	20.196036	21.967969	43.864129
ASPM	18.696976	36.469521	13.271449	16.589329	30.481441	26.956864	18.164644	15.880225	13.213225	27.217089	13.712209	20.178064	15.413476	16.088121	11.1556	18.249984	20.1601	15.429184	62.821476	22.543504	32.285124
ATG16L1	40.589641	33.235225	30.813601	32.615521	30.228004	29.888089	31.539456	30.382144	32.547025	40.1956	33.143049	28.526281	30.780304	38.638656	32.467204	48.219136	43.243776	45.914176	38.526849	46.991025	29.398084
ATHL1	66.161956	45.495025	38.950081	49.238289	39.639616	36.820624	59.29	39.012516	47.073321	60.637369	81.234169	51.337225	54.878464	42.706225	43.996689	77.000625	75.463969	87.815641	44.957025	73.479184	46.253601
ATM	42.680089	27.279729	30.625156	33.860761	30.448324	23.078416	27.573001	31.002624	30.924721	41.422096	32.341969	30.6916	28.143025	25.080064	32.764176	45.941284	42.406144	50.608996	34.527376	38.390416	30.880249
ATP6V0D2	20.839225	21.771556	26.563716	35.952016	20.232004	22.353984	19.998784	59.166864	25.331089	23.9121	27.836176	25.090081	21.762225	63.504961	20.502784	20.385225	22.268961	22.629049	19.909444	21.771556	20.196036
ATP8A1	39.980329	32.353344	25.542916	26.091664	15.178816	16.192576	23.184225	23.107249	25.431849	38.452401	28.879876	26.5225	33.814225	17.935225	27.636049	33.547264	33.489369	40.8321	33.744481	32.684089	25.796241
ATP8B4	12.752041	56.640676	32.012964	27.815076	17.572864	12.376324	12.6025	30.019441	38.254225	59.243809	24.354225	13.498276	13.957696	13.719616	55.606849	15.437041	18.800896	18.369796	86.527204	11.9025	13.424896
BAALC	18.096516	51.1225	21.409129	19.245769	45.535504	19.660356	38.328481	24.049216	21.603904	23.824161	20.25	19.175641	21.058921	28.826161	27.836176	18.028516	17.816841	18.498601	16.378209	17.707264	21.818241
BACE2	58.644964	42.471289	27.2484	89.1136	68.856804	63.489024	129.185956	30.9136	25.170289	24.373969	37.957921	28.708164	35.6409	40.373316	62.900761	24.940036	24.860196	24.157225	22.306729	26.265625	114.041041
BACH2	88.679889	33.744481	22.137025	24.245776	19.945156	25.796241	26.956864	21.9961	25.070049	49.434961	27.952369	27.133681	44.903401	24.167056	26.811684	61.481281	65.044225	58.400164	25.553025	54.937744	23.396569
BANK1	91.145209	35.4025	26.553409	45.819361	20.313049	18.558864	16.621929	22.043025	31.832164	24.039409	28.901376	38.8129	81.631225	34.586161	37.027225	24.265476	20.223009	21.613201	19.838116	17.322244	17.631601
BCHE	10.863616	11.930116	11.737476	11.964681	17.598025	41.126569	52.243984	11.3569	11.2225	11.648569	11.744329	19.8025	13.9129	14.190289	44.769481	11.108889	12.292036	11.519236	11.6281	11.235904	41.538025
BCL11A	89.8704	68.343289	40.8321	39.388176	27.688644	51.638596	25.321024	39.225169	45.576001	24.760576	37.908649	40.653376	42.745444	33.965584	21.187609	29.550096	25.411681	26.584336	20.214016	22.458121	22.6576
BCL11B	19.811401	17.740944	19.749136	27.583504	20.811844	49.350625	21.132409	20.412324	22.781529	47.320641	28.676025	19.518724	38.142976	22.610025	18.636489	70.627216	68.409441	68.409441	48.011041	63.776196	15.547249
BCL2A1	67.322025	49.871844	75.5161	156.825529	15.186609	16.516096	14.561856	116.359369	107.889769	57.988225	158.911236	22.325625	29.7025	18.619225	20.930625	58.308496	55.711296	61.921161	42.719296	31.259281	14.546596
BEND2	12.6025	13.3956	12.411529	11.806096	12.475024	12.418576	12.369289	12.482089	17.530969	12.3201	14.220441	13.097161	110.8809	13.256881	11.758041	12.229009	12.404484	13.118884	12.082576	12.166144	12.299049
BET3L	11.930116	11.943936	11.888704	11.881809	11.895601	11.730625	13.213225	11.464996	12.752041	11.397376	12.475024	12.145225	61.402896	15.241216	11.703241	12.257001	11.861136	12.306064	11.957764	11.957764	11.262736
BEX1	32.913169	89.094721	39.5641	49.885969	45.914176	42.393121	39.450961	35.450116	38.638656	36.156169	44.209201	37.687321	77.457601	53.100369	28.111204	31.427236	36.457444	34.975396	26.988025	35.105625	28.601104
BLK	58.430736	21.483225	22.231225	22.648081	20.775364	20.675209	22.8484	21.641104	23.833924	19.998784	22.619536	25.331089	28.4089	27.857284	19.123129	26.193924	23.824161	25.170289	23.184225	27.604516	20.784481
BLNK	112.763161	39.237696	54.715609	18.122049	13.69	66.275881	13.778944	54.789604	35.4025	18.267076	20.857489	77.704225	50.098084	27.206656	32.844361	28.068804	19.847025	21.049744	15.880225	17.065161	14.0625
BMP2	15.062161	20.557156	18.003049	17.114769	24.413481	59.644729	77.721856	17.065161	16.499844	22.297284	19.775809	16.192576	17.833729	21.967969	41.783296	15.256836	16.556761	16.394401	14.409616	16.851025	65.1249
BMX	16.386304	18.809569	17.447329	20.043529	16.573041	16.605625	74.857104	19.324816	19.140625	18.130564	45.9684	20.061441	19.963024	25.512601	38.9376	16.679056	17.774656	17.656804	15.697444	16.785409	101.425041
BTLA	67.026969	18.173169	18.498601	18.045504	15.389929	15.968016	15.100996	17.732521	20.994724	17.489124	23.697424	61.261929	31.1364	20.232004	15.808576	40.857664	44.049769	31.125241	25.583364	32.49	15.342889
BTN3A2	69.3889	55.920484	52.157284	71.7409	44.368921	37.356544	54.051904	58.813561	62.173225	91.278916	67.963536	67.617729	92.563641	25.623844	58.951684	84.235684	84.658401	92.717641	87.2356	76.265289	53.421481
BTN3A3	57.744801	42.863209	39.866596	30.426256	40.106889	27.060804	45.805824	46.199209	49.970761	74.046025	49.477156	53.8756	42.719296	15.163236	53.173264	70.963776	68.343289	78.623689	70.795396	65.189476	51.897616
C10ORF116	21.939856	20.214016	24.393721	18.438436	69.3889	62.236321	77.774761	23.551609	22.867524	19.175641	23.474025	24.049216	25.715041	29.138404	161.213809	25.010001	20.475625	23.155344	21.939856	23.145721	86.136961
C11ORF45	14.9769	18.309841	24.770529	15.586704	17.850625	25.786084	16.679056	42.968025	18.020025	13.868176	15.147664	15.705369	16.128256	16.687225	17.023876	15.8404	15.147664	15.737089	14.676561	15.007876	15.163236
C11ORF96	25.090081	52.577001	28.206721	17.935225	63.920025	34.468641	99.321156	29.224836	32.103556	28.922884	28.987456	50.893956	28.058209	26.988025	89.984196	22.250089	25.0	23.377225	18.054001	22.6576	69.923044
C12ORF59	11.404129	14.055001	19.2721	10.738729	12.496225	10.850436	10.975969	31.236921	23.4256	11.1556	13.756681	27.279729	11.128896	11.048976	9.815689	10.621081	10.588516	10.745284	10.163344	10.291264	10.989225
C13ORF18	111.598096	33.166081	36.675136	26.481316	30.305025	19.070689	23.961025	55.100929	58.018689	24.255625	99.241444	25.512601	48.427681	24.850225	31.181056	27.836176	24.542116	25.260676	23.126481	19.971961	18.8356
C14ORF64	19.412836	18.636489	18.948609	20.223009	17.783089	20.620681	18.896409	19.316025	19.820304	18.792225	21.399876	19.945156	23.357889	23.551609	19.307236	33.235225	31.225744	29.550096	18.5761	32.1489	17.623204
C15ORF26	12.020089	12.859396	13.0321	11.498881	11.587216	11.751184	12.496225	12.859396	13.271449	11.957764	12.723489	14.661241	61.512649	15.342889	11.336689	11.737476	12.187081	11.737476	11.162281	12.131289	13.719616
C15ORF48	19.642624	27.071209	118.613881	15.295921	22.231225	61.811044	21.4369	123.165604	69.0561	38.118276	70.2244	16.362025	20.647936	16.966161	15.413476	24.039409	27.019204	19.228225	20.385225	17.606416	15.413476
C17ORF60	28.869129	24.462916	42.224004	18.113536	20.748025	18.671041	24.443136	41.4736	47.155689	19.998784	31.036041	24.820324	22.857961	22.458121	22.857961	21.687649	19.1844	20.811844	19.316025	19.412836	19.518724
C19ORF77	30.459361	87.179569	30.891364	35.976004	27.730756	28.9444	27.657081	30.669444	31.764496	34.363044	35.2836	37.173409	32.398864	64.609444	25.462116	32.741284	32.478601	32.6041	32.684089	30.0304	26.977636
C1ORF150	12.25	32.160241	12.737761	12.489156	10.536516	11.799225	11.410884	11.621281	16.924996	13.162384	13.778944	11.108889	26.543104	11.758041	11.451456	16.908544	11.6281	12.397441	13.601344	11.916304	11.002489
C1QA	22.7529	33.895684	69.906321	23.6196	21.846276	21.123216	23.464336	98.446084	42.458256	21.409129	25.887744	40.513225	27.394756	35.628961	89.775625	27.029601	22.676644	24.275329	29.214025	22.963264	21.520321
C1QB	20.720704	32.695524	73.96	20.7025	19.784704	19.36	21.501769	95.589729	34.269316	24.571849	22.080601	36.144144	25.999801	33.547264	70.644025	23.785129	21.187609	22.714756	24.850225	22.316176	20.912329
C1QTNF4	19.775809	53.319204	20.241001	18.6624	20.848356	19.900521	27.102436	19.731364	19.963024	17.614809	19.079424	20.529961	22.250089	24.552025	23.145721	20.684304	18.740241	20.142144	22.024249	20.025625	21.696964
C1S	20.457529	20.4304	23.668225	19.430464	100.140049	26.460736	32.855824	31.5844	19.149376	18.507204	19.8025	21.261321	22.014864	27.447121	114.575616	19.263321	19.598329	20.529961	16.736281	22.391824	19.571776
C20ORF103	28.206721	25.887744	30.074256	33.698025	24.216241	23.843689	31.674384	27.541504	32.867289	26.501904	30.769209	83.612736	66.536649	43.401744	20.985561	25.310961	26.173456	26.584336	23.8144	25.090081	27.699169
C20ORF187	20.061441	21.003889	23.001616	32.319225	21.4369	20.539024	21.114025	23.687689	23.755876	22.781529	26.368225	25.563136	23.4256	59.660176	20.0704	22.6576	22.080601	22.505536	21.196816	22.581504	20.711601
C21ORF7	29.289744	20.025625	17.623204	16.924996	49.885969	31.956409	22.099401	26.091664	58.415449	23.4256	26.946481	17.464041	143.928009	15.697444	30.669444	20.448484	24.137569	29.550096	18.438436	20.903184	23.107249
C2ORF88	28.718881	42.263001	21.5296	23.338561	23.493409	20.277009	23.648769	22.543504	33.953929	21.381376	29.669809	62.520649	131.171209	47.375689	27.217089	21.921124	22.108804	24.840256	18.974736	21.381376	21.058921
C2ORF89	41.165056	29.506624	52.243984	26.604964	30.272004	27.029601	28.047616	35.0464	33.779344	33.64	36.759969	43.6921	49.238289	45.954841	34.047225	72.9316	73.034116	68.211081	36.036009	70.408881	27.112849
C3ORF42	26.368225	20.196036	18.705625	21.631801	16.192576	17.1396	18.130564	17.732521	21.967969	24.245776	24.364096	17.455684	19.562929	21.659716	17.297281	24.373969	27.112849	30.426256	25.452025	27.541504	15.832441
C4ORF31	21.855625	23.097636	24.059025	29.300569	51.008164	23.941449	53.348416	24.790441	23.990404	25.250625	27.910089	68.2276	23.990404	34.304449	51.008164	23.726641	23.677956	24.117921	22.610025	24.690961	42.263001
C5AR1	19.580625	24.641296	59.783824	48.121969	16.370116	17.007376	14.341369	105.001009	106.048804	21.9961	149.915536	20.187049	22.953681	14.348944	33.315984	31.102929	18.783556	24.314761	14.7456	14.569489	14.070001
C5ORF20	15.697444	25.190361	46.131264	17.264025	16.128256	15.492096	16.4025	26.481316	25.7049	16.638241	18.361225	18.301284	18.653761	25.361296	16.638241	18.003049	17.040384	15.824484	15.634116	17.106496	15.776784
C5ORF23	30.349081	82.192356	31.674384	36.228361	64.128064	40.081561	34.199104	33.016516	33.443089	33.930625	35.772361	34.210801	42.549529	59.660176	68.856804	31.449664	31.058329	33.570436	29.008996	29.365561	30.924721
C5ORF39	64.689849	46.362481	37.785609	42.614784	35.868121	33.166081	64.144081	37.307664	42.588676	60.637369	40.870449	42.354064	45.778756	35.7604	38.576521	74.356129	72.012196	75.881521	63.027721	69.822736	59.505796
C8ORF4	9.884736	10.413529	9.5481	12.013156	23.3289	9.126441	50.183056	9.572836	9.024016	9.0601	9.278116	8.952064	11.888704	10.252804	41.447844	9.084196	8.773444	10.017225	8.655364	9.4864	67.798756
C9ORF173	21.224449	21.307456	24.661156	20.511841	22.791076	22.724289	21.215236	23.697424	23.571025	21.077281	23.677956	22.982436	24.542116	56.385081	24.433249	22.762441	21.557449	21.724921	22.714756	21.16	22.127616
C9ORF38	31.114084	30.735936	16.777216	20.657025	14.684224	15.832441	20.766249	15.358561	18.190225	22.118209	16.875664	17.181025	19.412836	20.875761	13.6161	27.636049	33.698025	29.041321	19.368801	58.813561	15.327225
CA1	20.638849	38.588944	22.505536	32.103556	21.893041	22.857961	20.313049	22.810176	23.961025	22.800625	26.5225	30.791401	39.137536	61.984129	21.233664	22.924944	22.316176	22.714756	26.7289	21.169201	21.538881
CACNA2D2	35.784324	37.613689	32.8329	34.539129	29.106025	33.616804	43.520409	33.315984	34.644996	54.3169	34.234201	38.775529	44.649124	47.183161	32.126224	44.555625	39.589264	59.814756	31.606884	40.513225	29.539225
CACNA2D3	18.800896	25.050025	20.205025	18.088009	21.473956	19.5364	18.173169	21.827584	47.651409	18.378369	21.325924	19.324816	25.887744	21.206025	25.836889	20.268004	18.593344	18.809569	39.400729	17.272336	17.197609
CADPS2	17.690436	19.8916	17.023876	40.908816	24.760576	20.421361	57.638464	22.886656	17.969121	19.518724	21.187609	75.446596	24.039409	27.185796	48.539089	15.936064	18.054001	19.527561	15.421329	16.128256	66.292164
CALCRL	14.930496	19.749136	35.748441	17.3056	16.257024	16.281225	47.61	17.833729	22.810176	17.264025	17.288964	22.867524	16.851025	22.867524	51.768025	15.6025	15.856324	15.808576	14.876449	14.508481	81.252196
CALN1	15.327225	39.112516	17.098225	17.673616	15.649936	17.363889	16.818201	17.189316	16.949689	16.200625	18.498601	19.8916	19.775809	23.270976	14.730244	16.064064	16.265089	16.394401	15.303744	15.413476	16.703569
CAMK4	21.206025	16.516096	17.480761	20.133169	18.766224	16.540489	20.232004	17.901361	19.474569	20.259001	21.566736	16.966161	24.760576	22.344529	15.880225	54.1696	59.660176	50.183056	44.568976	52.056225	15.155449
CARD18	16.064064	16.120225	17.073424	22.099401	16.842816	97.397161	18.948609	17.197609	16.933225	16.638241	19.027044	17.455684	19.228225	25.623844	16.3216	16.265089	17.205904	16.982641	17.280649	17.707264	16.289296
CARD9	20.286016	33.223696	50.851161	25.240576	21.734244	21.335161	20.738916	39.200121	42.289009	22.155849	24.830289	20.097289	19.731364	22.819729	18.567481	20.903184	19.483396	20.757136	18.541636	21.650409	18.156121
CCDC110	11.854249	10.673289	10.870209	10.150596	11.819844	11.128896	12.988816	10.7584	10.896601	10.361961	10.962721	23.184225	12.313081	12.362256	11.108889	11.029041	10.995856	11.175649	10.272025	11.0224	12.334144
CCDC64	43.943641	31.550689	34.351321	34.269316	29.354724	49.098049	32.001649	31.9225	33.814225	42.941809	33.212169	35.224225	39.050001	35.378704	28.890625	55.785961	56.25	53.7289	51.739249	53.5824	29.637136
CCDC65	13.727025	13.756681	13.461561	12.013156	13.571856	13.097161	13.727025	13.351716	13.535041	19.1844	13.942756	13.184161	15.171025	14.615329	12.902464	18.361225	19.4481	21.958596	17.581249	16.883881	13.446889
CCL13	20.097289	22.118209	64.818601	23.503104	21.641104	21.003889	21.492496	29.8116	23.309584	21.921124	24.651225	25.060036	24.186724	33.849124	27.8784	21.483225	22.108804	21.7156	21.077281	21.409129	21.5296
CCL17	21.427641	20.403289	92.582884	18.558864	19.36	19.351201	20.820969	25.553025	21.548164	18.610596	20.875761	20.349121	21.141604	30.636225	18.948609	22.762441	21.566736	19.9809	27.092025	22.4676	19.342404
CCL18	21.233664	29.224836	84.052224	21.576025	22.250089	21.613201	21.799561	86.434209	29.855296	24.157225	25.220484	29.408929	28.761769	26.132544	31.528225	24.01	22.8484	22.193521	30.272004	22.448644	21.930489
CCL2	15.264649	24.720784	61.889689	20.124196	60.902416	19.571776	131.056704	69.655716	56.8516	18.130564	27.478564	21.049744	25.633969	22.543504	50.013184	19.509889	18.258529	19.838116	20.9764	14.546596	86.192656
CCL21	28.987456	28.068804	31.528225	32.535616	28.430224	27.6676	102.596641	30.846916	30.448324	27.415696	33.500944	33.535681	37.920964	37.4544	63.313849	30.958096	28.751044	29.474041	32.296489	32.171584	36.9664
CCL22	43.586404	34.269316	141.491025	41.2164	34.963569	36.336784	36.990724	85.119076	52.2729	36.445369	40.7044	38.044224	42.667024	52.027369	33.895684	44.116164	43.877376	34.880836	40.844881	38.6884	31.337604
CCL23	13.366336	16.982641	48.972004	59.830225	12.981609	13.235044	22.335076	36.590401	19.882681	14.661241	22.676644	15.178816	14.107536	17.64	17.816841	13.1044	13.329801	13.645636	20.016676	13.778944	13.417569
CCL26	18.627856	19.4481	57.942544	16.556761	30.151081	20.304036	18.344089	25.786084	21.492496	18.3184	22.714756	21.058921	20.857489	27.237961	23.222761	20.857489	19.236996	19.4481	20.493729	19.704721	18.992164
CCL8	15.015625	23.580736	53.904964	19.686969	16.999129	16.81	19.545241	48.219136	31.990336	18.507204	17.901361	20.729809	17.123044	16.875664	38.155329	16.8921	18.472804	16.581184	14.326225	15.856324	16.112196
CCNE2	19.333609	33.860761	14.984641	22.829284	29.626249	23.687689	20.930625	18.705625	15.563025	30.338064	17.255716	22.306729	16.192576	14.969161	13.082689	17.181025	21.520321	17.994564	67.190809	20.196036	31.606884
CCR10	26.822041	21.141604	22.344529	18.481401	26.801329	19.527561	37.478884	21.446161	22.014864	18.783556	22.014864	54.051904	21.511044	45.2929	24.265476	25.664356	27.594009	21.864976	20.115225	41.615401	36.772096
CCR2	20.985561	23.872996	31.036041	19.351201	15.202201	16.128256	14.799409	22.024249	68.475625	27.175369	25.522704	69.672409	28.323684	20.839225	18.275625	37.687321	36.048016	29.724304	57.76	29.680704	15.2881
CCR3	19.088161	19.36	23.493409	154.828249	18.105025	16.736281	17.572864	22.420225	31.192225	24.255625	85.414564	22.924944	22.8484	27.636049	18.198756	33.223696	23.882769	21.566736	42.276004	31.933801	18.096516
CCR7	89.245809	28.7296	64.032004	16.908544	17.7241	17.172736	16.257024	38.019556	48.483369	35.247969	40.857664	24.019801	47.914084	32.890225	21.049744	108.472225	108.930969	82.755409	79.459396	78.446449	17.313921
CCR9	20.684304	17.4724	15.077689	17.380561	14.432401	15.21	14.861025	15.824484	16.128256	17.489124	17.181025	15.225604	17.918289	24.373969	13.490929	22.193521	24.542116	19.114384	15.139881	33.616804	13.935289
CCRL1	16.281225	12.616704	12.552849	19.954089	61.984129	20.539024	13.816089	12.581209	12.680721	12.545764	13.191424	15.547249	21.104836	16.426809	36.7236	12.299049	13.410244	15.069924	12.967201	14.930496	13.300609
CCRL2	26.666896	41.938576	75.116889	19.731364	20.502784	20.313049	31.866025	95.238081	68.343289	31.5844	78.960996	38.837824	36.108081	39.075001	29.398084	30.3601	29.300569	28.751044	38.514436	32.058244	32.855824
CD14	27.050401	41.4736	55.487601	18.096516	27.300625	27.123264	40.347904	102.900736	143.448529	24.117921	123.609924	30.184036	42.994249	29.539225	88.491649	41.447844	27.468081	31.730689	19.395216	22.1841	30.25
CD160	19.758025	16.3216	17.969121	17.089956	16.434916	16.851025	17.205904	18.550249	20.775364	71.876484	24.690961	20.666116	54.508689	22.695696	17.665209	37.491129	20.4304	61.842496	43.454464	16.475481	16.0801
CD163	17.867529	29.3764	36.336784	23.377225	16.443025	15.421329	15.382084	70.997476	70.694464	19.404025	27.688644	29.3764	35.533521	22.287841	53.173264	19.633761	18.0625	20.6116	15.578809	15.9201	15.413476
CD19	105.822369	29.343889	30.658369	28.708164	25.512601	24.970009	24.482704	29.724304	34.892649	26.553409	35.569296	38.056561	39.375625	48.372025	26.132544	31.125241	27.331984	28.344976	28.068804	25.180324	25.654225
CD1A	37.136836	27.709696	84.732025	26.904969	23.970816	26.429881	26.183689	34.6921	37.319881	26.224641	32.410249	38.105929	37.161216	53.7289	25.623844	27.931225	28.419561	26.1121	26.245129	28.058209	24.295041
CD1B	19.731364	21.446161	92.044836	40.500496	21.196816	21.040569	18.645124	33.223696	29.041321	23.213124	28.858384	30.625156	31.348801	49.533444	20.620681	21.288996	23.648769	22.714756	19.061956	20.857489	20.757136
CD1C	77.757124	39.287824	108.555561	37.871716	31.899904	32.729841	31.449664	44.702596	59.691076	37.0881	43.970161	38.402809	59.644729	57.426084	40.347904	38.900169	38.303721	36.711481	32.205625	34.210801	32.273761
