gene_symbol	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
FHIT	25.190361	38.8129	27.6676	27.4576	23.746129	31.573161	35.664784	32.867289	27.290176	26.01	27.510025	37.124649	28.334329	34.304449	26.646244	46.498761	49.294441	33.849124	28.890625	42.497361	25.857225
FLG	11.532816	11.276164	11.458225	11.930116	17.397241	93.161104	12.1801	12.054784	11.458225	11.662225	11.710084	12.616704	12.006225	13.003236	22.534009	12.020089	11.142244	11.641744	10.903204	10.982596	11.526025
FLG2	10.543009	10.426441	10.995856	9.891025	10.426441	70.174129	10.962721	10.751841	10.712529	10.804369	10.640644	10.381284	10.24	11.607649	23.193856	10.4976	10.3684	10.575504	9.8596	10.342656	10.150596
FLJ12334	24.059025	16.875664	15.705369	18.696976	14.853316	14.318656	14.092516	14.853316	18.464209	20.575296	18.905104	15.421329	21.169201	20.286016	14.868736	30.614089	25.080064	28.313041	15.752961	30.591961	14.676561
FLJ27352	18.8356	19.395216	17.4724	12.873744	32.867289	32.993536	26.142769	19.669225	15.745024	13.9129	17.413929	45.914176	17.032129	19.704721	22.695696	14.409616	14.085009	13.830961	13.373649	12.952801	31.337604
FLJ37786	11.505664	10.439361	9.821956	41.964484	10.061584	10.010896	10.381284	9.947716	10.517049	12.201049	11.498881	9.840769	10.342656	10.023556	10.169721	10.575504	10.125124	11.498881	10.975969	11.102224	9.504889
FLRT2	19.820304	20.802721	23.483716	21.224449	73.034116	62.789776	71.588521	35.390601	24.147396	20.3401	20.7936	21.3444	26.142769	23.396569	61.496964	19.695844	19.386409	20.748025	20.097289	19.847025	109.725625
FLT3	22.676644	66.781584	35.141184	26.275876	19.545241	19.722481	20.1601	23.454649	34.386496	20.985561	24.810361	27.394756	22.193521	30.8025	19.731364	22.886656	22.174681	22.420225	18.309841	20.268004	19.8025
FLT3LG	33.628401	25.010001	25.280784	24.850225	32.001649	23.483716	29.757025	25.482304	29.5936	37.761025	28.740321	30.6916	29.626249	30.946969	28.654609	61.387225	62.457409	58.201641	55.577025	55.175184	30.813601
FOXD1	18.619225	17.264025	17.969121	22.005481	97.476129	48.274704	18.507204	17.338896	17.673616	21.316689	18.215824	18.412681	16.184529	19.263321	15.046641	16.507969	17.530969	21.483225	25.290841	18.550249	20.994724
FPR1	21.949225	25.989604	28.890625	56.881764	19.758025	19.963024	19.616041	39.488656	65.885689	23.843689	118.135161	24.176889	27.102436	25.583364	26.635921	27.373824	22.771984	24.920064	20.088324	20.241001	19.492225
FPR2	19.483396	21.206025	30.019441	34.81	18.5761	18.139081	18.783556	37.527876	63.776196	19.963024	105.6784	19.936225	21.16	24.740676	19.36	21.298225	18.722929	21.206025	18.852964	17.960644	18.079504
FPR3	19.070689	23.396569	93.624976	31.236921	18.5761	17.791524	18.079504	75.881521	55.368481	21.864976	23.980609	24.681024	25.633969	35.892081	34.668544	21.169201	21.390625	21.669025	19.219456	19.660356	18.438436
FRG1B	33.698025	26.245129	23.503104	113.103225	18.224361	17.8084	18.447025	25.331089	25.573249	34.668544	27.941796	22.071204	20.539024	14.2884	24.5025	33.373729	30.536676	39.100009	28.366276	35.366809	20.575296
FRMD3	22.127616	24.157225	24.1081	23.116864	23.629321	19.749136	22.743361	28.111204	34.904464	25.532809	34.245904	21.381376	110.565225	28.890625	51.222649	21.003889	22.363441	22.486564	17.791524	21.279769	39.162564
FRZB	17.926756	15.960025	16.434916	19.855936	16.378209	17.943696	17.539344	16.096144	16.104169	15.960025	17.023876	65.999376	18.809569	25.4016	36.893476	16.008001	16.168441	16.556761	14.638276	18.139081	15.547249
FYN	55.383364	46.3761	44.542276	29.073664	59.4441	47.306884	55.711296	38.576521	67.963536	89.170249	39.501225	25.6036	72.692676	29.757025	71.048041	86.322681	83.448225	92.698384	68.906601	81.848209	66.504025
FZD10	13.564489	13.293316	13.920361	14.402025	13.727025	40.666129	45.225625	14.326225	14.040009	14.265729	14.837904	14.190289	15.872256	17.3056	16.719921	13.3225	13.816089	14.470416	12.8164	13.549761	37.810201
