Gene	CD14_positive_monocyte	CD16_positive_monocyte	CD4_positive_alpha_beta_T_cell	CD56bright_natural_killer_cell	CD56dim_natural_killer_cell	CD8_positive_alpha_beta_T_cell	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	macrophage_m0	macrophage_m1	macrophage_m2	memory_B_cell	myeloid_dendritic_cell	naive_B_cell	neutrophil	plasma_cell	plasmacytoid_dendritic_cell
S100A12	569.837585	61.806778	47.398479	99.472412	31.937752	31.680347	21.254532	21.897953	61.086529	17.990255	58.582626	15.753381	27.153866	14.927616	16.796598	35.513618	14.695355	950.926147	127.059723	8.243716
S100B	7.650875	10.187995	7.650875	35.240398	20.058748	23.258432	12.259651	11.042014	11.400105	11.042014	9.532182	16.089027	11.812012	13.931892	9.181261	27.551815	10.187995	5.551838	11.2216	12.117452
S100P	97.926567	57.691223	32.345612	27.903774	26.998066	32.682171	54.026958	508.444244	1283.386353	30.535194	46.223537	27.551815	25.426506	22.042309	20.935862	13.716675	16.454206	1283.386353	38.9128	12.555463
SCRN1	74.89193	139.456406	31.937752	92.680656	124.126831	52.109005	37.380245	103.535278	115.355324	36.24918	198.738663	27.352167	55.130535	79.399162	293.394714	127.059723	145.858078	35.240398	167.175339	167.175339
SDC1	18.329815	24.575848	22.525253	13.931892	25.308821	20.058748	19.84803	30.230354	17.796587	19.468847	21.503334	35.240398	24.776411	28.401363	31.680347	29.309015	32.682171	20.058748	793.726746	46.962059
SEC63	41.949062	43.324879	86.296898	65.056778	198.738663	83.578552	78.17527	73.572762	112.568771	68.344315	76.026848	36.660488	30.688305	40.255306	107.397041	53.523853	117.313843	42.298241	153.206238	69.319519
SERPINF2	20.278244	18.945938	18.727728	22.400589	16.796598	18.641182	25.426506	17.796587	8.62093	20.753363	20.935862	22.785128	22.631895	25.834925	23.614336	32.975945	33.53194	14.927616	30.230354	375.271942
SETBP1	22.631895	48.738468	25.308821	112.568771	122.015579	41.949062	11.400105	34.082596	39.620373	66.657135	45.686771	17.166605	18.837408	22.13479	176.582184	25.993835	170.333893	19.468847	96.398735	66.657135
SF3A3	96.398735	182.220596	243.949341	145.858078	158.446075	231.14064	103.535278	225.375961	96.398735	153.206238	225.375961	117.313843	122.015579	139.456406	110.154976	293.394714	112.568771	69.894371	70.662674	88.529335
SFTPD	23.614336	69.894371	17.796587	13.239426	29.309015	13.002691	16.875589	17.712387	11.042014	11.564937	14.13267	17.362093	13.816945	19.84803	11.042014	29.75654	12.555463	14.829544	11.042014	21.399233
SFXN3	67.627823	62.770859	68.344315	82.502571	137.642548	79.399162	193.870102	52.962521	107.397041	66.105049	61.086529	170.333893	38.559151	47.972385	40.255306	50.208652	29.00341	45.686771	26.532515	54.026958
