Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
CCL5	23.231144	93.755974	36.951077	16311.804688	236.736984	2992.81665	2746.701172	82.469223	154.459473	42851.285156	16311.804688	8650.460938	113.605453	135.650574	9161.204102	279.228943	71.304649	7360.620605	41.8694	659.657104	200.623703	98.172882
CCL7	93.755974	56.972141	73.264488	54.10239	56.57526	39.844273	26.926359	61.132915	42.260494	48.570263	30.682217	19.332794	38.010654	947.45874	242.022751	77.739517	30.682217	82.469223	147.838913	973.252869	70.816162	70.816162
CCL8	213.947983	105.440369	123.377251	34.899029	35.53936	67.159706	92.199059	48.985622	67.159706	72.639511	42.260494	48.570263	142.831909	206.69809	3170.206787	3422.434814	106.925667	1137.147827	59.421028	1423.656982	15.17643	69.171471
CCND2	271.723083	447.613739	1068.119873	530.421082	468.494446	1068.119873	4147.192871	495.932312	1018.714722	215.730316	990.938416	5335.622559	213.947983	574.789612	86.409561	100.362663	647.52655	327.613647	460.866882	447.613739	341.767456	219.593933
CCR10	64.264938	98.808739	1265.55127	131.257629	76.406921	299.240509	73.92701	113.605453	41.651775	31.815218	70.331421	49.624992	73.92701	85.671661	59.892258	67.699944	67.699944	86.409561	48.570263	66.465591	91.486671	71.304649
CCR2	386.983765	322.065186	2899.61084	281.9216	79.212257	659.657104	341.767456	110.304306	227.854782	947.45874	79.212257	98.808739	3688.758057	170.794769	85.671661	68.661942	152.981003	130.110428	122.059906	57.56839	139.854202	152.981003
CCR3	132.276779	40.598751	65.825241	52.143307	13.036197	90.844009	61.132915	23.231144	230.845993	23.679504	107.673134	79.628654	85.15728	101.174423	62.602283	40.281143	105.440369	76.406921	27.393801	65.825241	8650.460938	926.468445
CCR5	102.898842	101.174423	60.456345	754.863159	89.328087	441.402924	488.569611	574.789612	408.711609	2053.601563	488.569611	1301.4021	505.287537	2992.81665	1155.484375	826.968384	1749.887451	521.508789	167.068863	227.854782	85.671661	65.279793
CCR6	288.690521	294.972473	51.303722	170.794769	82.469223	447.613739	154.459473	181.495316	89.328087	172.26033	41.651775	124.342735	30.369345	22.363804	27.697506	30.682217	36.614388	48.243649	23.087545	26.710436	21.668028	36.614388
CCR7	2899.61084	1959.947876	252.424393	3812.246826	8650.460938	2413.373291	5567.321289	1516.823242	6308.292969	362.228546	611.586426	565.239502	181.495316	488.569611	11181.758789	120.953827	451.44223	16311.804688	66.465591	73.264488	512.691467	258.329712
