Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
CD7	18.925959	20.460945	23.087545	1603.361206	2266.97876	1384.61438	1749.887451	1749.887451	9161.204102	288.690521	1866.087524	2002.147705	23.231144	20.857456	14.148811	75.483482	33.168301	22.363804	10.491875	16.093626	27.393801	22.583956
CD70	263.745056	738.010559	882.021362	247.349472	147.838913	279.228943	441.402924	263.745056	1693.549072	198.334778	194.70517	200.623703	206.69809	224.949539	367.195068	113.605453	224.949539	587.608154	247.349472	99.593994	183.180893	215.730316
CD72	1265.55127	170.794769	8.42998	19.094671	50.800278	9.669431	19.48814	11.669181	26.411583	7.972922	56.57526	19.094671	9.257813	10.573276	10.346827	122.059906	30.885761	8.29018	6.38254	11.464968	10.346827	7.370461
CD79A	13809.623047	11181.758789	5567.321289	367.195068	230.845993	184.859802	109.458176	447.613739	341.767456	136.846527	119.958435	145.768585	188.412186	174.081573	110.304306	58.996101	192.217972	217.648285	61.775917	103.74852	371.260681	175.873199
CD79B	4287.536133	4147.192871	1639.325928	222.45314	337.139801	346.390961	206.69809	441.402924	738.010559	184.859802	311.956848	284.818665	168.917679	89.880508	65.825241	74.767288	75.483482	81.803818	33.843536	55.088787	137.760452	150.550903
CD80	131.257629	311.956848	552.676331	73.264488	126.726799	97.222992	213.947983	123.377251	318.910461	135.650574	136.846527	146.713455	162.813156	542.601257	2413.373291	165.811829	908.754883	4287.536133	127.967445	161.496582	72.005432	95.813484
CD86	318.910461	659.657104	402.207336	115.362389	38.010654	99.593994	101.174423	35.231133	162.813156	234.001724	96.517883	87.312691	1493.347534	1116.786987	1089.345947	3285.584229	2131.202637	4147.192871	190.540955	181.495316	70.331421	109.458176
CD8A	512.691467	315.265076	58.238091	13809.623047	46.748817	164.080719	164.080719	204.177948	70.816162	908.754883	863.071533	1155.484375	224.949539	184.859802	51.303722	58.238091	244.041504	200.623703	92.199059	87.312691	120.953827	437.052521
CD8B	25.65695	22.363804	28.306686	2485.99585	194.70517	21.077456	14.680734	138.674103	10.491875	75.96167	17.499207	16.093626	15.730737	18.578394	9.994195	10.815164	15.322163	13.642431	9.050872	8.793397	20.460945	26.411583
CD96	141.183411	160.037018	97.222992	1331.744507	1866.087524	1423.656982	279.228943	512.691467	2602.697266	2485.99585	1749.887451	2053.601563	36.951077	51.687199	67.159706	34.533569	64.674812	65.825241	107.673134	36.951077	311.956848	68.245293
CDA	8.220137	8.088596	23.679504	10.491875	9.994195	17.707031	12.812917	11.960986	9.416127	117.881424	85.15728	7.475655	1116.786987	521.508789	9.416127	29.342499	542.601257	39.844273	96.517883	73.92701	230.845993	2335.307861
CDC25A	17.060171	13.785949	23.231144	10.217774	15.322163	11.078864	234.001724	38.010654	20.627159	17.707031	11.608013	151.624985	16.254467	22.961229	22.171141	15.322163	16.093626	13.140173	23.231144	68.245293	11.193661	15.322163
CDH12	12.565406	21.435146	6.78708	8.220137	7.051423	10.491875	23.679504	10.687784	115.362389	138.674103	23.679504	8.42998	9.669431	15.322163	13.265934	9.994195	42.260494	24.181501	90.844009	32.286087	36.951077	22.363804
CDHR1	19.332794	25.205048	8.220137	33.168301	103.74852	15.730737	32.014259	25.205048	6.118367	89.328087	206.69809	26.200808	10.491875	11.193661	9.869331	24.367363	7.235314	9.528661	15.961307	8.947416	7.235314	24.181501
CDK6	39.395184	29.342499	19.48814	63.450695	28.306686	103.74852	51.303722	28.968689	54.597343	16.882568	23.487745	327.613647	24.181501	28.054441	17.270029	13.415968	96.517883	78.7612	44.20126	10.573276	38.354115	16.254467
CEACAM3	79.628654	68.661942	118.833199	68.245293	71.304649	56.086121	53.465744	76.406921	118.833199	83.878334	152.981003	109.458176	267.591217	213.947983	123.377251	109.458176	202.197449	227.854782	219.593933	144.098297	86.409561	1188.973755
CEACAM8	91.486671	92.199059	28.968689	144.098297	6.907733	75.96167	38.010654	4.832753	28.054441	11.314383	845.849182	168.917679	7.051423	5.791428	14.805666	12.685906	15.17643	18.578394	4287.536133	2266.97876	149.026138	102.017166
CEMP1	36.239407	33.168301	5.376191	9.669431	54.10239	9.869331	11.314383	77.739517	184.859802	93.755974	21.832342	45.139194	13.036197	16.254467	19.48814	45.139194	6.506904	7.972922	10.217774	34.533569	31.511358	25.410543
CFP	4.974739	4.974739	4.832753	15.322163	488.569611	52.143307	7.370461	15.322163	34.533569	337.139801	30.885761	6.506904	5335.622559	33.843536	213.947983	1959.947876	8.088596	428.31076	43.791424	192.217972	10.969349	1155.484375
CHI3L1	10.217774	9.774491	11.078864	13.785949	13.415968	8.947416	15.322163	11.314383	14.524429	11.802128	294.972473	57.56839	12.812917	12117.945313	2266.97876	2053.601563	115.362389	447.613739	700.262634	622.792786	57.56839	2413.373291
CHI3L2	552.676331	441.402924	428.31076	315.265076	845.849182	318.910461	174.081573	4287.536133	437.052521	275.834808	281.9216	183.180893	219.593933	258.329712	1453.447876	190.540955	258.329712	230.845993	165.811829	147.838913	215.730316	249.221298
CHST15	351.045685	341.767456	3688.758057	36.614388	64.674812	42.600033	36.951077	50.262821	73.264488	230.845993	39.051083	19.714382	4287.536133	2053.601563	106.30899	1137.147827	505.287537	112.582191	2053.601563	926.468445	1116.786987	3285.584229
CHST7	18.057825	20.10404	119.958435	27.166094	83.058502	356.891388	244.041504	415.04068	68.245293	34.899029	25.65695	21.306353	322.065186	441.402924	356.891388	480.992065	279.228943	2602.697266	172.26033	337.139801	17.88224	530.421082
CLC	281.9216	236.736984	194.70517	95.813484	22.961229	114.302994	196.333496	106.925667	27.166094	222.45314	437.052521	267.591217	88.074013	91.486671	224.949539	184.859802	131.257629	114.302994	6308.292969	4480.145508	42851.285156	3422.434814
CLCA3P	21.077456	32.014259	13.415968	10.573276	12.083834	2.308213	1.76272	4.086214	8.533286	18.057825	3.552284	1.76272	2.308213	1.76272	0.251594	9.869331	2.308213	0.251594	5.791428	4.592908	13.415968	5.376191
CLEC10A	113.605453	102.898842	82.469223	82.469223	67.159706	78.145706	40.281143	76.996414	109.458176	108.613419	48.570263	59.892258	488.569611	219.593933	73.264488	7360.620605	6308.292969	172.26033	110.304306	134.639877	21.832342	101.174423
CLEC2D	973.252869	647.52655	164.080719	1155.484375	1959.947876	1564.730835	2899.61084	1384.61438	2413.373291	217.648285	908.754883	408.711609	98.808739	99.593994	1137.147827	202.197449	83.058502	1453.447876	41.651775	35.53936	60.456345	52.143307
CLEC4A	242.022751	112.582191	25.410543	43.391136	112.582191	23.487745	38.354115	78.145706	63.809605	213.947983	56.086121	37.687332	3422.434814	1564.730835	54.10239	9980.5625	4856.819824	480.992065	428.31076	512.691467	147.838913	1603.361206
CLEC7A	147.838913	139.854202	73.92701	91.486671	130.110428	93.013641	56.086121	826.968384	83.058502	480.992065	116.30175	90.844009	8650.460938	5335.622559	284.818665	4000.241211	6649.14209	926.468445	947.45874	1384.61438	109.458176	4000.241211
CLIC2	9.416127	7.738266	139.854202	6.506904	11.314383	5.166818	9.869331	5.982137	4.832753	9.994195	21.435146	28.306686	115.362389	622.792786	990.938416	2266.97876	2814.357666	5103.837402	7.475655	30.885761	7.051423	8.793397
CMA1	92.199059	73.264488	88.628784	26.200808	49.624992	47.261654	80.563194	35.53936	28.720709	51.303722	50.262821	53.073681	62.602283	64.264938	68.661942	61.132915	57.56839	59.421028	2746.701172	2002.147705	113.605453	38.354115
COL8A2	133.538162	79.628654	30.039644	58.238091	96.517883	64.264938	62.195011	70.816162	107.673134	49.624992	75.96167	66.465591	304.395172	1800.605835	38.354115	151.624985	174.081573	119.958435	73.92701	53.073681	58.996101	126.726799
COLQ	35.938824	34.899029	30.369345	150.550903	80.563194	145.768585	39.395184	55.651569	147.838913	284.818665	331.943573	422.879303	33.503876	29.827385	90.844009	126.726799	39.844273	19.714382	48.985622	31.052618	18.242476	32.014259
CPA3	788.016907	754.863159	670.676941	146.713455	27.166094	256.268402	230.845993	167.068863	133.538162	183.180893	367.195068	362.228546	152.981003	190.540955	247.349472	224.949539	178.360687	183.180893	42851.285156	19182.162109	1042.466675	351.045685
CR2	1301.4021	587.608154	168.917679	244.041504	341.767456	70.331421	21.668028	30.885761	18.057825	15.322163	22.363804	62.195011	35.53936	34.899029	57.56839	40.869915	17.88224	56.086121	14.148811	12.453617	83.058502	27.393801
CREB5	41.8694	30.682217	39.395184	12.901111	52.143307	9.050872	13.642431	10.346827	7.475655	11.193661	11.464968	14.148811	408.711609	27.166094	12.311938	54.597343	351.045685	284.818665	19.714382	19.714382	11.314383	882.021362
CRISP3	34.127953	18.578394	6.118367	3.552284	2.710607	9.13861	12.901111	5.791428	552.676331	22.171141	137.760452	39.844273	5.376191	13.036197	11.608013	5.591897	6.38254	5.591897	151.624985	28.054441	45.139194	13.785949
CRTAM	66.465591	70.816162	68.661942	1116.786987	379.010162	119.958435	738.010559	51.687199	35.938824	598.707947	239.578339	700.262634	234.001724	1089.345947	43.791424	76.996414	172.26033	188.412186	13.642431	93.755974	48.243649	64.674812
CRYBB1	9.669431	9.416127	20.857456	9.257813	21.435146	13.036197	10.815164	11.608013	8.62004	4.592908	7.475655	7.235314	9.528661	10.969349	12.901111	168.917679	9.528661	9.669431	33.503876	13.036197	8.088596	7.972922
CSF1	26.710436	26.200808	16.417013	22.961229	23.231144	34.899029	252.424393	28.720709	144.098297	25.410543	19.48814	22.171141	26.411583	973.252869	40.281143	23.231144	150.550903	104.839767	24.181501	55.651569	43.040771	20.627159
CSF2	31.052618	21.668028	56.972141	25.410543	45.63385	28.306686	1800.605835	26.710436	12.685906	39.844273	41.8694	863.071533	28.720709	36.239407	19.332794	17.88224	43.040771	42.600033	24.557219	2198.781738	14.148811	16.732615
CSF3R	104.839767	39.051083	28.720709	25.205048	132.276779	38.010654	31.052618	47.679245	76.996414	224.949539	100.362663	44.20126	2746.701172	311.956848	700.262634	754.863159	119.958435	78.145706	217.648285	190.540955	160.037018	7878.514648
CST7	38.010654	24.949003	15.868147	4000.241211	247.349472	1231.661865	788.016907	362.228546	1155.484375	11181.758789	7878.514648	6649.14209	67.159706	362.228546	187.07515	322.065186	1693.549072	3688.758057	4147.192871	3422.434814	480.992065	1331.744507
CTLA4	22.961229	12.206372	14.148811	19.714382	331.943573	552.676331	2814.357666	1639.325928	4000.241211	15.730737	9.257813	18.242476	20.241819	17.060171	8.793397	19.48814	18.418451	12.812917	15.322163	10.969349	36.614388	31.305862
CTSG	222.45314	183.180893	258.329712	117.881424	181.495316	83.878334	78.7612	46.748817	208.457199	111.349533	271.723083	106.30899	90.844009	88.074013	93.013641	137.760452	88.074013	47.679245	11181.758789	7878.514648	89.328087	124.342735
CTSW	20.460945	14.805666	19.871445	3688.758057	647.52655	863.071533	27.697506	15.868147	10.969349	3070.837891	5335.622559	7360.620605	18.786974	20.627159	13.785949	27.393801	17.707031	15.868147	126.726799	239.578339	24.949003	18.578394
