Symbol	A	B	C	D	E	F	G	H	I	J	K	L
LOC100132658	98.999832	106.101753	122.627701	129.473251	117.255836	96.825851	94.570801	115.5196	105.039223	134.158188	143.835419	126.858826
LOC653695	34.943787	30.984648	13.809199	19.278849	16.96829	26.51767	36.311348	31.797726	37.552139	24.628096	30.405899	28.074192
LOC653696	48.381348	45.726833	43.122421	50.595535	48.605148	45.815964	48.929901	53.923168	43.838188	51.152985	52.576466	51.912117
SNORD22	42.793102	39.694695	51.233707	49.436676	52.968399	42.391361	43.314293	43.90863	39.75317	61.089222	50.011147	42.49287
LOC646779	18.196995	18.66692	15.30546	10.705918	17.537878	11.925496	15.03291	13.188305	9.694231	11.986419	12.545832	11.00034
LOC646778	35.907604	11.47894	19.686296	22.481543	12.327692	14.410108	28.427475	22.178009	25.216639	18.801342	28.725262	22.835922
LOC653692	17.934483	29.778717	29.139706	20.825418	33.269032	39.09589	24.43482	15.996422	19.178328	26.271362	34.67881	34.051586
SFRS8	103.499603	97.741226	115.862556	122.213707	113.2938	110.66684	107.257484	102.42067	101.256744	119.894882	113.389732	115.423286
SFRS7	130.079086	131.523117	137.969193	137.194214	148.633194	146.601044	128.489578	134.500214	128.29277	145.322647	173.158752	148.633194
LOC646774	17.807915	32.203674	39.037659	24.499016	19.513844	30.269337	16.451403	22.625105	25.003403	27.424274	25.005322	25.552969
BDNFOS	17.986641	20.497421	22.970802	29.450478	30.16707	23.32612	26.288681	18.362024	28.086527	19.493618	22.962841	19.442749
LOC100132653	24.780609	22.394718	29.828526	35.185223	18.864981	27.529619	20.137653	14.053274	22.394718	24.605783	19.558483	27.077242
MLH3	38.450657	24.004066	40.613537	28.071627	27.573252	32.229042	17.938347	29.539938	20.881456	28.149544	27.635443	31.560476
CRY1	91.541031	97.206955	113.102272	108.201347	115.088791	128.637543	75.744675	83.432274	83.419945	103.582581	115.813049	113.25145
CRY2	116.881699	111.700195	121.95491	131.38884	123.168968	132.630737	118.305229	112.426979	122.627701	128.356491	135.220581	134.992706
LOC100132657	27.787663	29.912092	26.289442	30.705587	31.73419	35.134346	35.905888	26.531824	36.394611	29.172678	30.280342	29.174677
LOC100128781	46.965725	49.288265	51.640759	52.108112	43.445969	51.869946	37.541763	46.941616	48.262608	40.32053	46.740646	48.376537
LOC100128783	20.179008	11.398239	32.466778	31.616133	13.22826	16.183527	15.801908	17.935083	8.614381	15.011468	15.265456	9.425644
KIAA1202	27.031576	21.429434	30.397655	28.692766	20.499901	19.499456	24.188528	12.289331	23.516329	18.881273	22.988752	16.669708
MIR222	18.866693	23.426184	15.899557	13.230573	17.852472	22.201723	17.20356	19.616058	23.280842	16.168365	26.347473	20.272335
LOC729698	9.553552	14.978662	16.069773	17.580032	15.823093	14.43617	29.563196	13.933852	14.641523	17.582397	8.326368	20.998949
CRYZ	123.845657	122.10453	135.467361	138.766968	127.320396	146.556335	109.449661	110.063728	105.117905	127.631027	137.935226	143.071579
LOC729692	55.609447	52.714813	69.721878	53.87278	60.403835	51.556259	62.310436	68.774048	70.505203	64.032478	58.479671	60.801273
LOC729694	23.027134	17.589066	11.864122	31.722418	15.023435	19.860773	16.182894	26.995098	15.08215	19.683231	10.936086	17.457224
LOC644733	15.287115	13.788577	28.198195	21.637087	22.687355	23.898659	19.346115	27.927761	29.569561	29.091766	17.060646	29.519129
CRYM	47.799442	40.744678	33.817711	27.529619	44.548477	28.680279	48.282986	46.394867	33.981651	40.366909	40.838982	45.823437
LOC644736	20.7395	14.458106	18.325535	18.724865	22.12752	11.943286	17.77161	13.863512	24.326534	16.694075	17.716654	22.543255
LOC644735	31.078768	22.095308	27.856335	29.457645	32.700336	17.039804	18.795971	29.612513	20.179708	33.167816	23.245871	27.624146
LOC644734	16.394936	16.968985	26.503588	43.820496	20.200752	28.834282	13.432116	23.427734	26.707075	18.747894	18.944223	17.016279
LOC644739	85.548927	77.598656	77.99231	79.391968	71.247299	81.254234	87.665802	95.834694	95.134056	78.101982	86.372345	81.706734
LOC644738	39.055271	30.721874	18.727514	24.250071	31.687977	20.983198	15.798475	37.143318	24.994453	26.225546	31.904194	27.400782
LOC100128870	13.155375	18.204018	14.694571	15.532822	10.215629	13.133475	15.047401	24.498062	16.365181	18.104864	15.634636	16.709316
PRLHR	8.749053	12.737987	14.575185	8.753699	13.035271	17.003363	12.534788	9.565898	9.576754	10.089034	12.092116	10.048505
FLJ40504	33.008373	26.262257	41.556255	42.887131	41.065704	14.432626	35.427258	19.550755	11.398239	60.659714	44.243855	52.952969
MMPL1	24.881521	22.61017	23.126854	25.991119	19.868273	16.386591	32.419716	28.822546	26.101597	42.633648	31.130138	18.53047
LOC100134719	26.279512	15.494206	19.298153	20.538452	24.797939	20.554693	19.716408	23.542379	26.654102	18.640892	23.785814	17.93519
LOC642299	54.218327	51.15086	48.310078	42.176231	38.313614	44.102142	53.766331	43.687363	39.73912	50.385811	51.381172	48.788944
LOC649749	15.851291	22.904724	35.526642	23.79034	30.025978	25.068016	22.351929	22.529705	30.26861	29.564501	35.001606	21.727667
ZNF418	25.025497	39.674026	39.821205	35.5756	37.281845	43.018139	38.809151	21.415564	19.25279	35.236649	41.279133	19.723215
LOC100134713	16.340992	18.249825	11.565437	17.036751	17.821697	34.450245	18.798534	13.188201	17.267847	18.994452	24.77482	29.393616
LOC642293	11.829788	9.272316	7.478606	9.79328	15.450946	13.196959	11.943622	8.259408	11.454949	12.471566	9.579198	17.112944
ANKRD20B	31.667648	36.164234	20.36343	16.758831	24.39146	48.301048	29.986156	12.685593	42.979794	36.282211	18.301476	28.808409
LOC100134710	28.726793	35.794296	43.373978	30.025978	37.908112	37.640171	26.044762	38.555954	29.489126	45.145679	31.946737	32.281937
LOC642295	26.339602	26.545799	27.54512	30.600111	40.046299	39.43502	29.554607	24.002325	28.473219	28.084482	27.041914	28.983118
LOC644197	21.408346	27.558872	15.621701	21.62162	18.480076	22.861271	22.954229	25.809626	16.457403	22.194607	26.173246	18.981211
LOC644196	11.092078	16.123838	14.322871	14.041654	24.104715	17.810278	25.4175	24.660774	12.854993	33.550236	20.521681	12.584504
LOC644195	36.828579	21.24851	17.785702	28.206287	21.523893	12.837556	12.101069	18.90521	18.666622	18.629803	22.499075	20.00993
LOC644193	34.941605	19.360857	6.951385	16.797979	18.078697	19.591396	33.235344	16.107677	24.165232	19.412394	23.849289	12.631877
