gene_symbol	ACD	ACN	ALO	ATD	BCC	BU	CHA	DLE	ENL	ICD	LL	MEL	MF	NS	PS	RR	SAR	SCC	SJS	WA	WPO
AADACL2	151.199997	428.25	213.333328	301.166656	463.5	329.799988	222.333328	261.5	42.363636	1295.0	111.0	119.125	19.799999	964.436829	821.5	104.5	419.597656	1132.892212	7.875	60.625	74.586731
AADAT	47.0	42.25	30.200001	47.599998	69.333336	39.6875	34.545456	22.333334	29.75	52.666668	57.666668	55.25	32.666668	48.0	42.75	48.454544	37.200001	43.666668	39.666668	55.625	48.81818
AAGAB	129.0	104.599998	64.333336	70.199997	99.125	114.0	126.583336	71.5	97.25	97.0	105.666664	96.666664	124.166664	82.833336	91.800003	139.333328	104.9375	124.5	159.75	95.5	134.5
AAK1	127.5	80.0	98.625	161.666672	118.5	133.625	215.5	173.333328	129.5	104.199997	161.75	118.570381	145.875	94.0	94.666664	129.0	65.833336	111.166664	396.416656	81.125	107.916664
AAMP	529.833313	471.696259	220.666672	640.583557	520.0	670.799988	321.833344	423.090576	262.5	907.333313	308.454559	601.018494	552.599976	587.200012	575.0	444.0	153.082413	580.0	560.279724	496.568329	471.0
AANAT	11.666667	15.147372	23.636364	12.25	13.125	15.5	12.5	22.666666	11.4375	12.0	12.5	14.0	13.875	12.5	13.5	12.590909	13.625	12.8	17.666666	13.333333	12.25
AARS	758.325989	538.118469	347.911926	738.090515	733.25	867.75	894.487488	350.600006	661.666687	535.0	733.0	1088.177979	739.833313	619.848633	631.200012	902.961792	481.727264	617.089722	542.833313	615.0	566.799988
AARS2	121.166664	118.75	204.333328	170.128296	138.5	110.875	130.5	225.833328	200.454544	100.5	113.242424	149.199997	88.272728	111.333336	129.5	99.333336	144.75	99.333336	163.818176	97.5	90.269234
AARSD1	78.416664	65.0	57.125	64.666664	72.333336	70.333336	105.0	58.200001	86.5	71.599998	60.625	72.25	78.166664	59.75	65.25	53.837566	53.25	66.333336	59.5	71.0	77.599998
AASDH	135.25	154.5	79.375	101.346153	130.0	97.0	143.833328	63.615383	152.333328	89.875	151.199997	119.166664	96.545456	155.25	134.5	108.0	167.875885	126.666664	92.800003	129.0	123.5
AASDHPPT	187.0	437.5	213.75	287.0	455.0	251.0	381.833344	173.199997	337.0	173.5	483.685974	260.914764	356.5	297.0	370.5	548.085571	239.666672	365.0	211.800003	391.136353	395.875
AASS	37.583332	42.0	86.333336	48.666668	58.5	30.875	63.4375	60.75	34.75	24.0	26.333334	33.333332	18.0	38.599998	63.666668	37.0	63.0	44.0	12.666667	47.799999	40.5
AATF	614.666687	398.0	272.416656	609.476318	691.0	692.333313	658.946289	249.333328	469.25	672.625	351.0	678.333313	1002.758606	505.945435	552.833069	469.79834	469.25	586.833313	944.5	399.090912	495.333344
AATK	142.0	135.413391	34.333332	182.0	143.333328	129.5	98.4375	30.4	171.875	341.416656	195.333328	222.5	156.199997	152.343796	153.399994	338.821899	25.833334	155.363632	169.659653	110.5	104.0
ABAT	44.375	55.0	50.25	42.625	73.0	46.833332	69.0	33.333332	77.375	31.375	149.5	37.25	53.833332	54.0	37.333332	92.090912	103.375	50.599998	90.833336	86.0	80.0
