Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V1	0.03342	0	0.0678	0	0.40089	0	0	0	0	0.4979
V2	0.67634	0	0	0	0	0.31286	0.0108	0	0	0
V3	0.16639	0	0.07827	0	0.51613	0.01146	0.05851	0.15415	0	0.01509
V4	0.03616	0.09334	0.00746	0	0.02543	0.06068	0.00159	0	0.66052	0.11482
V5	0.01191	0.11477	0.0642	0.08401	0.19172	0.0653	0	0	0	0.46809
V6	0.07131	0	0.18911	0	0.69989	0.00543	0	0.03426	0	0
V7	0.0464	0.4246	0	0	0.43211	0	0.03572	0.05601	0	0.00515
V8	0.05117	0.48816	0.0417	0	0.09137	0	0	0.3143	0	0.01331
V9	0.02399	0.01084	0.01997	0.1834	0	0.02006	0.13488	0.60051	0	0.00635
V10	0.04896	0	0	0	0.78704	0.03914	0	0.12486	0	0
V11	0.05599	0.50283	0.00101	0	0.10648	0.00233	0	0.3042	0	0.02715
V12	0.01277	0.06127	0.06524	0.64791	0.0079	0.0279	0.07451	0.00346	0	0.09905
V13	0.10103	0.07612	0.07131	0	0	0.23093	0.32019	0.01952	0.17143	0.00948
V14	0.11242	0.43142	0.15535	0.02594	0.09623	0.07113	0.10221	0.00271	0	0.0026
V15	0.23017	0.01245	0	0.70237	0	0.03643	0.01857	0	0	0
V16	0.01963	0.06656	0.07217	0.68855	0	0.05304	0.00451	0	0.09554	0
V17	0.03687	0.12999	0.03113	0	0.22473	0.08498	0.01789	0	0	0.4744
V18	0.07648	0.0895	0.01478	0.40588	0.08351	0	0	0	0	0.32984
V19	0.00241	0	0.05484	0.08068	0.1617	0.08505	0	0.00181	0.00192	0.61158
V20	0	0.3152	0	0	0	0.1165	0.40449	0.07602	0.00756	0.08024
V21	0.13185	0.38352	0	0	0.07355	0.36076	0.01626	0.01903	0	0.01503
V22	0.01977	0	0.03169	0	0.11127	0	0	0.34304	0.02127	0.47295
V23	0.34307	0.00648	0.5815	0	0	0	0	0	0.00165	0.0673
V24	0.06623	0.58188	0.03926	0	0.13809	0	0.05496	0.07508	0.03201	0.01249
V25	0.04478	0.10613	0.04095	0.00348	0.18965	0.12597	0.01347	0	0.18433	0.29123
V26	0.04227	0	0.01565	0.01239	0	0	0	0.9297	0	0
V27	0.03461	0	0.01344	0	0.61419	0	0	0	0	0.33777
V28	0.33649	0	0.008	0	0.10756	0.0189	0.00175	0.02963	0.00488	0.49278
V29	0.05048	0.61494	0	0	0.17443	0.08252	0.00355	0	0	0.07408
V30	0.01559	0.04746	0.06377	0	0	0.35733	0.20991	0.001	0.30022	0.00471
V31	0.0641	0.27378	0.2134	0	0.10807	0	0	0.33645	0	0.0042
V32	0.53163	0	0	0	0.32211	0.0423	0.0126	0	0.08239	0.00898
V33	0.03033	0.05154	0.09806	0.61514	0	0.054	0.15093	0	0	0
V34	0.02554	0.01407	0.03263	0	0.46599	0	0	0	0.01555	0.44621
V35	0.05321	0.75623	0	0	0.18255	0	0	0	0	0.008
V36	0.01734	0.1446	0	0	0	0.17108	0.56613	0.06556	0.03141	0.00387
V37	0.02052	0.55578	0	0	0.1005	0.04107	0.22585	0.03497	0	0.02131
V38	0.10373	0.09492	0	0.19279	0	0.13089	0.42727	0.02168	0.02872	0
V39	0.06911	0.10504	0	0.19611	0	0.12467	0.41653	0.04321	0.03335	0.01198
V40	0.1791	0	0.73321	0	0.08769	0	0	0	0	0
V41	0.65451	0.04652	0	0	0	0	0	0	0.29897	0
V42	0.04539	0.46644	0	0	0.4608	0	0	0	0	0.02738
V43	0.15962	0.05546	0.09449	0.05555	0.18616	0.08749	0.1699	0.02519	0.16557	0.00058
V44	0.07175	0	0.55366	0	0	0	0	0.37458	0	0
V45	0.01715	0.05987	0	0	0	0.0448	0.18792	0	0.66946	0.0208
V46	0.19636	0.09067	0.02265	0.29985	0.11257	0	0	0	0	0.2779
V47	0	0.13319	0	0	0	0.18301	0.6032	0.03375	0.04276	0.00408
V48	0.02011	0.02011	0.04972	0	0.18627	0	0	0	0.12121	0.60258
V49	0.18494	0	0	0	0	0	0	0.81506	0	0
V50	0.33634	0.13934	0	0	0.02332	0.49941	0	0	0	0.00158
V51	0.22914	0	0.61892	0	0.04666	0	0	0.0537	0.05157	0
V52	0.00129	0.07139	0.09663	0.40783	0	0.09365	0.29584	0.02063	0.01275	0
V53	0.5136	0.00092	0.08833	0.07678	0.01001	0	0	0.16686	0	0.14351
V54	0.01143	0	0	0	0.19546	0.76798	0.01563	0	0	0.0095
V55	0	0.04589	0	0.88485	0.01242	0.02756	0.02688	0	0	0.0024
V56	0.20661	0	0.58081	0	0.06166	0.15092	0	0	0	0
V57	0.05628	0	0.6259	0.17084	0	0.0112	0.00692	0.02424	0.10462	0
V58	0.03497	0.16104	0.02486	0.18576	0.01702	0.54468	0.02581	0	0	0.00585
V59	0	0.18239	0	0	0	0.17377	0.57599	0.0314	0.03432	0.00213
V60	0.79406	0	0	0	0.03202	0	0	0	0.17392	0
V61	0.01362	0	0	0.03406	0	0.90706	0.02789	0.00073	0	0.01663
V62	0.02023	0.08302	0.01627	0	0.03813	0.08864	0.32358	0.02657	0.08651	0.31705
V63	0.0307	0.16638	0	0	0.2344	0.53194	0.01392	0	0	0.02267
V64	0.09806	0	0.27718	0.29405	0	0	0	0.31222	0	0.01849
V65	0.07291	0.03056	0	0.47281	0	0.00112	0.03933	0.29825	0.07298	0.01203
V66	0.05275	0	0.00433	0	0.80326	0.01673	0.00789	0	0	0.11504
V67	0.06169	0.17005	0.55768	0	0.01272	0.0573	0.0654	0.00507	0.05763	0.01246
V68	0.05225	0.01451	0	0	0	0	0	0.36487	0.56837	0
V69	0.08537	0	0.91463	0	0	0	0	0	0	0
