Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V1	0.01936	0.03389	0	0.00591	0.13915	0	0.02067	0	0.01489	0.76613
V2	0.6373	0.01803	0.03067	0	0.03347	0.23874	0.04155	0.00023	0	0
V3	0.11723	0.09835	0.07236	0.01166	0.39807	0.01308	0.09627	0.10536	0.02257	0.06505
V4	0.00533	0.08243	0.02094	0	0.06678	0.08249	0.0127	0.00301	0.49593	0.2304
V5	0.01601	0.12359	5e-05	0.07113	0	0.06108	0.02289	0	0.01302	0.69223
V6	0.01523	0.13118	0.15073	0.02184	0.54272	0.02822	0.00474	0.0385	0.01284	0.054
V7	0	0.56399	0	0.01567	0.25082	0.00999	0.07058	0.04806	0.02608	0.01481
V8	0.00545	0.60658	0.02785	0.02297	0.01111	0.02319	0.03233	0.21746	0.05265	0.00041
V9	0.02452	0	0.06875	0.12359	0.0425	0.02247	0.2434	0.40674	0.04212	0.0259
V10	0	0.14331	0	0	0.6122	0.06399	0.01896	0.09849	0.01126	0.05178
V11	0.00862	0.59501	0	0.01422	0.01224	0.04758	0.03263	0.19695	0.08143	0.01133
V12	0.05993	0.02924	0.14582	0.45246	0.02838	0	0.08671	0.00352	0.00817	0.18577
V13	0.10081	0.00754	0.11262	0.00839	0.07116	0.12257	0.42709	0.00607	0.09719	0.04657
V14	0.08646	0.47085	0.11737	0.07323	0.03922	0.04754	0.13284	0.00368	0.0251	0.00371
V15	0.30931	0.01347	0.1172	0.49744	0.01446	0.01219	0.01888	0.00591	0.01114	0
V16	0.06743	0.06105	0.18592	0.50742	0.02853	0.03796	0	0	0.09559	0.01609
V17	0.01748	0.13758	0	0.00248	0.00964	0.0701	0.05105	0	0.0206	0.69108
V18	0.09875	0.07504	0.03365	0.26257	0	0.00307	0.006	0	0.01067	0.51025
V19	0.00675	0	0	0.05413	0	0.07364	0.02114	5e-04	0.00904	0.83481
V20	0	0.23252	0.00564	0.01774	0.03237	0.00608	0.52742	0.0367	0.00701	0.13453
V21	0.10407	0.45853	0.0106	0.00826	0.01437	0.31964	0.03893	0.01507	0.03052	0
V22	0	0	0	0	0	0.01296	0.03197	0.20588	0.05507	0.69412
V23	0.30018	0.03315	0.45187	0.05304	0.00485	0.00822	0.00587	0	0.00694	0.13589
V24	0.02426	0.64529	0.02935	0.02258	0.02742	0.00263	0.08924	0.05137	0.10787	0
V25	0.02934	0.12153	0.00386	0.01766	0.06606	0.11449	0.03599	0	0.14004	0.47104
V26	0.01981	0	0.04421	0.00972	0.02557	0.02874	0.07523	0.73633	0.04932	0.01107
V27	0	0.0853	0	0	0.32648	0	0.02777	0	0.0095	0.55094
V28	0.27075	0	0	0.00215	0	0.01746	0.03824	0.01778	0.00212	0.65149
V29	0.00447	0.71155	0	0.02307	0.01006	0.0936	0.02895	0.00613	0.03208	0.09009
V30	0.00975	0.00242	0.09912	0.00852	0.05326	0.28731	0.29159	0	0.20945	0.03857
V31	0.02301	0.38284	0.17319	0.03119	0.06578	0.00861	0.02697	0.23711	0.03768	0.0136
V32	0.477	0.06069	0.02977	0	0.24774	0.03734	0.03388	0	0.07344	0.04014
V33	0.0885	0.01666	0.2027	0.46057	0.02287	0	0.18849	0	0.00454	0.01567
V34	0	0.06755	0	0	0.18179	0.00025	0.02088	0.0027	0.04415	0.68268
V35	0.00235	0.87307	0	0.02526	0.00998	0.00797	0.03379	0.00682	0.04076	0
V36	0.04993	0.01248	0.02097	0.00706	0.07066	0.00501	0.75605	0.02997	0	0.04787
V37	0	0.57338	0	0.01843	0.03949	0	0.29634	0.02046	0.02994	0.02196
V38	0.14566	0	0.05873	0.15625	0.04881	0	0.54925	0.00527	0.00062	0.03541
V39	0.09453	0.00293	0.06213	0.15123	0.08103	0	0.53758	0.01773	0.00194	0.0509
V40	0.1545	0.04111	0.58515	0.06836	0.0988	0.00247	0.00207	0	0.009	0.03854
V41	0.60908	0.06549	0.05807	0.00341	0.03217	0.005	0.01214	0.00447	0.19056	0.01961
V42	0	0.64782	0	0.01115	0.2439	0.00052	0.01287	0	0.02927	0.05448
V43	0.14584	0.04832	0.1026	0.07137	0.20941	0.03722	0.21878	0.01508	0.11619	0.03518
V44	0.06293	0.00276	0.50623	0.05841	0.01513	0.01155	0.02449	0.27488	0.0284	0.01521
V45	0.00363	0	0.0394	0.0018	0.06996	0.00897	0.27618	0	0.50536	0.0947
V46	0.19507	0.10136	0.03926	0.20217	0.00826	0	0.00594	0.00713	0.00942	0.43139
V47	0	0	0.02133	0.00861	0.05302	0.00536	0.83641	0.00889	0	0.0664
V48	0.00976	0.00408	0	0	0	0	0.02631	0	0.08442	0.87543
