CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V95	0.03341	0.0146	0.27515	0.13885	0.50686	0.03112
V96	0.10216	0.27061	0.08213	0.08896	0.36068	0.09545
V97	0.03755	0.01184	0.04295	0.11031	0.76722	0.03014
V98	0.05861	0.06826	0.05235	0.58314	0.20927	0.02837
V99	0.04317	0.02729	0.05087	0.70542	0.15024	0.02301
V100	0.04379	0.01779	0.4136	0.25118	0.22358	0.05008
V101	0.06067	0.27162	0.40364	0.12294	0.09863	0.04251
V102	0.4647	0.05664	0.20756	0.05942	0.1018	0.10987
V103	0.37293	0.05584	0.11587	0.19047	0.16204	0.10286
V104	0.05272	0.01417	0.21897	0.54574	0.13437	0.03403
V105	0.23561	0.01673	0.19783	0.02635	0.11383	0.40965
V106	0.09692	0.01506	0.59392	0.02449	0.09064	0.17898
V107	0.10522	0.44772	0.2543	0.05152	0.10104	0.0402
V108	0.17437	0.03845	0.12668	0.04516	0.31928	0.29607
V109	0.19067	0.02136	0.11259	0.03461	0.30741	0.33336
V110	0.06882	0.13896	0.61889	0.03338	0.0845	0.05546
V111	0.0289	0.02999	0.76517	0.04833	0.08588	0.04172
V112	0.0736	0.23217	0.05734	0.46739	0.13945	0.03005
V113	0.04856	0.08059	0.54876	0.06944	0.21056	0.04208
V114	0.10755	0.0183	0.58482	0.1576	0.08177	0.04996
V115	0.29885	0.07781	0.11851	0.07057	0.24177	0.19249
V116	0.49122	0.05037	0.13238	0.10399	0.10853	0.11351
V117	0.30793	0.03792	0.08478	0.13413	0.35634	0.07891
V118	0.08752	0.4589	0.15881	0.08075	0.16919	0.04483
V119	0.09857	0.54451	0.10083	0.08792	0.11996	0.0482
V120	0.09539	0.15698	0.13789	0.36281	0.19919	0.04774
V121	0.25212	0.0324	0.10537	0.27989	0.11813	0.21208
V122	0.18265	0.03895	0.07029	0.49629	0.16211	0.04972
V123	0.27619	0.03071	0.10531	0.0848	0.25771	0.24528
V124	0.03829	0.00704	0.26155	0.05993	0.5972	0.03599
V125	0.06154	0.13011	0.57279	0.08838	0.08065	0.06653
V126	0.18373	0.22395	0.15453	0.04379	0.11841	0.2756
V127	0.0532	0.01509	0.69119	0.11409	0.08303	0.0434
V128	0.2095	0.20963	0.16545	0.17858	0.17001	0.06684
V129	0.03308	0.02892	0.71609	0.09696	0.08157	0.04337
V130	0.29732	0.12461	0.09724	0.25432	0.14596	0.08055
V131	0.07186	0.00627	0.06708	0.07038	0.69947	0.08494
V132	0.07307	0.33762	0.36764	0.0459	0.13584	0.03993
V133	0.07437	0.15664	0.48901	0.10847	0.1314	0.04012
V134	0.15142	0.4448	0.09441	0.06353	0.18701	0.05883
V135	0.07835	0.02227	0.65062	0.03103	0.12674	0.091
V136	0.11759	0.48195	0.14093	0.06923	0.14295	0.04736
V137	0.05893	0.13232	0.47279	0.05667	0.24336	0.03593
V138	0.14219	0.01291	0.09039	0.36929	0.20461	0.1806
V139	0.09717	0.0474	0.18235	0.05296	0.47121	0.14891
V140	0.33435	0.20293	0.14153	0.11462	0.11561	0.09095
V141	0.16745	0.21118	0.17079	0.24985	0.13989	0.06083
V142	0.1348	0.48428	0.10306	0.10105	0.11282	0.06399
V143	0.07369	0.06079	0.53933	0.10144	0.17236	0.05239
V144	0.18893	0.15428	0.11887	0.14439	0.12205	0.27147
V145	0.0469	0.01415	0.05819	0.71177	0.13719	0.0318
V146	0.10163	0.01746	0.10535	0.06293	0.6445	0.06813
V147	0.31848	0.09001	0.20729	0.08335	0.10536	0.1955
V148	0.05056	0.15164	0.64579	0.03379	0.07505	0.04318
V149	0.15276	0.37347	0.10052	0.06631	0.11297	0.19398
V150	0.04615	0.01422	0.04488	0.7063	0.16484	0.02362
V151	0.16836	0.31821	0.10375	0.04947	0.13581	0.22439
V152	0.08401	0.18451	0.38812	0.07215	0.20859	0.06262
V153	0.03495	0.04327	0.53486	0.24009	0.1114	0.03544
V154	0.30311	0.19868	0.12432	0.04315	0.11082	0.21991
V155	0.08437	0.25893	0.1252	0.05434	0.42224	0.05492
V156	0.06799	0.3234	0.0666	0.06094	0.44857	0.0325
V157	0.14531	0.10282	0.12336	0.26667	0.13277	0.22908
V158	0.04322	0.06267	0.74586	0.03129	0.07049	0.04647
V159	0.11921	0.18884	0.31813	0.18086	0.13631	0.05665
V160	0.04587	0.01489	0.76094	0.03724	0.06992	0.07115
V161	0.0737	0.33854	0.06342	0.29028	0.20391	0.03015
V162	0.08433	0.36773	0.06782	0.14918	0.28798	0.04297
V163	0.03694	0.01616	0.80047	0.03058	0.06801	0.04786
V164	0.06221	0.26198	0.33386	0.13241	0.17037	0.03917
V165	0.06621	0.02017	0.07174	0.07139	0.6982	0.07229
V166	0.10475	0.01565	0.06212	0.1658	0.50007	0.1516
V167	0.0397	0.01345	0.36578	0.42405	0.12479	0.03224
V168	0.37767	0.04909	0.10838	0.25522	0.11334	0.09631
V169	0.04608	0.02062	0.59503	0.2019	0.09143	0.04494
V170	0.2553	0.05115	0.16025	0.28714	0.17481	0.07136
V171	0.17272	0.35508	0.11506	0.04471	0.12681	0.18562
V172	0.08927	0.06962	0.48232	0.18069	0.09697	0.08111
V173	0.05655	0.03006	0.69885	0.02831	0.09128	0.09494
V174	0.34462	0.11376	0.10374	0.06347	0.28804	0.08637
V175	0.10581	0.45596	0.17477	0.06816	0.15435	0.04095
V176	0.02729	0.01489	0.79112	0.04004	0.0843	0.04236
V177	0.13345	0.07833	0.32919	0.06233	0.25656	0.14014
V178	0.05077	0.03307	0.0656	0.06027	0.74955	0.04073
V179	0.0713	0.01236	0.0858	0.5212	0.21906	0.09027
V180	0.18043	0.02934	0.22343	0.35868	0.10766	0.10044
V181	0.31078	0.11986	0.15336	0.10443	0.17392	0.13763
V182	0.04726	0.08395	0.65454	0.08825	0.07634	0.04966
V183	0.05036	0.01481	0.05154	0.72318	0.13598	0.02413
V184	0.23386	0.30589	0.09814	0.07778	0.21606	0.06827
V185	0.13092	0.37711	0.10351	0.05888	0.22795	0.10162
V186	0.03123	0.01316	0.52255	0.30359	0.09785	0.03162
V187	0.19445	0.35493	0.08687	0.07202	0.23521	0.05653
V188	0.15351	0.42846	0.1042	0.07072	0.11255	0.13056
V189	0.06405	0.05927	0.18428	0.07241	0.53724	0.08275
V190	0.0791	0.13614	0.06166	0.06878	0.55951	0.09481
