B_cells	NK_cells	T_cells_CD4.	Monocytes
V143	0.46242	0.2667	0.05495	0.21592
V144	0.22236	0.18469	0.15468	0.43827
V145	0.02883	0.73147	0.22651	0.01318
V146	0.14781	0.04292	0.03845	0.77082
V147	0.87905	0.02833	0.01532	0.0773
V148	0.17252	0.10145	0.54198	0.18406
V149	0.29993	0.49248	0.20758	0
V150	0.12672	0.26027	0.54242	0.07058
V151	0.25051	0.60446	0.02828	0.11675
V152	0.2688	0.43474	0.20753	0.08894
V153	0.15627	0.72471	0.01222	0.1068
V154	0.27933	0.44281	0.25463	0.02324
V155	0.49166	0.15286	0.26035	0.09513
V156	0.06932	0.17199	0.64513	0.11356
V157	0.34083	0.17383	0.28837	0.19697
V158	0.10792	0.00124	0.0715	0.81934
V159	0.86062	0.05977	0	0.07961
V160	0.71208	0.0049	0.05834	0.22468
V161	0.28959	0.02615	0.02301	0.66125
V162	0.11763	0.33542	0.06886	0.47809
V163	0.13855	0.49597	0.16151	0.20397
V164	0.3764	0.31594	0.09267	0.21499
V165	0.05953	0.29166	0	0.64881
V166	0.06406	0.14401	0.05846	0.73347
V167	0.42226	0	0	0.57774
V168	0.32215	0.54427	0.07608	0.0575
V169	0.26407	0.08556	0.02269	0.62768
V170	0.15514	0.05185	0.49845	0.29456
V171	0.17151	0.25712	0.5373	0.03407
V172	0.71781	0	0.25253	0.02966
V173	0.09058	0.1883	0.02695	0.69417
V174	0.0692	0.21024	0.06231	0.65826
V175	0.11005	0.03809	0.73972	0.11214
V176	0.05176	0.76698	0.17076	0.0105
V177	0.06538	0.89679	0	0.03784
V178	0.05008	0.76003	0	0.18989
V179	0.21719	0.03531	0.3651	0.38241
V180	0.07969	0.83899	0.08132	0
V181	0.20358	0.15821	0.49806	0.14015
V182	0.33113	0.19538	0.41912	0.05437
V183	0.22698	0.75545	0.00168	0.0159
V184	0.95997	0	0.03098	0.00904
V185	0.58759	0.38474	0.00633	0.02134
V186	0.16003	0.47693	0.24908	0.11396
V187	0.90764	0.01346	0.03144	0.04747
V188	0.11633	0.256	0	0.62767
V189	0.81461	0.02494	0.007	0.15345
V190	0.66121	0.02237	0.28982	0.0266
V191	0.22502	0.22495	0.51681	0.03322
V192	0.33952	0.45876	0.04029	0.16144
V193	0.61437	0.04121	0.21991	0.12452
V194	0.09051	0.86904	0.00078	0.03968
V195	0.06395	0.07063	0.83436	0.03106
V196	0.07834	0.12474	0	0.79693
V197	0.47166	0.06957	0.00306	0.45571
V198	0.10787	0.49612	0.34569	0.05032
V199	0.23349	0.05071	0.16814	0.54766
V200	0.17673	0.56837	0.00474	0.25016
V201	0.1382	0.54675	0.18281	0.13223
V202	0.05762	0.05976	0.7304	0.15222
V203	0.20516	0.42282	0.36062	0.0114
V204	0.05041	0.55451	0	0.39508
V205	0.06328	0.09614	0.80924	0.03134
V206	0.09363	0.13164	0.77293	0.0018
V207	0.19735	0.22817	0.03535	0.53913
V208	0.28581	0.09014	0.61012	0.01393
V209	0.33836	0.45842	0.05919	0.14403
V210	0.13289	0.72225	0.09322	0.05164
V211	0.48229	0.02835	0.01675	0.4726
V212	0.52262	0.05514	0.39097	0.03127
V213	0.65321	0.03622	0.10254	0.20803
V214	0.37132	0.18048	0.15137	0.29683
V215	0.35486	0.12356	0	0.52158
V216	0.13517	0.0039	0.0577	0.80323
V217	0.08243	0.50055	0.22318	0.19383
V218	0.13893	0.46025	0.15967	0.24114
V219	0.15499	0.63273	0	0.21227
V220	0.05224	0.81078	0	0.13698
V221	0.81421	0.00421	0	0.18158
V222	0.34874	0.15404	0.33588	0.16135
V223	0.0395	0.17487	0.71123	0.07439
V224	0.94783	0	0.03859	0.01358
V225	0.1106	0.82089	0.06215	0.00636
V226	0.3392	0.10514	0.54404	0.01161
V227	0.78077	0	0.18121	0.03802
V228	0.76493	0.07	0.05765	0.10743
