Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V65	0.06644	0.02634	0.12017	0.32602	0.01624	0.02116	0.07728	0.18865	0.13763	0.02008
V66	0.00015	0.13913	0	0.00423	0.53387	0.02707	0.02477	0.01448	0.07921	0.1771
V67	0.03859	0.18874	0.39009	0.11303	0.0176	0.04053	0.08358	0.00876	0.09456	0.02452
V68	0.00774	0.05568	0.0436	0.00448	0.05152	0.02099	0.06298	0.25514	0.49788	0
V69	0.07699	0.02832	0.67992	0.13709	0.026	0	0	0	0.03306	0.01863
V70	0.6744	0.01665	0.11931	0.02609	0.01585	0.02534	0.0275	0.01048	0.08437	0
V71	0.02826	0.00798	0.0093	0.01248	0.01263	0.06113	0.10041	0.66061	0.09176	0.01544
V72	0.23186	0.03246	0.08327	0.25212	0.14252	0	0	0.00629	0.02801	0.22347
V73	0.02121	0.17232	0	0.01114	0.67225	0.01609	0	0	0.07724	0.02975
V74	0.01393	0	0.06158	0.1916	0	0.03568	0.03147	0.01112	0	0.65461
V75	0.01979	0.09139	0.22305	0.42059	0.03394	0.00559	0	0.00812	0.19751	0
V76	0	0.03496	0.00969	0.01649	0.02703	0.79976	0.0715	0.01879	0.02179	0
V77	0.00331	0	0.0957	0.27952	0.03499	0.25793	0.27849	0.01553	0.03357	0.00096
V78	0	0.45564	0.04664	0.01194	0.01941	0.025	0.31627	0.00198	0.07887	0.04425
V79	0.00241	0.04487	0.1044	0.27337	0.03152	0.24191	0.0315	0.00996	0.2465	0.01356
V80	0.40273	0	0.03608	0.01652	0	6e-05	0.05544	0.00685	0.03708	0.44524
V81	0	0.05307	0.0414	0.15747	0.15566	0.52085	0.03051	0.00944	0.03161	0
V82	0.05021	0.49689	0.06551	0.23068	0	0.01449	0.02297	0.04052	0.07873	0
V83	0.03684	0.05802	0.14184	0.44781	0.0266	0.01939	0.00912	0.20096	0.05943	0
V84	0.01653	0.02379	0.03574	0.04041	0.12451	0.4892	0.22488	0.01554	0.0294	0
V85	0.23118	0.00211	0.38572	0.08036	0	0	0.00282	0	0.00744	0.29038
V86	0.29156	0.00624	0.29956	0.35442	0.01479	0	0	0	0.02564	0.00778
V87	0	0.08968	0.06274	0.01557	0.08571	0	0.04287	0.01037	0.69306	0
V88	0.00863	0.33043	0.13253	0.45829	0	0	0.00356	0	0.06657	0
V89	0	0	0.05914	0.03794	0.05415	0.05538	0.65388	0.08931	0.04736	0.00283
V90	0.03693	0.06466	0.33315	0.07135	0	0.01778	0.02357	0	0.00487	0.44769
V91	0.0856	0.02074	0.66738	0.12886	0.03151	0	0	0	0.0382	0.02772
V92	0	0	0.05959	0.01187	0.05933	0.06023	0.69501	0.02554	0.0849	0.00354
V93	0	0.07264	0.10377	0.01509	0.06024	0.01552	0.24862	0.02674	0.45738	0
V94	0.79386	0.00293	0.07509	0.02031	0.01553	0.02614	0.01603	0.03214	0.01796	0
V95	0	0	0.04013	0.00798	0.05584	0.05769	0.52444	0.24553	0.06839	0
V96	0.04554	0.12484	0.33406	0.39517	0.00907	0.0098	0	0.00918	0.06521	0.00715
V97	0	0	0.0553	0.00977	0.0394	0.05032	0.67655	0.0244	0.03868	0.10557
V98	0	0.30841	0.02527	0.05482	0.14096	0.02224	0.07166	0.07229	0.20473	0.09962
V99	0.53343	0.01748	0.0671	0.01325	0.03597	0.00319	0.07897	0.01424	0.23636	0
V100	0.18484	0.02847	0.08911	0.20561	0.04584	0.2768	0.03185	0.00877	0.12872	0
V101	0	0	0.01391	0.00422	0	0.08941	0.20787	0.04087	0	0.64372
V102	0.0362	0.23283	0.01407	0.00691	0.08249	0.29287	0.17624	0.09374	0.06466	0
V103	0.06332	0.06848	0.06962	0.01502	0.05745	0	0.04085	0.01798	0.66728	0
V104	0.08594	0.0199	0.67519	0.1237	0.02145	0	0	0	0.05575	0.01806
V105	0.33244	0.00783	0.10528	0.0287	0.01196	0.15257	0.04047	0.27407	0.0467	0
V106	0.01708	0.65452	0.15779	0.0344	0	0.0128	0.03349	0	0.08992	0
V107	0.2446	0.24101	0.02894	0.01486	0.23662	0.01486	0.01718	0.02743	0.17449	0
V108	0.00191	0.00327	0.0496	0.15565	0	0.38127	0.04652	0.02971	0.00856	0.32352
V109	0	0.05408	0.01071	0.02199	0.03172	0.76095	0.07424	0.01726	0.02906	0
V110	0	0.16989	0	0.00128	0.6591	0.00501	0	0.05348	0.08226	0.02898
V111	0	0	0.05267	0.01782	0.13062	0.04978	0.661	0.02283	0.04792	0.01736
V112	0	0	0.05066	0.00867	0.03103	0.04097	0.5776	0.02159	0.06967	0.19981
V113	0.0064	0.04527	0.05733	0.00601	0.04047	0.05118	0.06473	0.03206	0.55751	0.13904
V114	0.00683	0.07362	0.07587	0.00952	0.06072	0	0.046	0.01846	0.70898	0
V115	0	0.81711	0	0.00181	0	0	0.06479	0	0.11629	0
V116	0.42756	0.09274	0.03939	0.00946	0.00282	0.03058	0.05057	0.29663	0.05025	0
V117	0.00798	0	0.06217	0.01162	0.05357	0.05601	0.73151	0.0265	0.04474	0.0059
V118	0.01315	0.02343	0.01537	0.01545	0.02798	0.78517	0.0753	0.02508	0.01908	0
V119	0.01068	0.03284	0.14505	0.48911	0.02676	0.1684	0.01852	0.0068	0.10184	0
V120	0.62632	0.00774	0.21551	0.04508	0.01424	0.07495	0	0.00278	0.01338	0
V121	0.05009	0.09491	0.22424	0.04978	0.04007	0.12592	0.30387	0.0205	0.04669	0.04392
V122	0.00318	0.0606	0.14313	0.02266	0.0608	0.05732	0.15604	0.01186	0.4844	0
V123	0.01212	0.08248	0	0.00916	0.35586	0.03186	0.04282	0.34924	0.11509	0.00137
V124	0.66822	0.0511	0.0392	0.01261	0.00042	0.01201	0.02186	0.16549	0.0291	0
V125	0.00639	0.18172	0.08516	0.03769	0.01028	0.14654	0.0814	0.367	0.08382	0
V126	0	0.21413	0	0.00303	0.61249	0.00462	0	0.03965	0.11206	0.01402
V127	0.04714	0.02009	0.46336	0.08467	0.03274	0.01217	0.1972	0.00351	0.11969	0.01942
V128	0.03477	0.22179	0.32445	0.06289	0.2467	0.04151	0	0	0.06328	0.00461
V129	0.01489	0.11192	0.11466	0.20896	0.10109	0.00752	0.01582	0.0054	0.4098	0.00994
V130	0.04549	0.02237	0.38716	0.07242	0.00983	0.02814	0.03699	0.33231	0.06475	0.00054
V131	0.05142	0.38709	0.33149	0.12182	0	0.00191	0.01527	0	0.091	0
V132	0.09507	0	0.05613	0.01027	0.09998	0.04635	0.56346	0.08408	0.04391	0.00075
V133	0.00413	0.03428	0.05291	0.17665	0.01618	0.14814	0.11736	0.38331	0.06704	0
V134	0.02844	0.06885	0.18401	0.07692	0.20428	0.01091	0.16686	0.00792	0.04985	0.20195
V135	0.00719	0.22888	0.16654	0.02729	0.03864	0	0.04599	0.00303	0.48244	0
V136	0	0.59464	0.03177	0.14737	0	0	0.03292	0	0.08054	0.11275
V137	0	0.01032	0.04722	0.01977	0.06905	0.31487	0.43704	0.02082	0.08091	0
V138	0.00955	0.01017	0.05355	0.00981	0.04001	0.03581	0.5219	0.01905	0.05581	0.24434
V139	0.55202	0.03751	0.05732	0.01943	0.07691	0.06714	0.00591	0.00519	0.17857	0
V140	0.05693	0.01397	0.32935	0.45857	0.0417	0.04128	0	0	0.03498	0.0232
V141	0.03002	0.00405	0.18128	0.6717	0.02037	0.01651	0	0.00258	0.0346	0.03889
V142	0.00313	0	0.10147	0.19851	0.03988	0.04176	0.53318	0.01984	0.03846	0.02378
V143	0	0.78289	0	0.04802	0	0	0.0441	0	0.125	0
V144	0	0	0.04144	0.01884	0.04621	0.33226	0.49027	0.03619	0.0348	0
V145	0.04519	0.09458	0.13391	0.46847	0.01076	0.03703	0.00448	0.14357	0.062	0
V146	0.04474	0.00602	0.39919	0.0736	0	0.02351	0.06121	0.09578	0.02953	0.26643
V147	0	0.06355	0.0444	0.01248	0.14774	9e-04	0.03858	0.02758	0.47258	0.19218
V148	0.00415	0.07835	0.06447	0.00713	0.05661	0.04268	0.07509	0.01198	0.65953	0
V149	0.01349	0.02358	0.1512	0.52634	0.02013	0.00816	0	0.08591	0.16719	0.004
V150	0.08114	0.01823	0.01793	0.00601	0.04964	0.0066	0.05171	0.01169	0.01457	0.74248
V151	0.011	0	0.02711	0.00842	0	0.07072	0.05274	0.00652	0	0.82349
V152	0.00616	0.00606	0.00642	0.00328	0.00985	0.05544	0.10372	0.60804	0.07865	0.12238
V153	0	0.15839	0	0.00152	0.65372	0.0081	0	0.07536	0.08418	0.01875
V154	0.10542	0.0211	0.48838	0.32102	0.01692	0.00412	0	0	0.03352	0.00952
V155	0.04364	0.0222	0.02594	0.00381	0.02146	0.128	0.07817	0.41364	0.26312	0
V156	0.11	0.04598	0.15724	0.04697	0.02436	0.41422	0.05865	0.04056	0.10202	0
V157	0	0.46288	0.01172	0.04842	0.15121	0.19694	0.03287	0	0.09596	0
V158	0.26137	0.55569	0.02002	0.01497	0.01614	0	0.03676	0.01886	0.07619	0
V159	0.04517	0.094	0.19986	0.07384	0.27314	0.02805	0.01394	0.06774	0.0481	0.15615
V160	0.00026	0.83914	0	0.0019	0	0	0.04568	0	0.11303	0
V161	0.02003	0.00618	0.18855	0.69484	0.02518	0.00084	0	0.0027	0.05162	0.01007
V162	0.00292	0	0.01934	0.00829	0	0	0.0548	0.00738	0	0.90727
V163	0.15101	0.0253	0.61348	0.11381	0.01509	0.00692	0	0.01218	0.03052	0.03169
V164	0.07541	0.01932	0.67554	0.13215	0.01883	0.01078	0	0	0.0397	0.02827
V165	0.03356	0	0.27166	0.05343	0	0	0.02949	0.01348	0	0.59838
V166	0.05671	0.10368	0.14042	0.50093	0.00679	0.01395	0.00804	0.05391	0.08602	0.02956
V167	0.80687	0.00951	0.06443	0.02268	0.02396	0	0	0.00562	0.06693	0
V168	0.05242	0.03982	0.0241	0.00573	0.02344	0.27814	0.07916	0.28875	0.20844	0
V169	0.00265	0	0.05465	0.16354	0	0.1748	0.04053	0.01912	0	0.54471
V170	0.00564	0.06601	0.07003	0.00859	0.06126	0	0.04586	0.012	0.73061	0
V171	0.01578	0.02307	0.20885	0.09901	0.05036	0.36134	0.06936	0.04794	0.1243	0
V172	0	0.00618	0.05631	0.01315	0.06272	0.17386	0.5894	0.02958	0.06879	0
V173	0.00939	0	0.04534	0.00677	0.00865	0.05069	0.50397	0.01986	0.03559	0.31974
V174	0.02538	0.09511	0.24155	0.37004	0.10071	0.02228	0	0.01012	0.0424	0.09242
V175	0.76233	0.00656	0.14364	0.03304	0.02311	0	0.00825	0.01015	0.01292	0
V176	0.17597	0.01852	0.02334	0.01248	0.03231	0.62818	0.04714	0.01436	0.0477	0
V177	0.65866	0.0021	0.0682	0.10616	0.00323	0	0	0.01513	0.01214	0.13438
V178	0.19441	0.01958	0.02718	0.03979	0.06877	0.54726	0.04578	0.01186	0.01323	0.03214
V179	0.1656	0.13161	0.00483	0.01215	0.5973	0	0	0	0.06319	0.02532
V180	0.43624	0.11885	0.10649	0.29108	0.00836	0.00282	0	0.00029	0.03587	0
V181	0.0541	0.17496	0.50621	0.09362	0.03026	0.00818	0.06886	0	0.05016	0.01366
V182	0.00157	0.07084	0.00699	0.03227	0.29956	0.05604	0.04666	0.34741	0.1306	0.00805
V183	0.02079	0.15675	0.13996	0.49689	0.00962	0.01745	0.10266	0.00325	0.05264	0
V184	0.18368	0.01572	0.02359	0.02485	0.00862	0.51659	0.04882	0.03652	0.00507	0.13654
V185	0.56785	0.00744	0.08727	0.17597	0.0166	0.00316	0	0.06772	0.074	0
V186	0.75509	0.01282	0.07775	0.10602	0.01856	0	0.00055	0.01061	0.0186	0
V187	0.69426	0.00803	0.13888	0.03615	0.01509	0	0.00149	0.00956	0.06698	0.02956
V188	0.07834	0.22289	0.01109	0.06986	0.49647	0.00202	0.00618	0.00551	0.08014	0.02751
V189	0.78228	0.00313	0.07405	0.08177	0.01498	0.00795	0	0.01055	0.01601	0.00928
V190	0	0.07876	0.05152	0.00699	0.11161	0.08389	0.04252	0.01036	0.61434	0
V191	0.02351	0.07102	0.12353	0.33293	0.32363	0.0068	0.0234	0.01792	0.05748	0.01978
V192	0.00926	0.03709	0.02131	0.00787	0.14309	0.00777	0.04004	0.0156	0	0.71797
V193	0.09858	0.03173	0.20659	0.292	0.11809	0.01393	0.11476	0.05476	0.05884	0.01071
V194	0	0.01307	0.02059	0.02127	0.03423	0.65524	0.2052	0.0265	0.0239	0
V195	0.02832	0.03576	0.04851	0.01105	0.10948	0.15424	0.50487	0.0504	0.05208	0.00529
V196	0.69082	0.00979	0.0925	0.17785	0.01262	0	0	0.00314	0.01329	0
V197	0.01448	0.03263	0.06953	0.18011	0.03423	0.02898	0.06325	0.31969	0.2571	0
V198	0	0.12194	0.01268	0.01642	0.4792	0.22572	0.03148	0	0.10875	0.00381
V199	0.02821	0.05821	0.06218	0.02651	0.20331	0.01626	0.1593	0.00368	0.025	0.41734
V200	0	0.06959	0.0161	0.00714	0.3781	0.12691	0.24287	0.08163	0.06185	0.01581
V201	0.20219	0.07108	0.06272	0.00754	0.04384	0.005	0.12297	0.01712	0.44405	0.02349
V202	0.04649	0.30108	0.37155	0.09579	0.00297	0.00136	0.08168	4e-05	0.09904	0
V203	0.0309	0.08873	0.33014	0.18694	0.03341	0.01234	0.09577	0.00236	0.20098	0.01844
V204	0.02379	0.21	0.25754	0.29049	0.00732	0.08026	0.00761	0.04805	0.07494	0
V205	0.05016	0.04581	0.0588	0.01063	0.05596	0.05702	0.5386	0.06421	0.11881	0
V206	0.31567	0.01614	0.47413	0.08823	0.03116	0	0	0	0.02291	0.05176
V207	0.0136	0.1685	0.04913	0.06981	0.01061	0	0.04693	0.00332	0.18876	0.44935
V208	0	0.02577	0.03434	0.06491	0.03699	0.68554	0.0574	0.01645	0.07861	0
V209	0.04205	0.15105	0.06334	0.01695	0.62427	0.00071	0	0	0.07115	0.03048
V210	0.06251	0.12382	0.0479	0.0131	0.50458	0.01716	0.00996	0.09697	0.09157	0.03242
V211	0.05698	0.08329	0.53076	0.09686	0.02483	0.01074	0.05943	0.02705	0.09307	0.017
V212	0.08695	0.11083	0.03686	0.00353	0.02147	0.02207	0.06712	0.27917	0.372	0
V213	0.11594	0.0382	0.01713	0.02476	0.15147	0.55919	0.05208	0.0172	0.02404	0
V214	0	0.03633	0.03012	0.008	0.24729	0.06626	0.46166	0.01379	0.0457	0.09085
V215	0	0	0.06036	0.01189	0.05398	0.06419	0.73148	0.02666	0.04574	0.0057
V216	0	0.71342	0	0.00359	0.13423	0	0.0407	0	0.10806	0
V217	0.02122	0.23587	0.04991	0.09152	0.14009	0.23216	0.0331	0.03899	0.07178	0.08535
V218	0.02628	0.00657	0.02693	0.01268	0.04388	0.56943	0.24486	0.01968	0.02125	0.02844
V219	0.00558	0.0051	0.02466	0.0634	0.01644	0.05945	0.15275	0.58645	0.08616	0
V220	0.00419	0.04422	0.12085	0.32216	0.03545	0.0048	0.01488	0.0555	0.39796	0
V221	0.16281	0.11486	0.27371	0.05554	0.01806	0.00385	0.04479	0.06292	0.18178	0.08167
V222	0.07525	0.01925	0.5895	0.11061	0.0188	0.14685	0	0	0.03049	0.00923
V223	0.06714	0.01702	0.60798	0.11311	0.02741	0.06871	0.05059	0	0.0339	0.01414
V224	0.05527	0.03372	0.51848	0.14238	0.0221	0.00983	0	0.05492	0.15545	0.00786
V225	0.03567	0.00926	0.32444	0.34561	0.01041	0.03136	0.00634	0.17552	0.05098	0.01041
V226	0	0.72223	0	0	0	0.00424	0.0642	0.10383	0.1055	0
V227	0.0601	0.05309	0.52736	0.10301	0.18926	0	0	0	0.04837	0.01881
V228	0.01588	0.60347	0.05107	0.01991	0	0.00415	0.0571	0.10365	0.14478	0
V229	0.6332	0.01287	0.04098	0.01504	0.0084	0.22819	0.03005	0.02384	0.00743	0
V230	0.0074	0	0.10262	0.33181	0	0.01692	0.12579	0.00782	0.0164	0.39123
V231	0.01348	0.28116	0.04493	0.02028	0.02503	0.08636	0.04664	0.01116	0.47096	0
